completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
5,1,24,B Bridge,10,0,62
5,1,21,J Crompton,17,1,51
0,0,0,D LeFevour,1,0,0
23,3,41,H Burris,36,1,263
22,3,48,B Mitchell,35,1,264
1,9,9,B Moniz,1,0,0
27,1,40,Z Collaros,38,0,281
24,0,0,T Harris,27,3,347
0,0,0,A McPherson,1,0,0
16,0,26,M Reilly,28,1,170
1,1,8,M Nichols,6,0,8
13,0,53,D Durant,18,2,165
13,1,24,K Glenn,18,0,120
22,0,41,D Willy,25,3,325
16,2,20,B Brohm,28,0,146
3,1,27,D Willy,6,0,48
26,0,51,Z Collaros,33,2,354
2,0,28,J Matthews,2,0,41
20,0,36,R Cato,25,3,241
19,0,63,B Mitchell,31,0,244
2,1,14,D Tate,3,0,19
23,1,38,H Burris,29,3,296
18,1,50,T Lulay,32,1,254
33,1,50,K Glenn,40,2,477
30,1,33,T Harris,38,4,267
12,1,51,M Nichols,21,3,212
4,0,19,J Franklin,7,0,41
20,1,16,H Burris,36,0,162
6,0,14,D OBrien,11,0,34
0,1,0,T DeMarco,2,0,0
20,0,41,D Willy,29,0,251
22,2,51,R Cato,31,0,317
34,0,46,T Lulay,44,3,404
23,1,46,K Glenn,29,2,271
25,1,50,B Mitchell,34,2,303
20,1,44,T Harris,34,2,223
23,0,35,R Cato,34,1,264
27,3,44,Z Collaros,42,1,296
1,0,0,J Matthews,2,0,7
29,1,29,H Burris,39,0,252
18,3,63,M Nichols,33,1,242
24,1,49,K Glenn,40,1,360
12,0,48,T Lulay,21,2,127
12,0,21,B Mitchell,21,1,165
22,1,79,D Willy,27,2,289
28,0,84,H Burris,43,3,389
23,0,33,B Mitchell,41,1,318
18,1,25,T Lulay,32,1,165
30,2,54,T Harris,40,2,340
17,0,37,M Nichols,25,0,196
5,0,25,J Franklin,8,3,83
7,0,29,D Willy,17,0,81
9,2,19,B Brohm,19,0,71
22,1,26,K Glenn,33,1,255
2,0,7,B Smith,4,0,12
0,0,0,W Dressler,1,0,0
19,0,42,Z Collaros,28,1,284
17,0,56,D Willy,25,2,269
1,0,0,L Hajrullahu,1,0,6
22,3,22,T Lulay,33,1,255
27,0,31,M Nichols,39,2,300
2,0,6,J Franklin,3,0,11
0,0,0,C Watson,1,0,0
15,2,21,B Smith,22,0,132
5,1,20,T Sunseri,8,0,63
23,0,42,B Mitchell,32,2,329
1,0,1,D Tate,1,1,1
20,1,51,R Cato,32,1,278
21,0,39,Z Collaros,27,3,229
29,0,16,T Harris,40,1,326
5,0,7,M Gale,10,1,63
16,2,46,T Lulay,31,2,195
26,2,49,M Nichols,42,2,262
32,0,38,H Burris,44,2,323
20,2,54,R Cato,31,1,303
23,0,52,T Harris,29,2,316
23,1,62,B Smith,35,2,298
20,2,58,Z Collaros,32,3,280
16,1,25,D Willy,27,1,171
4,1,19,R Marve,7,0,49
2,0,15,B Brohm,4,0,18
14,1,53,R Cato,22,0,178
9,0,31,J Franklin,13,0,144
15,2,27,M Nichols,24,0,130
1,0,4,J Lynch,1,1,4
18,1,56,R Marve,29,1,203
18,0,31,T Harris,24,2,168
19,0,58,Z Collaros,23,4,290
3,0,25,J Matthews,5,0,42
13,2,50,T Lulay,20,1,139
7,0,26,J Beck,12,1,95
17,0,37,B Mitchell,25,2,243
3,0,12,D Tate,5,0,32
0,0,0,B Moniz,1,0,0
7,0,33,H Burris,17,0,114
9,0,14,D OBrien,10,0,58
1,1,7,T DeMarco,8,0,7
18,1,24,T Lulay,29,1,216
16,1,21,R Cato,19,1,154
3,0,4,T Marsh,3,0,6
22,1,30,J Franklin,36,2,254
12,1,35,M Nichols,19,0,138
0,0,0,J Lynch,1,0,0
17,0,63,Z Collaros,29,3,300
13,1,72,B Smith,24,3,178
23,2,46,B Mitchell,35,3,303
21,1,29,T Harris,31,3,266
32,0,55,H Burris,36,0,426
20,1,47,Z Collaros,27,1,293
4,0,65,R Cato,7,1,115
11,1,24,T Marsh,18,0,99
