interception touchdowns, interception yards, interceptions, name
0,0,1,M Schrang
0,25,1,L Doss
0,23,1,J Gaines
0,20,1,J Richards
0,0,1,C Hackett
0,0,1,D Kindred
0,0,1,K White
0,0,1,D Thompson
0,17,1,C Spears
0,0,1,T Flowers
0,0,1,W Hines
0,25,1,K Douglas
0,0,1,J Jenkins
0,16,1,J Grandon
0,42,2,N Whitley
0,0,1,D Southward
0,9,1,D Striggles
0,0,1,N Johnson
0,13,1,W Longdon
0,0,1,C Bryant
0,0,1,Z Edwards
0,0,1,T Mack
0,49,2,D McDougle
0,0,1,R Cockrell
0,0,1,A Armstrong
0,0,1,T Edwards
0,-1,2,B Facyson
0,0,1,S Miller
0,92,1,T Burke
0,27,1,T Hunter
0,10,1,B Keeton
0,2,1,G Ducre
0,0,1,N Mangieri
0,27,1,J Morris
0,0,1,B Lowery
0,45,2,K Daily
0,0,1,J Wilson
0,0,1,C Gaines
0,58,1,J Anderson
0,0,1,C Trim
0,13,1,B Cobb
0,47,1,B Countess
0,0,1,J Wilson
0,34,2,J March
0,19,1,D Scott
0,16,1,T Barber
0,1,1,K Gilstrap
0,33,1,B Hollier
0,8,1,D Sargenti
0,0,1,B Clements
0,34,1,S Jean Baptiste
0,25,1,K Johnson
0,0,2,D Smith
0,0,1,I Campbell
0,0,1,J Currie
0,0,1,L Lee
0,0,1,W Wright
0,0,1,D Bass
0,31,1,G Lynn
0,25,1,B Thomas
0,13,1,D Caro
0,0,1,D Bollema
0,0,1,M Willis
0,34,1,B Jackson
0,52,1,M Kutzler
0,0,1,B Callahan
0,31,1,I Johnson
0,-4,1,D McDonald
0,0,1,L Waters
0,49,2,T Pearson
0,0,1,A Page
0,1,1,J Legree
0,69,1,S Clarke
0,6,1,D Lattimore
1,75,1,D Smith
0,47,1,C Lynch
0,11,1,D Eskridge
0,14,1,L Williams
0,1,1,J Sylvestre
0,73,1,V Sunseri
0,0,1,C Jones
0,13,1,F Crawford
0,0,1,P Vea
0,0,1,D Nalor
0,27,1,S Martin
0,9,2,S Nelson
0,11,1,M Noel
0,6,1,K Jones
0,72,1,D Horton
0,23,1,D Bucannon
0,0,1,D Brown
0,0,1,L Sims
0,7,1,B McClendon
0,50,1,C Fort
0,39,1,J Stanton
0,0,1,M Morse
0,0,1,B Breeland
0,4,1,D Smith
0,0,1,J March
0,28,1,R Gillis
0,0,1,S Thomas
0,0,1,B Blake
0,0,1,J Jenkins
0,63,1,T Burt
0,41,1,J Williams
0,28,1,T Sells
0,29,1,I Newsome
0,14,1,D Skinner
0,0,1,M Walker
0,11,1,C Murdock
0,3,1,R Bush
0,0,1,B Jones
0,0,1,J Williams
0,29,1,D Morgan
0,37,1,A Gonzalez
0,19,1,J Hendricks
0,0,1,K Williams
0,0,1,S Gordon
0,10,1,M Hester
0,0,1,J Newsome
0,28,1,D Parms
0,0,1,D Smith
0,0,1,K Byard
0,0,1,A Stewart
0,30,1,M Maye
0,30,1,D Cummings
0,1,1,J Gorman
0,0,1,B Poole
0,62,1,D Swafford
0,68,1,T Smith
0,0,1,T Matthews
0,0,1,W Wright
0,7,1,L Young
0,6,1,T Bowser
0,1,1,P Gaines
0,24,2,G Heban
0,49,1,K Ealy
0,19,1,D Ruise
0,14,1,K Brothers
0,48,2,B Lowery
0,0,1,T Miller
0,0,1,B Heeney
0,15,1,T McDonald
0,0,1,D Cobb
0,5,1,C Loston
0,-5,1,J Mills
0,0,1,J Whitehead
0,28,1,A Hendy
0,0,1,Y Cudjoe Virgil
0,0,1,R Jette
0,0,1,B McCain
0,20,1,A Highsmith
0,8,1,T McCord
0,7,1,L Gunter
0,2,1,E Moore
0,0,1,D Nunley
0,0,1,H Harding
0,38,1,D Drane
0,0,1,A Chenault
0,16,1,A Hill
0,0,1,C Thompson
0,70,1,J Love
0,33,1,R Gregory
0,15,1,S Jean Baptiste
0,17,2,M Smith
0,12,1,N Haikins
0,0,1,B Hekking
0,8,1,M Moore
0,6,1,J Ward
0,0,1,J Wickliffe
0,0,1,P Houlihan
0,49,1,D Proby
0,19,1,D Lowry
0,7,1,A Ofori Jr
0,29,1,M Farley
0,42,1,B Roby
0,3,1,P Aiken
0,2,1,R Keiser
0,-4,1,D Farrington
0,26,1,T Mitchel
0,16,1,S Nelson
0,10,1,R Murphy
0,25,1,J Mauro
0,0,1,A Carter
0,8,1,R Nelson
0,17,1,J Whigham
0,39,0,D Hall
0,2,1,T Sanders
0,12,1,H Greenbauer
0,0,1,P Robertson
0,24,1,J Iwuji
0,2,1,X Daniels
0,0,1,G Williams
0,0,1,J Jean
0,0,1,F Thomas
0,52,1,I Adams
0,25,2,D Cazares
0,15,1,T McTyer
0,5,1,T Maka
0,39,1,D Moore
0,0,1,J Fruehan
0,0,1,K Jarrett
0,0,1,K Fuller
0,0,1,M Lovett
0,0,1,N Hewitt
0,6,1,C Wallace
0,0,1,S Parker
0,0,1,D Bucannon
0,3,1,D Carter
0,1,1,C Whitehead
0,10,1,S Shelton
0,27,1,R Allen
0,1,1,M Ward
0,-4,1,A Wright
0,25,1,D Summers
0,11,1,P Janvier
0,1,1,B Facyson
0,-2,1,K Fuller
0,5,1,S Jackson
0,9,1,C Rogers
0,0,1,D Sorensen
0,10,1,K Byard
0,13,1,J Morris
0,3,1,M Alexander
0,0,1,N Lawson
0,0,1,E Jackson
0,16,1,C Prewitt
0,34,1,D Everett
0,0,1,S Jenkins
0,44,2,A Darby
0,9,1,O Irabor
0,0,1,S Cravens
0,0,1,K Lee
0,21,1,R Madison
0,16,1,D Williams
0,35,1,N Andrews
1,20,1,P Williams
0,0,1,B Douglas
0,0,1,D Thompson
0,33,1,N Johnson
0,16,1,C Lester
0,0,1,N Gilbo
0,15,1,O Melifonwu
0,14,1,S Maag
0,21,1,J Legree
0,14,1,T Holloman
0,5,1,V Hampton
0,1,1,B Boulware
0,4,1,J Cash
0,0,1,C Davis
0,4,1,A Johnson
0,12,1,A Laurel
0,0,1,N Phillips
0,66,2,L Jones
