defensive two point conversion, forced fumble, forced fumbles, fumble return touchdowns, fumble return yards, interception return touchdowns, interceptions, name, sacks, safeties, tackle assists, tackles
,,0,0,,0,0,Shaquil Barrett,0.000,0,1.000,0
,,0,0,,0,0,Bradley Roby,0.000,0,1.000,0
,,0,0,,1,1,Jimmy Smith,0.000,0,0.000,8
,,0,0,,0,0,Brandon Williams,0.000,0,1.000,6
,,0,0,,0,0,Kyle Arrington,0.000,0,0.000,4
,,0,0,,0,0,Will Hill,0.000,0,1.000,4
,,0,0,,0,0,CJ Mosley,2.000,0,1.000,4
,,0,0,,0,0,Lawrence Guy,0.000,0,0.000,3
,,0,0,,0,0,Lardarius Webb,0.000,0,0.000,3
,,0,0,,0,0,Chris Canty,1.000,0,0.000,2
,,0,0,,0,0,Carl Davis,0.000,0,1.000,2
,,0,0,,0,0,Elvis Dumervil,0.000,0,0.000,2
,,0,0,,0,0,Kapron Lewis Moore,0.000,0,0.000,2
,,0,0,,0,0,Daryl Smith,0.000,0,4.000,2
,,0,0,,0,0,Courtney Upshaw,0.000,0,1.000,2
,,0,0,,0,0,Kapron Lewis Moore,0.000,0,0.000,1
,,0,0,,0,0,Albert McClellan,1.000,0,1.000,1
,,0,0,,0,0,Chris Conte,0.000,0,0.000,5
,,0,0,,0,0,Clinton McDonald,0.000,0,0.000,4
,,0,0,,0,0,Alterraun Verner,0.000,0,0.000,4
,,0,0,,0,0,Kwon Alexander,0.000,0,2.000,3
,,1,0,,0,0,Lavonte David,0.000,0,2.000,3
,,0,0,,0,0,Danny Lansanah,0.000,0,2.000,3
,,0,0,,0,0,Gerald McCoy,1.000,0,0.000,3
,,0,0,,0,0,Bradley McDougald,0.000,0,1.000,3
,,0,0,,0,0,DJ Swearinger,0.000,0,1.000,3
,,0,0,,0,0,Johnthan Banks,0.000,0,0.000,2
,,0,0,,0,0,Jacquies Smith,1.000,0,0.000,2
,,0,0,,0,0,William Gholston,0.000,0,0.000,1
,,0,0,,0,0,George Johnson,0.000,0,0.000,1
,,1,0,,0,0,Henry Melton,0.000,0,1.000,1
,,0,0,,0,0,Sterling Moore,0.000,0,0.000,1
,,0,0,,0,0,Major Wright,0.000,0,1.000,1
,,0,0,,0,0,Tim Jennings,0.000,0,1.000,0
,,0,0,,0,0,DaQuan Jones,0.000,0,0.000,7
,,0,0,,0,0,Zach Brown,0.000,0,1.000,6
,,0,0,,0,0,Michael Griffin,0.000,0,1.000,4
,,0,0,,0,0,Derrick Morgan,2.000,0,1.000,4
,,1,0,,0,0,Angelo Blackson,1.000,0,0.000,3
,,0,0,,0,0,Jurrell Casey,1.000,0,0.000,3
,,0,0,,0,0,DaNorris Searcy,0.000,0,1.000,3
,,0,0,,0,0,Perrish Cox,0.000,0,0.000,2
,,0,0,,0,0,Daimion Stafford,0.000,0,0.000,2
,,0,0,,0,0,Avery Williamson,0.000,0,0.000,2
,,0,0,,0,0,Karl Klug,0.000,0,1.000,1
,,0,0,,0,0,Mike Martin,0.000,0,1.000,1
,,0,0,,0,0,Brian Orakpo,0.000,0,0.000,1
,,0,0,,0,0,Cody Riggs,0.000,0,0.000,1
,,0,0,,0,0,Wesley Woodyard,0.000,0,1.000,1
,,0,0,,0,0,Blidi Wreh Wilson,0.000,0,0.000,1
,,0,0,,0,1,Deiontrez Mount,0.000,0,0.000,0
,,0,0,,1,1,Coty Sensabaugh,0.000,0,0.000,0
,,0,0,,0,0,Tyrann Mathieu,0.000,0,0.000,8
,,0,0,,0,0,Deone Bucannon,0.000,0,1.000,6
,,0,0,,0,0,Jerraud Powers,0.000,0,1.000,6
,,0,0,,0,0,Calais Campbell,0.000,0,1.000,5
,,0,0,,0,0,Kevin Minter,0.000,0,2.000,5
,,0,0,,0,0,Tony Jefferson,0.000,0,1.000,4
,,0,0,,0,0,Alex Okafor,2.000,0,1.000,4
,,0,0,,0,0,Sean Weatherspoon,0.000,0,1.000,2
,,0,0,,0,0,LaMarr Woodley,0.000,0,0.000,2
,,0,0,,0,0,Markus Golden,0.000,0,2.000,1
,,0,0,,0,0,Rodney Gunter,0.000,0,0.000,1
,,0,0,,0,1,Rashad Johnson,0.000,0,0.000,1
,,0,0,,0,0,Patrick Peterson,0.000,0,0.000,1
,,0,0,,0,0,Cory Redding,0.000,0,1.000,1
,,0,0,,0,0,Frostee Rucker,0.000,0,0.000,1
,,0,0,,0,0,Damian Swann,0.000,0,0.000,6
