name, rushes, rushing touchdowns, rushing yards
N Wilson,22,0,97
J Baker,9,0,35
A Solomon,5,0,35
J Williams,21,0,79
J Rhodes,13,1,66
B Bogenschutz,10,1,27
R Bellomy,1,0,15
T Clay,1,0,11
B Jones,1,0,4
K Thomas Jr,1,0,-1
A Grubb,1,0,-4
T Williamson,16,0,74
D Green,9,3,73
J Gilbert,12,2,61
J Milas,4,0,23
D Wilson,12,0,34
W Stanback,10,0,6
J Holman,6,0,4
N Patti,1,0,2
A Gardner,15,1,75
A Jones,1,0,26
A Samuel,8,0,21
A McGough,4,0,12
C Rush,8,1,51
M Walker,12,0,25
D Spalding,5,0,7
M Chapman,1,0,4
C Willis,1,0,-3
R Lamb,1,0,-6
C Carson,21,0,89
R Childs,5,0,36
M Rudolph,5,1,20
J Walsh,3,1,9
R Johnson,22,1,65
B Shirreffs,10,0,33
N Thomas,1,0,8
A Newsome,4,0,5
M Waller,22,0,154
D Garrison,10,0,33
D ONeal,4,0,15
Z Greenlee,1,0,11
S Edwards,1,0,9
K Williams,1,0,9
C Virgil,1,0,3
M Marshall,8,2,184
P Skov,12,3,72
B Snoddy,3,0,51
T Byerly,7,1,42
Q Searcy,1,0,31
M Allen,3,0,21
M Jordan,3,0,18
T Marshall,1,0,18
B Swilling,7,1,18
C Lynch,2,0,17
J Thomas,3,1,2
I Willis,1,1,1
R Braswell,1,0,1
P Harris,17,0,68
S Lakalaka,11,0,30
Q Pedroza,2,0,19
M Wittek,4,0,-17
M Adkins II,22,2,90
S Liufau,18,0,81
P Lindsay,8,0,35
C Powell,5,0,9
E Penny,17,2,69
M Linehan,9,0,29
A Duckworth,2,0,2
D Patterson,13,1,84
A Ouellette,9,0,48
D Vick,9,0,34
M Irons,2,1,21
P White,3,0,13
J Sprague,2,0,5
R Smith,16,1,88
R Williams Jr,9,0,32
M Leidner,12,0,23
C Streveler,1,0,3
T Boykin,18,1,92
A Green,19,0,88
K Turpin,2,0,18
T Johnson,3,0,4
S Nixon,2,0,1
D Jackson,13,2,124
J Butler,14,0,65
T Stewart,9,1,43
B Wright,1,0,2
S Carson,4,1,75
B Wilds,14,0,51
C Mitch,10,0,44
D Williams,10,0,42
P Cooper,4,0,20
S Kelly,1,0,17
P Orth,2,0,7
E Hood,13,0,138
T Logan,7,0,37
R Morris,2,0,20
M Williams,10,0,9
T Williams,1,0,4
T Ervin,20,3,127
T Tucker,19,2,74
K Potter,7,0,45
J Gray,2,0,15
D Hancock,4,0,12
T Crawley,1,0,12
S Badie,3,0,22
D Hilliard,5,0,19
L Thompson,6,0,12
R Kelley,3,0,5
T Lee,5,0,-25
S Wilson,15,0,77
T Sirk,15,0,68
S Powell,7,0,24
Z Boden,5,1,22
P Boehme,4,0,10
N Pierre,2,0,6
D Booker,22,1,69
T Wilson,12,1,51
J Williams,1,0,7
D Smith,17,0,47
T Isaac,4,0,12
J Rudock,5,0,11
J Kerridge,1,0,5
D Green,2,0,1
L Hunt,23,0,80
D Mays,4,0,51
C Keeton,6,0,7
D Robinson,1,0,4
R Webb,18,0,70
J McCrary,8,0,58
D Rivers,11,0,26
D Sims,4,0,15
L Allen,15,1,56
D Ferby,2,0,14
B Doughty,5,0,-32
J Wolford,7,1,63
I Robinson,10,0,44
M Colburn,12,1,38
T Bell,5,0,28
D Wortham,6,0,18
K Hinton,2,0,12
A Bradshaw,20,2,143
J Asberry,5,0,56
