batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
17,3,6.750,3,8,[],4,1,4.000,Mark Buehrle,1,57,,3,1,37,1
9,0,0.000,4,3,[],0,0,3.000,Brandon McCarthy,2,48,W,0,2,30,0
4,1,13.500,1,0,[],2,0,0.667,Cliff Politte,3,20,,1,1,11,0
5,0,0.000,2,1,[],1,0,1.333,Matt Thornton,4,28,,0,1,16,0
11,3,11.570,2,2,[],3,0,2.333,CC Sabathia,1,37,,3,3,24,1
5,0,0.000,1,1,[],1,0,0.667,Danny Graves,2,21,,0,0,9,2
9,6,54.000,3,0,[],2,1,1.000,Fernando Cabrera,3,37,L,6,0,17,4
9,1,4.500,2,4,[],3,0,2.000,Matt Miller,4,28,,1,0,16,2
4,0,0.000,2,0,['Rob Mackowiak'],0,0,1.000,Scott Sauerbeck,5,14,,0,1,8,0
3,0,0.000,2,0,[],0,0,1.000,Rafael Betancourt,6,16,,0,1,11,0
28,0,0.000,8,7,[],5,0,8.000,Roy Oswalt,1,91,W,0,8,62,1
3,0,0.000,0,2,[],0,0,1.000,Brad Lidge,2,18,S,0,1,9,1
21,0,0.000,3,9,[],1,0,5.000,Dontrelle Willis,1,107,,0,3,61,3
9,1,5.400,0,1,[],3,0,1.667,Josh Johnson,2,40,L,1,3,21,2
1,0,0.000,1,0,[],0,0,0.333,Joe Borowski,3,4,,0,0,2,0
3,0,0.000,1,0,[],0,0,1.000,Carlos Martinez,4,14,,0,2,8,0
13,7,47.250,1,1,[],4,1,1.333,Barry Zito,1,59,L,7,3,29,4
18,4,10.800,6,1,['Jorge Posada'],7,1,3.333,Kirk Saarloos,2,48,,5,2,32,0
8,1,6.750,6,1,['Jason Giambi', 'Jorge Posada'],1,0,1.333,Brad Halsey,3,34,,1,0,24,1
13,2,9.000,2,3,[],4,0,2.000,Jay Witasick,4,51,,2,1,26,3
5,0,0.000,0,1,[],1,0,1.000,Kiko Calero,5,22,,0,2,12,1
27,1,1.290,13,5,[],5,1,7.000,Randy Johnson,1,106,W,1,3,65,0
4,0,0.000,2,0,[],1,0,1.000,Tanyon Sturtze,2,12,,0,1,7,0
5,1,9.000,1,1,[],2,0,1.000,Ron Villone,3,16,,1,1,13,0
27,2,3.000,4,8,[],6,0,6.000,Doug Davis,1,111,,2,6,67,4
3,0,0.000,0,2,[],0,0,1.000,Justin Lehr,2,12,W,0,1,5,1
3,0,0.000,2,1,[],0,0,1.000,Matt Wise,3,10,H,0,0,6,0
