kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
0,0,0,49,L Hajrullahu,260,7
0,0,0,57,B Maher,296,6
0,0,0,65,J Medlock,326,7
0,0,0,56,B Bede,259,6
0,0,0,53,G Shaw,205,5
0,0,0,61,C Milo,232,5
0,0,0,55,R Leone,243,6
0,0,0,59,B Bede,328,7
0,0,0,55,Z Medeiros,179,4
0,0,0,58,L Hajrullahu,346,8
0,0,0,89,B Maher,342,6
0,0,0,54,R Leone,205,5
0,0,0,51,J Medlock,309,7
0,0,0,50,B Maher,170,4
0,0,0,47,J Medlock,170,4
0,0,0,58,R Leone,378,8
0,0,0,52,L Hajrullahu,282,6
0,0,0,56,Z Medeiros,198,4
0,0,0,57,G Shaw,258,6
0,0,0,50,L Hajrullahu,331,8
0,0,0,51,Z Medeiros,224,6
0,0,0,52,J Medlock,315,7
0,0,0,53,G Shaw,275,6
0,0,0,53,B Bede,311,7
0,0,0,56,B Maher,397,8
0,0,0,69,R Leone,416,8
0,0,0,76,Z Medeiros,230,4
0,0,0,49,G Shaw,215,5
0,0,0,57,B Maher,201,4
0,0,0,58,L Hajrullahu,164,3
0,0,0,54,B Bede,186,4
0,0,0,59,G Shaw,316,7
0,0,0,48,J Medlock,200,5
0,0,0,51,B Bede,269,7
0,0,0,64,R Leone,264,5
0,0,0,56,Z Medeiros,344,8
0,0,0,71,L Hajrullahu,378,8
0,0,0,48,B Bede,134,4
0,0,0,54,R Leone,96,2
0,0,0,63,Z Medeiros,255,5
0,0,0,58,G Shaw,237,6
0,0,0,50,G Shaw,301,8
0,0,0,56,A Fera,219,5
0,0,0,52,L Hajrullahu,311,7
0,0,0,48,J Medlock,400,9
0,0,0,62,Z Medeiros,342,7
0,0,0,54,A Fera,317,7
0,0,0,55,R Leone,411,8
0,0,0,60,L Hajrullahu,354,7
0,0,0,48,G Shaw,126,3
0,0,0,56,B Maher,220,5
0,0,0,48,Z Medeiros,272,7
0,0,0,71,R Leone,383,7
0,0,0,56,A Fera,192,4
0,0,0,35,J Medlock,91,3
0,0,0,59,G Shaw,254,5
0,0,0,51,B Maher,299,7
0,0,0,57,L Hajrullahu,293,7
0,0,0,71,R Leone,303,6
0,0,0,57,A Fera,416,9
0,0,0,40,Z Medeiros,149,4
0,0,0,60,J Medlock,222,5
0,0,0,79,G Shaw,391,8
0,0,0,48,B Maher,48,1
0,0,0,42,L Hajrullahu,83,2
0,0,0,58,R Leone,168,4
0,0,0,56,A Fera,241,5
0,0,0,52,J Medlock,394,9
0,0,0,66,G Shaw,235,5
0,0,0,46,L Hajrullahu,278,7
0,0,0,57,B Maher,247,6
0,0,0,63,B Maher,199,4
0,0,0,58,A Fera,262,5
0,0,0,49,J Medlock,105,3
0,0,0,54,L Hajrullahu,220,5
0,0,0,90,S Castillo,408,8
0,0,0,70,G Shaw,288,6
0,0,0,43,S Castillo,180,5
0,0,0,52,L Hajrullahu,284,7
0,0,0,53,G Shaw,275,6
0,0,0,75,R Leone,297,6
0,0,0,44,R Maver,157,4
0,0,0,49,J Medlock,334,8
0,0,0,62,B Maher,212,5
0,0,0,51,J Medlock,253,6
0,0,0,56,G Shaw,349,8
0,0,0,60,B Maher,290,6
0,0,0,54,R Maver,229,5
0,0,0,70,R Leone,306,6
0,0,0,42,Z Medeiros,151,4
0,0,0,68,A Fera,293,6
0,0,0,42,L Hajrullahu,160,4
0,0,0,53,Z Medeiros,231,5
0,0,0,48,J Medlock,246,6
0,0,0,47,R Leone,136,3
0,0,0,51,A Fera,197,5
0,0,0,44,G Shaw,187,5
0,0,0,52,L Hajrullahu,305,7
0,0,0,49,B Maher,221,5
0,0,0,47,Z Medeiros,175,5
0,0,0,53,R Leone,53,1
0,0,0,46,J Medlock,160,4
0,0,0,55,L Hajrullahu,403,9
0,0,0,56,B Bede,393,9
0,0,0,45,R Early,123,3
0,0,0,56,B Maher,133,3
0,0,0,55,L Hajrullahu,231,5
0,0,0,48,B Bede,280,7
0,0,0,54,R Leone,88,2
0,0,0,57,G Shaw,285,6
0,0,0,50,B Maher,279,7
0,0,0,52,G Shaw,215,5
0,0,0,46,J Medlock,283,7
0,0,0,65,R Early,319,7
0,0,0,53,R Leone,400,9
0,0,0,69,B Bede,217,5
0,0,0,45,J Medlock,296,7
0,0,0,57,B Maher,416,9
0,0,0,65,B Bede,321,7
0,0,0,57,G Shaw,136,3
0,0,0,57,L Hajrullahu,230,5
0,0,0,55,R Leone,194,4
0,0,0,44,B Maher,184,5
0,0,0,80,G Shaw,289,6
0,0,0,60,R Leone,236,5
0,0,0,51,J Medlock,272,6
0,0,0,42,R Early,194,6
0,0,0,57,G Shaw,330,9
0,0,0,58,R Leone,449,9
0,0,0,52,R Maver,184,4
