longest reception, name, receiving conversions, receiving touchdowns, receiving yards, receptions, targets
48,Laveranues Coles,0,0,106,5,
10,Rod Gardner,0,0,32,5,
20,Robert Royal,0,0,24,2,
6,Zeron Flemister,0,0,6,1,
5,Chad Morton,0,0,5,1,
4,Ladell Betts,0,0,4,1,
4,Bryan Johnson,0,0,4,1,
4,Darnerien McCants,0,1,4,1,
14,Wayne Chrebet,0,0,40,4,
17,Curtis Conway,0,0,28,2,
12,Jerald Sowell,0,0,20,2,
11,Anthony Becht,0,0,12,2,
7,Santana Moss,0,0,12,3,
-3,Curtis Martin,0,0,-7,2,
49,Eric Moulds,0,0,81,4,
24,Bobby Shaw,0,0,51,3,
18,Travis Henry,0,0,37,3,
24,Sammy Morris,0,0,25,2,
9,Mark Campbell,0,0,24,3,
7,Dave Moore,0,1,7,1,
5,Josh Reed,0,0,5,1,
42,David Patten,0,0,48,2,
9,Kevin Faulk,0,0,25,4,
16,Bethel Johnson,0,0,25,2,
12,Larry Centers,0,0,18,4,
12,Antowain Smith,0,0,12,1,
10,Troy Brown,0,0,10,1,
8,Deion Branch,0,0,8,1,
7,Christian Fauria,0,0,7,1,
1,Daniel Graham,0,0,1,1,
24,Steve Smith,0,1,44,4,
13,Kris Mangum,0,0,28,3,
12,Ricky Proehl,0,1,20,2,
8,DeShaun Foster,0,0,16,3,
13,Muhsin Muhammad,0,1,13,1,
11,Stephen Davis,0,0,11,1,
5,Brad Hoover,0,0,5,1,
4,Nick Goings,0,0,4,1,
65,Jermaine Lewis,0,1,90,3,
33,Matt Hatchette,0,1,60,4,
18,Fred Taylor,0,0,51,5,
22,JJ Stokes,0,0,42,6,
11,Kyle Brady,0,0,11,1,
8,Chris Luzar,0,0,8,1,
4,Marc Edwards,0,0,7,2,
3,LaBrandon Toefield,0,0,3,1,
40,Matt Schobel,0,0,97,4,
41,Chad Johnson,0,1,95,6,
15,Peter Warrick,0,0,31,4,
9,Kelley Washington,0,0,18,2,
10,Brandon Bennett,0,0,10,1,
5,Corey Dillon,0,0,7,2,
6,Jeremi Johnson,0,0,6,1,
12,Rod Smith,0,0,43,5,
