at bats, average, batting order, doubles, hit by pitchers, hits, home runs, left on base, name, position, rbi, runs, sacrifice flies, strike outs, triples, walks
5,400,1,1,[],2,0,5,Derek Jeter,SS,0,2,0,0,0,1
6,333,2,0,[],2,0,6,Alex Rodriguez,3B,1,1,0,1,0,0
4,250,3,1,[],1,0,3,Gary Sheffield,RF,1,2,0,0,0,1
5,200,4,1,[],1,0,4,Ruben Sierra,DH,1,0,0,1,0,0
5,600,5,0,[],3,1,1,Hideki Matsui,LF,3,3,0,1,0,0
4,500,6,1,[],2,0,1,Jorge Posada,C,0,0,0,1,0,1
2,500,7,0,['David Wells', 'David Wells'],1,0,2,Jason Giambi,1B,0,0,0,0,0,0
0,0,,0,[],0,0,0,Tino Martinez,1B,0,1,0,0,0,1
2,0,8,0,[],0,0,4,Bernie Williams,CF,1,0,1,2,0,2
0,0,,0,[],0,0,0,Bubba Crosby,CF,0,0,0,0,0,0
5,600,9,0,[],3,0,4,Tony Womack,2B,0,0,0,0,0,0
4,0,1,0,[],0,0,1,Johnny Damon,CF,0,0,0,1,0,0
4,0,2,0,[],0,0,2,Edgar Renteria,SS,0,0,0,1,0,0
4,0,3,0,[],0,0,0,Manny Ramirez,LF,0,0,0,2,0,0
4,250,4,1,[],1,0,0,David Ortiz,DH,0,1,0,2,0,0
2,0,5,0,[],0,0,1,Kevin Millar,1B,0,1,0,0,0,2
4,750,6,1,[],3,0,0,Jason Varitek,C,0,0,0,0,0,0
3,333,7,0,[],1,0,3,Jay Payton,RF,1,0,0,0,0,0
0,0,,0,[],0,0,1,Trot Nixon,PH,1,0,1,0,0,0
3,0,8,0,[],0,0,1,Bill Mueller,3B,0,0,0,1,0,1
4,250,9,1,[],1,0,3,Mark Bellhorn,2B,0,0,0,3,0,0
4,0,1,0,[],0,0,2,Carl Crawford,LF,1,0,0,2,0,0
4,500,2,0,[],2,0,0,Julio Lugo,SS,0,0,0,0,0,0
4,0,3,0,[],0,0,3,Aubrey Huff,RF,0,0,0,1,0,0
4,500,4,0,[],2,0,1,Travis Lee,1B,0,1,0,2,0,0
4,500,5,1,[],2,0,1,Josh Phelps,DH,0,0,0,1,0,0
