completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
20,0,65,D Durant,31,2,233
31,1,33,K Glenn,44,1,298
0,0,0,B Bridge,2,0,0
33,1,32,T Harris,45,3,300
31,0,43,B Mitchell,48,2,376
22,0,62,J Jennings,34,0,264
20,0,76,M Reilly,28,2,315
32,0,79,R Ray,41,1,506
26,1,49,Z Collaros,40,0,242
19,0,48,B Mitchell,31,3,295
27,0,65,T Harris,35,2,425
0,0,0,B Sinopoli,1,0,0
30,1,44,R Ray,45,1,327
23,1,41,J Jennings,35,1,301
27,0,23,M Reilly,36,1,286
14,1,30,D Durant,24,1,166
36,2,36,K Glenn,49,4,377
23,1,87,M Nichols,36,4,331
1,0,3,D LeFevour,1,0,3
24,1,34,D Durant,36,0,245
28,0,36,J Jennings,39,1,288
27,2,21,M Nichols,40,1,267
22,2,45,B Mitchell,34,1,332
30,1,38,T Harris,43,2,370
27,0,55,R Ray,41,2,366
32,1,34,K Glenn,43,2,380
0,0,0,D Carter,1,0,0
19,0,20,Z Collaros,34,1,189
20,0,39,M Nichols,36,0,228
1,0,17,D LeFevour,1,0,17
27,2,38,R Ray,46,0,330
17,2,80,D Durant,22,1,296
34,0,55,B Mitchell,50,1,379
27,0,42,M Reilly,39,1,265
23,0,34,T Harris,35,1,284
30,1,60,Z Collaros,48,1,361
29,2,69,T Lulay,36,3,436
0,1,0,J Jennings,1,0,0
29,0,80,T Harris,41,2,376
35,2,51,D Durant,45,2,452
22,2,30,Z Collaros,36,1,249
27,0,34,M Reilly,37,3,350
28,2,45,T Lulay,43,2,404
28,1,51,M Nichols,36,3,254
1,0,18,D LeFevour,1,0,18
0,0,0,J Medlock,1,0,0
16,1,44,B Mitchell,28,2,253
20,0,25,K Glenn,29,0,203
2,0,7,B Bridge,2,0,10
40,0,34,R Ray,55,2,367
16,1,31,T Harris,26,2,184
34,0,43,M Nichols,43,2,358
27,1,74,D Durant,35,2,348
24,2,108,M Reilly,33,2,412
22,2,31,T Lulay,26,2,259
24,0,49,K Glenn,37,4,340
28,0,45,R Ray,38,3,386
11,0,60,B Mitchell,17,1,197
10,0,26,A Buckley,10,1,106
1,0,5,R Stanzi,2,0,5
14,1,21,Z Collaros,21,0,102
7,1,21,J Masoli,15,0,77
0,0,0,S Castillo,1,0,0
26,1,38,T Harris,37,2,266
27,2,70,M Reilly,38,2,384
18,0,41,D Durant,27,2,237
10,0,13,C Fajardo,16,0,75
8,0,12,J Matthews,12,0,67
21,1,29,Z Collaros,33,1,216
25,0,35,M Nichols,35,2,267
19,1,39,K Glenn,25,3,320
0,0,0,B Bridge,1,0,0
14,4,56,J Jennings,30,1,195
5,0,16,T Lulay,9,0,54
1,1,52,A Ross,3,0,52
32,0,35,M Nichols,40,1,390
20,1,72,M Reilly,33,2,356
9,0,45,Z Collaros,17,1,102
7,0,22,J Masoli,12,0,68
36,0,39,T Harris,48,2,394
26,2,28,J Jennings,38,1,240
15,1,51,B Mitchell,31,0,237
35,1,29,R Ray,43,4,377
14,1,13,D Durant,27,0,93
1,0,29,D Willy,1,0,29
31,2,38,D Durant,43,3,316
26,1,44,M Nichols,38,3,227
15,2,34,M Reilly,26,0,160
10,0,30,J Franklin,12,1,111
19,1,28,K Glenn,31,2,240
1,0,12,B Bridge,1,1,12
1,0,0,V Adams Jr,1,0,8
30,2,33,T Harris,45,1,326
18,1,42,T Lulay,23,2,202
10,1,52,J Jennings,17,0,137
31,1,38,B Mitchell,42,2,384
22,0,39,R Ray,34,0,220
12,1,56,D Durant,21,0,140
8,0,24,D Willy,11,0,98
32,1,42,T Harris,41,3,343
26,0,53,K Glenn,36,3,386
35,2,31,M Nichols,47,2,364
19,1,46,B Mitchell,27,0,277
34,2,41,M Reilly,53,2,320
19,1,64,J Masoli,33,1,219
34,1,24,R Ray,47,2,325
0,0,0,C Fajardo,1,0,0
22,0,49,J Jennings,29,2,295
1,0,11,J Johnson,1,0,11
20,0,37,D Durant,28,1,258
1,0,7,D Willy,2,0,7
24,0,23,M Nichols,37,0,282
15,2,88,K Glenn,22,2,327
4,1,41,B Bridge,8,0,67
18,0,31,T Harris,28,1,193
8,0,37,D Tate,13,1,114
17,0,37,J Masoli,31,0,231
37,1,67,M Reilly,47,1,461
21,2,48,B Mitchell,36,1,272
28,2,36,J Masoli,48,1,328
21,0,27,B Bridge,31,3,231
0,0,0,V Adams Jr,1,0,0
22,1,36,R Ray,32,1,224
1,0,2,C Fajardo,1,1,2
23,0,60,M Reilly,36,2,323
16,0,31,B Mitchell,31,2,240
15,3,33,J Jennings,29,0,167
0,0,0,A Ross,1,0,0
12,0,13,D Willy,17,0,83
0,0,0,D Durant,6,0,0
21,1,18,D Tate,29,1,185
7,1,20,R Lindley,14,0,76
23,1,75,M Nichols,34,2,319
1,0,42,D Davis,3,0,42
0,0,0,D LeFevour,1,0,0
16,1,15,R Lindley,36,0,151
22,0,58,J Jennings,33,0,345
23,0,31,J Masoli,35,2,226
18,0,45,R Ray,24,1,182
1,0,8,M Bethel Thompson,1,0,8
25,3,28,D Durant,38,0,231
12,1,35,K Glenn,19,0,127
6,0,38,B Bridge,7,1,91
24,0,25,B Mitchell,32,0,222
17,1,26,R Lindley,31,1,164
20,1,43,K Glenn,32,0,252
14,0,49,B Mitchell,19,2,265
5,0,14,A Buckley,7,0,43
13,0,27,D Willy,19,1,137
8,0,15,M Shiltz,10,0,75
18,0,58,J Masoli,31,2,288
25,1,31,R Ray,38,3,330
31,1,39,M Reilly,46,2,311
24,0,32,M Nichols,32,2,238
0,0,0,R Lankford,1,0,0
14,1,26,M Nichols,18,1,158
9,0,15,D Davis,14,0,84
1,0,44,D Adams,1,0,44
27,0,60,J Masoli,33,2,338
29,1,32,R Ray,39,2,341
20,0,75,B Bridge,28,2,292
3,0,17,K Glenn,8,0,29
26,1,58,J Jennings,40,3,375
28,0,70,T Harris,38,3,380
19,2,29,D Willy,29,0,193
13,1,56,M Reilly,29,2,286
2,0,25,J Franklin,5,1,34
24,1,33,J Masoli,41,0,326
19,1,41,B Mitchell,34,1,279
29,2,50,K Glenn,39,2,387
17,1,36,T Harris,33,2,262
1,0,8,B Maher,1,0,8
23,0,20,M Nichols,30,0,172
24,2,37,J Jennings,39,2,267
23,1,35,M Reilly,40,1,309
32,1,34,R Ray,43,1,362
1,0,2,C Fajardo,1,1,2
14,2,20,B Mitchell,27,0,136
1,0,4,A Buckley,4,0,4
10,2,27,B Bridge,19,0,133
1,0,19,K Glenn,3,0,19
32,1,55,R Ray,43,1,423
25,0,43,M Nichols,33,1,268
25,0,43,J Jennings,31,1,212
31,0,47,M Reilly,41,2,397
15,1,38,M Shiltz,22,0,167
8,1,19,D Durant,14,1,92
19,0,65,J Masoli,28,2,320
2,0,16,Z Collaros,3,0,24
1,0,14,E Golson,1,0,14
26,3,60,T Harris,38,2,313
1,0,39,D Tate,1,1,39
0,0,0,B Maher,1,0,0
32,0,42,J Masoli,46,4,438
10,1,28,B Bridge,15,0,124
7,0,49,K Glenn,14,2,104
9,1,43,D Durant,20,0,126
5,0,12,M Shiltz,13,1,47
7,0,42,D Davis,12,0,82
5,2,15,D LeFevour,12,0,42
3,0,18,M Nichols,7,0,30
30,1,53,J Jennings,40,4,408
18,0,77,M Reilly,27,3,284
24,0,38,B Mitchell,35,2,307
1,0,19,A Buckley,1,0,19
28,0,42,J Masoli,37,1,318
3,0,9,E Golson,3,0,11
7,3,39,M Shiltz,16,0,96
2,0,9,A Pipkin,9,0,14
13,1,32,A Buckley,18,0,120
3,2,28,R Stanzi,6,0,48
13,0,13,D LeFevour,17,0,91
12,0,28,B Bridge,18,1,162
5,0,19,K Glenn,10,0,63
0,0,0,V Adams Jr,1,0,0
21,0,45,M Reilly,27,0,294
19,3,15,J Jennings,31,0,145
3,0,13,A Ross,5,0,23
26,0,34,R Ray,34,3,341
1,0,2,M Bethel Thompson,1,0,2
37,2,56,T Harris,60,2,457
18,0,44,K Glenn,28,1,252
35,0,38,M Nichols,48,3,371
1,0,6,D LeFevour,1,0,6
23,0,43,M Reilly,33,3,334
28,1,32,R Ray,39,1,266
11,0,35,B Bridge,21,1,141
6,3,28,K Glenn,13,0,87
20,0,51,B Mitchell,32,1,228
23,0,69,M Reilly,38,1,348
19,0,100,R Ray,32,1,297
33,1,50,B Mitchell,45,2,373
