longest punt, name, punt yards, punts
63,Scott Kovanda,309,7
51,Will Atterberry,141,3
57,Kyle Brotzman,131,3
54,Jackson Rice,307,7
47,Nick Iovinelli,188,5
41,Will Goggans,190,5
47,Chris Hagerup,199,5
56,Mike Brandtner,197,4
53,Matt Rinehart,318,8
52,Jeff Ruiz,236,6
55,Spencer Lanning,250,6
41,Vaughn Charlton,41,1
39,Jeff Wathne,39,1
48,Sean Sellwood,187,4
54,Peter Caldwell,270,6
41,Alex Dunnachie,106,3
41,Ross Thevenot,143,4
47,Michael Such,94,2
24,GJ Kinne,24,1
46,Keil Bartholomew,87,2
44,Brandon Geyer,44,1
27,Ryan Wilbourn,41,2
36,Dylan Breeding,36,1
55,Keenyn Crier,123,3
47,Brett Hartmann,271,7
35,Dan LeFevour,35,1
47,Clinton Durst,82,2
49,Cade Glasgow,230,6
35,Trevor Hankins,69,2
51,Ryan Quigley,247,5
50,Bryan Anger,131,3
52,Ryan Theimer,52,1
38,Travis Baltz,213,6
44,Blake Clingan,196,5
51,Dawson Zimmerman,129,3
52,David DeFatta,269,7
46,Kevin Jones,192,5
51,Matt Dodge,220,5
60,Zach Johnson,281,6
48,Jonathan Bulls,288,7
41,Chas Henry,80,2
48,Andy Brown,302,8
43,Robert Malone,43,1
56,Chandler Anderson,102,2
52,Chase Turner,164,4
43,Anthony Santella,199,5
60,Jake Harry,148,3
38,Matt Grabner,38,1
56,Ryan Donahue,214,5
33,Alonso Rojas,58,2
46,Ryan Doerr,224,6
55,Spencer Ortego,108,2
44,Corey Goettsche,111,3
57,Aaron Bates,114,2
47,Chris DiCesare,369,10
54,Ryan Tydlacka,178,4
66,Zoltan Mesko,236,5
44,Ben Armer,239,6
40,Kase Whitehead,110,3
56,Heath Hutchins,98,2
52,Grant Schallock,123,3
43,Alex Henery,74,2
30,Keegan Peterson,88,3
50,Mickey Groody,50,1
50,Kyle Hughes,167,4
55,Bobby Cowan,197,4
36,Stefan Demos,36,1
43,Eric Maust,122,3
54,Brad Langley,233,5
53,Jon Majalap Thoma,89,2
49,Kyle Delahooke,131,3
49,Matt Schulte,322,8
56,Desi Cullen,237,6
52,Tress Way,311,7
50,Riley Stephenson,198,5
61,Quinn Sharp,350,7
75,Drew Butler,342,6
55,Johnny Hekker,137,3
53,Dan Hutchins,141,3
47,Jeremy Boone,86,2
35,Collin Wagner,35,1
48,John Stec,273,7
44,Chris Summers,78,2
53,Bill Claus,158,4
50,Delbert Alvarado,84,2
34,Peter Boehme,61,2
59,Robert Long,367,8
46,Dan Orseske,213,5
54,Jeremy Moore,403,9
53,John Gold,87,2
45,Scott Love,270,7
53,Ken Wood,174,4
46,Adam Miller,302,8
40,Donnie Carona,40,1
40,Trey Ragland,79,2
51,Kyle Martens,174,4
45,Jeff Locke,194,5
51,Brian Stahovich,358,8
53,Kyle Watson,135,3
45,Billy OMalley,208,6
52,Philip Zavala,521,12
55,Greg Hiett,127,3
46,Peter Fardon,162,5
42,Brett Upson,110,4
46,Jimmy Howell,273,7
57,Brent Bowden,365,8
53,PJ Fitzgerald,224,5
47,Shane Popham,70,2
48,Derek Epperson,86,2
59,Robert Griffin,59,1
53,Will Mahan,127,3
38,Derek Helton,128,4
64,Reid Forrest,286,6
47,David Green,133,3
45,Brad Nortman,66,2
47,Josh Wilber,189,5
55,Scott Kozlowski,95,2
57,Austin McCoy,265,6
52,Matt DiLallo,260,6
51,Pete Kontodiakos,221,5
57,Matt Reagan,309,7
53,Justin Sparks,239,6
49,Shawn Powell,158,4
48,Matt Bosher,165,4
54,Teddy Dellaganna,219,5
35,Jake Rogers,62,2
48,Chandler Anderson,220,6
37,Dawson Zimmerman,161,5
23,Richard Jackson,23,1
40,Bill Claus,68,2
43,Matt DiLallo,99,3
24,John Stec,24,1
45,PJ Fitzgerald,129,3
54,Carlos Munera,379,8
45,Jonathan Bulls,233,6
46,Kevin Jones,254,7
45,Clinton Durst,144,4
49,Heath Hutchins,271,6
52,Scott Kovanda,244,6
45,Ryan Quigley,243,6
51,Matt Rinehart,386,10
50,Kyle Brotzman,141,3
48,Brad Elkin,87,2
56,Chris DiCesare,291,7
47,Peter Fardon,104,3
53,Dan Hutchins,238,5
52,Bryan Anger,94,2
45,Patrick ODonnell,138,4
59,Desi Cullen,331,7
45,Grant Schallock,244,6
49,Pete Kontodiakos,161,4
42,Chas Henry,114,3
55,Will Goggans,398,9
64,Shawn Powell,265,6
37,Drew Butler,37,1
46,Spencer Lanning,85,2
43,Anthony Santella,59,2
48,Chris Hagerup,212,5
40,Ben Armer,211,6
45,Mike Brandtner,162,5
57,Ryan Donahue,156,4
50,Spencer Ortego,274,7
50,Ryan Doerr,204,5
36,DJ Fulhage,36,1
66,Scott Love,215,5
50,Derek Helton,160,4
48,Brett Upson,305,8
50,Travis Baltz,295,7
57,Aaron Bates,228,5
43,Brett Hartmann,117,3
40,Zoltan Mesko,130,4
50,Tate Forcier,50,1
46,Eric Maust,161,5
53,Dan Orseske,188,4
46,Brandon Geyer,158,4
69,Jake Harry,318,7
48,Nick Iovinelli,336,9
52,David DeFatta,276,7
51,Matt Reagan,416,10
49,Kyle Delahooke,143,3
54,Cade Glasgow,208,6
41,Jeff Ruiz,75,2
49,Alex Henery,128,3
57,Ryan Wilbourn,225,5
45,Josh Wilber,84,2
49,Kyle Hughes,148,4
51,Adam Miller,345,8
56,Michael Such,292,6
37,Stefan Demos,106,3
53,Zach Johnson,160,4
49,Will Atterberry,242,6
48,Matt Schulte,254,7
46,Jon Majalap Thoma,232,6
41,Billy OMalley,188,5
58,Tress Way,171,4
58,Quinn Sharp,98,2
48,Chase Turner,127,3
15,Case Keenum,15,1
55,Jackson Rice,239,6
55,Chris Summers,264,6
19,Carson Wiggs,19,1
55,Jeremy Boone,150,3
55,Robert Long,209,5
23,Ryan Lichtenstein,23,1
50,Teddy Dellaganna,141,3
50,Brian Stahovich,91,2
55,Philip Zavala,340,9
56,Sean Sellwood,94,2
36,Peter Boehme,164,5
46,Blake Clingan,259,7
57,Chad Cunningham,149,3
64,Jeff Locke,188,4
45,Ross Thevenot,185,5
36,Donnie Carona,36,1
45,Kyle Martens,152,4
48,Trey Ragland,254,6
60,Matt Szymanski,308,7
40,Kyle Watson,110,3
52,Johnny Hekker,173,4
57,Greg Hiett,443,10
38,Alonso Rojas,75,2
51,Jimmy Howell,301,7
43,Anson Kelton,231,6
54,Brent Bowden,139,3
54,Kase Whitehead,420,10
49,Shane Popham,166,4
49,David Green,158,4
50,Will Mahan,97,2
45,Bobby Cowan,118,3
62,Reid Forrest,184,4
37,Alex Dunnachie,121,4
58,Brad Nortman,285,6
59,Robert Malone,189,4
48,Jeremy Moore,164,4
51,Delbert Alvarado,89,2
63,Scott Kozlowski,193,4
53,Matt Dodge,333,7
59,Austin McCoy,472,11
44,Justin Tucker,122,3
51,John Gold,100,2
41,Matt Bosher,41,1
63,Chandler Anderson,137,3
53,Robert Malone,180,4
51,Kyle Brotzman,143,3
42,John Stec,125,3
48,Zack Campbell,83,2
47,Chris Hagerup,93,2
49,PJ Fitzgerald,49,1
52,Will Atterberry,379,9
50,Dylan Breeding,261,7
64,Drew Butler,221,4
65,Jonathan Bulls,303,7
56,Scott Kovanda,172,4
50,Clinton Durst,220,5
52,Scott Kozlowski,99,2
57,Trevor Hankins,231,5
53,Scott Love,263,7
56,Derek Epperson,279,6
55,Desi Cullen,215,5
43,Riley Stephenson,43,1
38,Shawn Powell,38,1
43,Blake Clingan,62,2
43,Peter Fardon,77,2
55,Dawson Zimmerman,224,5
55,Ryan Quigley,391,10
54,Brett Hartmann,128,3
57,Matt DiLallo,286,6
51,Austin McCoy,351,9
76,Pete Kontodiakos,283,6
41,Brad Langley,108,3
55,Chas Henry,55,1
44,Chad Cunningham,118,3
55,Bobby Cowan,95,2
51,Brian Stahovich,139,3
62,Ryan Donahue,255,5
51,Keenyn Crier,229,6
47,Alonso Rojas,199,5
57,Kevin Jones,252,6
53,Matt Rinehart,334,9
59,Mike Brandtner,324,7
36,Ryan Tydlacka,103,3
47,Corey Goettsche,87,2
48,Derek Helton,132,3
44,Spencer Ortego,158,4
54,Cade Glasgow,92,2
47,Travis Baltz,203,5
47,David DeFatta,281,8
59,Zoltan Mesko,182,4
54,Zach Johnson,297,7
54,Blake Haudan,295,7
60,Bryan Anger,250,6
41,Justin Sparks,142,5
48,Jake Harry,120,3
50,Kase Whitehead,162,5
23,Craig Ratanamorn,23,1
47,Nick Iovinelli,194,5
38,Grant Schallock,124,3
58,Matt Dodge,293,6
45,Kyle Hughes,45,1
45,Greg Hiett,80,2
49,Kyle Peterson,49,1
53,Adam Miller,164,4
43,Brandon Geyer,43,1
49,Eric Maust,124,3
52,Aaron Bates,135,3
50,Matt Schulte,94,2
57,Tress Way,127,3
45,Michael Such,246,6
38,GJ Kinne,38,1
61,Quinn Sharp,158,3
63,Kyle Martens,196,4
49,John Shepherd,79,2
48,Jackson Rice,236,6
48,Sean Sellwood,312,8
55,Johnny Hekker,285,7
50,Patrick ODonnell,127,3
44,Jake Rogers,91,3
41,Dan Hutchins,116,4
63,Kyle Delahooke,180,4
51,Jeremy Boone,191,4
42,Jeff Wathne,217,6
53,Chris Summers,285,6
42,Josh Wilber,178,5
53,Mike Salerno,102,2
51,Teddy Dellaganna,215,5
54,Carlos Munera,268,7
47,Spencer Lanning,133,3
48,Mickey Groody,166,4
42,Andy Brown,214,7
48,Peter Boehme,177,5
52,Jimmy Howell,229,5
49,David Green,49,1
44,Daniel Zychlinski,44,1
61,Philip Zavala,324,7
53,Robert Long,236,5
40,Stefan Demos,212,6
47,Anson Kelton,120,3
50,Justin Tucker,194,5
46,Ryan Erxleben,154,4
38,Donnie Carona,38,1
45,Bill Claus,407,11
51,Ben Buchanan,171,4
63,Will Goggans,154,3
56,Trey Ragland,275,6
55,Ken Wood,218,5
50,Peter Caldwell,281,7
59,Jeff Locke,141,3
53,Ryan Doerr,173,4
29,DJ Fulhage,29,1
46,Kyle Watson,89,2
39,Alex Dunnachie,39,1
65,Brett Upson,473,11
46,Heath Hutchins,321,8
59,Brent Bowden,375,8
76,Alex Henery,249,6
40,Shane Popham,182,5
52,Will Mahan,266,7
53,Billy OMalley,164,4
50,Reid Forrest,303,7
60,Matt Szymanski,224,5
54,Brad Nortman,90,2
50,Jeremy Moore,230,5
40,Ben Armer,114,3
51,Chris DiCesare,197,5
54,Spencer Lanning,300,7
47,Tyler Campbell,217,5
44,Brad Langley,222,6
61,Jake Harry,136,3
52,Brandon Geyer,319,7
57,Brian Stahovich,315,6
52,Ryan Wilbourn,163,5
43,Will Goggans,105,3
51,PJ Fitzgerald,288,7
52,Dylan Breeding,358,9
50,Clinton Durst,87,2
50,Scott Kovanda,165,4
53,Derek Epperson,53,1
58,Ryan Quigley,260,6
44,Shane Popham,159,4
42,Nick Iovinelli,219,6
49,Kyle Brotzman,84,2
33,Brad Elkin,61,2
57,Riley Stephenson,204,4
52,Pete Kontodiakos,172,4
54,Jake Rogers,134,3
53,Robert Malone,100,2
48,Dawson Zimmerman,195,5
49,Anson Kelton,191,6
16,Brett Hartmann,16,1
49,John Stec,124,3
45,Zack Campbell,83,2
48,Desi Cullen,139,3
59,Kevin Jones,145,3
40,Matt Dodge,102,3
42,Blake Clingan,74,2
46,Mickey Groody,179,5
56,Scott Love,224,5
60,Carlos Munera,315,7
40,Aaron Opelt,96,3
47,Ryan Casano,47,1
38,Bill Claus,38,1
41,Shawn Powell,222,6
57,Delbert Alvarado,302,7
53,Drew Butler,201,5
69,Trevor Hankins,293,7
49,Chandler Anderson,140,3
55,Grant Schallock,236,5
49,Chase Turner,157,4
54,Ryan Erxleben,232,5
64,Mike Brandtner,239,5
51,Jonathan Bulls,305,8
52,Alonso Rojas,199,5
62,Peter Boehme,228,5
46,Matt Rinehart,179,5
29,Chris DiCesare,29,1
52,Ryan Tydlacka,322,8
45,Chas Henry,135,4
42,Nick Ferrara,101,3
29,Ted Townsley,29,1
51,Teddy Dellaganna,203,5
65,Matt Reagan,321,6
45,Kase Whitehead,215,6
59,Zoltan Mesko,337,7
46,Chris Hagerup,222,6
52,Heath Hutchins,205,5
59,Derek Helton,267,6
34,Josh Jasper,34,1
48,Jeremy Moore,96,2
46,Jeff Ruiz,137,3
54,Dan Hutchins,273,6
55,Alex Henery,137,3
53,Spencer Ortego,345,8
57,Josh Wilber,99,2
0,Bobby Cowan,0,0
64,Adam Miller,237,5
60,Kyle Hughes,267,5
44,Stefan Demos,163,4
44,Blake Haudan,161,4
51,Will Atterberry,305,7
