kickoff return yards, kickoff returns, longest kickoff return, name
48,2,26,Dante Love
7,1,7,Jason Sieman
110,6,22,Trumaine Riley
31,2,24,Gary Rice
7,0,7,James Starks
31,2,20,Jason Harper
40,3,16,Jemmy Jasmin
8,1,8,Obed Cetoute
88,5,22,DeJuan Tribble
11,1,11,Steve Brouse
35,2,21,Drenard Williams
14,1,14,Ryan Kock
-1,1,0,DeAndre Jackson
81,3,38,Richard Davis
18,1,18,Steve Odom
98,6,24,Shawn Bayes
45,2,25,Calvin Dawson
53,3,21,Andre Bratton
36,2,20,Sherrick McManis
47,2,28,Derek Pegues
20,1,20,DeMarco McNair
19,1,0,John Houston Widdon
12,1,0,John Ellis
19,1,19,Tonny Glenn
1,1,1,AJ Harris
25,1,25,Coye Francies
15,1,15,Slade Norris
47,3,19,Tyler Campbell
37,3,13,Justin Amaral
85,4,29,Johnnie Lee Higgins
22,1,22,Courtney Tennial
13,1,13,Donnie Johnson
48,3,21,Joe Fernandez
21,1,21,Robert Hubbard
16,1,0,Dwayne Sanders
18,1,18,Darren Toney
19,1,19,Anton McDuffie
14,1,14,Ricky Lay
0,1,0,Chase McCoy
87,4,31,Javier Arenas
122,4,48,Ross Dickerson
21,1,21,Kenny Patton
18,1,18,Peyton Hillis
50,3,21,Cary Harris
44,2,22,Syndric Steptoe
19,1,19,Curtis Brown
6,1,6,Corby Hodgkiss
67,2,37,Tristan Davis
46,2,24,Derrell Hutsona
18,1,18,Vincent Corner
15,1,15,Tarell Lewis
12,1,12,Dan Macon
43,2,24,Jarvis Minton
59,2,36,Jason Venson
33,1,33,Dominick Goodman
44,2,24,Jacoby Ford
17,1,17,CJ Spiller
70,4,23,Avery Holley
20,1,20,Willie Floyd
20,1,20,Frantz Simeon
81,5,26,Stephone Robinson
21,1,21,Thaddeus Washington
48,1,48,Damon Morton
19,1,15,Robert Herbert
57,3,24,Jabari Marshall
9,1,9,Jemalle Cornelius
59,4,22,Brandon Sumrall
13,1,13,Anthony Perine
7,0,7,Ladarius Webb
35,1,35,Asher Allen
32,1,32,Thomas Brown
11,1,11,Kregg Lumpkin
18,1,18,Rashaun Grant
17,1,17,Chris Dunlap
46,1,46,David Grimes
33,1,33,George West
58,3,23,EB Halsey
21,1,21,Pierre Thomas
18,2,11,Lance Bennett
14,1,14,Jahkeen Gilmore
10,1,10,Josiah Sears
71,2,44,Brandon West
22,1,22,Anthony Gebhart
14,2,7,Keith Schultz
60,2,37,Shonn Greene
159,4,88,Marcus Herford
113,4,41,Yamon Figurs
27,2,15,Early Doucet
44,3,17,Deon Wallace
31,2,20,Jason Chery
17,1,17,Danny Oquendo
11,1,11,Tim Cesa
7,1,7,Joey Haynos
