average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
5.000,,5,Domenik Hixon,0,1
0.000,,1,Dez Bryant,0,2
3.000,,3,Dwayne Harris,0,1
23.000,,23,Devin Hester,0,1
6.000,,8,LaVon Brazill,0,2
13.000,,23,Josh Cribbs,0,6
6.000,,6,Damaris Johnson,0,1
0.000,,0,Darius Reynaud,0,0
9.000,,14,Julian Edelman,0,3
14.000,,14,Javier Arenas,0,1
0.000,,0,Dominique Franks,0,0
11.000,,15,Marcus Sherels,0,2
2.000,,4,Maurice Jones Drew,0,2
8.000,,9,Mike Thomas,0,2
7.000,,9,Darren Sproles,0,2
8.000,,20,Brandon Banks,0,4
68.000,,68,Jeremy Kerley,1,1
27.000,,27,Leodis McKelvin,0,1
10.000,,21,Stefan Logan,0,5
6.000,,6,Danny Amendola,0,1
14.000,,14,Trindon Holliday,0,1
38.000,,72,Marcus Thigpen,1,2
26.000,,75,Randall Cobb,1,3
20.000,,20,Kyle Williams,0,1
9.000,,17,Patrick Peterson,0,4
17.000,,52,Leon Washington,0,3
-1.000,,-1,Brandon Browner,0,1
0.000,,0,Preston Parker,0,1
0.000,,0,Sammie Stroughter,0,0
9.000,,21,Joe Adams,0,3
11.000,,12,Jim Leonhard,0,2
11.000,,23,Antonio Brown,0,2
9.000,,9,Jacoby Jones,0,1
9.000,,9,Lardarius Webb,0,1
9.000,,14,Brandon Tate,0,2
15.000,,15,Phillip Adams,0,1
9.000,,14,Eddie Royal,0,2
16.000,,16,Randall Cobb,0,1
0.000,,0,Sam Shields,0,1
4.000,,7,Devin Hester,0,2
32.000,,88,Leodis McKelvin,1,3
13.000,,23,Javier Arenas,0,3
21.000,,21,Steve Breaston,0,1
30.000,,81,Adam Jones,1,3
9.000,,9,Josh Cribbs,0,1
11.000,,11,TY Hilton,0,1
10.000,,14,Marcus Sherels,0,5
14.000,,14,Joe Adams,0,1
15.000,,16,Darren Sproles,0,2
10.000,,18,Mike Thomas,0,3
12.000,,36,Trindon Holliday,0,6
14.000,,21,Marcus Thigpen,0,5
11.000,,11,Davone Bess,0,1
11.000,,47,Phillip Adams,0,5
12.000,,22,Julian Edelman,0,2
0.000,,0,Wes Welker,0,0
3.000,,3,Patrick Peterson,0,1
11.000,,12,Rueben Randle,0,2
8.000,,13,Sammie Stroughter,0,2
3.000,,4,Damaris Johnson,0,3
11.000,,18,Jacoby Jones,0,3
0.000,,0,Lardarius Webb,0,0
7.000,,22,Danny Amendola,0,4
-3.000,,-3,Brandon Banks,0,1
7.000,,7,Leon Washington,0,1
1.000,,2,Dez Bryant,0,2
10.000,,10,Antonio Brown,0,1
13.000,,13,Chris Rainey,0,1
2.000,,3,Jeremy Kerley,0,3
1.000,,1,Eddie Royal,0,1
0.000,,0,Micheal Spurlock,0,0
10.000,,16,Darius Reynaud,0,3
8.000,,8,Kyle Williams,0,1
10.000,,10,Stefan Logan,0,1
-2.000,,-2,Dominique Franks,0,1
1.000,,2,Jim Leonhard,0,2
9.000,,9,Eric Decker,0,1
0.000,,0,Joe Adams,0,1
6.000,,6,Rueben Randle,0,1
13.000,,19,Devin Hester,0,3
10.000,,17,Danny Amendola,0,2
14.000,,27,Josh Cribbs,0,3
26.000,,33,Leodis McKelvin,0,2
14.000,,44,Dez Bryant,0,3
0.000,,0,Dwayne Harris,0,0
3.000,,9,Jordan Shipley,0,3
4.000,,8,Marcus Thigpen,0,2
10.000,,10,Davone Bess,0,1
15.000,,18,Jeremy Kerley,0,3
0.000,,0,Marcus Sherels,0,0
12.000,,16,Kyle Williams,0,2
2.000,,2,Darren Sproles,0,1
13.000,,24,Javier Arenas,0,3
-1.000,,-1,Brandon Banks,0,1
4.000,,8,Adam Jones,0,2
8.000,,14,Brandon Tate,0,2
2.000,,6,Darius Reynaud,0,3
0.000,,65,Tommie Campbell,1,0
0.000,,0,Stefan Logan,0,0
7.000,,14,TY Hilton,0,4
2.000,,4,Mike Thomas,0,3
10.000,,17,Patrick Peterson,0,5
8.000,,12,Damaris Johnson,0,2
3.000,,3,Eddie Royal,0,1
8.000,,8,Micheal Spurlock,0,1
17.000,,22,Dominique Franks,0,2
5.000,,13,Jim Leonhard,0,3
13.000,,13,Eric Decker,0,1
4.000,,13,Trindon Holliday,0,4
5.000,,5,Phillip Adams,0,1
11.000,,22,Antonio Brown,0,2
9.000,,19,Jacoby Jones,0,2
0.000,,0,Lardarius Webb,0,0
11.000,,11,Julian Edelman,0,1
2.000,,6,Leon Washington,0,2
4.000,,6,Randall Cobb,0,3
0.000,,0,Jacoby Jones,0,1
0.000,,0,Lardarius Webb,0,0
40.000,,40,Travis Benjamin,0,1
14.000,,14,Josh Cribbs,0,1
8.000,,18,Dominique Franks,0,2
7.000,,20,Captain Munnerlyn,0,3
0.000,,0,Leodis McKelvin,0,0
14.000,,14,Wes Welker,0,1
11.000,,27,Stefan Logan,0,3
77.000,,77,Marcus Sherels,1,1
13.000,,18,Javier Arenas,0,3
0.000,,0,Eddie Royal,0,1
18.000,,18,Danny Amendola,0,1
0.000,,4,Leon Washington,0,2
10.000,,20,Ted Ginn,0,4
8.000,,11,Trindon Holliday,0,4
3.000,,10,Darius Reynaud,0,3
4.000,,8,Patrick Peterson,0,4
9.000,,9,Davone Bess,0,1
0.000,,0,Marcus Thigpen,0,1
11.000,,19,Brandon Tate,0,3
8.000,,16,Jim Leonhard,0,5
0.000,,0,Randall Cobb,0,0
4.000,,4,Darren Sproles,0,1
9.000,,13,Roscoe Parrish,0,4
5.000,,19,Brandon Banks,0,3
3.000,,3,Damaris Johnson,0,1
9.000,,18,Rueben Randle,0,3
0.000,,0,Dwayne Harris,0,0
8.000,,8,Devin Hester,0,1
7.000,,13,Janoris Jenkins,0,3
14.000,,14,Danny Amendola,0,1
15.000,,26,Patrick Peterson,0,5
12.000,,15,Adam Jones,0,2
