extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
3,3,3,4,47,S Whyte
2,2,4,5,46,P McCallum
1,1,3,3,42,J Medlock
2,2,2,2,39,J Palardy
1,1,1,4,17,R Maver
2,2,3,3,43,N Prefontaine
3,3,2,2,43,E Johnson
5,5,2,2,48,D Duval
1,1,4,6,40,J Palardy
1,1,3,3,44,N Prefontaine
2,2,2,3,35,P McCallum
4,4,2,2,50,R Paredes
3,3,1,1,15,E Johnson
5,5,1,1,21,S Whyte
3,3,2,3,41,D Duval
1,1,1,1,42,J Medlock
2,2,1,3,34,J Palardy
2,2,2,3,37,R Paredes
4,4,4,4,25,S Whyte
2,2,1,1,24,N Prefontaine
3,3,4,4,43,J Medlock
0,0,1,1,50,E Johnson
3,3,3,5,35,D Duval
2,2,1,1,45,P McCallum
4,4,1,1,36,P McCallum
5,5,1,2,55,J Medlock
3,3,1,2,30,N Prefontaine
3,3,4,5,37,J Palardy
1,1,1,3,46,R Paredes
2,2,3,3,48,D Duval
3,3,1,1,40,S Whyte
2,2,4,5,45,E Johnson
1,1,4,4,41,J Palardy
1,1,4,4,46,P McCallum
3,3,3,4,49,J Medlock
2,2,4,4,44,S Whyte
3,3,1,1,24,D Duval
3,3,1,2,35,G Shaw
2,2,1,2,20,E Johnson
1,1,4,5,45,R Paredes
2,2,3,3,43,G Shaw
4,4,2,2,48,S Whyte
3,3,1,3,33,J Palardy
1,1,2,2,37,D Duval
2,2,3,3,33,P McCallum
1,1,1,3,42,E Johnson
3,3,3,4,35,R Paredes
2,2,2,2,52,J Medlock
2,2,4,4,47,S Whyte
0,0,1,2,39,D Duval
5,5,0,0,0,C Milo
6,6,1,1,26,R Paredes
4,4,3,3,50,J Medlock
4,4,1,2,19,N Prefontaine
2,2,1,1,20,P McCallum
3,3,3,3,43,J Palardy
2,2,3,3,47,N Prefontaine
2,2,1,3,38,C Milo
0,0,0,1,0,D Duval
4,4,2,2,37,P McCallum
3,3,3,3,27,J Palardy
3,3,2,3,39,J Medlock
4,4,3,3,46,R Paredes
3,3,3,3,43,S Whyte
1,1,3,4,36,N Prefontaine
2,2,5,5,46,P McCallum
3,3,2,2,27,C Milo
0,0,2,3,39,J Palardy
5,5,3,3,48,J Medlock
2,2,2,3,20,S Whyte
1,1,0,0,0,R Paredes
3,3,4,4,46,D Schiavone
0,0,0,1,0,D Duval
1,1,4,5,45,D Schiavone
2,2,5,6,46,R Paredes
2,2,4,4,39,P McCallum
0,0,2,3,21,N Prefontaine
5,5,2,3,30,S Whyte
0,0,4,5,57,J Medlock
2,2,3,3,46,J Palardy
6,6,1,2,12,C Milo
2,2,3,3,45,J Medlock
4,4,3,4,27,D Schiavone
3,3,3,3,30,C Milo
1,1,4,4,41,N Prefontaine
1,1,2,2,41,R Paredes
4,4,1,1,48,P McCallum
1,1,3,3,39,S Whyte
3,3,1,1,46,J Palardy
1,1,2,3,41,D Schiavone
3,3,3,4,42,S Whyte
0,0,1,1,29,C Milo
4,4,4,4,38,P McCallum
3,3,0,1,0,N Prefontaine
3,3,1,1,39,J Palardy
7,7,2,2,34,J Medlock
3,3,0,1,0,R Paredes
2,2,2,2,36,J Palardy
4,4,1,2,27,S Whyte
4,4,1,1,23,P McCallum
1,1,2,3,32,D Duval
5,5,1,2,40,R Paredes
0,0,1,1,42,C Milo
0,0,4,4,44,N Prefontaine
3,3,2,2,37,J Medlock
2,2,1,1,27,J Medlock
4,4,1,2,49,J Palardy
3,3,4,5,53,P McCallum
3,3,1,2,36,R Paredes
3,3,2,2,33,S Whyte
1,1,4,5,48,N Prefontaine
1,1,2,3,32,D Duval
4,4,1,1,18,N Prefontaine
2,2,5,5,40,R Paredes
3,3,1,3,39,D Duval
1,1,1,1,11,J Palardy
2,2,4,5,45,S Whyte
1,1,4,6,43,J Medlock
0,0,6,7,49,C Milo
2,2,5,5,51,P McCallum
3,3,1,2,21,N Prefontaine
3,3,2,2,39,D Duval
3,3,1,2,37,R Paredes
1,1,2,2,32,C Milo
2,2,1,3,15,J Palardy
1,1,6,6,37,S Whyte
3,3,7,7,48,J Medlock
1,1,1,1,21,P McCallum
1,1,5,5,42,J Palardy
3,3,2,3,37,N Prefontaine
1,1,3,3,40,C Milo
0,0,1,1,47,J Medlock
3,3,2,2,36,P McCallum
2,2,2,3,21,D Duval
3,3,0,0,0,S Whyte
4,4,1,1,41,R Paredes
3,3,4,4,51,N Prefontaine
1,1,3,3,34,J Medlock
2,2,3,3,36,D Schiavone
2,2,2,2,46,C Milo
3,3,3,3,47,R Paredes
3,3,1,2,39,J Palardy
4,4,5,5,38,P McCallum
0,0,0,1,0,S Whyte
5,5,3,3,49,S Whyte
5,5,3,4,49,J Medlock
4,4,1,2,38,D Schiavone
1,1,3,3,52,R Paredes
1,1,2,2,37,J Palardy
0,0,1,1,18,J Medlock
4,4,4,4,44,P McCallum
2,2,3,3,41,D Schiavone
3,3,4,5,34,P McCallum
2,2,3,3,33,J Palardy
