assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
0,3,4,0,10,10,0,0,Tommy Wingels,57,0,0,0,C,0,15,0,1
0,,,0,18,18,0,0,Justin Braun,61,0,0,0,D,0,29,0,2
0,,,0,12,11,0,0,Melker Karlsson,68,0,0,0,C,0,19,0,0
0,,,0,10,10,0,0,Matt Nieto,83,0,0,0,LW,0,15,0,3
0,,,1,22,19,2,0,Brent Burns,88,0,1,1,D,0,30,0,2
0,0,2,0,15,13,1,0,Mikkel Boedker,89,0,1,0,LW,0,20,0,2
0,,,0,0,0,0,0,Anders Nilsson,31,0,,0,G,0,,0,0
0,,,0,57,45,8,4,Robin Lehner,40,0,,0,G,0,,0,0
0,,,0,18,16,0,0,Josh Gorges,4,4,-2,0,D,0,28,0,1
0,,,0,18,14,3,0,Cody Franson,6,0,-1,0,D,0,24,0,1
0,0,2,0,12,9,1,1,Evander Kane,9,0,0,0,LW,0,14,0,3
0,1,0,0,15,9,4,1,Brian Gionta,12,0,-1,0,RW,0,18,0,0
0,3,7,0,17,14,1,1,Johan Larsson,22,0,-1,0,C,0,24,0,1
1,4,7,0,21,15,5,0,Sam Reinhart,23,0,-1,1,C,0,23,0,3
0,,,1,11,7,3,0,Matt Moulson,26,0,-1,1,LW,1,17,0,4
0,9,9,0,13,9,3,1,Derek Grant,27,0,-1,0,C,0,19,0,0
0,5,6,0,11,11,0,0,Zemgus Girgensons,28,0,-1,0,C,0,18,0,1
0,,,0,22,15,4,2,Jake McCabe,29,0,-1,0,D,0,30,0,0
0,,,0,11,11,0,0,Casey Nelson,34,0,-1,0,D,0,18,0,0
0,,,0,11,10,0,0,Nicolas Deslauriers,44,0,-1,0,LW,0,14,0,4
0,1,0,0,22,19,0,1,Zach Bogosian,47,0,-1,0,D,0,29,0,3
0,,,0,10,9,0,0,Hudson Fasching,52,0,-1,0,RW,0,15,0,1
1,,,0,23,14,6,2,Rasmus Ristolainen,55,0,-2,1,D,0,31,0,5
0,,,0,17,11,5,0,Tyler Ennis,63,0,-2,0,LW,0,20,0,2
0,,,0,14,13,0,0,Marcus Foligno,82,2,-1,0,LW,0,23,0,1
0,2,9,0,22,16,5,1,Ryan O'Reilly,90,0,-1,0,C,0,24,0,1
0,,,0,60,46,7,6,Henrik Lundqvist,30,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Antti Raanta,32,0,,0,G,0,,0,0
0,,,0,17,14,2,0,Adam Clendening,4,0,0,0,D,0,23,0,2
0,,,0,17,14,0,2,Daniel Girardi,5,0,0,0,D,0,30,0,1
0,2,3,1,17,14,0,2,JT Miller,10,0,1,1,C,0,24,0,4
1,5,3,0,17,15,0,1,Kevin Hayes,13,0,2,1,RW,0,25,0,0
0,,,0,20,17,0,3,Marc Staal,18,0,0,0,D,0,31,0,0
1,,,0,12,9,0,2,Jesper Fast,19,0,2,1,RW,0,21,0,2
1,,,1,16,11,4,0,Chris Kreider,20,2,-1,2,LW,0,26,0,7
0,10,11,0,16,11,2,1,Derek Stepan,21,0,-1,0,C,0,26,0,5
1,,,0,21,17,1,3,Nick Holden,22,0,1,1,D,0,32,0,1
0,,,0,13,10,2,0,Jimmy Vesey,26,0,0,0,LW,0,18,0,0
0,,,0,23,15,4,2,Ryan McDonagh,27,0,0,0,D,0,34,0,2
0,1,1,1,17,15,2,0,Mats Zuccarello,36,0,0,1,RW,0,24,0,2
0,,,1,10,9,0,1,Michael Grabner,40,0,0,1,RW,0,20,0,1
0,,,0,16,12,1,1,Rick Nash,61,0,0,0,LW,0,26,0,3
1,3,0,1,10,6,3,0,Brandon Pirri,73,0,1,2,C,1,16,0,2
1,,,0,14,13,0,0,Brady Skjei,76,2,1,1,D,0,22,0,1
1,,,0,13,8,4,0,Pavel Buchnevich,89,2,-1,1,LW,0,23,0,3
2,10,15,0,17,12,4,0,Mika Zibanejad,93,0,0,2,C,0,29,0,3
0,,,0,0,0,0,0,Mike Condon,1,0,,0,G,0,,0,0
0,,,0,65,58,1,5,Marc Andre Fleury,29,0,,0,G,0,,0,0
0,,,0,15,15,0,0,Olli Maatta,3,0,-2,0,D,0,26,0,0
0,,,0,15,15,0,0,Justin Schultz,4,2,0,0,D,0,21,0,0
0,,,0,19,16,0,3,Trevor Daley,6,0,-2,0,D,0,30,0,0
0,9,9,0,18,15,0,3,Matt Cullen,7,0,-1,0,C,0,28,0,1
0,,,0,25,24,0,1,Brian Dumoulin,8,0,1,0,D,0,30,0,1
0,11,13,0,22,19,1,1,Nick Bonino,13,0,0,0,C,0,33,0,3
0,1,0,0,15,15,0,0,Chris Kunitz,14,0,-1,0,LW,0,21,0,4
0,3,1,0,13,9,0,3,Eric Fehr,16,0,-1,0,C,0,18,0,2
0,,,0,13,13,0,0,Scott Wilson,23,0,-1,0,LW,0,18,0,1
0,,,0,3,3,0,0,Tom Sestito,25,5,0,0,LW,0,8,0,1
0,,,0,16,13,0,3,Ian Cole,28,0,0,0,D,0,20,0,1
0,,,0,7,7,0,0,Tom Kuhnhackl,34,2,-1,0,RW,0,12,0,0
1,,,0,13,13,0,0,Conor Sheary,43,0,1,1,LW,0,19,0,1
1,,,0,30,26,1,1,Kris Letang,58,0,1,1,D,0,32,0,4
0,,,0,19,18,0,1,Carl Hagelin,62,0,0,0,LW,0,28,0,1
1,17,5,1,21,19,1,0,Evgeni Malkin,71,2,0,2,C,0,30,0,3
0,,,1,15,13,1,0,Patric Hornqvist,72,0,1,1,RW,1,22,0,4
0,,,0,20,18,1,0,Phil Kessel,81,0,0,0,RW,0,29,0,3
0,,,0,0,0,0,0,Curtis McElhinney,30,0,,0,G,0,,0,0
0,,,0,58,49,4,4,Sergei Bobrovsky,72,0,,0,G,0,,0,0
1,,,1,23,20,0,2,Seth Jones,3,0,-1,2,D,0,28,0,2
0,,,0,18,16,0,2,Jack Johnson,7,0,-2,0,D,0,23,0,2
1,,,0,20,17,3,0,Zach Werenski,8,0,-1,1,D,0,26,0,5
1,10,4,1,16,13,2,0,Alexander Wennberg,10,0,0,2,C,0,21,0,3
0,,,0,14,12,0,2,Matt Calvert,11,0,-2,0,LW,0,21,0,1
0,,,1,18,15,2,0,Cam Atkinson,13,0,-4,1,RW,1,24,0,4
0,10,15,0,17,16,0,0,Brandon Dubinsky,17,2,-5,0,C,0,23,0,2
1,,,0,15,13,1,0,Brandon Saad,20,0,2,1,LW,0,22,0,2
0,8,5,0,11,10,0,1,William Karlsson,25,0,0,0,C,0,20,0,3
0,,,0,19,16,0,1,Ryan Murray,27,0,-2,0,D,0,26,0,2
0,,,0,14,11,2,0,Oliver Bjorkstrand,28,0,-1,0,RW,0,18,0,1
0,,,0,10,10,0,0,Josh Anderson,34,2,0,0,RW,0,18,0,0
0,0,1,0,17,15,1,0,Boone Jenner,38,2,-4,0,C,0,22,0,2
0,,,0,13,11,1,0,Scott Hartnell,43,0,-1,0,LW,0,17,0,1
0,,,0,19,17,0,1,David Savard,58,0,-1,0,D,0,26,0,0
0,,,0,13,13,0,0,Markus Nutivaara,65,0,-1,0,D,0,18,0,0
2,2,0,0,16,13,2,1,Nick Foligno,71,0,0,2,LW,0,22,0,0
0,5,5,0,12,10,1,0,Sam Gagner,89,0,1,0,C,0,16,0,1
0,,,0,59,49,7,2,Ben Bishop,30,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Andrei Vasilevskiy,88,0,,0,G,0,,0,0
0,,,0,17,17,0,0,Jason Garrison,5,2,-1,0,D,0,23,0,1
0,,,0,23,19,3,0,Anton Stralman,6,0,2,0,D,0,27,0,0
0,9,14,1,19,14,3,0,Tyler Johnson,9,0,0,1,C,1,24,0,2
0,3,4,1,11,9,0,1,Brian Boyle,11,0,1,1,C,0,16,0,1
1,,,1,10,9,0,0,Cedric Paquette,13,0,1,2,C,0,16,0,3
1,,,1,20,15,3,1,Alex Killorn,17,0,0,2,LW,1,26,0,3
1,,,0,15,11,3,0,Ondrej Palat,18,5,0,1,LW,0,21,0,3
0,,,0,16,13,3,0,Brayden Point,21,0,-1,0,C,0,19,0,1
0,,,0,7,7,0,0,JT Brown,23,0,0,0,RW,0,14,0,0
1,3,3,1,18,13,4,0,Jonathan Drouin,27,0,0,2,LW,1,27,0,5
0,8,9,1,16,15,0,1,Valtteri Filppula,51,0,-1,1,C,0,22,0,1
0,,,0,14,13,0,1,Braydon Coburn,55,6,-1,0,D,0,20,0,1
0,,,0,17,16,0,1,Andrej Sustr,62,5,-2,0,D,0,24,0,1
2,,,0,24,19,3,0,Victor Hedman,77,0,2,2,D,0,30,0,3
0,,,0,18,14,4,0,Nikita Kucherov,86,0,1,0,RW,0,25,0,3
0,,,0,13,13,0,0,Nikita Nesterov,89,2,0,0,D,0,20,0,4
0,1,0,0,15,13,2,0,Vladislav Namestnikov,90,0,-1,0,C,0,18,0,0
1,9,12,0,17,12,4,0,Steven Stamkos,91,0,0,1,C,0,23,0,4
0,,,0,62,52,6,4,Roberto Luongo,1,0,,0,G,0,,0,0
0,,,0,0,0,0,0,James Reimer,34,0,,0,G,0,,0,0
0,,,0,25,21,2,0,Keith Yandle,3,0,0,0,D,0,26,0,1
0,,,0,26,21,3,1,Aaron Ekblad,5,2,0,0,D,0,26,0,3
1,,,0,12,10,0,1,Alex Petrovic,6,0,1,1,D,0,15,0,1
0,,,0,12,9,1,1,Colton Sceviour,7,0,0,0,C,0,15,0,2
0,,,0,11,11,0,0,Mark Pysyk,13,2,1,0,D,0,15,0,1
1,5,5,1,21,16,3,1,Aleksander Barkov,16,0,2,2,C,0,28,0,4
0,5,6,0,11,10,0,0,Derek MacKenzie,17,0,0,0,C,0,17,0,0
0,,,0,18,14,2,1,Reilly Smith,18,0,-1,0,RW,0,26,0,2
1,,,0,22,19,0,2,Mike Matheson,19,0,0,1,D,0,23,0,1
0,5,12,0,21,17,2,1,Vincent Trocheck,21,0,-1,0,C,0,25,0,1
0,1,1,0,18,14,2,1,Jussi Jokinen,36,4,0,0,LW,0,24,0,2
0,,,0,9,9,0,0,Shane Harper,38,6,0,0,RW,0,15,0,2
0,0,1,0,9,9,0,0,Greg McKegg,41,0,0,0,C,0,12,0,0
0,,,0,19,17,0,2,Jason Demers,55,0,-1,0,D,0,22,0,1
0,5,1,0,12,9,2,0,Denis Malgin,62,0,0,0,C,0,16,0,1
0,,,0,19,16,3,0,Jaromir Jagr,68,0,1,0,RW,0,24,0,7
0,4,3,1,19,16,3,0,Jonathan Marchessault,81,0,1,1,C,0,22,0,2
0,1,1,0,10,9,1,0,Jared McCann,90,0,0,0,C,0,15,0,3
0,,,0,60,44,6,10,Jake Allen,34,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Carter Hutton,40,0,,0,G,0,,0,0
0,,,0,11,11,0,0,Carl Gunnarsson,4,0,-1,0,D,0,17,0,2
0,,,0,16,11,0,4,Joel Edmundson,6,0,0,0,D,0,28,0,3
0,,,0,9,6,0,3,Scottie Upshall,10,2,0,0,RW,0,19,0,1
0,6,8,0,17,12,1,3,Jori Lehtera,12,0,-1,0,C,0,30,0,1
1,0,1,0,14,12,1,0,Robby Fabbri,15,2,1,1,C,0,22,0,2
0,,,0,21,17,0,4,Jay Bouwmeester,19,2,1,0,D,0,30,0,0
0,,,1,21,13,4,3,Alexander Steen,20,0,1,1,LW,0,30,0,5
2,5,3,0,13,9,1,2,Patrik Berglund,21,0,1,2,C,0,21,0,0
0,,,0,19,13,3,1,Kevin Shattenkirk,22,0,0,0,D,0,24,0,2
1,8,14,0,22,15,4,3,Paul Stastny,26,2,1,1,C,0,30,0,1
0,,,0,28,19,4,4,Alex Pietrangelo,27,0,2,0,D,0,32,0,2
0,5,1,0,10,8,0,2,Kyle Brodziak,28,2,0,0,C,0,21,0,0
1,,,0,20,14,1,4,Colton Parayko,55,2,0,1,D,0,32,0,3
0,0,1,1,7,7,0,0,Magnus Paajarvi,56,0,1,1,LW,0,14,0,2
0,1,0,0,17,13,2,2,David Perron,57,2,-1,0,LW,0,28,0,0
1,,,1,8,8,0,0,Nail Yakupov,64,0,1,2,RW,0,14,0,3
0,,,0,6,6,0,0,Ryan Reaves,75,0,0,0,RW,0,12,0,0
0,,,0,19,14,4,0,Vladimir Tarasenko,91,0,-1,0,RW,0,26,0,4
0,,,0,0,0,0,0,Michael Hutchinson,34,0,,0,G,0,,0,0
0,,,0,62,47,8,6,Connor Hellebuyck,37,0,,0,G,0,,0,0
0,,,0,9,9,0,0,Paul Postma,4,0,0,0,D,0,11,0,0
0,,,0,15,13,0,1,Ben Chiarot,7,2,-1,0,D,0,21,0,0
0,,,0,13,11,1,0,Drew Stafford,12,2,1,0,RW,0,18,0,1
0,,,0,7,5,0,2,Brandon Tanev,13,0,0,0,LW,0,12,0,1
0,,,1,15,11,1,2,Shawn Matthias,16,2,1,1,C,0,21,0,2
0,11,3,0,18,13,3,1,Adam Lowry,17,0,0,0,C,0,27,0,0
1,1,2,0,2,2,0,0,Bryan Little,18,0,1,1,C,0,4,0,1
2,1,1,1,22,15,5,1,Blake Wheeler,26,2,2,3,RW,0,28,1,4
0,,,0,19,13,5,0,Nikolaj Ehlers,27,0,0,0,RW,0,21,0,0
1,,,1,18,15,2,0,Patrik Laine,29,0,0,2,RW,1,22,0,2
0,,,0,28,19,6,3,Dustin Byfuglien,33,0,0,0,D,0,30,0,1
2,,,0,23,18,1,3,Tobias Enstrom,39,0,2,2,D,0,28,0,0
0,,,0,10,7,0,3,Joel Armia,40,0,0,0,RW,0,14,0,1
0,,,0,14,14,0,0,Josh Morrissey,44,0,0,0,D,0,20,0,2
0,15,7,1,22,15,4,1,Mark Scheifele,55,2,2,1,C,0,26,0,3
0,,,0,23,18,1,3,Tyler Myers,57,0,1,0,D,0,26,0,1
1,,,0,18,15,3,0,Kyle Connor,81,0,-1,1,LW,0,20,0,3
0,6,6,1,17,14,3,0,Mathieu Perreault,85,0,0,1,C,0,22,0,4
0,,,0,59,41,8,10,Antti Niemi,31,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Kari Lehtonen,32,0,,0,G,0,,0,0
1,,,0,19,12,3,4,Dan Hamhuis,2,2,1,1,D,0,27,0,2
0,,,0,21,16,4,0,John Klingberg,3,0,1,0,D,0,28,0,1
0,2,0,0,18,13,3,1,Patrick Sharp,10,2,-1,0,LW,0,26,0,3
1,10,4,0,13,10,0,3,Radek Faksa,12,0,2,1,C,0,24,0,0
1,3,1,0,19,12,4,3,Jamie Benn,14,2,0,1,LW,0,31,0,1
0,,,0,19,14,0,5,Patrik Nemeth,15,0,2,0,D,0,25,0,0
1,6,4,0,11,7,3,0,Devin Shore,17,0,1,1,C,0,17,0,1
1,,,0,15,11,4,0,Patrick Eaves,18,0,0,1,RW,0,24,0,0
1,,,1,14,10,0,3,Antoine Roussel,21,0,2,2,LW,0,24,0,2
0,,,0,14,10,3,0,Jiri Hudler,22,0,-1,0,RW,0,24,0,0
1,,,0,13,12,0,0,Jordie Benn,24,4,1,1,D,0,23,0,0
0,,,0,11,8,3,0,Brett Ritchie,25,0,1,0,RW,0,16,0,0
1,0,1,1,9,9,0,0,Adam Cracknell,27,0,2,2,RW,0,15,0,2
0,,,1,17,13,0,3,Stephen Johns,28,0,0,1,D,0,24,0,4
0,,,1,10,6,0,3,Lauri Korpikoski,38,0,1,1,LW,0,17,0,1
0,,,0,20,15,0,4,Johnny Oduya,47,0,0,0,D,0,26,0,0
0,8,6,0,21,12,4,4,Jason Spezza,90,0,-2,0,C,0,28,0,1
0,8,5,0,16,12,4,0,Tyler Seguin,91,0,0,0,C,0,25,0,2
0,,,0,59,46,7,5,Pekka Rinne,35,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Marek Mazanec,39,0,,0,G,0,,0,0
0,,,0,4,4,0,0,Anthony Bitetto,2,5,-1,0,D,0,7,0,0
0,,,0,21,17,1,3,Ryan Ellis,4,0,0,0,D,0,25,0,0
1,1,0,0,20,13,5,1,Filip Forsberg,9,0,-1,1,LW,0,24,0,1
0,6,5,0,11,8,0,2,Colton Sissons,10,0,-1,0,C,0,17,0,0
1,10,15,1,19,13,5,1,Mike Fisher,12,2,0,2,C,1,22,0,2
0,,,0,24,20,0,3,Mattias Ekholm,14,0,0,0,D,0,26,0,4
0,1,1,0,13,11,2,0,Craig Smith,15,2,0,0,RW,0,20,0,1
0,,,0,18,12,5,0,James Neal,18,5,0,0,RW,0,20,0,1
0,1,1,0,11,9,0,2,Calle Jarnkrok,19,0,-1,0,C,0,19,0,0
0,,,0,12,9,0,2,Miikka Salomaki,20,0,-1,0,RW,0,16,0,0
0,,,0,12,12,0,0,Matt Carle,25,0,-1,0,D,0,15,0,1
0,,,0,15,13,2,0,Colin Wilson,33,2,0,0,LW,0,21,0,2
0,,,0,11,10,0,0,Viktor Arvidsson,38,0,0,0,LW,0,18,0,2
0,,,0,11,10,0,0,Kevin Fiala,56,0,-1,0,LW,0,14,0,2
1,,,1,27,19,6,2,Roman Josi,59,0,-1,2,D,1,26,0,5
0,4,2,0,13,11,1,0,Mike Ribeiro,63,0,0,0,C,0,17,0,0
0,,,1,23,19,1,1,PK Subban,76,4,-1,1,D,1,25,0,4
