average punt yards, longest punt, name, punts, punts inside the twenty
42.600,53,Pat O Donnell,8,3
47.600,63,JK Scott,9,5
46.600,52,Jamie Gillan,5,3
46.200,70,Brett Kern,6,3
21,39,Bradley Pinion,2,1
45.500,54,Mitch Wishnowsky,2,1
47.500,57,Andy Lee,8,3
39.300,55,Sam Martin,8,4
49,54,Ty Long,2,2
36,49,Rigoberto Sanchez,3,0
41.300,50,Chris Jones,4,2
41.500,47,Riley Dixon,4,3
53.700,58,Matt Haack,6,2
56,56,Sam Koch,1,1
51.300,54,Cameron Johnston,3,1
54.400,58,Tress Way,5,1
48,48,Logan Cooke,2,0
51,51,Dustin Colquitt,1,0
43.400,54,Lac Edwards,7,5
43.300,60,Corey Bojorquez,3,1
48.300,58,Michael Palardy,4,1
46,68,Johnny Hekker,3,0
41,53,Jake Bailey,3,1
45.600,58,Jordan Berry,5,2
47,60,Michael Dickson,8,2
44.300,51,Kevin Huber,4,1
49.400,57,Britton Colquitt,5,2
43.300,52,Matt Bosher,3,2
44.700,52,AJ Cole,3,1
47.700,62,Colby Wadman,3,2
44,53,Thomas Morstead,2,2
43,54,Trevor Daniel,4,1
50.600,57,Michael Palardy,5,2
49.200,63,Bradley Pinion,6,2
45.200,50,Kevin Huber,5,1
37.500,39,Mitch Wishnowsky,2,1
40,52,Colby Wadman,5,3
57.400,75,Pat O Donnell,5,1
42.600,54,Matt Haack,7,2
48,53,Jake Bailey,3,3
39.300,42,Matt Bosher,3,0
52.300,57,Cameron Johnston,4,3
48.400,58,Riley Dixon,5,2
46.400,63,Corey Bojorquez,7,1
44,48,Sam Martin,4,2
50.500,55,Ty Long,4,0
47.600,59,JK Scott,8,1
44,52,Britton Colquitt,6,1
44,60,AJ Cole,6,2
39.200,53,Dustin Colquitt,5,1
49.800,66,Johnny Hekker,4,0
48.800,55,Thomas Morstead,5,3
43,49,Sam Koch,3,2
53.400,59,Andy Lee,5,1
49.500,56,Tress Way,4,4
50.500,52,Chris Jones,2,0
44.800,52,Jordan Berry,5,2
51.300,59,Michael Dickson,4,2
43.900,54,Trevor Daniel,7,1
48,54,Logan Cooke,6,4
48,61,Brett Kern,6,2
49.600,60,Rigoberto Sanchez,5,1
47,55,Lac Edwards,7,0
38.500,47,Jamie Gillan,6,5
42,55,Logan Cooke,6,1
46.500,63,Brett Kern,8,4
34.600,42,Corey Bojorquez,5,3
40.500,48,Kevin Huber,6,3
40,55,Jamie Gillan,6,3
39.500,41,Johnny Hekker,2,1
44.800,49,Bradley Pinion,4,1
48.800,52,Riley Dixon,5,1
42.700,53,Andy Lee,3,2
42,44,Zane Gonzalez,2,0
48.300,53,Michael Palardy,3,1
48.300,60,Ty Long,4,2
45,55,Bryan Anger,4,3
44,57,Dustin Colquitt,2,1
51,53,Sam Koch,3,2
53,53,Rigoberto Sanchez,1,0
39,39,Matt Wile,1,1
44.300,48,Chris Jones,3,1
43.800,62,Matt Haack,5,1
48,57,Cameron Johnston,3,1
45.200,53,Sam Martin,5,2
50,52,Mitch Wishnowsky,3,1
52.300,60,Jordan Berry,6,0
53,66,JK Scott,4,3
49.300,59,Colby Wadman,3,1
44.300,58,Jake Bailey,7,5
46.400,57,Lac Edwards,10,3
41.300,59,Michael Dickson,4,1
54,64,Thomas Morstead,6,4
47.500,51,Britton Colquitt,2,1
54.300,60,AJ Cole,4,2
48,48,Tress Way,1,0
46.700,50,Pat O Donnell,3,0
41.500,52,JK Scott,2,1
41.800,51,Cameron Johnston,4,3
48.200,64,Pat O Donnell,5,2
47,59,Britton Colquitt,5,3
36,44,Corey Bojorquez,5,3
48.100,61,Jake Bailey,9,1
45.200,60,Colby Wadman,6,4
45.500,59,Logan Cooke,6,1
47,51,Ryan Winslow,3,1
42.800,51,Michael Dickson,4,3
46.500,55,Rigoberto Sanchez,4,2
50.600,59,AJ Cole,5,3
51.500,57,Matt Haack,2,1
43,50,Matt Bosher,3,0
45,53,Brett Kern,5,5
55,57,Riley Dixon,3,3
53.200,66,Tress Way,6,3
43.700,49,Sam Martin,3,0
45.500,51,Dustin Colquitt,2,1
41,41,Johnny Hekker,1,1
44,46,Bradley Pinion,2,0
43.700,47,Sam Koch,3,3
42.300,46,Jamie Gillan,3,0
43.500,50,Thomas Morstead,4,2
45.300,58,Chris Jones,4,1
51.400,71,Bryan Anger,5,3
39.500,52,Michael Palardy,4,3
49.500,62,Jordan Berry,2,1
41,59,Kevin Huber,5,1
47.500,56,Michael Dickson,4,2
51,59,Johnny Hekker,3,1
49,63,Kevin Huber,3,0
50,55,Ryan Winslow,3,1
46.400,58,Ty Long,5,3
46,51,Colby Wadman,4,0
38.800,43,Dustin Colquitt,4,2
41,49,Rigoberto Sanchez,3,1
33.300,34,Chris Jones,3,2
49.500,58,JK Scott,6,2
46.800,60,Cameron Johnston,5,3
50.900,56,Lac Edwards,8,3
44.700,56,Riley Dixon,3,1
57,57,Britton Colquitt,1,0
47.600,57,Michael Palardy,5,3
48.300,60,Logan Cooke,4,3
42.500,46,AJ Cole,4,1
42.600,50,Pat O Donnell,5,2
50,62,Tress Way,10,4
47.700,57,Jake Bailey,6,2
37.700,41,Thomas Morstead,3,1
43.800,48,Bradley Pinion,6,2
43.800,45,Jordan Berry,4,2
51.700,57,Sam Koch,3,0
35,35,Bryan Anger,1,0
50.200,60,Matt Wile,5,2
49.700,56,Brett Kern,6,1
50,64,Corey Bojorquez,6,4
44,60,Mitch Wishnowsky,4,2
56.700,71,Jamie Gillan,7,4
40.700,46,Jake Bailey,3,1
39.200,53,Riley Dixon,5,2
50.100,56,Colby Wadman,8,2
47.100,61,Brett Kern,9,8
61,61,Jamie Gillan,1,1
39,54,Michael Dickson,4,1
44.500,49,Bradley Pinion,6,1
50,54,Michael Palardy,7,2
52,59,Andy Lee,3,2
43.300,54,Kasey Redfern,3,1
42.700,44,Ty Long,3,1
46.300,59,Jordan Berry,4,2
59.500,68,Dustin Colquitt,2,1
44.300,60,Matt Haack,7,3
45,53,Tress Way,7,2
48.800,61,Logan Cooke,5,2
41.800,51,Thomas Morstead,6,5
45.300,48,Lac Edwards,4,1
45.700,55,Chris Jones,3,2
53.800,61,Johnny Hekker,5,1
39.800,51,Mitch Wishnowsky,4,0
42,46,Sam Koch,2,1
40.200,54,Kevin Huber,5,3
41,50,Britton Colquitt,3,1
43.700,47,Cameron Johnston,3,1
51.700,53,JK Scott,3,1
46.500,51,Sam Martin,4,2
40,48,Colby Wadman,7,1
44.300,53,Dustin Colquitt,6,3
43.800,54,Pat O Donnell,6,0
42.300,58,Thomas Morstead,4,2
48.300,58,Kevin Huber,6,3
42.200,53,Logan Cooke,6,2
42.300,45,Corey Bojorquez,3,1
49,57,Matt Haack,4,0
43.500,48,Rigoberto Sanchez,4,2
44.500,51,Bryan Anger,2,1
42.300,54,Chris Jones,3,2
50.700,52,Cameron Johnston,3,0
41,50,Kasey Redfern,5,2
31.700,43,Johnny Hekker,3,1
37.300,43,Riley Dixon,3,1
42.300,57,Andy Lee,4,1
50,62,Sam Martin,3,2
49,54,Britton Colquitt,2,0
55.300,57,JK Scott,3,1
53,59,AJ Cole,2,2
49.500,57,Tress Way,4,0
47,48,Mitch Wishnowsky,2,2
51.300,56,Michael Dickson,3,1
44,46,Sam Koch,3,1
42,50,Brett Kern,2,2
46.500,58,Ty Long,2,1
46.200,63,Lac Edwards,5,2
37.300,59,Jake Bailey,7,4
53.500,63,Tress Way,2,1
41,48,Pat O Donnell,3,2
53.800,58,Ty Long,5,1
42.800,58,Corey Bojorquez,6,2
46,60,Cameron Johnston,4,0
51.300,58,Dustin Colquitt,3,3
35.300,43,JK Scott,3,1
46.400,58,Rigoberto Sanchez,5,2
39.400,47,Colby Wadman,7,5
36,36,Kasey Redfern,1,0
49.800,58,Michael Dickson,4,3
40.300,46,Mitch Wishnowsky,3,3
44.700,56,Michael Palardy,7,1
38.300,41,Logan Cooke,4,1
49.200,56,Lac Edwards,5,2
44,45,Sam Martin,2,0
45,50,Riley Dixon,3,1
45.400,55,Jake Bailey,5,1
44.500,56,Jamie Gillan,4,1
44.400,56,Johnny Hekker,5,3
41.600,51,Kevin Huber,5,3
44,50,Thomas Morstead,2,0
47.600,57,Andy Lee,5,1
51.800,63,Bryan Anger,4,1
48.700,57,AJ Cole,6,3
49.600,61,Brett Kern,5,1
43,50,Bradley Pinion,3,2
46.700,49,Jordan Berry,3,0
46.500,58,Matt Haack,2,2
50.600,64,Andy Lee,5,0
46.200,50,Mitch Wishnowsky,5,3
40,59,Corey Bojorquez,3,1
34.400,46,Tress Way,5,2
43.300,50,Colby Wadman,4,1
53.300,66,Jamie Gillan,3,1
38,38,Ty Long,1,1
37.600,52,JK Scott,5,2
50.200,58,Dustin Colquitt,5,1
44.100,54,Britton Colquitt,8,2
41.500,57,Matt Haack,4,3
44,48,Lac Edwards,4,1
49,53,Cameron Johnston,5,1
46.500,72,Pat O Donnell,8,3
51,57,Logan Cooke,3,1
45.300,53,Bryan Anger,3,1
38.800,48,Michael Palardy,4,3
46.300,53,Brett Kern,3,0
48,52,AJ Cole,2,0
43,47,Sam Martin,2,0
49,50,Sam Koch,2,1
46.600,57,Jake Bailey,5,3
55.300,63,Michael Dickson,3,0
40.300,45,Bradley Pinion,4,1
48,48,Jordan Berry,1,1
45,48,Rigoberto Sanchez,3,1
47.300,58,Riley Dixon,3,1
40,46,Chris Jones,2,1
42.500,50,AJ Cole,4,1
43.300,54,Ty Long,3,0
43,55,Pat O Donnell,9,3
40.500,58,Sam Martin,6,4
53,53,Kevin Huber,1,0
34,34,Sam Koch,1,0
48.700,53,Jamie Gillan,3,1
49.800,64,Corey Bojorquez,4,3
