assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
0,0,5,6,2,2,0,0,17.100,Tamera Young,0,-8,4,5,1,0,0,2
0,1,7,5,1,1,2,1,20.967,Michelle Snow,0,-16,3,7,1,0,0,5
0,1,6,5,4,2,5,2,32.883,Sylvia Fowles,1,-7,10,7,0,0,0,4
1,1,1,5,1,4,0,0,10.517,Dominique Canty,0,-19,3,1,0,1,1,2
2,1,2,17,6,3,4,4,35.483,Epiphanny Prince,1,-7,20,3,4,9,4,2
7,1,3,5,2,5,4,3,28.917,Courtney Vandersloot,0,3,7,3,0,1,0,1
0,0,4,9,3,0,0,0,22.883,Cathrine Kraayeveld,3,6,8,7,0,3,2,1
1,0,1,4,1,0,0,0,22.317,Erin Thorn,1,11,2,2,1,1,0,0
1,1,1,1,0,3,0,0,6.250,Lindsay Wisdom Hylton,0,-1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,2.683,Carolyn Swords,0,-2,0,0,0,0,0,0
5,0,4,7,3,0,1,1,26.883,Roneeka Hodges,0,10,9,4,1,6,2,1
4,1,3,14,9,2,3,2,30.267,Sophia Young,1,25,20,4,2,0,0,4
0,2,4,6,6,5,0,0,23.733,Ruth Riley,0,15,12,4,0,0,0,3
4,0,3,2,1,3,0,0,21.617,Tully Bevilaqua,0,18,2,3,2,1,0,2
5,0,0,13,6,1,2,2,29.117,Becky Hammon,0,24,18,0,3,8,4,2
2,0,2,11,6,2,2,2,24.000,Jia Perkins,0,6,17,2,3,7,3,0
5,0,0,7,3,4,2,2,18.383,Danielle Robinson,2,2,8,2,0,0,0,2
1,0,0,5,2,4,2,0,15.367,Danielle Adams,1,5,5,1,0,2,1,0
2,0,3,2,1,0,0,0,10.633,Porsha Phillips,0,-5,2,3,2,0,0,1
1,0,1,2,1,2,2,2,19.133,Kayla Pedersen,1,3,4,2,1,1,0,4
4,1,6,9,4,3,2,1,28.833,Tiffany Jackson Jones,3,-8,9,9,3,0,0,3
2,1,6,10,3,5,14,12,34.383,Liz Cambage,4,-15,18,10,2,0,0,6
1,0,5,10,2,5,7,7,28.267,Amber Holt,3,-17,11,8,2,1,0,2
2,0,1,11,6,3,2,1,35.000,Ivory Latta,0,-20,15,1,1,3,2,7
2,0,1,4,2,1,0,0,13.150,Sheryl Swoopes,1,-5,5,2,0,3,1,1
0,1,2,4,2,1,0,0,12.433,Jennifer Lacy,1,-18,5,3,0,1,1,2
0,0,0,4,0,0,0,0,7.767,Marion Jones,1,-7,0,1,0,0,0,1
0,0,1,3,1,0,0,0,9.617,Chastity Reed,1,-7,2,2,0,0,0,1
1,0,0,4,2,0,0,0,11.417,Miranda Ayim,2,-6,4,2,1,0,0,1
1,1,0,16,6,1,7,5,30.300,Iziane Castro Marques,2,-15,19,2,0,6,2,1
5,1,7,16,5,2,10,7,42.067,Sancho Lyttle,4,-5,18,11,4,5,1,4
0,0,2,4,2,4,2,1,17.533,Erika de Souza,0,0,5,2,0,0,0,1
2,0,1,14,7,1,3,1,39.483,Coco Miller,2,-8,16,3,1,3,1,2
9,0,5,11,4,3,2,1,33.433,Lindsey Harding,0,-10,9,5,0,0,0,4
0,0,3,4,3,0,0,0,21.917,Alison Bales,3,-8,6,6,0,0,0,0
1,0,1,8,5,2,4,3,20.217,Armintie Price Herrington,0,11,13,1,3,0,0,0
4,2,0,0,0,3,0,0,11.567,Shalee Lehning,0,4,0,0,0,0,0,2
0,0,1,3,1,1,0,0,8.483,Sandora Irvin,1,1,2,2,0,0,0,0
