field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
0,0,6,6,0,Mason Crosby
2,2,4,4,38,John Kasay
3,3,3,3,41,Robbie Gould
2,2,0,0,48,Matt Bryant
1,1,2,2,20,Phil Dawson
2,2,3,3,47,Mike Nugent
0,1,1,1,0,Ryan Succop
2,2,5,5,38,Rian Lindell
2,3,1,1,49,Josh Brown
1,1,4,4,34,Alex Henery
2,2,2,2,38,Connor Barth
2,2,3,3,28,Jason Hanson
3,3,1,1,48,Josh Scobee
0,1,2,2,0,Rob Bironas
2,2,3,3,30,Billy Cundiff
0,0,1,1,0,Shaun Suisham
2,2,4,4,29,Neil Rackers
0,1,1,1,0,Adam Vinatieri
0,1,4,4,0,Graham Gano
0,1,2,2,0,Lawrence Tynes
4,4,3,3,31,David Akers
1,1,2,2,39,Steven Hauschka
1,1,3,3,40,Mike Scifres
1,1,2,2,33,Ryan Longwell
0,1,4,4,0,Jay Feely
0,0,3,3,0,Olindo Mare
2,2,3,3,50,Nick Folk
1,1,3,3,34,Dan Bailey
1,1,3,3,20,Dan Carpenter
1,2,5,5,20,Stephen Gostkowski
2,3,2,2,30,Matt Prater
3,3,2,2,63,Sebastian Janikowski
2,2,6,6,51,Jason Hanson
1,2,0,0,33,Ryan Succop
1,2,5,5,25,Rian Lindell
0,0,5,5,0,Sebastian Janikowski
2,2,2,2,29,Ryan Longwell
1,1,3,3,36,Connor Barth
3,3,3,3,53,John Kasay
2,2,1,1,42,Robbie Gould
4,5,2,2,43,Rob Bironas
2,2,1,1,41,Billy Cundiff
4,4,1,1,52,Adam Vinatieri
2,2,3,3,23,Phil Dawson
3,3,3,3,45,Nick Folk
1,1,0,0,55,Josh Scobee
1,2,3,3,20,Shaun Suisham
3,4,1,1,34,Graham Gano
0,0,3,3,0,Jay Feely
3,3,2,2,33,Olindo Mare
3,3,3,3,37,Mason Crosby
1,1,3,3,55,David Akers
2,3,3,3,48,Dan Bailey
2,2,3,3,47,Stephen Gostkowski
0,0,3,3,0,Nick Novak
2,4,1,1,42,Dan Carpenter
3,3,2,2,36,Neil Rackers
1,1,3,3,34,Matt Prater
3,3,1,1,45,Mike Nugent
0,0,5,5,0,Matt Bryant
1,2,4,4,22,Alex Henery
0,0,4,4,0,Lawrence Tynes
3,3,1,1,27,Josh Brown
1,1,3,3,35,John Kasay
4,4,3,3,36,Neil Rackers
3,3,1,1,38,Alex Henery
0,0,3,3,0,Lawrence Tynes
2,2,0,0,35,Olindo Mare
1,1,1,1,53,Josh Scobee
2,2,4,4,42,Rian Lindell
1,1,4,4,23,Stephen Gostkowski
1,1,2,2,30,Phil Dawson
3,4,1,1,41,Dan Carpenter
2,2,0,0,23,Mike Nugent
2,2,1,1,53,David Akers
1,1,2,2,46,Rob Bironas
0,0,2,2,0,Matt Prater
3,3,2,2,49,Ryan Longwell
4,4,2,2,50,Jason Hanson
0,0,1,1,0,Josh Brown
3,5,4,4,38,Billy Cundiff
2,3,4,4,54,Sebastian Janikowski
