assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
,,,,,,,,0,Kobe Bryant,,,,,,,,,
3,0,3,14,6,2,5,3,37,Derek Fisher,0,,16,G,3,1,5,1,1
3,2,7,9,7,2,1,0,35,Devean George,0,,16,F,7,1,3,2,0
,,,,,,,,0,Stanislav Medvedenko,,,,,,,,,
0,0,2,3,2,0,0,0,9,Jannero Pargo,0,,5,,2,0,1,1,2
1,0,1,5,1,4,0,0,14,Kareem Rush,0,,2,,1,0,1,0,1
,,,,,,,,0,Rick Fox,,,,,,,,,
5,1,7,15,8,4,4,0,31,Shaquille ONeal,2,,16,C,9,0,0,0,3
9,1,6,20,10,3,0,0,36,Gary Payton,1,,21,G,7,2,4,1,1
9,1,7,11,5,4,5,5,30,Karl Malone,3,,15,F,10,1,0,0,1
2,1,5,2,1,2,2,1,21,Horace Grant,0,,3,,5,0,0,0,0
0,0,0,7,3,4,3,3,21,Bryon Russell,0,,10,,0,2,5,1,1
0,0,1,3,2,3,0,0,6,Luke Walton,1,,5,,2,0,1,1,0
,,,,,,,,0,Brian Cook,,,,,,,,,
,,,,,,,,0,Jamal Sampson,,,,,,,,,
1,0,4,8,2,1,8,8,29,Michael Finley,0,,12,G,4,0,4,0,1
7,0,0,10,4,4,0,0,29,Steve Nash,0,,8,G,0,0,4,0,4
1,1,10,17,5,2,12,9,33,Dirk Nowitzki,3,,19,F,13,1,6,0,3
0,0,2,3,1,2,0,0,13,Eduardo Najera,1,,2,,3,1,0,0,0
0,0,0,2,2,1,0,0,4,Shawn Bradley,1,,4,,1,0,0,0,0
,,,,,,,,0,Tariq Abdul Wahad,,,,,,,,,
1,0,5,13,7,3,0,0,33,Antoine Walker,2,,19,F,7,0,6,5,2
0,0,3,0,0,1,2,0,14,Danny Fortson,0,,0,C,3,0,0,0,0
1,0,3,13,7,2,4,2,33,Antawn Jamison,3,,17,,6,0,1,1,0
1,0,5,9,2,3,2,2,27,Tony Delk,1,,7,,6,0,3,1,0
4,0,0,5,0,2,0,0,16,Travis Best,0,,0,,0,2,1,0,1
1,0,3,5,2,0,0,0,5,Josh Howard,0,,4,,3,0,0,0,0
0,0,0,0,0,0,2,1,4,Marquis Daniels,0,,1,,0,0,0,0,0
,,,,,,,,0,Jon Steffansson,,,,,,,,,
6,0,2,5,0,2,2,1,31,Eric Snow,2,,1,G,4,1,1,0,1
11,0,4,25,9,2,8,5,45,Allen Iverson,1,,26,G,5,5,11,3,3
1,0,4,7,3,3,2,2,25,Aaron McKie,0,,10,,4,1,2,2,1
4,0,4,6,4,1,3,1,27,John Salmons,1,,10,F,5,2,2,1,2
1,1,4,8,3,4,5,3,31,Derrick Coleman,1,,10,C,5,1,2,1,0
1,1,4,10,6,1,8,3,30,Kenny Thomas,3,,15,F,7,1,0,0,1
1,1,3,7,3,1,1,1,24,Marc Jackson,1,,7,,4,0,0,0,0
0,0,1,4,4,3,0,0,13,Willie Green,0,,8,,1,0,0,0,0
0,0,1,1,1,0,1,0,11,Amal McCaskill,3,,2,,4,1,0,0,0
0,0,0,2,0,2,0,0,2,Kyle Korver,0,,0,,0,0,2,0,0
0,0,0,0,0,0,0,0,1,Samuel Dalembert,0,,0,,0,0,0,0,0
,,,,,,,,0,Glenn Robinson,,,,,,,,,
0,0,6,15,5,3,4,4,39,Eddie Jones,2,,15,G,8,0,5,1,1
0,0,2,7,2,2,1,1,21,Malik Allen,2,,5,,4,1,0,0,1
0,0,5,5,4,3,6,5,29,Brian Grant,2,,13,C,7,0,0,0,5
4,0,3,18,8,3,3,2,41,Dwyane Wade,1,,18,G,4,0,1,0,5
1,1,6,5,1,4,0,0,27,Udonis Haslem,2,,2,F,8,1,0,0,1
1,0,2,0,0,0,0,0,8,Lamar Odom,0,,0,F,2,0,0,0,1
5,1,4,9,4,2,1,1,28,John Wallace,0,,9,,4,0,0,0,3
5,0,2,6,2,4,2,1,24,Rafer Alston,0,,6,,2,1,2,1,0
0,0,0,2,0,1,0,0,10,Loren Woods,2,,0,,2,0,0,0,1
0,0,2,4,3,0,0,0,9,Samaki Walker,1,,6,,3,0,0,0,1
0,0,0,0,0,0,0,0,4,Bimbo Coles,0,,0,,0,0,0,0,0
,,,,,,,,0,Jerome Beasley,,,,,,,,,
,,,,,,,,0,Tony Parker,,,,,,,,,
4,6,8,13,8,3,9,8,40,Tim Duncan,4,,24,F,12,1,0,0,3
2,0,3,7,2,2,2,1,31,Bruce Bowen,0,,5,F,3,0,2,0,1
1,2,4,6,4,5,4,4,24,Malik Rose,0,,12,,4,2,0,0,2
3,1,4,7,1,4,7,5,32,Manu Ginobili,1,,7,G,5,0,3,0,2
,,,,,,,,0,Kevin Willis,,,,,,,,,
6,0,3,15,5,3,0,0,35,Anthony Carter,2,,10,G,5,2,0,0,5
0,0,3,1,1,2,2,0,15,Rasho Nesterovic,0,,2,C,3,1,0,0,3
4,0,1,11,5,1,1,1,24,Ron Mercer,0,,11,,1,2,1,0,1
0,1,3,8,3,2,0,0,23,Hedo Turkoglu,0,,7,,3,0,3,1,1
0,1,2,5,2,2,1,1,16,Robert Horry,0,,5,,2,0,1,0,2
,,,,,,,,0,Shane Heal,,,,,,,,,
2,0,3,10,1,1,4,1,33,Joe Johnson,1,,3,G,4,1,2,0,0
1,0,1,9,3,2,0,0,15,Anfernee Hardaway,2,,6,,3,0,0,0,1
