assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
2,0,1,8,2,4,4,1,28.583,Tiffany Hayes,0,-3,5,1,0,4,0,0
2,3,4,13,6,1,7,5,25.467,Jessica Breland,2,5,17,6,1,0,0,1
1,4,5,5,3,2,2,1,26.617,Elizabeth Williams,1,8,7,6,1,0,0,2
4,3,2,9,3,0,6,4,24.717,Brittney Sykes,1,7,10,3,1,1,0,1
3,0,3,7,5,1,4,2,26.250,Renee Montgomery,0,21,15,3,0,4,3,3
1,1,3,6,3,1,3,2,22.250,Nia Coffey,1,1,8,4,1,2,0,1
2,0,0,2,1,2,1,1,14.200,Monique Billings,1,-1,3,1,1,0,0,3
1,0,2,11,2,1,0,0,21.550,Alex Bentley,1,-13,5,3,1,3,1,2
0,0,3,2,2,1,2,2,10.367,Marie Glich,1,-5,6,4,0,0,0,2
0,0,2,4,2,2,0,0,11.183,Kaela Davis,0,-17,4,2,0,0,0,0
2,1,4,7,2,5,2,1,27.417,Glory Johnson,5,-2,6,9,1,2,1,5
0,4,6,8,2,4,2,1,21.950,Isabelle Harrison,2,-8,5,8,0,0,0,3
1,0,1,6,2,2,1,1,19.750,Tayler Hill,1,-14,6,2,1,4,1,0
1,0,3,16,5,4,2,1,20.500,Arike Ogunbowale,1,-12,12,4,2,6,1,0
2,0,3,13,3,5,3,3,26.600,Kayla Thornton,3,6,9,6,1,4,0,2
4,1,1,7,4,3,4,4,25.733,Allisha Gray,1,9,14,2,3,3,2,1
8,0,3,7,3,2,0,0,28.800,Brooke McCarty,0,8,8,3,2,3,2,3
0,0,0,3,1,3,0,0,4.350,Theresa Plaisance,0,1,3,0,0,2,1,0
0,0,2,3,2,1,2,1,13.717,Imani McGee Stafford,4,9,5,6,2,0,0,1
0,2,4,3,2,4,0,0,18.783,Rebecca Allen,1,4,6,5,2,3,2,2
2,0,8,23,11,2,10,10,32.433,Tina Charles,4,5,32,12,1,1,0,4
2,1,3,4,0,5,0,0,28.900,Amanda Zahui B,0,-10,0,3,0,2,0,5
0,0,1,10,3,0,4,4,31.817,Kia Nurse,0,6,12,1,1,4,2,1
1,0,4,5,2,1,1,1,14.767,Brittany Boyd,0,4,5,4,0,0,0,1
2,1,1,8,3,4,3,2,24.983,Asia Durr,0,-4,8,1,0,2,0,1
3,0,1,0,0,4,0,0,12.867,Tanisha Wright,0,-14,0,1,0,0,0,2
0,0,1,1,0,0,0,0,4.017,Nayo Raincock Ekunwe,0,-1,0,1,0,0,0,0
4,0,2,9,2,1,3,2,16.783,Bria Hartley,2,1,7,4,0,2,1,0
0,0,2,7,5,3,2,0,13.567,Reshanda Gray,6,7,10,8,0,0,0,0
0,0,0,0,0,1,0,0,1.083,Han Xu,0,-3,0,0,0,0,0,0
4,1,7,10,6,3,0,0,32.150,Candice Dupree,0,-2,12,7,1,0,0,2
3,0,3,5,1,0,4,2,20.900,Betnijah Laney,3,2,4,6,2,1,0,0
0,0,2,10,4,3,0,0,29.617,Natalie Achonwa,0,-5,8,2,3,0,0,1
0,0,1,11,3,1,0,0,19.617,Kelsey Mitchell,0,-8,6,1,0,2,0,1
5,0,6,12,7,5,0,0,30.467,Erica Wheeler,0,6,16,6,0,5,2,1
2,0,4,7,1,3,0,0,20.917,Shenise Johnson,1,-3,2,5,1,3,0,0
1,1,3,10,4,0,14,13,28.117,Tiffany Mitchell,2,6,22,5,1,1,1,2
0,2,1,4,3,5,10,5,13.867,Tearira McCowan,5,5,11,6,0,0,0,2
0,0,0,0,0,2,0,0,4.350,Stephanie Mavunga,0,4,0,0,0,0,0,0
2,0,3,5,3,4,0,0,18.583,Kaleena Mosqueda Lewis,0,16,8,3,1,4,2,2
1,3,9,19,8,3,9,4,36.383,Natasha Howard,7,8,21,16,5,3,1,1
0,0,3,11,4,3,2,2,32.067,Crystal Langhorne,3,17,10,6,0,2,0,0
4,0,3,10,4,1,7,7,36.383,Jewell Loyd,0,15,17,3,0,3,2,4
6,1,2,13,7,2,4,2,34.033,Jordin Canada,1,11,16,3,3,2,0,7
2,0,1,5,1,2,1,0,21.400,Shavonte Zellous,0,-7,2,1,0,2,0,1
0,0,1,1,0,2,0,0,11.533,Mercedes Russell,2,-7,0,3,1,0,0,1
0,0,1,3,1,1,0,0,9.583,Sami Whitcomb,0,-8,3,1,0,3,1,0
2,1,1,6,3,1,0,0,26.067,Essence Carson,0,-17,7,1,0,2,1,0
4,0,8,23,10,4,8,8,37.133,DeWanna Bonner,0,-2,31,8,2,8,3,0
2,1,5,19,9,4,0,0,36.750,Brittney Griner,3,-13,18,8,1,0,0,6
4,0,1,4,2,0,0,0,28.333,Yvonne Turner,0,-11,5,1,0,3,1,5
2,0,1,3,2,4,0,0,34.250,Briann January,1,-2,4,2,6,0,0,2
1,0,2,4,1,2,0,0,17.600,Alanna Smith,2,-4,3,4,0,2,1,2
0,0,0,0,0,1,0,0,4.917,Arica Carter,0,-3,0,0,0,0,0,0
0,1,3,2,0,2,0,0,11.667,Sophie Cunningham,0,3,0,3,0,2,0,2
0,0,2,0,0,2,0,0,3.233,Brianna Turner,0,4,0,2,0,0,0,0
1,0,3,9,2,2,2,2,21.550,Shekinna Stricklen,0,12,8,3,1,8,2,0
4,0,5,15,11,3,2,1,32.267,Alyssa Thomas,3,10,23,8,1,0,0,4
0,3,11,8,3,2,4,4,30.133,Jonquel Jones,3,20,10,14,2,3,0,2
5,0,3,11,3,0,0,0,28.467,Courtney Williams,2,18,6,5,0,1,0,0
6,0,2,13,5,2,2,2,29.233,Jasmine Thomas,1,21,13,3,1,2,1,1
0,0,2,6,3,2,0,0,13.550,Morgan Tuck,0,7,8,2,0,3,2,0
0,1,0,1,0,1,2,1,9.867,Brionna Jones,0,-5,1,0,0,0,0,1
2,0,1,6,3,3,2,2,17.150,Layshia Clarendon,2,-3,8,3,1,0,0,1
0,1,2,0,0,1,0,0,6.233,Bria Holmes,0,-2,0,2,0,0,0,0
0,0,0,7,3,3,0,0,11.533,Rachel Banham,0,-3,7,0,1,3,1,0
1,0,2,9,3,4,5,4,29.600,Ariel Atkins,0,-15,10,2,0,3,0,1
0,1,3,13,6,3,2,2,33.400,Emma Meesseman,3,-11,14,6,1,1,0,1
1,1,7,1,0,4,2,2,22.117,LaToya Sanders,2,-6,2,9,0,0,0,2
8,2,2,7,2,1,4,2,29.883,Natasha Cloud,0,-13,6,2,1,4,0,3
3,0,2,10,5,0,0,0,20.133,Kristi Toliver,1,-7,11,3,0,4,1,1
3,0,5,11,4,0,2,2,26.583,Shatori Walker Kimbrough,3,-9,11,8,1,4,1,0
0,0,2,6,2,3,0,0,14.600,Tianna Hawkins,0,-8,4,2,0,2,0,0
0,2,3,13,4,2,0,0,19.267,Myisha Hines Allen,2,-6,8,5,1,2,0,3
0,0,0,2,1,0,0,0,4.400,Kim Mestdagh,0,0,3,0,0,2,1,0
0,3,5,10,8,2,11,8,33.483,Napheesa Collier,1,28,27,6,2,4,3,2
4,1,5,3,1,4,1,0,21.150,Damiris Dantas,1,16,2,6,2,0,0,2
0,0,5,8,6,4,6,4,26.100,Sylvia Fowles,5,12,16,10,3,0,0,3
5,0,3,12,4,2,2,2,26.683,Odyssey Sims,0,30,11,3,1,3,1,3
1,1,2,14,5,1,4,3,28.567,Danielle Robinson,1,16,13,3,1,3,0,0
1,0,1,10,3,2,2,2,22.083,Lexie Brown,0,-3,10,1,2,7,2,3
6,0,8,3,0,3,4,3,27.167,Jessica Shepard,5,13,3,13,0,1,0,6
0,0,0,5,2,1,0,0,6.517,Stephanie Talbot,0,-10,4,0,0,2,0,1
0,0,0,2,1,0,2,1,5.583,Alaina Coates,3,-5,3,3,0,0,0,0
0,0,0,1,0,2,0,0,2.667,Shao Ting,1,-7,0,1,0,0,0,0
