extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
1,1,3,3,41,L Congi
5,5,2,3,48,C Milo
2,3,4,4,36,P McCallum
1,1,1,1,33,J Palardy
1,1,4,4,44,G Shaw
1,1,2,4,47,N Prefontaine
4,4,3,3,38,R Paredes
1,1,1,1,31,S Whyte
5,5,2,2,41,S Whyte
3,3,3,3,23,J Palardy
4,4,3,4,32,P McCallum
3,3,6,8,42,N Prefontaine
4,4,0,1,0,R Paredes
1,1,2,3,32,C Milo
0,0,0,1,0,G Shaw
3,3,2,2,39,S Whyte
3,3,2,2,46,R Paredes
5,5,2,3,43,G Shaw
1,1,1,2,46,J Palardy
2,2,3,5,38,C Milo
2,2,2,4,38,P McCallum
5,5,0,0,0,L Congi
1,1,2,3,37,N Prefontaine
1,1,2,3,19,A Alix
3,3,1,2,18,S Waters
1,1,5,5,45,J Palardy
3,3,4,4,46,R Paredes
5,5,1,1,50,C Milo
2,2,0,0,0,P McCallum
2,2,4,4,28,G Shaw
5,5,1,2,22,L Congi
3,3,1,2,45,S Whyte
2,2,2,2,27,J Palardy
2,2,2,2,45,G Shaw
1,1,4,5,49,S Whyte
2,2,3,4,50,S Waters
3,3,3,5,47,C Milo
4,4,2,2,32,L Congi
0,0,2,2,42,R Paredes
3,3,4,4,45,P McCallum
1,1,1,1,33,J Palardy
3,3,4,4,32,S Whyte
0,0,3,3,35,S Waters
2,2,1,1,24,P McCallum
2,2,2,2,43,L Congi
4,4,1,1,25,R Paredes
3,3,2,2,24,G Shaw
2,2,2,2,25,S Deangelis
3,3,3,4,37,J Palardy
2,2,1,2,43,L Congi
2,2,1,2,40,G Shaw
5,5,1,1,27,S Whyte
0,0,2,2,18,R Paredes
1,1,5,5,48,S Waters
3,3,1,1,24,P McCallum
0,0,1,2,36,S Deangelis
3,3,3,4,37,S Whyte
2,2,5,5,47,L Congi
1,1,3,4,31,J Palardy
2,2,2,2,41,P McCallum
1,1,1,2,37,S Deangelis
2,2,1,2,34,R Paredes
2,2,1,2,17,S Waters
2,2,4,5,50,G Shaw
3,3,1,2,37,S Whyte
2,2,3,4,47,P McCallum
5,5,5,5,50,S Deangelis
1,1,3,3,42,L Congi
3,3,3,5,34,S Waters
3,3,1,1,43,R Paredes
3,3,0,1,0,G Shaw
2,2,1,2,22,G Shaw
2,2,2,2,28,R Paredes
5,5,3,5,28,E Wilbur
2,2,3,3,48,L Congi
5,5,2,3,43,P McCallum
1,1,1,2,31,S Whyte
1,1,5,7,32,J Palardy
2,2,3,4,40,S Deangelis
5,5,2,2,35,R Paredes
0,0,1,1,11,J Palardy
6,6,3,3,45,L Congi
1,1,0,1,0,G Shaw
3,3,2,3,43,P McCallum
2,2,3,4,41,S Waters
3,3,2,3,41,S Whyte
1,1,2,4,48,S Deangelis
3,3,4,4,31,J Palardy
0,0,4,4,46,L Congi
2,2,1,1,40,G Shaw
0,0,4,6,46,P McCallum
4,4,1,1,12,S Whyte
0,0,2,4,36,S Waters
3,3,3,3,38,S Deangelis
1,1,3,4,44,R Paredes
5,5,2,2,24,L Congi
4,4,0,0,0,S Whyte
4,4,3,3,28,R Paredes
2,2,0,1,0,G Shaw
1,1,1,1,20,J Palardy
3,3,2,4,46,S Waters
3,3,1,1,30,S Deangelis
2,2,2,2,40,P McCallum
4,4,2,2,49,G Shaw
2,2,2,2,39,L Congi
3,3,2,2,22,P McCallum
1,1,3,3,44,R Paredes
1,1,3,3,39,S Whyte
3,3,2,2,24,J Palardy
1,1,1,1,47,S Waters
3,3,5,6,48,S Deangelis
0,0,1,2,35,L Congi
4,4,3,3,40,P McCallum
3,3,0,0,0,J Palardy
2,2,4,4,29,R Paredes
4,4,3,4,35,G Shaw
1,1,1,1,29,S Deangelis
1,1,1,1,37,S Waters
2,2,3,4,37,S Whyte
4,4,1,2,32,S Waters
5,5,3,3,45,J Palardy
3,3,6,6,48,P McCallum
1,1,3,3,47,G Shaw
4,4,0,1,0,S Deangelis
4,4,2,2,52,S Whyte
1,1,2,3,44,L Congi
4,4,4,4,46,R Paredes
3,3,0,0,0,P McCallum
3,3,2,3,36,L Congi
1,1,1,1,22,J Palardy
1,1,4,6,36,S Deangelis
4,4,1,1,29,S Waters
3,3,1,2,18,S Whyte
1,1,1,1,13,G Shaw
4,4,5,5,51,S Waters
4,4,4,4,44,L Congi
3,3,2,3,42,G Shaw
3,3,3,3,46,R Paredes
1,1,3,4,41,J Palardy
1,1,1,1,17,S Whyte
1,1,3,3,33,P McCallum
0,0,2,2,48,S Deangelis
5,5,2,3,38,S Waters
1,1,1,1,36,G Shaw
3,3,2,2,50,R Paredes
3,3,1,1,29,S Deangelis
2,2,2,2,25,S Whyte
2,2,3,3,35,S Waters
2,2,5,5,45,P McCallum
4,4,2,2,20,R Paredes
4,4,2,2,30,S Waters
0,0,4,4,30,R Paredes
