kickoff return yards, kickoff returns, longest kickoff return, name
119,6,28,P Williams
26,1,26,C Byrd
17,1,17,J Augafa
1,1,1,R Caldwell
12,1,12,A Conway
107,4,34,A Trammell
63,2,33,A Walter
22,1,22,D Tucker
7,1,7,Z Holcombe
2,1,2,X Johnson
37,2,18,J Fields
151,6,44,K Dixon
43,2,24,A Killins Jr
15,1,15,R Smith
68,4,31,J Huntley
125,5,37,R Moore
33,2,18,J Moten IV
50,3,22,B Gaither
13,1,13,M Roberson
43,2,23,N Modise
15,1,15,J Amadi
35,2,19,S Huderson
22,1,22,G Dortch
13,1,13,R Paul
53,2,29,M Ward
13,1,13,R Reed
26,1,26,A Wilson
47,2,26,J Baldwin
24,1,24,J Blackmon
40,2,23,R Shaheed
71,3,28,M McCray
48,2,26,M Green
136,5,34,J Petit Frere
42,1,42,C Hubbard
25,1,25,A Hawkins
31,1,31,D Lee
58,2,32,B Brown
9,1,9,D Helm
14,1,14,K Walker
31,2,17,L Moore IV
63,3,25,C Heyward
26,1,26,D Stewart Jr
48,2,24,S Scarver
23,1,23,J Dotson
59,3,24,E Trakel
15,1,15,B Mitchell
20,1,20,C Scarlett
27,1,27,J Washington
30,1,30,A Cruickshank
15,1,15,K Pryor
55,4,18,L Bellamy
42,2,22,S Cullen
41,2,22,K Ruff
23,1,23,D Strickland
19,1,19,C Elmore
16,1,16,S Riley
42,2,26,D Liotine
18,1,18,S Nekhet
50,1,50,K Merritt
37,1,37,D Medley
83,5,18,Z Smith
39,2,20,M Terry
77,1,77,J Jacobs
61,1,61,H Hall
35,3,24,R Burns
14,1,14,C Sturghill
102,4,34,D Warren
99,5,26,M Reyna
71,3,25,J Taylor
12,1,12,I Floyd
15,1,15,B Daniels
15,1,15,B Brady
46,2,26,T Thornton
14,1,14,J Lovett
29,1,29,D Fuller
17,1,17,C Cokley
46,2,27,M Walker
36,2,21,A Strader
153,5,73,M Young
-1,1,0,S Palmer
51,2,26,I King
27,1,27,B Alleyne
26,1,26,K Kollie
21,1,21,A Davis
48,3,19,A Ratliff Williams
29,2,15,C Bent
59,3,22,T Hopkins
28,1,28,D Mabin
43,1,43,C Powell
48,2,27,I Brown
5,1,5,N Maxwell
11,1,11,B Fitzgerald
2,1,2,R Raymond
0,1,0,M Stephens
66,3,36,T Lindsey
17,1,17,J Allen
12,1,12,J Jordan
80,3,35,D Brantley
19,1,19,J Cotton
10,1,10,L Hyde
5,1,5,R Crawford
24,1,24,B Herrien
61,2,32,W Kennedy III
61,2,31,T Baines
10,1,10,J Thomas
32,2,17,D Waller
66,3,25,J Augafa
26,1,26,C Sandy
0,1,0,D Stampley
0,1,0,C Bobak
27,1,27,I Smith Marsette
23,1,23,D Brown
20,1,20,S Sims Jr
15,1,15,G Fuselier
76,4,21,D Shelley
11,1,11,I Zuber
76,4,25,R Baker
50,3,21,T Ducker
102,5,23,L Bowden Jr
56,2,30,K Lewis
41,3,20,J Davis
19,2,19,F Hickson
95,4,28,I Harper
20,1,20,B Simmons
11,1,11,K Strong
25,1,25,R Calais
68,3,37,M Route
31,3,21,C Samon
17,1,17,L Brooks
64,2,33,T Johnson
73,3,26,D Jamison
51,2,26,L Humphrey
0,1,0,M Roach
45,2,28,M Slade
-2,1,0,T Pollard
50,3,19,D Durden
14,1,14,E Graham
50,2,26,M Thomas
33,2,31,T King
23,1,23,T Williams
17,1,17,P Logan
12,1,12,L Galloway
59,2,40,B Cole
47,2,25,J Oglesby
37,2,22,A Ward
37,2,20,J McGowen
52,3,26,M Trowell
40,2,21,M Marshall
-3,1,0,D Tucker Dorsey
40,2,40,E Lilly
9,1,9,E Harris
58,3,21,J Campbell
35,2,18,K Edwards
20,1,20,J Armstrong
120,2,99,A Thomas
116,2,96,D Torrey
52,2,29,C Sanders
14,1,14,K Freeman
21,1,21,D McCall
49,5,21,C Flemings
0,1,0,T Bradford
125,3,99,D Knock
20,1,20,B Long Jr
21,1,21,J Aley
4,1,4,K Pugh
-1,1,0,B Witter
21,1,21,T Brown
15,1,15,A Leroy
60,3,26,T Brooks James
18,1,18,T Dye
1,2,1,H Kampmoyer
88,5,24,R Hargrove
98,2,91,M Ffrench
21,1,21,D McDonald
52,1,52,K Hamler
130,3,100,D Evans
102,4,43,A Trammell
42,2,24,A Walter
36,1,36,M Stevenson
33,2,21,R Blackshear
13,1,13,C Twyford
6,1,6,T Watts
96,3,48,T Minter
14,1,14,K Baker
10,1,10,Z Crosby
36,2,24,S Harris
21,1,21,J Dancy
62,3,27,A Turner
45,2,25,D Samuel
18,1,18,T Horne
15,1,15,J Ford
11,1,11,D Antoine
58,3,30,T Campbell
28,1,28,S Wingard
17,1,17,D Everett
34,1,34,J Adams
19,1,19,S Anderson
30,2,17,T Kennedy III
12,1,12,W Newman
41,1,41,E Demercado
37,1,37,J Reagor
49,3,14,I Wright
75,4,21,J McGrigg
54,2,41,N Warrior
17,1,17,T Chandler
52,2,32,M Simms
0,1,0,J Anderson
46,2,46,C Battle
17,1,17,D Johnson
22,2,13,M Dermott
5,1,5,C Riddle
161,7,26,M Jones
23,1,23,A Mattison
134,5,49,D Bowman
15,1,15,M Reed
110,2,94,J Jones
16,1,16,D Buford
21,1,21,D Holmes
35,1,35,J Wiggins
73,1,73,S Carr
25,1,25,A Harris
16,1,16,V Jones Jr
68,3,30,B Presley
96,3,37,T Juniel
55,2,30,J Wakefield
17,1,17,T Kelly
14,1,14,P Kier
24,1,24,D Brissett
44,2,22,J Whitlow
18,1,18,N Igbinoghene
2,1,2,S Nigh
69,3,25,C Sanders
39,2,19,J Proche
33,2,24,B West
20,1,20,E Demercado
34,2,17,J Cofield
58,3,21,D Medley
28,2,15,K Merritt
38,2,22,F Hickson
27,1,27,N Igbinoghene
14,1,14,S Nigh
58,3,25,E Gray
16,1,16,D Johnson
61,3,24,I Floyd
24,1,24,M Walker
0,1,0,D McQuarrie
49,3,18,S Gilliam
28,2,17,J Roberts
20,1,20,J Bruno
25,1,25,A Mattison
20,1,20,A Butler
22,1,22,K Dixon
14,1,14,K Buss
91,4,33,R Hargrove
19,1,19,C Stephens
12,1,12,C Lamar
41,2,22,T Johnson
17,1,17,A Hifo
63,3,26,A Davis
0,1,0,J Hawkins
11,1,11,A Killins Jr
47,3,20,T Baines
101,4,46,A McAllister
90,4,29,K Lewis
15,1,15,S Sims Jr
55,3,20,A Hawkins
14,1,14,B Fulton
23,1,23,D Warren
0,1,0,T Morris
98,3,38,A Wilson
18,2,14,K Carter
37,2,23,A Scott
30,2,16,C Gore
69,3,26,A Ratliff Williams
33,2,19,J Pierre
22,2,11,G Amy
12,1,12,J Saucier
47,2,28,A Lemons
33,2,19,L Bowden Jr
101,4,30,A Grant
39,2,21,K Laborn
22,1,22,J Augafa
21,1,21,C Byrd
0,1,0,D Furuta
147,5,46,A Walter
2,1,2,T Chamberlain
18,1,18,M Stevenson
46,3,20,J Taylor
32,2,19,S Berryhill III
1,1,1,B Wolma
19,1,19,C Sandy
4,1,4,C Bobak
34,2,19,T Tate
32,2,20,M Majette
69,4,25,J Reed
24,1,24,K Nwangwu
109,4,37,D Shelley
18,1,18,I Zuber
37,1,37,B Cole
32,2,19,J Peters
17,1,17,J Rankin
14,1,14,J Shaw
55,3,21,J Jones
48,3,17,J Aley
10,1,10,K Pugh
14,1,14,R Yeast
63,4,23,D Caton
23,2,15,S Harris
15,1,15,A Smith
106,5,25,J Washington
8,1,8,J Mims
26,1,26,J Thomas
74,4,23,J Baldwin
41,2,23,J Bester
14,1,14,M Thomas
33,1,33,J Wiggins
31,2,18,A Thomas
12,1,12,L Bellamy
43,2,23,D Douglas
22,1,22,R Smith
24,2,21,B Burt
19,1,15,J Jordan
50,3,21,T Knight
10,1,10,F Allen
22,1,22,J Cesar
1,1,1,J Burton
19,1,19,T Badie
28,1,28,T Hall
13,1,13,A Cox
35,2,24,A Anderson
30,1,30,K Davis
11,1,11,A Johnson
7,1,7,K King
102,4,37,L Scott
76,3,40,P Logan
7,1,7,C Williams
0,1,0,M Plante
43,3,18,D Henderson
4,1,4,P Taylor Jr
36,1,36,M Trowell
35,2,20,J Spielman
10,1,10,J Stoll
27,1,27,R Blackmon
24,1,24,K Nixon
20,1,20,F Kokosioulis
36,2,19,K McGowan
21,1,21,B Brown
65,3,26,C Flemister
-19,1,0,K Austin
42,3,19,M Dunner
29,1,29,K Brewer
29,1,29,L Nixon III
5,1,5,L Hamilton
27,2,15,J Campbell
13,1,13,G Henderson
31,1,31,D McCall
16,1,16,J Dixon
13,1,13,R Blackshear
121,2,86,T Brown
15,1,15,D Holmes
37,2,21,C Hubbard
15,1,15,L Brown
103,5,36,T Minter
51,1,51,I Harper
27,2,15,I Brown
17,1,17,D Price
10,1,10,J Redd
26,1,26,C Flemings
19,1,19,K Rogers
19,1,19,J Gardner
6,1,6,A Soesman
5,2,5,B Bramscher
0,1,0,D Williams
25,1,25,E Givens
22,2,11,M Ffrench
12,1,12,R Araujo Lopes
73,3,28,K Hamler
28,2,28,J Anthrop
-2,1,0,R Moore
30,2,17,J Washington
21,1,21,D Cotton
264,5,98,T Horne
2,1,2,D Grant
134,6,38,J Thomas
27,1,27,K Reed
16,1,16,D Harris
9,1,9,J Adams
17,1,17,C Scarlett
9,1,9,B Love
29,2,20,A Hackett
14,1,14,A Watkins
98,4,32,I Wright
25,1,25,D Randall
34,2,19,I King
0,1,0,J Molinich
21,1,0,D Jamison
16,1,0,K Stokes
47,2,29,S Huderson
19,1,19,G Fuselier
14,1,14,S Guarisco
39,2,27,M Jones
18,1,18,M Williams
18,1,18,R Paul
16,1,16,K Etwi
16,1,16,C Powell
23,1,23,T Watts
13,1,13,J Sheread
20,2,12,T Brown
9,1,9,T Dickson
15,1,15,R Randle
22,1,22,T Collins
21,1,21,B Presley
43,2,25,T Juniel
26,2,15,T Thornton
130,2,100,S Scarver
37,2,25,J Huntley
50,2,31,J Wakefield
19,1,19,T Taua
15,1,15,J Dotson
51,1,51,T Wheatley
46,2,27,C Farley
85,3,38,G Dortch
20,1,20,R Smenda Jr
150,6,32,S Simpson
20,1,20,K Young
31,1,31,S Ahmed
17,1,17,M Gaskin
100,5,36,J Santiago
23,1,23,T Harris
27,1,27,T Cottrell
17,1,17,J Lenard Jr
32,2,16,A Cruickshank
48,2,28,E Lilly
66,3,34,D Ruffin
54,2,31,G LaFrance
32,2,17,J Swann
40,3,26,M Simms
37,1,37,M Pettaway
37,2,19,N Payne
15,1,15,J Coates
7,0,7,M Toney
0,1,0,C Turner
21,1,21,A McAllister
10,1,10,B Simmons
23,1,23,S Scarver
20,1,20,D Thompkins
19,1,15,A Vaughns
59,2,33,J Cunningham
57,2,31,G Dortch
36,2,23,C Wade Jr
106,4,44,M Walker
14,1,14,D Jones
8,1,8,K White
25,2,14,T Hart
13,1,13,J Wilson
11,1,11,A Hall
26,1,26,P Hart
44,2,26,B Tutt
39,2,20,G Cross
11,1,11,D Stewart
17,1,17,A Wyche
11,1,11,S McCoy
63,3,23,J Augafa
114,2,84,J Taylor
31,2,19,C Peterson
4,2,4,J Nunley
36,1,36,J Whitlow
95,5,41,J Fleeks
34,2,17,R Marlow III
13,1,13,C Stephens
91,3,46,L Scott
20,1,20,I King
15,1,15,K Osborn
110,2,89,A Davis
30,1,30,J Hawkins
11,1,11,M McMorris
5,1,5,I Bunting
17,1,17,T Bell
15,1,15,K Yancy
9,1,9,L Taylor
37,2,28,B Jenkins Jr
10,1,10,W Kennedy III
16,1,16,T Bryant
10,1,10,C Washington Jr
110,4,40,K Dixon
15,2,15,Z Scott
3,1,3,A McLean
38,2,22,A Evans
33,1,33,A Dorsey
0,1,0,J Fire
38,2,19,K Whyte Jr
32,1,32,D Cannon
28,1,28,J Pierre
1,1,1,D Leconte
1,1,1,K Daub
78,6,20,Q Byrd
4,1,4,K Mitchell
50,2,30,D Price
70,3,30,M Young
49,3,20,I Rodgers
6,1,6,A Peah
82,2,51,A Hawkins
6,1,6,C Woerner
66,3,28,R Taylor
17,1,17,M Dunner
16,1,16,X Williams
10,1,10,E Nissen
