field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
3,3,1,1,47,John Carney
0,0,1,1,0,Shaun Suisham
1,2,2,2,21,Matt Stover
1,1,1,1,43,Shayne Graham
0,0,2,2,0,Dan Carpenter
0,1,2,2,0,Mike Nugent
1,1,2,2,37,Stephen Gostkowski
1,1,1,1,40,Nick Novak
1,1,5,5,44,Jeff Reed
1,1,2,2,34,Kris Brown
1,1,2,2,47,Rob Bironas
1,2,1,1,27,Josh Scobee
2,2,4,4,50,Jason Elam
0,0,3,3,0,Jason Hanson
2,3,4,4,38,Rian Lindell
1,1,1,1,45,Olindo Mare
1,1,3,3,34,Martin Gramatica
2,2,2,2,37,Matt Bryant
1,1,5,5,23,David Akers
1,1,0,0,46,Josh Brown
1,1,1,1,34,Phil Dawson
0,0,4,4,0,Nick Folk
1,1,3,3,27,Nate Kaeding
4,4,2,2,49,John Kasay
2,2,1,1,39,Joe Nedney
3,4,2,2,31,Neil Rackers
2,2,1,1,39,Adam Vinatieri
2,2,3,3,41,Robbie Gould
1,2,3,3,42,Mason Crosby
2,2,1,1,37,Ryan Longwell
0,0,2,2,0,Sebastian Janikowski
2,2,5,5,43,Matt Prater
0,1,1,1,0,Shayne Graham
1,1,3,3,34,Rob Bironas
3,3,1,1,50,Josh Scobee
2,2,2,2,45,Rian Lindell
3,3,2,2,56,Sebastian Janikowski
5,6,0,0,53,Ryan Longwell
1,2,1,1,47,Adam Vinatieri
2,2,2,2,45,John Kasay
1,1,2,2,26,Robbie Gould
3,3,2,2,53,Jason Hanson
2,2,6,6,39,Mason Crosby
2,2,1,1,54,Josh Brown
2,2,5,5,39,John Carney
3,5,2,2,36,Shaun Suisham
1,1,3,3,49,Martin Gramatica
1,1,3,3,33,Matt Bryant
3,3,0,0,32,Jason Elam
3,3,3,3,51,Olindo Mare
4,5,3,3,40,Joe Nedney
1,2,1,1,21,Jay Feely
4,4,1,1,37,Stephen Gostkowski
1,1,4,4,52,Matt Prater
3,3,3,3,34,Nate Kaeding
