assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
5,0,2,9,3,2,0,0,30,Bobby Jackson,4,,6,G,6,1,1,0,4
1,1,3,5,1,2,4,3,25,Vlade Divac,2,,5,G,5,0,0,0,3
3,0,1,10,7,1,0,0,20,Damon Jones,0,,18,F,1,0,6,4,2
3,0,4,15,6,2,4,4,34,Peja Stojakovic,0,,17,C,4,1,5,1,0
3,0,2,13,5,1,4,4,38,Hedo Turkoglu,0,,14,,2,2,2,0,1
3,2,10,13,4,3,4,1,30,Chris Webber,4,,9,,14,3,0,0,4
2,5,6,5,4,1,2,0,23,Keon Clark,3,,8,,9,1,0,0,2
1,1,2,8,5,4,5,4,22,Gerald Wallace,1,,15,,3,3,1,1,3
0,1,3,2,1,3,0,0,18,Scot Pollard,1,,2,,4,1,0,0,0
,,,,,,,,0,Doug Christie,,,,,,,,,
,,,,,,,,0,Mateen Cleaves,,,,,,,,,
,,,,,,,,0,Lawrence Funderburke,,,,,,,,,
1,0,1,8,6,2,0,0,32,Jumaine Jones,2,,12,G,3,0,0,0,2
1,3,3,2,0,2,0,0,20,Desagana Diop,1,,0,G,4,0,0,0,3
1,0,2,4,1,2,2,1,17,Milt Palacio,0,,3,F,2,3,0,0,3
2,1,4,22,6,3,4,1,33,Darius Miles,6,,13,C,10,0,0,0,2
3,0,3,17,6,0,8,5,42,Ricky Davis,1,,17,,4,0,0,0,4
0,1,8,11,3,4,4,4,30,Tyrone Hill,3,,10,,11,1,0,0,2
3,0,3,10,2,3,2,1,29,Bimbo Coles,1,,6,,4,2,3,1,2
0,0,4,0,0,3,0,0,17,Michael Stewart,0,,0,,4,0,0,0,1
0,0,0,6,2,1,0,0,12,Carlos Boozer,3,,4,,3,1,0,0,1
3,0,1,3,1,0,0,0,8,Smush Parker,0,,2,,1,0,1,0,0
,,,,,,,,0,Zydrunas Ilgauskas,,,,,,,,,
,,,,,,,,0,Chris Mihm,,,,,,,,,
5,2,5,29,9,3,12,8,43,Kobe Bryant,5,,27,G,10,4,2,1,6
3,0,1,9,1,2,4,4,33,Derek Fisher,0,,7,G,1,1,4,1,1
1,0,6,10,3,6,0,0,31,Robert Horry,1,,7,F,7,0,3,1,0
1,1,3,8,2,5,6,6,30,Devean George,2,,10,F,5,0,1,0,3
0,2,4,3,1,4,0,0,13,Soumaila Samake,2,,2,C,6,0,0,0,1
2,0,8,4,2,6,4,3,25,Samaki Walker,2,,7,,10,2,0,0,3
1,0,0,9,4,5,4,3,21,Stanislav Medvedenko,5,,11,,5,0,0,0,1
0,0,2,3,1,2,0,0,15,Tracy Murray,0,,3,,2,2,1,1,1
0,0,0,6,2,0,0,0,13,Brian Shaw,0,,4,,0,0,1,0,0
3,0,2,2,1,1,0,0,13,Jannero Pargo,0,,2,,2,1,0,0,1
0,0,0,2,1,0,0,0,3,Kareem Rush,0,,2,,0,0,1,0,1
,,,,,,,,0,Rick Fox,,,,,,,,,
3,0,3,7,5,2,2,1,27,Steve Smith,0,,12,G,3,2,2,1,0
2,0,2,10,0,2,2,2,21,Tony Parker,0,,2,G,2,1,1,0,3
1,5,10,14,3,4,13,8,37,Tim Duncan,0,,14,F,10,1,0,0,2
1,2,3,5,2,3,1,1,36,Bruce Bowen,4,,5,F,7,3,0,0,4
0,2,7,3,3,4,10,7,20,David Robinson,3,,13,C,10,1,0,0,2
1,0,9,7,4,4,10,8,31,Malik Rose,2,,16,,11,0,0,0,3
4,1,3,10,5,1,6,3,27,Speedy Claxton,2,,13,,5,2,0,0,3
3,1,2,9,3,3,0,0,20,Manu Ginobili,0,,7,,2,4,4,1,2
0,0,2,3,1,1,2,2,12,Danny Ferry,0,,5,,2,1,3,1,0
0,0,0,3,0,2,0,0,5,Stephen Jackson,0,,0,,0,0,0,0,1
0,0,0,0,0,0,0,0,3,Steve Kerr,0,,0,,0,0,0,0,0
0,0,0,0,0,0,0,0,1,Kevin Willis,0,,0,,0,0,0,0,0
5,4,4,24,13,3,5,3,42,Tracy McGrady,0,,31,G,4,0,5,2,3
3,0,4,9,3,2,2,2,34,Darrell Armstrong,3,,9,G,7,2,4,1,2
7,0,6,10,5,0,9,8,33,Grant Hill,0,,18,F,6,0,0,0,3
1,0,1,2,1,1,0,0,13,Horace Grant,0,,2,F,1,1,0,0,0
1,1,3,6,5,5,2,2,18,Pat Burke,0,,12,C,3,0,0,0,0
2,1,4,11,4,2,2,1,28,Mike Miller,0,,10,,4,0,5,1,3
2,0,2,7,2,5,2,1,26,Pat Garrity,0,,7,,2,0,4,2,0
1,1,6,5,3,3,0,0,15,Shawn Kemp,1,,6,,7,1,0,0,2
0,1,0,2,0,3,0,0,10,Ryan Humphrey,0,,0,,0,0,0,0,1
1,0,1,0,0,1,0,0,9,Andrew Declercq,2,,0,,3,0,0,0,1
