longest rush, name, rushes, rushing touchdowns, rushing yards
25,N Grigsby,21,0,122
4,R Marve,4,1,8
3,C Denmark,1,0,3
10,J Johnson,4,0,29
5,C Steele,3,0,10
3,M Gale,1,0,3
18,J Cornish,14,1,67
8,M Walter,7,0,32
10,B Mitchell,1,0,10
2,D Tate,2,0,4
2,J Sanders,2,0,3
12,B Whitaker,12,0,59
1,S Lumbala,1,1,1
11,A Harris,11,0,37
7,S Logan,4,0,11
6,K Williams,1,0,6
14,T Thomas,10,0,45
10,M Reilly,4,0,33
2,P White,3,0,5
0,C McCarty,1,0,0
19,A Allen,27,1,158
6,D Durant,1,0,6
11,Z Collaros,3,0,18
9,B Banks,1,0,9
5,C Gable,3,0,8
4,M Madu,1,0,4
2,D LeFevour,2,0,3
20,N Grigsby,14,3,62
3,D Willy,1,0,3
2,R Marve,2,0,2
17,C Walker,15,1,62
17,H Burris,2,0,20
4,J Smith,1,0,4
32,B Whitaker,12,1,76
21,T Smith,6,0,55
41,T Marsh,7,0,48
7,S Lumbala,6,0,16
8,K Stafford,1,0,8
10,S Logan,6,0,28
9,A Harris,7,0,26
10,K Glenn,2,0,16
11,K Williams,2,0,7
3,E Jackson,1,0,3
1,T Partridge,1,0,1
8,T Thomas,11,0,28
20,M Reilly,2,0,22
2,P White,1,0,2
13,C Gable,6,1,43
25,J Masoli,2,0,32
12,D LeFevour,6,1,27
2,M Madu,1,0,2
19,C Steele,8,2,59
28,A Coombs,6,0,52
12,R Ray,4,0,32
13,A Durie,2,0,18
19,A Allen,9,0,66
8,D Durant,2,0,24
8,N Hughes,3,0,17
0,T Sunseri,1,0,9
10,B Whitaker,14,0,68
9,K Stafford,3,0,18
7,T Marsh,5,0,16
14,N Grigsby,6,0,34
15,D Willy,2,0,15
1,R Marve,3,1,1
31,J White IV,15,0,99
12,M Reilly,8,0,48
65,C Walker,10,1,92
11,T DeMarco,2,0,11
6,H Burris,1,0,6
20,J Johnson,9,0,57
6,R Ray,3,0,13
5,T Harris,1,0,5
4,C Steele,1,0,4
3,M Gale,1,0,3
16,M Walter,10,0,46
17,A Parker,1,0,17
8,B Mitchell,3,0,16
6,J Sanders,5,0,15
4,D Tate,3,0,6
23,H Charles,13,0,86
9,D Durant,2,0,14
6,A Allen,3,0,7
2,T Sunseri,1,0,2
58,A Harris,18,1,138
13,S Logan,11,0,47
1,S Gore,1,0,1
13,N Grigsby,11,0,50
8,D Willy,2,0,9
1,R Marve,1,0,1
1,P Cotton,1,0,1
30,M Reilly,10,0,96
21,J White IV,18,0,92
3,P White,2,0,4
28,C Walker,12,0,60
12,H Burris,4,0,22
15,B Maher,1,0,15
11,C Steele,4,0,24
10,R Ray,4,0,23
5,S Slaton,4,0,11
6,A Coombs,1,0,6
6,T Sinkfield,1,0,6
2,M Gale,3,0,3
12,M Walter,11,0,56
26,B Sinopoli,1,1,26
16,B Mitchell,2,0,18
6,D Tate,3,0,9
2,J Sanders,1,0,2
28,B Banks,1,0,28
5,D LeFevour,7,0,15
13,L Tasker,1,0,13
5,J Masoli,3,0,9
7,C Gable,8,0,6
18,S Logan,9,0,74
20,A Harris,12,0,72
6,S Gore,1,0,6
1,T Partridge,1,1,1
0,R Lumbala,1,0,0
24,B Whitaker,11,0,65
19,T Marsh,1,0,19
6,B Rutley,1,0,6
1,T Smith,1,0,1
11,J White IV,11,0,41
20,K Lawrence,2,0,24
11,M Reilly,4,0,22
10,A Grymes,1,0,10
1,P White,1,1,1
20,J Sanders,16,0,86
7,B Mitchell,3,0,19
5,M Walter,1,0,5
3,A Parker,1,0,3
2,D Tate,2,0,2
11,A Harris,8,0,38
9,S Logan,8,0,32
12,E Arceneaux,3,0,28
2,T Partridge,1,0,2
17,N Grigsby,15,0,19
15,D Willy,4,0,18
9,C Denmark,1,0,9
4,M Pontbriand,1,0,4
0,R Marve,1,0,0
34,D LeFevour,13,1,109
47,C Gable,6,1,62
19,B Banks,3,0,26
10,C Walker,8,0,37
20,H Burris,9,0,32
38,W Ford,17,3,113
11,D Durant,3,1,28
6,A Allen,2,0,10
9,C Steele,7,0,32
17,A Coombs,1,0,17
7,J Johnson,3,0,11
3,R Ray,2,0,5
3,T Harris,1,0,3
2,M Gale,2,0,2
7,C Gable,6,0,18
7,D LeFevour,5,1,15
14,Q McDuffie,1,0,14
16,N Grigsby,13,1,56
15,D Willy,2,0,16
6,P Cotton,4,0,8
3,R Marve,1,1,3
10,B Whitaker,12,0,31
9,A Brink,2,0,13
0,L Taylor,1,0,0
2,T Marsh,2,0,0
24,S Slaton,12,0,52
8,R Ray,3,0,22
14,C Steele,2,0,18
1,M Gale,1,0,1
0,R Gill,1,0,0
57,M Mallett,14,0,116
7,J Sanders,4,0,15
1,D Tate,1,1,1
15,A Harris,15,0,70
9,S Logan,4,0,23
9,S Gore,1,0,9
3,T Partridge,2,0,5
1,K Glenn,1,0,1
20,C Walker,12,0,47
11,H Burris,2,0,21
23,W Ford,20,2,74
9,J Messam,3,0,14
14,D Willy,2,1,21
5,R Marve,2,0,8
6,N Grigsby,10,0,7
1,P Cotton,1,0,1
23,J Messam,19,0,126
11,W Ford,6,0,39
12,D Durant,4,0,21
17,B Whitaker,15,0,79
2,T Marsh,1,0,2
1,S Whyte,1,0,1
58,J White IV,7,1,108
20,K Lawrence,9,0,55
8,M Reilly,4,0,21
7,A Bowman,1,0,7
5,P White,2,0,6
19,K Glenn,2,1,36
7,A Harris,6,1,29
11,S Logan,9,0,16
4,R Lumbala,2,0,4
2,S Gore,1,0,2
63,D LeFevour,9,1,103
1,C Gable,1,0,1
11,R Cote,6,0,32
7,M Mallett,3,0,16
12,J Sanders,4,0,15
8,B Mitchell,2,1,13
8,A Parker,2,0,12
3,D Tate,1,0,3
3,M McDaniel,1,0,3
9,C Walker,8,1,22
6,H Burris,4,0,16
1,D Harper,1,0,1
19,C Steele,10,1,92
26,S Slaton,9,0,66
6,M Gale,4,0,10
5,A Woodson,2,0,6
37,N Grigsby,7,1,66
7,D Willy,2,0,13
3,R Marve,1,0,3
12,C Walker,14,0,58
30,M Reilly,8,0,78
15,K Lawrence,11,0,56
7,P White,4,0,20
7,T Thomas,3,0,14
13,A Guyton,1,0,13
14,M Madu,6,0,46
14,D LeFevour,8,0,42
14,B Banks,2,0,16
4,J Masoli,2,0,6
27,H Charles,14,0,102
14,B Mitchell,4,1,33
2,D Tate,3,1,4
25,J Messam,10,0,54
8,W Ford,9,0,31
17,D Durant,2,0,22
2,T Sunseri,1,0,2
17,A Brink,3,0,32
8,T Sutton,5,0,29
6,B Whitaker,11,0,28
7,T Marsh,2,0,9
16,C Steele,10,0,46
9,R Ray,1,0,9
5,J Johnson,3,0,7
2,M Gale,1,0,2
31,S Logan,19,1,145
4,T Brown,4,0,15
4,T Lulay,1,0,4
2,S Gore,1,0,2
1,J Beck,1,0,1
26,N Grigsby,10,1,73
8,P Cotton,4,0,12
5,D Willy,4,0,11
28,D Carter,1,0,28
7,B Whitaker,13,0,25
7,J Crompton,6,0,25
3,T Marsh,4,1,7
