longest punt, name, punt yards, punts
39,S Gaudion,39,1
43,M Aragon,173,5
49,L Hedley,170,4
50,T Townsend,134,3
75,M Turk,315,5
60,D Adams,401,9
28,M Naranjo,44,2
56,N OShea,353,9
41,E Finegan,52,2
44,G Souders III,129,4
56,J Oldroyd,147,3
41,B Lennon,81,2
56,A Osteen,168,4
63,C Faddoul,533,11
44,J Duarte,85,2
59,J Smith,180,4
72,W Lees,228,5
43,W Spiers,120,3
51,P Harvin III,345,8
52,B Buell,76,2
45,J Mitchell,196,5
54,L Magliozzi,193,4
52,E Silvester,338,8
41,J Herbers,170,5
57,B Dinkel,161,4
40,A Galland,101,3
50,C Root,132,3
34,N Sol,34,1
58,R Wright,180,4
57,T Heatherly,145,4
56,T Leo,93,2
55,B Mann,130,3
48,S OKelly,249,7
52,K Greenwell,335,8
64,A Craven,442,9
60,J Haggerty,110,2
51,T Wallace,218,6
57,C Bowler,98,2
61,J Pawloski,317,7
48,Z Potter,175,4
61,A Nunez,184,4
38,C Barnes,38,1
63,A Kinney,196,4
59,R Stonehouse,59,1
61,J Hartbarger,237,5
54,T Bennett,369,8
67,Q Conaway,291,6
53,C Strong,180,4
55,B Cormier,139,3
38,D Carollo,75,2
53,D Rodriguez,191,4
40,T Hutton,75,2
34,A Korsak,34,1
38,G Georgopoulos,167,5
55,T Schneider,318,7
36,S Shrader,36,1
59,A Lotti,204,5
55,D Maggio,213,5
49,A Dalton,273,7
38,J Carlson,38,1
37,C Scott,37,1
56,B Amor,173,4
55,C Grace,249,6
39,L Hogan,39,1
36,S Buechele,36,1
54,X Subotsch,133,3
53,G Taylor,263,6
40,S Loy,142,4
36,R Bauer,36,1
46,S Vernon,199,5
52,N Snyder,227,5
63,H Whitehead,155,3
50,I Power,146,4
51,M Quick,235,7
48,G Carlson,231,6
53,O Bradburn,273,6
52,J Velazquez,156,4
53,L Tyler,308,7
54,D Longhetto,140,3
58,D Whelan,339,8
12,M Prosser,12,1
59,J Julien,145,3
57,A Parker,243,6
41,W Reichard,80,2
51,B Hayes,184,4
36,J Wieland,213,7
31,M Sleep Dalton,31,1
57,K Kramer,300,7
41,J Rivera,115,3
47,Z Kibby,237,6
56,K Thompson,147,3
45,T Reiner,158,4
52,W Jones,177,4
61,M Duffy,324,6
58,B Flint,339,8
48,A Alves,351,8
56,S Hofrichter,295,6
46,R Byrns,133,3
42,T Day,80,2
44,M Mendez,138,4
53,Z Von Rosenberg,155,3
74,A Beck II,396,9
42,A Pecorella,115,3
54,C Spangler,54,1
72,I Moore,476,13
61,A Williams,263,6
54,M Brown,234,5
51,W Hart,208,5
51,K Ulbrich,341,9
47,R LeFevre,134,3
52,R King,307,7
46,R Udinski,70,2
0,O White,45,1
0,C Wilkinson,188,5
48,B Kiernan,208,5
59,J Charlton,216,5
53,T Gill,208,5
58,J Young,343,7
54,I Armstrong,273,6
57,J Brooks,287,7
51,M Ference,356,8
67,J Bohlken,394,9
59,T Dyer,421,9
60,M McRobert,416,9
38,A Kenworthy,74,2
47,S Laryea,298,7
59,D Chrisman,175,4
70,M Hayball,425,9
42,D Schaum Bartocci,151,4
43,B Cate,116,3
55,R Richter,192,4
18,J Nardone,18,1
56,B Maimone,342,7
49,A Siposs,270,6
48,K Christodoulou,172,4
49,N Griffin,182,4
32,B Gillikin,32,1
48,C Coffey,386,11
58,B Heicklen,441,9
53,D Lloyd,431,10
51,Z Everett,135,3
59,C McCullough,302,7
39,R Sanborn,163,5
53,D Kubiuk,180,4
45,J Sandy,142,4
72,M Pini,463,11
47,A Barry,123,3
65,A Pechin,413,8
47,J Doyle,47,1
46,B Wright,80,2
32,O Holdenson,32,1
48,R Bujcevski,123,3
39,B Farlow,71,2
56,T Sumpter,93,2
52,B Dennis,293,7
57,A McNamara,242,5
63,J Padmos,463,9
49,H Hicken,182,4
52,M Berz,391,9
38,B Griffiths,111,3
60,B Cusick,234,5
44,M Crawford,86,2
49,B Patterson,167,4
48,L Dean,110,3
48,D Balcomb,215,6
54,H Smith,330,7
65,J Camarda,108,2
52,J Whitford,100,2
38,R Porter,38,1
44,T Bowens,205,6
39,O Draguicevich,39,1
47,P Theisler,225,6
45,C McCreary,156,4
60,J Growden,323,8
51,H OKelly,214,5
64,R Galovich,263,6
58,T McCann,172,4
41,R Mundschau,41,1
69,D Roy,228,5
52,M King,207,5
46,J Bramblett,236,6
58,M Turk,238,5
56,S Clark,292,7
43,J Velazquez,109,3
49,R LeFevre,276,7
43,A Nunez,157,4
50,C Barnes,126,3
49,D Maggio,179,4
43,G Eberle,157,4
46,W Michael,120,3
54,J Wieland,329,9
47,K Greenwell,220,6
44,S Delong,123,3
39,W Reichard,39,1
65,P Theisler,353,8
48,X Subotsch,215,5
59,C Bowler,212,4
42,K Ostendorp,76,2
54,D Arnson,86,2
49,A Siposs,263,6
49,R Wright,321,8
52,N Snyder,181,4
57,A Mevis,270,6
51,I Power,131,3
56,L Dean,344,8
35,D Longman,67,2
34,G Carlson,34,1
42,J Larson,80,2
33,M Breckenridge,78,3
44,W Spiers,169,4
60,B Mann,269,6
60,A Kinney,271,6
51,I Armstrong,231,5
42,L Magliozzi,190,5
47,B Hayes,155,4
55,R Stonehouse,139,3
52,A Fellner,326,7
51,A Parker,112,3
45,M Rivers,293,7
35,J Young,66,2
58,J Pawloski,383,9
47,M Hayball,358,9
43,A Osteen,193,5
53,T Heatherly,316,7
55,J Haggerty,246,5
50,T Townsend,50,1
43,Z Cox,287,8
58,T Martin,214,5
52,J Porter,274,6
50,B Cusick,132,3
48,J Herbers,92,2
52,B Wright,136,3
43,G Atkins,125,3
48,J Camarda,96,2
51,S Dawson,319,7
