deflections, interceptions, name, sacks, tackles
0,0,D Dunn,1.000,3
0,0,A Hall,1.000,3
0,0,M Pontbriand,0.000,3
0,1,D Washington,0.000,5
0,0,J Johnson,0.000,3
0,0,A Suber,0.000,6
0,0,J Etienne,0.000,1
0,0,M Markett,0.000,1
0,0,T Edwards,0.000,1
0,0,C Denmark,0.000,1
0,0,F Harris,0.000,1
0,0,B Turner,1.000,1
0,0,D West,0.000,1
0,0,T Parker,0.000,9
0,0,H Muamba,0.000,5
0,0,C Muamba,0.000,5
0,0,B Stewart,0.000,5
0,0,K Mainor,1.000,1
0,0,C Greaves,0.000,1
0,0,C Cox,1.000,6
0,0,S Berry,0.000,1
0,0,A Lavarias,1.000,4
0,0,K Hebert,1.000,6
0,1,B Parker,0.000,3
0,1,G Tisdale,0.000,3
0,1,M Edem,0.000,1
0,0,S Lumbala,0.000,1
0,0,N Boulay,0.000,1
0,0,D Townsend,0.000,1
0,0,J Brown,0.000,1
0,0,J Bowman,0.000,2
0,0,J Verdone,0.000,3
0,0,L Brodeur Jourdain,0.000,1
0,0,S Emry,0.000,1
0,0,E Kuale,0.000,1
0,0,B Parker,0.000,4
0,0,J Robinson,0.000,5
0,0,R McCune,0.000,6
0,0,J Pottinger,0.000,1
0,0,M Ball,0.000,4
0,0,C Rempel,0.000,1
0,0,B Isaac,0.000,5
0,0,C Laing,1.000,1
0,0,J Hood,0.000,2
0,0,M Black,0.000,2
0,0,D Lee,0.000,2
0,0,J Gabriel,0.000,3
0,0,J Carter,0.000,2
0,0,A Bryan,0.000,5
0,0,S Horton,0.000,1
0,0,N Brown,1.000,1
0,0,K Mitchell,0.000,2
0,0,P Watkins,0.000,1
0,0,E Harris,0.000,3
0,0,J Johnson,0.000,4
0,0,M Fortin,0.000,1
0,0,O Jones,0.000,1
0,0,J Patrick,0.000,8
0,0,M Beswick,0.000,2
0,0,S Lawrence,0.000,2
0,0,R Colclough,0.000,4
0,0,D Breaux,0.000,4
0,0,R Hinds,0.000,1
0,0,M Knowlton,0.000,3
0,0,T Moore,0.000,1
0,0,B Boudreaux,0.000,2
0,0,E McCollough,0.000,2
0,0,J Wall,0.000,3
0,1,D Brooks,0.000,3
0,0,D Morley,0.000,2
0,0,Y Carter,0.000,2
0,0,C Hughes,3.000,4
0,0,J Hefney,0.000,10
0,0,B Smith,0.000,4
0,0,K McCartney,0.000,4
0,0,J Hecht,0.000,1
0,0,E Fraser,0.000,1
0,0,J Turner,0.000,1
0,0,N Lewis,0.000,1
0,0,M Jackson,0.000,2
0,0,M Walter,0.000,1
0,0,D Mayo,0.000,1
0,0,C Law,0.000,1
0,0,J Simpson,0.000,0
0,0,F Bennett,0.000,0
0,0,L Shell,0.000,1
0,0,K Smith,0.000,1
0,0,R Phillips,0.000,1
0,0,H ONeill,0.000,1
0,0,K Williams,0.000,2
0,0,E Arceneaux,0.000,1
0,0,S Gore,0.000,1
0,0,B Jordan,0.000,1
0,1,C Parks,0.000,8
0,0,J Arakgi,0.000,2
0,0,J Larose,0.000,2
0,0,R Lumbala,0.000,3
0,0,J Bell,0.000,3
0,0,D Marsh,0.000,5
0,0,K Banks,0.000,4
0,0,A Bighill,0.000,8
0,0,A McKenzie,0.000,7
0,0,J Sherritt,1.000,7
0,0,C Thompson,0.000,3
0,0,A Sewell,0.000,3
0,0,D Munoz,0.000,4
0,0,K Norris,0.000,3
0,0,T Hill,0.000,2
0,0,A Grymes,0.000,2
0,0,M Miller,0.000,3
0,0,B Lang,0.000,3
0,0,M Howard,0.000,2
0,0,D Oramasionwu,0.000,2
0,0,T Laurent,0.000,2
0,0,T Brackenridge,0.000,6
0,0,D Anderson,0.000,4
0,1,R Williams,0.000,4
0,0,C Butler,0.000,5
0,0,P Woldu,0.000,5
0,1,D Ferri,0.000,3
0,0,J McElveen,1.000,3
0,0,K Shologan,2.000,3
0,0,M Harris,0.000,4
0,0,J Chick,0.000,2
0,1,W Brown,0.000,2
0,0,C Huclack,0.000,2
0,0,B Parker,0.000,2
0,0,E Kuale,0.000,2
0,0,S Lumbala,0.000,1
0,0,S Emry,0.000,2
0,0,D Townsend,0.000,2
0,0,M Klassen,1.000,2
0,0,J Brown,0.000,2
0,0,A Cash,1.000,2
0,0,G Tisdale,1.000,4
0,0,M Edem,1.000,8
0,0,P Lavoie,0.000,3
0,1,S Berry,0.000,3
0,0,C Cox,0.000,9
0,0,K Hebert,1.000,9
0,0,J Bowman,0.000,1
0,0,E Gainey,0.000,1
0,0,M Brouillette,0.000,1
0,0,A Lavarias,0.000,1
0,0,J Richardson,0.000,1
0,0,D Clowney,0.000,1
0,0,B Parker,0.000,1
0,0,C Cvetkovic,0.000,1
0,0,J Goltz,0.000,1
0,0,B Stewart,0.000,1
0,0,S Morley,0.000,1
0,0,C Matthews,0.000,1
0,0,J Johnson,0.000,1
0,0,P Labbe,0.000,2
0,0,K Mainor,1.000,1
0,0,M Markett,0.000,1
