kickoff return yards, kickoff returns, longest kickoff return, name
34,2,20,Torieal Gibson
14,1,14,Charlie Todd
47,2,25,DaWaylon Cook
13,1,13,Lance Dunbar
58,2,32,Titus Young
33,1,33,Doug Martin
49,2,33,Walter Thurmond III
29,1,29,Kenjon Barner
17,1,17,Talmadge Jackson
61,3,27,Roger Williams
66,2,47,Jerrel Jernigan
29,3,20,David McDowell
32,1,32,Tandon Doss
29,1,29,Nick Polk
17,1,17,Demetrius McCray
111,3,60,David Sims
9,1,9,Taylor Mansfield
17,1,17,Eugene Jarvis
16,1,16,Derek McBryde
39,2,25,TJ Graham
39,2,24,Chris Culliver
123,5,54,Kee ayre Griffin
71,3,29,David Reed
21,1,21,Shaky Smithson
47,3,19,Omar Sawyer
103,4,48,Joyonte Taylor
24,1,24,Kealoha Pilares
64,3,38,Payten Jason
62,4,20,DJ Banks
76,3,39,Damaris Johnson
7,1,7,Laquentin Black
30,1,30,Brandon Thompkins
115,2,91,Dennis Johnson
64,2,34,Keola Antolin
66,4,19,Antonio Brown
29,1,29,Bryan Schroeder
12,1,12,Tim Phillips
49,2,26,Onterio McCalebb
16,1,16,Mario Fannin
7,1,7,Tommy Trott
121,6,27,Phillip Livas
20,1,20,Tyrone Duplessis
36,1,36,Keelan Johnson
34,1,34,Omar Bolden
26,1,26,Chris Fox
76,3,39,Shane Vereen
18,1,18,Jahvid Best
187,8,48,Torrey Smith
118,2,95,Quincy McDuffie
72,1,72,Darin Baldwin
0,1,0,Alex Thompson
96,1,96,CJ Spiller
39,1,39,Jacoby Ford
9,1,9,Chad Diehl
117,6,29,Desmond Gee
17,1,17,Phillip Tanner
10,1,10,Alex Suber
61,3,25,Requan Boyette
37,2,20,Jay Hollingsworth
20,1,20,Leon Wright
81,4,27,Dwayne Harris
22,1,22,Dominique Lindsay
38,2,22,Johnny Sears Jr
30,1,30,DeAnthony White
17,1,17,Cory Welch
0,1,0,Herb Waits
29,2,18,Damion Hunter
85,1,85,Brandon James
46,1,46,TJ Lawrence
104,7,25,Gerald Stevenson
42,2,24,Micheal Jefferson
45,2,29,Chastin West
85,3,38,Orwin Smith
41,2,31,Tyron Carrier
120,5,32,Troy Pollard
50,2,26,AJ Jenkins
23,1,23,Arrelious Benn
38,2,28,Jasper Simmons
13,1,13,Jerrell Jackson
33,2,17,Paki OMeara
20,1,20,Amari Spievey
18,1,18,Paul Chaney
20,1,20,Darrell Stuckey
14,1,14,Bradley McDougald
40,2,28,Brandon Banks
6,1,6,Hansen Sekona
57,3,29,Marlin Miller
9,1,9,Brandon Williams
100,3,40,Trent Guy
18,1,18,Keshawn Martin
16,1,16,Glenn Winston
78,5,20,Dustin Woods
19,2,10,Andre Bratton
21,1,21,Martavious Odoms
20,1,20,Darryl Stonum
111,5,26,Brandon West
61,3,29,Terrel Edwards Maye
23,1,23,Troy Evans
38,1,38,Leon Berry
15,1,15,Wade Bonner
24,1,24,Johnny White
12,1,12,Charles Brown
49,2,32,Niles Paul
35,3,17,Erick McIntosh
34,2,25,Avionne Rolle
27,1,27,Taviuos Polo
35,2,20,Tonny Glynn
33,1,33,Kama Bailey
28,1,28,Max Komar
82,3,49,Stephen Simmons
14,1,14,Brendan Smith
23,1,23,Theo Riddick
66,3,25,Mike Ball
22,2,16,Chris Wellington
58,3,29,Solomon Thomas
54,1,38,Brandon Saine
101,6,20,Gee Gee Greene
15,1,15,Chris Garrett
85,3,39,Robbie Frey
14,1,14,Robert McClain III
27,2,16,Ryan Broyles
39,3,16,McKay Jacobson
22,1,22,Steven Thomas
81,2,74,Perrish Cox
20,1,20,Victor Johnson
28,2,20,Branden Smith
23,1,23,Brandon Boykin
14,1,14,Fred Munzenmaier
49,1,49,James Rodgers
30,1,30,Jordan Poyer
37,1,37,Cameron Saddler
25,1,25,Antwuan Reed
43,2,23,Devon Smith
52,3,23,Dashan Miller
42,1,42,Jalil Carter
91,4,31,Aaron Valentin
15,1,15,Royce Adams
131,6,60,Julian Bellinger
47,2,30,Dontavia Bogan
17,1,17,Richard Kelly
23,1,23,Freddie Parham
154,5,79,Mike Jones
140,5,54,Troy Stoudermire Jr
21,1,21,David Oku
19,1,19,Dennis Rogan
108,5,26,Bobby Rainey
69,3,28,Derrius Brooks
111,2,89,DJ Monroe
27,1,27,Aaron Williams
18,1,18,Marquise Goodwin
105,5,27,Luther Ambrose
35,2,21,Darrell McNeal
19,1,19,Frank Goodin
52,3,24,Christine Michael
46,2,23,Demond Dennis
46,2,23,Frankie Solomon
16,1,16,Roland Bruno
6,1,6,Josh Fussell
115,4,47,Edward Britton
56,2,38,Mark Ferrell
41,2,21,Frantrell Forrest
200,6,49,Shane Turner
15,1,15,Charles Ross
98,2,65,Terrance Austin
76,4,25,Walter Kazee
66,3,27,Vincent Brown
31,1,31,Deante Purvis
25,1,25,CJ Gable
16,1,16,Curtis McNeal
89,4,27,Brandon Rutley
20,1,20,Ronnie Yell
14,1,14,Dominique Hunsucker
31,1,31,Cornelius Brown
21,2,25,Jeff Moturi
62,1,62,Domonic Cook
40,2,22,Terrell Jackson
10,1,10,Chris Johnson
29,2,15,Corey Mosley
16,1,16,Chris Cook
5,1,5,Vic Hall
0,1,0,Aaron Clark
-2,1,0,Patrick Slebonick
195,4,98,Dyrell Roberts
45,3,21,Davon Morgan
3,1,3,David Wilson
0,1,0,Ryan Williams
55,3,22,Javier Arenas
44,2,29,Terry Grant
35,2,22,Chris Givens
25,1,25,Junior Petit Jean
40,1,40,David Gettis
38,2,20,Mikail Baker
64,4,24,Jordan Polk
32,2,18,Quinton Richardson
11,2,6,Trindon Holliday
7,1,7,Keiland Williams
5,1,5,Chad Jones
90,3,38,James Montgomery
32,2,19,Aire Justin
143,3,85,Chris Owusu
62,3,34,David Gilreath
88,4,25,Tommy Davis
79,3,36,Mark Rodgers
14,1,14,Tavin Austin
0,1,0,Brandon Hogan
20,1,15,Marcell Gipson
138,5,34,Darrell Scott
5,1,5,Bryan Stengel
42,2,23,Dion Morton
62,4,30,Lance Smith
2,1,2,Jada Brown
28,1,28,Cordera Eason
23,1,23,Brandon Bolden
100,3,51,Greg Reid
19,1,19,Taiwan Easterling
8,1,8,Vincent Zann
2,1,2,Lonnie Pryor
0,1,0,Matt Dunham
177,5,63,Graig Cooper
4,1,4,Jordan Futch
37,2,20,Devin McCourty
30,1,30,Joe Lefeged
20,1,20,Tim Brown
46,3,18,Mardy Gilyard
14,1,14,Marcus Barnett
94,5,21,Orwin Smith
14,1,14,Embry Peeples
78,3,35,CJ Spiller
27,2,17,Jacoby Ford
17,1,17,Andre Ellington
70,4,33,Julian Bellinger
15,1,15,DaJuane Collins
204,8,44,Darrell Scott
14,1,14,Jalil Carter
25,1,25,Javier Arenas
5,1,5,Damion Square
120,2,96,Ty Hilton
54,4,23,Junior Mertile
11,1,11,Kreg Brown
89,5,29,Damion Hunter
7,1,7,Patrick Mealy
76,2,55,Connor Vernon
41,2,22,Requan Boyette
49,1,49,Terrell Turner
22,1,22,Keola Antolin
13,1,13,Orlando Vargas
81,4,28,Onterio McCalebb
24,1,24,Mario Fannin
186,7,34,Leon Berry
55,2,50,Eric Williams
40,2,25,Torieal Gibson
49,2,36,Jeff Smith
104,6,26,Anthony Bowman
38,1,38,Titus Young
64,5,18,Jamal Rogers
31,2,16,Dustin Woods
41,3,16,Domonic Cook
27,2,21,Ed Young
12,1,9,Mario Henry
7,1,7,Terrell Jackson
80,3,33,Cameron Saddler
14,1,14,Shariff Harris
34,1,34,Shane Vereen
5,1,5,John Tyndall
100,1,100,Darrin Williams
32,1,32,Mardy Gilyard
44,2,34,Jordan Todman
10,1,10,Robert McClain III
27,2,14,Johnny White
111,4,33,Dion Morton
26,1,26,Gerard Thomas
54,2,27,Brandon James
23,1,23,TJ Lawrence
66,4,21,Jerrel Jernigan
30,2,18,Maurice Greer
25,2,16,Chip Reeves
36,1,36,Greg Reid
18,1,18,Nigel Bradham
187,4,100,Brandon Boykin
56,2,48,Branden Smith
9,1,9,Fred Munzenmaier
122,4,57,Chris Culliver
19,1,19,Bryce Sherman
15,1,15,Akeem Auguste
2,1,2,Justice Cunningham
31,3,12,Zach Becker
6,1,6,Michael Hoomanawanui
47,2,28,Ray Fisher
149,5,41,Brandon West
61,3,26,David Sims
38,2,22,Leonard Johnson
20,1,20,Amari Spievey
37,2,25,Marlin Miller
36,2,22,Brandon Banks
25,1,25,Daniel Thomas
15,1,15,Keithen Valentine
30,1,30,Darrell McNeal
10,1,10,Rodney Lovett
35,2,21,Ron Brooks
56,3,20,Warren Norman
39,3,18,Jamie Graham
14,1,14,Ryan Van Rensburg
127,4,81,Torrey Smith
10,1,10,Tommy Galt
99,4,38,Glenn Winston
150,6,30,Antonio Brown
108,6,25,Martavious Odoms
94,1,94,Darryl Stonum
77,2,52,Barry Gallup Jr
23,1,23,Theo Riddick
62,2,36,Troy Stoudermire Jr
27,1,27,Hayo Carpenter
90,3,32,Jared Tew
69,3,27,Jasper Simmons
21,1,21,Jerrell Jackson
137,6,47,Roger Williams
16,1,16,Desmond Gee
13,1,13,Craig Heyward
121,5,37,Lance Smith
