average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
8.000,,8,Danny Amendola,0,1
0.000,,0,Patrick Chung,0,0
3.000,,7,Tyreek Hill,0,2
1.000,,3,DeAnthony Thomas,0,2
15.000,,17,Tarik Cohen,0,3
12.000,,15,Andre Roberts,0,2
4.000,,12,Alex Erickson,0,3
7.000,,15,Michael Campanaro,0,3
8.000,,19,Brandon Tate,0,4
9.000,,25,Kalif Raymond,0,3
11.000,,25,Jabrill Peppers,0,3
10.000,,13,Eli Rogers,0,3
0.000,,0,Ryan Switzer,0,1
1.000,,1,Dwayne Harris,0,1
9.000,,9,Trent Taylor,0,1
2.000,,4,Christian McCaffrey,0,3
16.000,,24,Jamal Agnew,0,3
0.000,,0,Kerwynn Williams,0,1
0.000,,0,Trevor Davis,0,2
7.000,,7,Tyler Lockett,0,1
5.000,,8,Tavon Austin,0,3
0.000,,0,Quan Bray,0,3
1.000,,3,Jamison Crowder,0,2
0.000,,0,Darren Sproles,0,0
21.000,,21,Tyler Ervin,0,1
7.000,,7,Marqise Lee,0,1
5.000,,5,Adoree Jackson,0,1
2.000,,5,Jalen Richard,0,2
16.000,,31,Isaiah McKenzie,0,3
-3.000,,-3,Travis Benjamin,0,1
5.000,,13,Marcus Sherels,0,2
0.000,,0,Ted Ginn,0,1
14.000,,26,Alex Erickson,0,4
20.000,,33,Adam Jones,0,2
5.000,,7,Tyler Ervin,0,3
10.000,,20,Isaiah McKenzie,0,2
19.000,,19,Ryan Switzer,0,1
17.000,,17,Bernard Reedy,0,1
5.000,,10,Tarik Cohen,0,2
23.000,,23,Travis Benjamin,0,1
7.000,,14,Jakeem Grant,0,3
8.000,,8,Tyreek Hill,0,1
10.000,,10,Darren Sproles,0,1
5.000,,16,Quan Bray,0,4
6.000,,6,Kerwynn Williams,0,1
0.000,,0,Andre Roberts,0,1
0.000,,0,Trevor Davis,0,0
4.000,,4,Marqise Lee,0,1
27.000,,46,Adoree Jackson,0,2
6.000,,11,Christian McCaffrey,0,5
1.000,,2,Kaelin Clay,0,2
13.000,,13,Jalen Richard,0,1
0.000,,0,TJ Carrie,0,0
5.000,,11,Kalif Raymond,0,2
6.000,,12,Tavon Austin,0,3
6.000,,6,Trumaine Johnson,0,1
6.000,,13,Jamison Crowder,0,2
6.000,,14,Michael Campanaro,0,3
0.000,,0,Lardarius Webb,0,0
0.000,,0,Jabrill Peppers,0,1
16.000,,16,Ted Ginn,0,1
0.000,,0,Patrick Chung,0,1
0.000,,0,Tyler Lockett,0,3
13.000,,21,Trent Taylor,0,3
0.000,,0,Eli Rogers,0,2
12.000,,12,Marcus Sherels,0,1
4.000,,10,Dwayne Harris,0,2
33.000,,88,Jamal Agnew,1,3
0.000,,0,Victor Bolden,0,1
9.000,,9,Trent Taylor,0,1
0.000,,0,Tavon Austin,0,1
0.000,,0,Tarik Cohen,0,1
5.000,,15,Eli Rogers,0,3
10.000,,17,Brandon Tate,0,2
16.000,,16,Isaiah McKenzie,0,1
4.000,,9,Travis Benjamin,0,3
5.000,,9,Tyreek Hill,0,2
5.000,,13,Quan Bray,0,3
0.000,,0,Jabrill Peppers,0,1
9.000,,9,Torrey Smith,0,1
0.000,,0,Darren Sproles,0,0
0.000,,0,Dwayne Harris,0,1
1.000,,2,Marqise Lee,0,2
0.000,,0,Michael Campanaro,0,0
7.000,,15,Jeremy Kerley,0,4
6.000,,13,Jakeem Grant,0,2
10.000,,10,Golden Tate,0,1
19.000,,27,Andre Roberts,0,2
14.000,,33,Trevor Davis,0,5
7.000,,20,Alex Erickson,0,4
0.000,,0,William Jackson,0,1
9.000,,9,Damiere Byrd,0,1
3.000,,3,Christian McCaffrey,0,1
12.000,,12,Ted Ginn,0,1
26.000,,33,Danny Amendola,0,2
6.000,,9,Tyler Ervin,0,3
5.000,,18,Jamison Crowder,0,4
2.000,,6,Jalen Richard,0,2
0.000,,0,TJ Carrie,0,0
10.000,,22,Adoree Jackson,0,5
10.000,,13,Tyler Lockett,0,3
0.000,,0,Marcus Sherels,0,0
0.000,,0,Bernard Reedy,0,0
0.000,,0,Patrick Peterson,0,1
4.000,,4,Kerwynn Williams,0,1
10.000,,21,Ryan Switzer,0,4
5.000,,5,Trevor Davis,0,1
3.000,,9,Tarik Cohen,0,2
7.000,,29,Isaiah McKenzie,0,5
4.000,,5,Jalen Richard,0,2
1.000,,7,Jabrill Peppers,0,3
6.000,,14,Alex Erickson,0,5
40.000,,40,Adam Jones,0,1
8.000,,15,Bernard Reedy,0,2
0.000,,0,Dwayne Harris,0,0
2.000,,7,Kerwynn Williams,0,3
5.000,,5,Patrick Peterson,0,1
10.000,,16,Trent Taylor,0,4
1.000,,3,Travis Benjamin,0,2
5.000,,13,Kenjon Barner,0,3
0.000,,0,Ryan Switzer,0,1
6.000,,7,Tavon Austin,0,3
4.000,,9,Jarvis Landry,0,2
8.000,,17,Ted Ginn,0,3
4.000,,11,Andre Roberts,0,2
0.000,,0,Micah Hyde,0,0
7.000,,7,Jeremy Kerley,0,1
0.000,,0,Marqise Lee,0,1
0.000,,0,Keelan Cole,0,0
0.000,,0,Danny Amendola,0,0
12.000,,13,Christian McCaffrey,0,2
0.000,,0,Michael Campanaro,0,1
7.000,,9,Antonio Brown,0,2
0.000,,0,Tyler Lockett,0,0
0.000,,0,Quan Bray,0,0
4.000,,4,Tyler Ervin,0,1
0.000,,0,Will Fuller,0,1
0.000,,0,Chris Thompson,0,1
3.000,,3,Adoree Jackson,0,1
4.000,,8,Marcus Sherels,0,4
0.000,,0,Jamal Agnew,0,0
0.000,,0,Golden Tate,0,0
0.000,,0,Tyreek Hill,0,1
0.000,,0,Jamison Crowder,0,0
9.000,,14,Bernard Reedy,0,3
17.000,,40,Danny Amendola,0,3
1.000,,5,Alex Erickson,0,4
20.000,,40,Brandon Tate,0,2
9.000,,16,Jabrill Peppers,0,3
8.000,,13,Jeremy Kerley,0,2
3.000,,13,Quan Bray,0,2
0.000,,-8,Krishawn Hogan,0,0
0.000,,0,Trent Taylor,0,1
-1.000,,-1,Ryan Switzer,0,1
7.000,,13,Jarvis Landry,0,4
6.000,,14,Jakeem Grant,0,3
7.000,,12,Adoree Jackson,0,2
36.000,,76,Kenjon Barner,0,3
7.000,,7,Kerwynn Williams,0,1
12.000,,17,Dwayne Harris,0,3
11.000,,19,Travis Benjamin,0,3
6.000,,6,Jamal Agnew,0,1
13.000,,13,Christian McCaffrey,0,1
7.000,,7,Jalen Richard,0,1
9.000,,10,Michael Campanaro,0,2
0.000,,0,Tavon Austin,0,2
0.000,,0,Cooper Kupp,0,0
10.000,,10,Tyler Lockett,0,1
