assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
14,1,8,14,9,3,2,1,32.383,Lebron James,3,26,19,F,11,0,3,0,4
2,0,10,15,6,3,12,9,24.983,Kevin Love,2,24,23,F,12,3,6,2,2
0,0,4,1,0,4,0,0,22.417,Tristan Thompson,2,17,0,C,6,0,0,0,2
2,0,3,13,3,1,0,0,25.233,JR Smith,0,13,8,G,3,1,8,2,0
4,0,1,22,12,1,1,1,29.800,Kyrie Irving,1,13,29,G,2,2,7,4,0
1,0,4,7,5,1,2,1,25.783,Richard Jefferson,0,17,13,,4,2,3,2,2
3,1,1,3,1,2,0,0,13.850,Iman Shumpert,1,-5,2,,2,0,1,0,2
2,0,4,3,2,0,0,0,22.533,Mike Dunleavy,0,19,4,,4,3,1,0,0
0,1,2,6,2,4,0,0,14.133,Channing Frye,2,7,6,,4,1,5,2,1
0,0,0,4,1,1,0,0,5.833,Jordan McRae,0,1,2,,0,0,0,0,0
3,1,3,3,2,1,0,0,12.000,Deandre Liggins,0,11,4,,3,0,0,0,1
0,1,0,1,1,0,0,0,5.567,Chris Andersen,0,1,2,,0,0,0,0,0
0,0,0,2,1,1,2,2,5.500,James Jones,0,1,5,,0,0,1,1,0
3,0,4,18,8,5,2,2,30.083,Carmelo Anthony,1,-19,19,F,5,1,4,1,4
0,2,3,13,5,5,6,3,32.800,Kristaps Porzingis,4,-21,16,F,7,1,5,3,2
3,0,5,1,0,1,0,0,19.517,Joakim Noah,1,-1,0,C,6,1,0,0,1
0,1,2,5,0,1,0,0,19.617,Courtney Lee,1,-19,0,G,3,0,2,0,2
1,1,1,17,7,1,2,2,29.583,Derrick Rose,2,-19,17,G,3,0,2,1,4
5,0,2,7,1,2,6,5,21.233,Brandon Jennings,1,-14,7,,3,0,4,0,1
1,0,1,4,1,2,0,0,16.617,Lance Thomas,0,-11,2,,1,2,0,0,1
2,0,5,7,2,0,2,2,26.450,Justin Holiday,1,-14,8,,6,1,3,2,0
0,0,0,3,2,1,0,0,9.433,Willy Hernangomez,1,-3,4,,1,0,0,0,1
1,0,0,1,0,1,2,1,3.300,Sasha Vujacic,0,-5,1,,0,0,1,0,1
0,0,1,3,2,0,0,0,6.733,Ron Baker,0,-5,5,,1,0,1,1,0
1,0,1,2,0,1,0,0,22.350,Maurice Harkless,0,-13,0,F,1,2,1,0,2
1,0,4,6,3,0,1,1,28.400,Al Farouq Aminu,0,0,9,F,4,1,3,2,1
1,0,1,4,1,4,0,0,14.567,Mason Plumlee,0,-7,2,C,1,0,0,0,0
3,0,1,16,8,3,7,7,34.600,CJ McCollum,1,12,25,G,2,1,2,2,3
6,0,8,20,13,3,9,9,35.417,Damian Lillard,1,1,39,G,9,0,6,4,4
5,1,5,7,1,1,1,1,26.017,Evan Turner,0,10,3,,5,1,0,0,0
3,0,3,10,6,2,2,2,29.150,Allen Crabbe,0,14,18,,3,0,5,4,2
1,1,4,3,2,2,2,2,24.117,Ed Davis,3,21,6,,7,0,0,0,0
0,1,1,5,5,1,0,0,16.100,Noah Vonleh,0,14,11,,1,0,1,1,0
1,0,1,2,0,1,0,0,9.250,Meyers Leonard,0,-7,0,,1,0,1,0,0
3,0,4,16,12,0,2,2,30.500,Joe Johnson,0,-2,29,F,4,1,4,3,2
0,0,2,8,1,5,0,0,32.167,Boris Diaw,1,1,2,F,3,0,3,0,1
2,2,10,7,4,3,4,4,40.950,Rudy Gobert,4,7,12,C,14,0,0,0,3
1,1,2,17,9,3,5,5,37.650,Rodney Hood,0,5,26,G,2,2,7,3,0
6,1,2,18,7,2,4,4,38.750,George Hill,0,2,19,G,2,2,6,1,1
1,0,0,1,1,2,0,0,14.100,Joe Ingles,0,-9,2,,0,1,0,0,1
