average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
9.000,,14,Trindon Holliday,0,4
13.000,,27,Wes Welker,0,2
13.000,,13,Lardarius Webb,0,1
0.000,,0,Leodis McKelvin,0,0
10.000,,16,Julian Edelman,0,3
0.000,,3,Devin Hester,0,2
13.000,,13,Adam Jones,0,1
0.000,,0,Brandon Tate,0,0
15.000,,31,Travis Benjamin,0,2
2.000,,5,Marcus Thigpen,0,3
1.000,,5,Darren Sproles,0,4
10.000,,13,Harry Douglas,0,2
9.000,,9,Jeremy Kerley,0,1
0.000,,0,Kyle Wilson,0,0
17.000,,28,Eric Page,0,2
0.000,,0,Ahmad Black,0,1
1.000,,1,Antonio Brown,0,1
11.000,,27,Darius Reynaud,0,5
7.000,,11,Micheal Spurlock,0,5
6.000,,6,Marcus Sherels,0,1
23.000,,23,TY Hilton,0,1
5.000,,5,Phillip Adams,0,1
10.000,,10,Ted Ginn,0,1
0.000,,0,Josh Thomas,0,1
12.000,,22,Golden Tate,0,4
0.000,,0,Will Blackmon,0,1
11.000,,36,Dexter McCluster,0,7
1.000,,1,Tavon Austin,0,1
1.000,,1,Patrick Peterson,0,1
4.000,,7,Kyle Williams,0,2
16.000,,16,Randall Cobb,0,1
9.000,,9,Jeremy Ross,0,1
9.000,,14,Dwayne Harris,0,2
5.000,,14,Rueben Randle,0,4
0.000,,0,Trumaine McBride,0,1
9.000,,9,Santana Moss,0,1
5.000,,5,Chris Thompson,0,1
0.000,,0,Damaris Johnson,0,0
5.000,,5,Eddie Royal,0,1
7.000,,9,Keshawn Martin,0,3
12.000,,17,Julian Edelman,0,6
3.000,,4,Kyle Wilson,0,2
2.000,,4,Harry Douglas,0,2
1.000,,5,Tavon Austin,0,4
19.000,,19,Leodis McKelvin,0,1
10.000,,12,Ted Ginn,0,2
0.000,,0,Marcus Sherels,0,0
11.000,,11,Jeremy Ross,0,1
0.000,,0,Randall Cobb,0,0
4.000,,6,Chris Thompson,0,2
9.000,,9,Darius Butler,0,1
7.000,,7,TY Hilton,0,1
13.000,,20,Dexter McCluster,0,3
22.000,,22,Dwayne Harris,0,1
14.000,,22,Tandon Doss,0,3
4.000,,18,Travis Benjamin,0,4
1.000,,4,Keshawn Martin,0,5
4.000,,8,Darius Reynaud,0,4
2.000,,8,Eddie Royal,0,2
3.000,,5,Patrick Peterson,0,3
0.000,,8,Micheal Spurlock,0,3
0.000,,2,Eric Page,0,2
-2.000,,-2,Darren Sproles,0,1
11.000,,30,Phillip Adams,0,3
0.000,,0,Usama Young,0,1
5.000,,5,Will Blackmon,0,1
6.000,,7,Rueben Randle,0,2
0.000,,0,Jerrel Jernigan,0,0
30.000,,81,Trindon Holliday,1,4
15.000,,33,Golden Tate,0,2
0.000,,0,Kyle Williams,0,1
5.000,,14,Brandon Tate,0,4
6.000,,6,Adam Jones,0,1
18.000,,40,Antonio Brown,0,2
4.000,,8,Damaris Johnson,0,3
6.000,,7,Dexter McCluster,0,2
0.000,,0,Brandon Tate,0,0
0.000,,0,Randall Cobb,0,0
0.000,,0,Jeremy Ross,0,0
7.000,,12,Cole Beasley,0,2
0.000,,1,Dwayne Harris,0,2
