name, rushes, rushing touchdowns, rushing yards
J Edwards,14,1,49
H Banks,10,1,43
T Williamson,1,0,5
K Wenning,6,2,-16
J Miller,9,0,29
C Hunt,8,0,19
M Coprich,7,0,15
C Keoshian,8,2,10
J Barnett,4,0,1
T Greene,22,0,88
M Johnson,9,0,50
R Moore,2,0,42
W Houston,10,3,29
F Coppet,8,0,27
J Douglas,12,0,22
C Green,5,0,14
T Watts,4,0,8
K Lucas,1,0,5
D Evans,1,0,2
C Way,1,0,0
S Johnson,20,2,99
W Stanback,7,0,38
C Thompson,3,0,16
R Hall,1,0,4
B Bortles,6,0,2
T Gabbert,1,0,-2
D Jones,5,0,54
C Hundley,10,0,50
K Pohl,7,0,17
J Chisholm,11,0,10
N Hirschman,1,0,5
Z DOrazio,1,0,-2
L McCombs,17,0,76
D Foxx,1,0,12
C Whitmer,9,0,-7
T West,36,2,156
S Phifer,8,1,39
P Athens,3,1,7
C Frazier,1,0,3
M Waller,8,0,30
J Quezada,7,1,29
D Carr,4,0,24
M Micenheimer,3,1,1
G Watson,1,0,-3
P James,22,0,182
S Huggins,6,0,15
G Nova,3,0,0
B Poueu Luna,1,0,19
A Wily,9,0,14
M Langkilde,8,0,12
S Lakalaka,4,0,11
D Saint Juste,2,0,3
T Graham,7,0,-36
T Madden,18,0,109
J Davis,14,1,74
J Allen,4,0,18
T Isaac,1,0,4
C Kessler,3,0,1
M Lee,1,0,-4
M Wittek,4,0,-10
T Coleman,14,2,169
A Davis,10,0,65
A Wilson,8,1,45
T Roberson,5,0,19
L Smith,2,0,11
S Houston,8,0,9
I Roundtree,1,0,4
D Roberts,2,0,1
S Bell,18,0,113
R Tonyan Jr,3,0,17
G Cheeseborough,6,0,13
B Logan,2,0,9
T High,2,0,6
T Reyes,1,0,-3
M Perish,6,0,-10
T Durham,21,0,92
C Reardon,10,0,38
A Meray,10,0,36
D Archer,3,0,10
E Calhoun,1,0,1
C Richardson,12,0,45
D Rice,6,0,7
J Woodrum,4,0,-19
P Nelson,12,2,83
D Cobb,6,0,69
D Kirkwood,11,0,30
M Leidner,3,1,25
R Williams Jr,4,0,13
C Banham,2,0,1
S Murray Lawrence,4,0,108
T Cornett,20,1,80
N Sherry,6,0,4
A Smith,2,0,3
K Whitely,1,0,-1
J Parker,22,1,170
W Pratcher,10,2,71
R Whatley,8,0,44
A Grammer,6,1,14
L Kilgore,2,0,-13
S Warren,13,1,55
T Mitchell,11,0,38
G Lewis,5,0,25
E Sullivan,6,0,-4
J Jones,9,0,92
B Bridge,7,1,56
C Dinham,7,0,21
K Houston,5,0,17
R Metheny,3,0,2
J Valentin,3,0,-1
R Martin,23,1,107
M Brown,9,0,40
B Miller,1,0,26
C Taele,2,0,-2
A Cantu,5,0,-37
M Davis,12,1,115
B Wilds,12,0,64
C Shaw,12,0,43
S Carson,2,0,6
R Morris,15,0,69
A Blue,8,0,37
M Williams,1,0,2
Q Davis,1,0,2
B Renner,11,0,-11
J Simpson,21,1,135
C Jones,1,0,6
J Lawson,4,0,5
T Ervin,2,0,2
D Fales,1,0,-6
E Graham,18,0,49
G Safron,15,0,19
D Coleman,6,0,18
O Darkwa,13,2,50
R Kelley,6,0,41
J Rounds,8,0,23
D Boutte,1,0,20
L Thompson,7,0,19
D Butler,1,0,6
N Montana,7,0,-1
T Gooden,20,0,57
E Ingram,7,1,24
L Ivy,10,0,22
J Moore,6,0,8
E Wells,2,0,3
J Moll,1,0,0
A Montgomery,2,0,-2
J Poole,12,0,47
K Williams,12,1,45
K York,10,0,30
D Anderson,2,0,17
T Wilson,8,0,9
C Keeton,15,1,85
J Hill,18,0,75
J DeMartino,3,0,7
B Natson,3,0,6
J Seymour,5,1,43
W Tate,17,2,39
B Kimbrow,6,0,37
A Carta Samuels,5,0,7
J Scott,12,1,138
B Wallace,18,2,48
R Nkemdiche,1,0,11
J Walton,2,0,6
B Brunetti,2,2,4
K Moore,1,0,0
J Armstrong,6,0,38
T Price,14,1,31
J Wilhite,3,1,30
J Harris,11,0,29
D Martin,5,0,21
O Reynolds,3,0,17
D Gibson,8,0,14
P Thompson,2,0,13
D Rouse,9,0,87
L Mayes,5,0,17
S Moreland,4,0,9
T Garrick,5,0,-9
A Santiago,16,3,120
L Dixon,12,0,107
H Tippett,7,0,34
R Maples,5,0,18
T Turrentine,1,0,11
T Baggett,1,0,5
L Brown III,19,0,75
H Walker Jr,10,0,56
R Council,12,1,47
O Johnson,3,0,11
T Martin,2,0,6
R Fisk,2,0,4
L Forbes,1,0,-4
S Higgins,2,0,-8
D Jenkins,12,1,139
B Denker,13,1,71
J Allen,2,1,67
J Baker,7,0,29
Z Bauman,21,0,71
C Jahn,8,0,30
J Thomas,1,0,2
K Poe,9,0,-9
R Jackson,10,2,120
K Farrow,20,0,97
J Hicks,10,1,59
D Spencer,1,1,45
R Hollimon,4,0,24
D Piland,3,0,23
J OKorn,2,0,4
D Coleman,22,0,91
D Joseph,3,0,6
K Favorite,4,0,5
L Mitchell,1,0,2
