average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
2.000,,6,Reggie Bush,0,3
1.000,,2,Bernard Berrian,0,2
10.000,,19,Roscoe Parrish,0,3
4.000,,6,Clifton Smith,0,2
3.000,,9,Devin Hester,0,5
1.000,,3,Stefan Logan,0,2
7.000,,12,Marc Mariani,0,3
6.000,,9,Johnnie Lee Higgins,0,2
10.000,,10,Yamon Figurs,0,1
4.000,,4,Brandon Tate,0,1
6.000,,11,Darius Reynaud,0,4
19.000,,28,Captain Munnerlyn,0,2
3.000,,7,Antwaan Randle El,0,2
10.000,,14,Eric Weems,0,2
6.000,,11,Micheal Spurlock,0,4
9.000,,15,Josh Cribbs,0,3
8.000,,17,Mike Thomas,0,3
0.000,,0,Rashean Mathis,0,0
4.000,,4,Perrish Cox,0,1
39.000,,39,Jacoby Jones,0,1
13.000,,13,Jerraud Powers,0,1
5.000,,12,Justin Forsett,0,3
13.000,,16,Ted Ginn,0,2
7.000,,10,DeSean Jackson,0,2
10.000,,10,Tramon Williams,0,1
9.000,,17,Danny Amendola,0,3
6.000,,9,Max Komar,0,5
11.000,,11,Dez Bryant,0,1
0.000,,0,Akwasi Owusu Ansah,0,0
27.000,,32,Jim Leonhard,0,2
4.000,,8,Kyle Wilson,0,2
1.000,,10,Tom Zbikowski,0,4
33.000,,94,Dexter McCluster,1,3
30.000,,36,Javier Arenas,0,2
6.000,,13,Darren Sproles,0,5
17.000,,17,Eric Weems,0,1
3.000,,6,Quan Cosby,0,2
6.000,,20,Tom Zbikowski,0,5
5.000,,5,Josh Cribbs,0,1
1.000,,4,Javier Arenas,0,4
22.000,,62,Dez Bryant,1,3
0.000,,0,Akwasi Owusu Ansah,0,0
-5.000,,-5,Devin Hester,0,1
11.000,,17,Stefan Logan,0,3
5.000,,13,DeSean Jackson,0,3
7.000,,9,Tramon Williams,0,3
0.000,,0,Roscoe Parrish,0,1
14.000,,38,Marc Mariani,0,3
4.000,,7,Antwaan Randle El,0,3
21.000,,21,Antonio Brown,0,1
7.000,,14,Greg Camarillo,0,2
0.000,,0,Bernard Berrian,0,1
2.000,,4,Captain Munnerlyn,0,3
0.000,,0,Jamar Williams,0,1
10.000,,23,Micheal Spurlock,0,2
27.000,,53,Johnnie Lee Higgins,0,2
0.000,,0,Brandon Myers,0,1
0.000,,0,Danny Amendola,0,1
3.000,,3,Perrish Cox,0,1
-1.000,,-1,Eddie Royal,0,1
41.000,,63,Golden Tate,0,2
0.000,,0,Walter Thurmond,0,1
5.000,,7,Jim Leonhard,0,2
13.000,,15,Julian Edelman,0,2
0.000,,0,Kevin Faulk,0,0
0.000,,0,Phillip Buchanon,0,0
7.000,,13,Jacoby Jones,0,4
8.000,,12,Jerraud Powers,0,3
3.000,,3,Darius Reynaud,0,1
7.000,,16,Phillip Adams,0,4
14.000,,43,Reggie Bush,0,3
5.000,,12,Greg Camarillo,0,5
0.000,,0,Stefan Logan,0,1
6.000,,6,Drayton Florence,0,1
3.000,,3,Roscoe Parrish,0,1
0.000,,0,Bryan Scott,0,1
72.000,,72,Lance Moore,0,1
0.000,,0,Thomas DeCoud,0,1
5.000,,6,Darius Reynaud,0,2
7.000,,19,Javier Arenas,0,3
14.000,,30,Dexter McCluster,0,3
0.000,,0,Kyle Williams,0,1
8.000,,8,Antwaan Randle El,0,1
0.000,,0,Captain Munnerlyn,0,0
8.000,,10,Quan Cosby,0,5
12.000,,17,Tom Zbikowski,0,2
-1.000,,-1,Chris Carr,0,1
0.000,,0,Josh Cribbs,0,1
6.000,,7,Jacoby Jones,0,2
12.000,,12,Dez Bryant,0,1
12.000,,41,Mike Thomas,0,5
10.000,,12,Jorrick Calvin,0,3
0.000,,0,DeSean Jackson,0,0
0.000,,0,Jeremy Maclin,0,0
10.000,,21,Danny Amendola,0,2
0.000,,1,Phillip Buchanon,0,2
3.000,,4,Andre Roberts,0,2
0.000,,0,Dominique Rodgers Cromartie,0,1
0.000,,0,Matt Ware,0,1
2.000,,5,Johnnie Lee Higgins,0,3
14.000,,31,Golden Tate,0,3
11.000,,13,Patrick Crayton,0,2
14.000,,28,Eddie Royal,0,4
0.000,,0,Perrish Cox,0,1
4.000,,4,Jerraud Powers,0,1
18.000,,18,Davone Bess,0,1
8.000,,8,Kyle Wilson,0,1
0.000,,0,Jim Leonhard,0,0
31.000,,62,Devin Hester,1,3
10.000,,10,Tramon Williams,0,1
16.000,,19,Eric Weems,0,2
0.000,,0,Kyle Williams,0,0
12.000,,26,Roscoe Parrish,0,4
11.000,,17,Jim Leonhard,0,4
12.000,,15,Kyle Wilson,0,3
0.000,,0,Josh Cribbs,0,0
3.000,,5,Quan Cosby,0,2
-4.000,,-4,Adam Jones,0,1
11.000,,11,Tramon Williams,0,1
15.000,,15,Stefan Logan,0,1
9.000,,9,Marc Mariani,0,1
9.000,,14,Eddie Royal,0,4
4.000,,9,Danny Amendola,0,4
0.000,,0,Mardy Gilyard,0,0
6.000,,18,Golden Tate,0,3
4.000,,10,Lance Moore,0,3
4.000,,4,Tracy Porter,0,1
9.000,,13,Captain Munnerlyn,0,2
2.000,,4,Antwaan Randle El,0,2
6.000,,10,Tom Zbikowski,0,3
7.000,,8,Jerraud Powers,0,2
1.000,,4,Johnnie Lee Higgins,0,3
9.000,,14,Jacoby Jones,0,2
0.000,,0,David Anderson,0,0
6.000,,13,Darren Sproles,0,3
19.000,,19,Andre Roberts,0,1
10.000,,12,DeSean Jackson,0,2
25.000,,53,Brandon Banks,0,3
0.000,,0,Phillip Buchanon,0,0
2.000,,9,Darius Reynaud,0,5
3.000,,6,Devin Hester,0,2
11.000,,13,Davone Bess,0,2
0.000,,0,Wes Welker,0,1
6.000,,9,Mike Thomas,0,3
13.000,,27,Adam Jones,0,2
0.000,,0,Quan Cosby,0,0
8.000,,11,Micheal Spurlock,0,2
3.000,,3,Josh Cribbs,0,1
8.000,,8,Eric Weems,0,1
12.000,,17,Stefan Logan,0,2
18.000,,24,Danny Amendola,0,2
1.000,,4,Kenny Moore,0,3
0.000,,0,Dexter McCluster,0,0
15.000,,30,Brandon Banks,0,3
15.000,,52,Tramon Williams,0,5
3.000,,4,Captain Munnerlyn,0,3
22.000,,50,Devin Hester,0,3
10.000,,12,Tom Zbikowski,0,2
10.000,,10,Chris Carr,0,1
0.000,,0,Eddie Royal,0,0
6.000,,17,David Anderson,0,4
4.000,,11,Darius Reynaud,0,5
2.000,,4,Andre Roberts,0,2
0.000,,0,Lance Moore,0,0
46.000,,46,Nick Miller,0,1
10.000,,11,Darren Sproles,0,2
0.000,,2,Dez Bryant,0,3
0.000,,0,Marc Mariani,0,0
4.000,,11,Ted Ginn,0,2
11.000,,22,DeSean Jackson,0,2
3.000,,7,Kyle Wilson,0,2
7.000,,7,Jim Leonhard,0,1
22.000,,22,Greg Camarillo,0,1
46.000,,89,Devin Hester,1,2
0.000,,5,Golden Tate,0,4
2.000,,4,Tramon Williams,0,3
11.000,,12,Davone Bess,0,2
18.000,,42,Danny Amendola,0,4
6.000,,9,Darren Sproles,0,2
9.000,,22,Wes Welker,0,3
8.000,,10,Julian Edelman,0,2
-1.000,,-1,Chris Carr,0,1
0.000,,0,Tom Zbikowski,0,0
18.000,,20,Darius Reynaud,0,2
14.000,,21,Stefan Logan,0,2
23.000,,44,Jorrick Calvin,0,2
4.000,,4,DeSean Jackson,0,1
18.000,,18,Eric Weems,0,1
0.000,,0,Antwaan Randle El,0,1
0.000,,0,Chansi Stuckey,0,1
0.000,,0,Jacoby Jones,0,1
12.000,,16,Javier Arenas,0,2
4.000,,4,Dexter McCluster,0,1
-3.000,,-3,Lance Moore,0,1
9.000,,20,Ted Ginn,0,4
6.000,,13,Nick Miller,0,4
32.000,,32,Eddie Royal,0,1
0.000,,0,Syd Quan Thompson,0,0
8.000,,13,Jim Leonhard,0,2
6.000,,6,Kyle Wilson,0,1
6.000,,10,Greg Camarillo,0,4
1.000,,3,Dez Bryant,0,2
0.000,,0,Akwasi Owusu Ansah,0,0
16.000,,17,Brandon Banks,0,2
10.000,,16,Kenny Moore,0,3
8.000,,8,Jerraud Powers,0,1
-1.000,,-1,Mike Thomas,0,2
9.000,,9,Marc Mariani,0,1
0.000,,0,Eric Weems,0,0
5.000,,5,Adam Jones,0,2
0.000,,0,Quan Cosby,0,0
12.000,,12,Devin Hester,0,1
5.000,,9,Brandon Banks,0,4
10.000,,20,Marc Mariani,0,4
8.000,,16,Jorrick Calvin,0,2
0.000,,0,Javier Arenas,0,0
49.000,,49,Mike Thomas,0,1
13.000,,16,Davone Bess,0,2
1.000,,3,Antwaan Randle El,0,2
0.000,,5,Lance Moore,0,2
13.000,,17,Josh Cribbs,0,3
0.000,,62,Eric Wright,0,0
5.000,,6,Micheal Spurlock,0,2
9.000,,14,Danny Amendola,0,2
7.000,,32,Steve Smith,0,5
6.000,,6,Captain Munnerlyn,0,1
8.000,,12,Ted Ginn,0,3
0.000,,0,Ed Reed,0,0
0.000,,0,Lardarius Webb,0,0
0.000,,0,Roscoe Parrish,0,0
0.000,,0,Golden Tate,0,0
9.000,,22,Andre Roberts,0,4
12.000,,12,Darren Sproles,0,1
18.000,,34,Julian Edelman,0,2
10.000,,10,Syd Quan Thompson,0,1
7.000,,17,Nick Miller,0,6
5.000,,9,Tramon Williams,0,2
13.000,,13,Greg Camarillo,0,1
93.000,,93,Dez Bryant,1,1
5.000,,12,Darius Reynaud,0,3
