extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
0,0,1,1,17,N Setta
0,0,4,4,39,D Duval
0,0,2,4,40,S Deangelis
0,0,0,1,0,P McCallum
0,0,3,3,34,A Serna
0,0,2,5,49,M Vanderjagt
0,0,1,1,36,L Congi
0,0,4,5,54,N Prefontaine
0,0,2,2,50,M Vanderjagt
0,0,3,1,18,N Setta
0,0,5,3,0,N Prefontaine
0,0,1,1,24,S Deangelis
0,0,1,1,0,D Duval
0,0,1,1,9,A Serna
0,0,4,4,41,L Congi
0,0,4,3,36,D Duval
0,0,4,3,40,S Deangelis
0,0,2,1,38,N Prefontaine
0,0,2,2,31,M Vanderjagt
0,0,2,2,48,A Serna
0,0,2,3,37,P McCallum
0,0,2,1,48,N Setta
0,0,1,1,41,Q Porter
0,0,2,2,0,L Congi
0,0,2,2,44,S Deangelis
0,0,4,5,25,P McCallum
0,0,1,2,42,A Serna
0,0,4,4,0,L Congi
0,0,1,1,26,D Duval
0,0,3,2,47,M Vanderjagt
0,0,4,3,68,N Prefontaine
0,0,8,5,45,A Serna
0,0,2,2,45,S Deangelis
0,0,2,2,47,N Setta
0,0,4,4,36,N Prefontaine
0,0,5,5,39,P McCallum
0,0,2,2,43,D Duval
0,0,2,2,46,L Congi
0,0,2,2,41,M Vanderjagt
0,0,5,5,51,D Duval
0,0,1,2,42,N Setta
0,0,2,2,42,N Prefontaine
0,0,3,3,41,P McCallum
0,0,6,4,46,M Vanderjagt
0,0,2,1,39,A Serna
0,0,4,5,43,S Deangelis
0,0,2,3,0,L Congi
0,0,2,3,23,N Setta
0,0,2,2,31,M Vanderjagt
0,0,1,1,36,L Congi
0,0,3,3,46,S Deangelis
0,0,4,1,27,A Serna
0,0,6,6,52,D Duval
0,0,1,2,45,P McCallum
0,0,1,2,23,N Prefontaine
0,0,2,4,0,A Serna
0,0,1,1,0,N Setta
0,0,3,2,0,M Vanderjagt
0,0,5,3,0,D Duval
0,0,4,5,42,N Prefontaine
0,0,0,1,0,L Congi
0,0,2,2,44,P McCallum
0,0,5,5,36,S Deangelis
0,0,2,2,37,D Duval
0,0,1,1,34,P McCallum
0,0,4,5,47,L Congi
0,0,2,2,38,A Serna
0,0,3,3,27,S Deangelis
0,0,3,2,29,N Prefontaine
0,0,3,2,43,N Setta
0,0,4,4,50,M Vanderjagt
0,0,5,4,42,N Prefontaine
0,0,3,3,49,S Deangelis
0,0,2,2,0,N Setta
0,0,4,5,0,P McCallum
0,0,1,3,30,D Duval
0,0,2,2,34,M Vanderjagt
0,0,1,1,0,A Serna
0,0,2,2,29,L Congi
0,0,3,4,42,M Vanderjagt
0,0,1,1,28,A Serna
0,0,2,3,18,S Deangelis
0,0,2,3,45,D Duval
0,0,1,1,21,N Prefontaine
0,0,4,4,45,N Setta
0,0,2,2,45,P McCallum
0,0,3,3,45,L Congi
0,0,0,1,0,N Setta
0,0,2,3,42,A Serna
0,0,4,4,37,S Deangelis
0,0,1,2,35,M Vanderjagt
0,0,4,4,24,D Duval
0,0,1,1,24,N Prefontaine
0,0,0,3,0,A Serna
0,0,0,1,0,N Prefontaine
0,0,3,3,35,M Vanderjagt
0,0,5,4,40,S Deangelis
0,0,1,2,28,P McCallum
0,0,1,1,29,N Setta
0,0,0,1,0,D Duval
0,0,4,4,40,L Congi
0,0,2,2,38,M Vanderjagt
0,0,1,1,18,P McCallum
0,0,3,4,47,L Congi
0,0,4,4,39,S Deangelis
0,0,3,3,25,N Setta
0,0,3,3,40,D Duval
0,0,2,2,48,N Prefontaine
0,0,2,1,37,A Serna
0,0,1,2,34,A Serna
0,0,3,4,47,M Vanderjagt
0,0,2,2,40,P McCallum
0,0,2,3,27,N Prefontaine
0,0,2,3,27,D Duval
0,0,1,1,8,N Setta
0,0,4,5,43,S Deangelis
0,0,1,1,51,L Congi
0,0,2,2,25,P McCallum
0,0,2,3,46,M Vanderjagt
0,0,4,5,42,D Duval
0,0,3,3,48,A Serna
0,0,2,3,55,L Congi
0,0,2,3,0,N Setta
0,0,1,1,28,N Setta
0,0,3,2,27,S Deangelis
0,0,1,1,41,L Congi
0,0,1,1,33,N Prefontaine
0,0,1,1,22,P McCallum
0,0,0,1,0,M Vanderjagt
0,0,1,1,22,D Duval
0,0,3,4,33,A Serna
0,0,1,1,14,M Vanderjagt
0,0,1,2,9,L Congi
0,0,3,3,28,D Schiavone
0,0,4,4,51,A Serna
0,0,2,3,53,N Setta
0,0,2,2,43,S Deangelis
0,0,2,4,43,P McCallum
0,0,2,3,43,A Serna
0,0,2,4,28,N Prefontaine
0,0,4,4,46,L Congi
0,0,3,3,41,P McCallum
0,0,2,2,27,D Duval
0,0,2,2,45,N Prefontaine
0,0,3,2,42,S Deangelis
0,0,6,6,35,P McCallum
0,0,2,2,19,D Duval
0,0,5,5,50,S Deangelis
