kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
0,0,0,44,J Bartel,172,5
379,6,68,73,C Milo,280,6
439,8,75,48,P McCallum,273,7
0,0,0,53,M Renaud,394,10
0,0,0,53,B Dales,361,8
132,2,73,61,N Prefontaine,366,8
0,0,0,63,R Maver,195,4
129,2,66,51,S Whyte,376,9
452,8,63,45,S Whyte,153,4
0,0,0,47,M Renaud,133,3
346,6,63,54,P McCallum,389,9
0,0,0,53,J Bartel,366,8
503,8,67,44,N Prefontaine,85,2
0,0,0,61,R Maver,292,6
126,2,67,71,C Milo,539,11
0,0,0,62,B Dales,468,10
478,8,64,58,S Whyte,368,8
0,0,0,52,R Maver,335,8
0,0,0,62,B Dales,312,6
0,0,0,48,M Renaud,350,8
315,5,68,42,C Milo,161,4
275,4,72,50,P McCallum,164,4
0,0,0,57,J Bartel,478,11
67,1,67,50,N Prefontaine,254,6
171,3,61,48,A Alix,93,2
341,5,72,54,S Waters,454,10
0,0,0,53,M Renaud,341,8
415,7,69,0,J Palardy,0,0
0,0,0,52,R Maver,310,7
330,5,69,0,R Paredes,0,0
433,7,69,52,C Milo,417,9
182,3,62,49,P McCallum,223,6
0,0,0,50,B Dales,164,4
0,0,0,49,J Bartel,276,7
248,4,66,51,S Whyte,226,5
0,0,0,61,M Renaud,317,7
0,0,0,65,B Dales,459,10
366,6,65,57,S Whyte,298,6
330,5,72,51,S Waters,305,7
466,7,94,52,C Milo,145,3
0,0,0,56,J Bartel,396,8
0,0,0,59,R Maver,178,4
409,7,94,48,P McCallum,93,2
0,0,0,54,M Renaud,421,10
160,3,64,0,J Palardy,0,0
332,6,65,61,S Whyte,335,7
132,2,73,53,S Waters,297,7
241,4,62,55,P McCallum,418,10
0,0,0,50,J Bartel,449,10
233,4,60,0,L Congi,0,0
0,0,0,53,R Maver,400,9
0,0,0,62,B Dales,295,6
280,4,76,0,G Shaw,0,0
113,3,62,56,C Milo,225,5
0,0,0,66,M Renaud,398,10
384,6,82,0,J Palardy,0,0
0,0,0,56,J Bartel,235,5
250,4,70,0,L Congi,0,0
0,0,0,62,B Dales,338,7
360,6,68,55,S Whyte,254,6
0,0,0,62,R Maver,341,7
197,3,68,61,S Waters,203,4
281,5,63,44,P McCallum,195,5
51,1,51,48,C Milo,220,5
354,6,60,50,S Whyte,204,5
0,0,0,47,J Bartel,211,5
0,0,0,55,M Renaud,331,7
235,4,61,55,P McCallum,255,6
114,2,61,43,C Milo,120,4
38,1,38,0,S Deangelis,0,0
0,0,0,50,R Maver,211,6
204,3,76,45,S Waters,249,6
0,0,0,53,B Dales,182,4
361,6,68,53,S Whyte,279,6
312,5,64,56,P McCallum,305,7
0,0,0,68,C Milo,229,5
0,0,0,56,M Renaud,341,9
0,0,0,59,J Bartel,309,7
309,5,71,54,S Waters,284,7
0,0,0,85,R Maver,290,6
342,5,87,67,G Shaw,255,5
0,0,0,63,B Dales,160,3
114,2,58,66,G Shaw,479,11
0,0,0,49,R Maver,338,8
517,8,70,54,E Wilbur,130,3
0,0,0,48,J Bartel,186,4
428,8,73,49,P McCallum,219,5
152,3,60,55,S Whyte,363,9
0,0,0,63,M Renaud,278,6
0,0,0,73,C Milo,388,8
0,0,0,53,R Maver,282,6
0,0,0,52,M Renaud,399,9
0,0,0,45,J Bartel,170,4
67,1,67,47,G Shaw,367,9
339,6,60,47,P McCallum,158,4
199,3,69,57,S Waters,271,6
368,7,61,48,S Whyte,161,4
0,0,0,54,C Milo,252,6
0,0,0,44,M Renaud,215,6
0,0,0,49,J Bartel,277,7
193,3,67,74,G Shaw,407,8
114,2,63,57,P McCallum,232,5
320,6,60,49,S Whyte,217,5
138,2,76,64,S Waters,400,8
0,0,0,49,C Milo,221,6
0,0,0,44,R Maver,206,5
0,0,0,49,J Bartel,177,4
253,5,62,48,S Whyte,327,8
0,0,0,44,R Maver,256,7
238,4,63,51,G Shaw,329,8
0,0,0,44,M Renaud,186,5
388,5,95,69,S Waters,269,6
0,0,0,57,C Milo,310,7
137,3,69,68,P McCallum,376,8
362,6,69,56,G Shaw,287,6
0,0,0,44,J Bartel,190,5
186,4,61,55,P McCallum,281,7
0,0,0,45,R Maver,194,5
274,5,60,47,S Whyte,183,4
0,0,0,50,M Renaud,239,6
0,0,0,52,K Jones,480,12
464,8,61,50,S Deangelis,310,7
0,0,0,44,C Milo,44,1
0,0,0,43,J Bartel,187,5
456,8,62,50,P McCallum,79,2
0,0,0,48,M Renaud,137,3
0,0,0,48,R Maver,262,6
477,7,75,65,G Shaw,166,3
171,3,60,49,S Deangelis,184,6
0,0,0,59,N Prefontaine,487,11
301,5,65,54,S Whyte,381,8
0,0,0,46,N Prefontaine,171,4
0,0,0,53,M Renaud,263,6
348,6,66,44,P McCallum,176,5
311,5,65,72,G Shaw,415,9
336,6,69,33,S Deangelis,132,5
227,4,71,60,S Whyte,306,7
0,0,0,52,R Maver,177,5
0,0,0,56,J Bartel,382,9
0,0,0,67,R Maver,309,7
180,4,62,54,P McCallum,398,11
0,0,0,60,J Bartel,409,10
0,0,0,61,M Renaud,378,10
184,3,63,58,S Deangelis,208,5
0,0,0,44,N Prefontaine,214,6
231,4,62,62,S Whyte,350,8
221,4,69,70,G Shaw,349,7
0,0,0,52,N Prefontaine,312,7
0,0,0,50,J Bartel,137,3
351,6,62,55,G Shaw,175,4
0,0,0,51,R Maver,263,6
0,0,0,72,M Renaud,328,7
163,3,58,65,S Whyte,479,11
120,2,66,46,P McCallum,274,7
105,2,55,50,S Deangelis,305,8
0,0,0,50,N Prefontaine,203,5
215,5,70,53,G Shaw,310,7
0,0,0,52,R Maver,343,8
344,6,63,54,R Schmitt,342,8
327,6,61,52,S Whyte,188,4
0,0,0,62,N Prefontaine,202,4
181,4,61,49,P McCallum,206,5
0,0,0,51,R Maver,184,4
0,0,0,53,N Prefontaine,312,7
0,0,0,57,R Maver,279,6
