interception touchdowns, interception yards, interceptions, name
1,23,1,A Lopez
0,3,1,T Flowers
0,6,1,A Adams
0,0,1,E Ederaine
0,0,1,J Camilli
0,0,1,C Milton
0,3,1,J Gener
0,33,1,D McCartney
0,26,1,C Awuzie
1,29,1,J Johnson
0,25,1,N Carpenter
0,5,1,E Murray
0,2,1,J Diggs
0,0,2,S Moore
0,0,1,Z Carmichael
1,55,1,J Thomas
0,10,1,M Williams
0,0,1,C Butler Byrd
0,17,1,J Clark
0,0,1,N Holt
0,0,1,N Newton
0,7,1,D Thompson
0,1,1,K King
0,15,2,B Baker
0,0,1,T Winchester
0,0,1,M Hungalu
0,32,1,D Richardson
0,28,1,T Wright
0,9,1,T Sells
1,24,1,C Winfield
0,0,1,V Copeland
0,0,1,M Nicholson
1,22,1,R Ladipo
0,41,1,E Jackson
0,0,1,L Gibbs
0,12,1,H Toliver
0,35,1,T Matthews
0,13,1,T Washington
0,7,2,J Harvey Clemons
0,1,1,W Harris
0,11,1,N Gilbo
0,0,1,B Ross
1,14,1,C Walker
1,8,1,D Downs
0,0,1,L Rubenzer
0,0,1,D Allensworth
0,1,1,A Jones
0,29,1,D Elliott
0,0,1,J Hawkins
0,13,1,T Ward
0,2,1,A Young
0,43,1,V Hargreaves
0,26,1,A Davis
0,11,1,A McDonald
0,24,1,D Pierson
0,0,1,J Forrest
0,0,1,J Harmon
0,1,1,T Walker
0,26,1,N Thomason
0,18,1,X Woods
0,4,1,A Burns
0,0,1,R Jenkins
0,0,1,T Reid
1,93,1,T Elston
1,75,1,D Sanders
0,0,1,M Stevens
0,43,1,N Gerry
0,0,1,M Hannemann
0,0,1,S Lurry
1,32,1,T Green
0,17,1,K Queiro
0,0,1,D Scott
0,17,1,J Williams
0,4,1,C Seisay
0,37,1,Z Espinosa
0,5,1,A Cioffi
0,0,1,R Buchanon
0,0,1,J Reaves
2,86,2,C Munson
0,-7,3,D Kazee
0,0,1,T Fullwood
0,-2,1,J Spencer
0,24,1,W Redmond
0,3,1,R Brown
0,26,1,S Finch
0,0,1,C LeBlanc
0,0,1,H Miller
0,7,1,K Brown
0,7,1,J Simone
1,47,1,J Gaines
0,0,1,T Nguema
0,0,1,A Pickett
0,32,1,S Cravens
0,20,1,C Hawkins
0,0,1,D Askew Henry
0,0,3,K Joseph
2,85,2,T Lang
0,32,1,K Baxter
0,0,1,T Letman
0,0,1,L Clark
0,0,1,D Frye
0,0,1,T Powell
0,0,1,P Iworah
0,3,1,R Jenkins
0,0,1,A Burns
0,0,1,G Paul
0,0,1,M Williams
0,1,1,K Baker
0,0,1,W Steelhammer
0,24,1,J Pruitt
0,45,1,B Sentimore
0,19,1,C Humes
0,0,1,C Girley
0,35,1,J Gibson
0,9,2,K Brothers
0,0,1,C Jones
0,77,1,J Cutrer
0,0,1,K Byard
0,0,1,D Rogers
0,0,1,J Ford
0,-7,1,X Howard
1,16,1,C Strachan
1,76,3,K Nacua
0,29,2,D Deayon
0,0,1,E Rambo
0,0,1,D White
0,0,1,J Whittaker
0,-1,1,B Dozier
0,21,1,A Wells
0,0,1,W Hayes
0,0,2,T Matakevich
1,15,1,C Watkins
0,6,1,B Boulware
0,0,1,J Kearse
0,0,1,L Gibbs
0,0,1,J Law
0,0,1,T Annese
0,0,1,R Moeller
0,0,1,A Adams
0,0,1,B Boddy Calhoun
0,-3,1,J Myrick
1,39,1,J Tabor
0,2,1,B Fulp
0,0,1,M White
0,18,3,A Glover
0,0,1,D White
0,54,2,T Barton
1,96,1,J Cook Jr
0,0,1,J McKinnon
0,11,1,D King
0,10,1,N Holley
0,59,1,C Williams
0,58,1,T Stewart
0,0,1,A McDonald
0,7,1,J Brooks
0,38,2,D Turner
0,0,1,C Stephens
0,30,1,M Nicholson
0,0,1,R Williamson
0,25,1,U Amadi
0,0,1,R Mageo
0,70,1,C Johnson
1,38,1,T Elston
0,22,1,C Brown
1,56,1,S Edwards
