average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
3.000,,3,Ricardo Colclough,0,1
2.000,,2,Santonio Holmes,0,1
0.000,,0,Ike Taylor,0,1
26.000,,47,Wes Welker,0,3
0.000,,0,Troy Walters,0,0
23.000,,60,Arnaz Battle,0,3
4.000,,7,Chris Gamble,0,3
9.000,,13,Allen Rossum,0,3
20.000,,31,Dennis Northcutt,0,2
7.000,,13,Reggie Bush,0,3
3.000,,6,Eddie Drummond,0,3
10.000,,22,Jimmy Williams,0,4
14.000,,28,Charles Woodson,0,3
20.000,,84,Devin Hester,1,5
7.000,,13,Chad Owens,0,4
5.000,,8,Jamaica Rector,0,4
1.000,,5,Dante Hall,0,3
2.000,,2,Keiwan Ratliff,0,1
14.000,,14,Kevin Faulk,0,1
0.000,,0,Roscoe Parrish,0,1
6.000,,9,Chad Morton,0,2
1.000,,1,Terrence Wilkins,0,1
0.000,,0,Shaun McDonald,0,1
3.000,,3,DaWilliams,0,1
9.000,,18,Mark Jones,0,5
14.000,,24,BJ Sams,0,4
0.000,,0,Evan Oglesby,0,1
7.000,,13,Adam Jones,0,3
5.000,,7,Leon Washington,0,2
0.000,,0,Jerricho Cotchery,0,0
0.000,,0,Phillip Buchanon,0,1
0.000,,0,Derrick Lewis,0,0
8.000,,11,Brian Westbrook,0,3
0.000,,5,Chris Carr,0,3
6.000,,14,Eric Parker,0,5
9.000,,15,Antwaan Randle El,0,3
13.000,,20,Mewelde Moore,0,2
15.000,,15,Allen Rossum,0,1
10.000,,10,Mark Jones,0,1
16.000,,16,BJ Sams,0,1
9.000,,22,Chris Carr,0,4
3.000,,12,Devin Hester,0,4
5.000,,5,Eddie Drummond,0,1
7.000,,8,Keiwan Ratliff,0,2
4.000,,9,Dennis Northcutt,0,2
8.000,,12,Patrick Crayton,0,4
13.000,,16,Terence Newman,0,3
9.000,,14,Antwaan Randle El,0,5
3.000,,7,DaWilliams,0,2
14.000,,21,Dante Hall,0,5
3.000,,9,Charles Woodson,0,3
9.000,,14,Reggie Bush,0,4
14.000,,25,Lance Moore,0,2
6.000,,11,Terrence Wilkins,0,3
7.000,,7,Wes Welker,0,1
14.000,,26,Roscoe Parrish,0,5
3.000,,11,Mewelde Moore,0,6
6.000,,24,Chris Gamble,0,3
6.000,,6,Leon Washington,0,1
6.000,,6,Kevin Faulk,0,1
0.000,,0,Troy Brown,0,0
14.000,,22,Dexter Wynn,0,3
6.000,,6,RW McQuarters,0,1
0.000,,0,Chad Morton,0,1
11.000,,25,Eric Parker,0,3
0.000,,0,Keenan McCardell,0,0
6.000,,10,Jimmy Williams,0,4
7.000,,16,Troy Walters,0,4
7.000,,7,Arnaz Battle,0,1
30.000,,30,Shaun McDonald,0,1
6.000,,8,Alvin Pearman,0,3
4.000,,4,Chad Owens,0,2
3.000,,3,Ricardo Colclough,0,1
0.000,,0,Santonio Holmes,0,0
0.000,,0,Troy Walters,0,0
7.000,,14,Shaun McDonald,0,2
4.000,,7,Roscoe Parrish,0,2
9.000,,17,Tim Dwight,0,2
7.000,,9,Dennis Northcutt,0,2
0.000,,0,Mason Unck,0,1
5.000,,14,BJ Sams,0,5
6.000,,13,Eddie Drummond,0,4
8.000,,11,Charles Woodson,0,3
27.000,,82,Terrence Wilkins,1,3
14.000,,21,Alvin Pearman,0,4
1.000,,10,Wes Welker,0,2
7.000,,15,Adam Jones,0,4
8.000,,8,Mewelde Moore,0,2
4.000,,6,Devin Hester,0,3
10.000,,12,Kevin Faulk,0,3
0.000,,0,Troy Brown,0,0
-3.000,,-2,DaWilliams,0,2
2.000,,2,Rod Smith,0,1
0.000,,0,Ricardo Colclough,0,2
14.000,,14,Santonio Holmes,0,1
0.000,,0,Keiwan Ratliff,0,0
7.000,,7,Jimmy Williams,0,1
15.000,,15,Chad Morton,0,1
4.000,,6,Brandon Williams,0,3
15.000,,23,Reno Mahe,0,2
0.000,,0,Dexter Wynn,0,0
8.000,,8,Ronde Barber,0,1
1.000,,1,Mark Jones,0,1
7.000,,13,Chris Gamble,0,4
8.000,,9,Phillip Buchanon,0,2
4.000,,4,Antwaan Randle El,0,1
11.000,,11,Lance Moore,0,1
5.000,,14,Allen Rossum,0,4
41.000,,41,Allen Rossum,0,1
22.000,,22,Troy Walters,0,1
17.000,,17,BJ Sams,0,1
12.000,,25,Eric Parker,0,4
0.000,,0,Jim Leonhard,0,1
0.000,,0,Roscoe Parrish,0,0
16.000,,16,Mewelde Moore,0,1
1.000,,3,Chris Gamble,0,2
0.000,,3,Reggie Bush,0,2
1.000,,4,Lance Moore,0,2
9.000,,26,Devin Hester,0,5
3.000,,6,Jimmy Williams,0,2
7.000,,7,Antonio Chatman,0,1
0.000,,0,Keiwan Ratliff,0,0
18.000,,43,Kevin Faulk,0,3
27.000,,60,Dante Hall,1,3
2.000,,2,Brandon Williams,0,1
12.000,,12,Tim Dwight,0,1
8.000,,14,Terrence Wilkins,0,3
7.000,,7,Chris Carr,0,1
24.000,,58,Dennis Northcutt,0,3
5.000,,5,Shaun McDonald,0,1
2.000,,2,Eddie Drummond,0,1
0.000,,0,Bobby Wade,0,0
10.000,,20,Terence Newman,0,2
0.000,,0,Patrick Crayton,0,0
6.000,,12,Phillip Buchanon,0,3
11.000,,11,Wes Welker,0,1
3.000,,15,Antwaan Randle El,0,4
1.000,,1,Alvin Pearman,0,1
14.000,,16,Dexter Wynn,0,2
14.000,,14,Reno Mahe,0,1
8.000,,11,Charles Woodson,0,2
10.000,,11,Troy Walters,0,2
4.000,,8,Dante Hall,0,2
6.000,,6,Eddie Kennison,0,1
