extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
2,2,2,2,51,L Hajrullahu
4,4,4,4,50,B Maher
0,0,1,2,58,J Medlock
2,2,2,3,47,B Bede
3,3,5,5,39,S Whyte
2,2,4,4,55,C Milo
0,0,2,3,43,R Leone
1,2,1,3,43,R Paredes
1,1,1,3,53,B Bede
2,2,2,3,41,C Milo
1,1,3,4,35,T Crapigna
3,3,3,3,50,L Hajrullahu
0,0,0,2,0,B Maher
2,2,3,5,44,R Leone
2,3,3,3,38,R Paredes
3,3,0,0,0,J Medlock
3,3,1,1,48,B Maher
2,2,4,6,46,J Medlock
1,1,6,7,48,L Hajrullahu
0,0,0,0,0,Z Medeiros
1,2,2,4,32,C Milo
1,2,4,5,42,R Paredes
3,4,2,2,51,S Whyte
3,4,3,3,45,T Crapigna
2,3,0,0,0,L Hajrullahu
3,3,3,4,31,C Milo
1,1,3,4,43,J Medlock
2,2,2,3,29,S Whyte
0,0,2,3,43,B Bede
2,2,5,5,56,B Maher
2,2,4,5,47,T Crapigna
2,2,1,1,29,R Leone
1,1,3,3,46,J Medlock
2,4,2,2,49,R Paredes
2,2,5,5,53,T Crapigna
1,1,6,4,38,C Milo
4,4,1,1,42,S Whyte
2,3,3,3,44,B Maher
3,3,0,2,0,L Hajrullahu
2,2,0,3,0,B Bede
2,2,3,3,47,S Whyte
2,2,5,5,42,J Medlock
5,5,1,2,13,B Bede
0,0,1,1,38,T Crapigna
2,3,5,5,46,R Paredes
4,4,1,2,20,R Leone
2,2,2,2,55,C Milo
1,1,5,5,53,L Hajrullahu
4,4,3,3,31,J Medlock
0,0,1,1,45,B Maher
1,1,1,2,18,B Bede
1,1,5,7,46,R Leone
2,3,5,5,35,R Paredes
0,0,3,4,42,J Mark
2,2,3,4,25,C Milo
0,0,3,4,52,S Whyte
1,2,2,2,24,S Whyte
0,0,4,5,44,A Fera
2,2,1,1,32,L Hajrullahu
4,4,2,2,49,J Medlock
1,1,1,3,54,Q Van Gylswyk
1,1,4,4,0,R Paredes
4,4,1,2,27,R Leone
1,1,3,3,54,B Maher
1,2,2,2,39,C Milo
4,6,1,1,50,A Fera
0,0,3,4,37,R Leone
2,2,3,3,45,R Paredes
4,5,4,4,45,S Whyte
6,6,3,3,22,B Maher
0,0,2,2,43,T Crapigna
2,2,3,3,46,C Milo
0,0,1,2,23,R Leone
1,1,1,2,26,A Fera
2,2,6,6,47,J Medlock
3,3,3,3,36,S Whyte
2,3,1,1,29,T Crapigna
1,1,5,5,45,R Paredes
1,1,1,1,47,B Maher
1,1,2,2,44,L Hajrullahu
0,0,3,3,47,R Leone
1,1,2,2,52,A Fera
1,1,4,6,36,C Milo
0,1,1,3,41,T Crapigna
1,1,7,8,52,J Medlock
3,3,3,3,33,R Paredes
3,3,0,0,0,S Whyte
5,5,2,2,39,B Maher
3,3,3,3,42,L Hajrullahu
3,4,1,1,17,R Leone
1,1,4,4,42,S Logan
2,2,1,3,35,J Medlock
1,1,1,1,14,T Crapigna
2,2,2,3,16,S Whyte
2,2,2,3,40,R Paredes
3,3,4,4,36,L Hajrullahu
2,2,2,3,51,B Maher
1,1,4,4,51,B Maher
1,1,2,3,49,A Fera
4,4,6,6,53,J Medlock
4,4,0,1,0,L Hajrullahu
3,3,2,2,40,R Paredes
1,1,3,3,48,C Milo
1,1,1,1,48,T Crapigna
1,1,5,5,41,S Whyte
2,2,5,5,44,C Milo
0,0,2,3,27,L Hajrullahu
3,3,2,2,32,S Whyte
0,0,3,2,43,R Leone
1,1,3,4,47,R Paredes
4,4,0,0,0,J Medlock
2,2,2,2,48,T Crapigna
2,2,1,3,33,B Maher
1,1,4,5,54,J Medlock
3,3,3,3,29,S Whyte
0,0,3,3,58,B Maher
2,2,2,2,44,R Paredes
1,3,2,2,39,R Leone
3,3,4,4,43,C Milo
5,5,1,1,25,A Fera
0,0,3,3,41,L Hajrullahu
3,3,0,2,0,C Milo
2,2,6,7,50,T Crapigna
4,4,3,3,48,J Medlock
3,3,4,5,46,R Leone
2,2,1,2,38,A Fera
4,5,2,2,23,S Whyte
2,2,2,2,41,L Hajrullahu
2,2,4,4,36,R Paredes
4,4,0,1,0,B Maher
3,3,3,3,35,C Milo
3,3,3,5,52,R Leone
2,2,7,7,51,J Medlock
0,0,1,1,17,L Hajrullahu
3,3,2,2,41,T Crapigna
1,1,1,3,25,R Paredes
3,3,3,3,46,C Milo
2,3,4,5,38,B Maher
2,2,3,3,48,R Paredes
1,1,2,2,15,L Hajrullahu
1,1,1,1,42,T Crapigna
1,2,2,3,49,B Bede
2,2,3,4,41,R Leone
2,3,1,1,31,S Whyte
2,2,1,2,40,B Maher
2,3,3,3,43,S Whyte
1,1,1,1,37,J Medlock
0,0,2,2,29,R Early
0,0,2,2,42,T Crapigna
0,2,0,2,0,R Leone
2,2,1,1,36,B Bede
0,0,2,2,39,R Paredes
2,2,2,2,39,R Early
3,3,4,4,20,J Medlock
1,1,3,3,51,B Maher
4,4,1,1,16,B Bede
5,5,2,2,40,S Whyte
2,2,1,1,29,L Hajrullahu
2,2,4,4,44,P McCallum
2,2,1,2,28,T Crapigna
0,1,2,3,24,B Maher
0,0,0,0,0,G Shaw
2,2,3,3,42,S Whyte
2,2,0,0,0,P McCallum
3,3,3,4,37,J Medlock
1,2,2,2,36,R Early
2,2,1,2,33,S Whyte
4,4,2,2,34,R Paredes
3,4,2,2,37,R Early
3,4,2,2,32,R Paredes
