longest reception, name, receiving touchdowns, receiving yards, receptions
41,A Kelly,2,100,5
47,C Watson,1,72,2
18,C Denmark,0,36,3
14,J Feoli Gudino,1,36,4
17,N Moore,0,32,2
12,N Grigsby,0,17,2
15,R Kohlert,0,15,1
11,T Sherman,0,11,1
8,C Volny,0,8,1
27,C Owens,0,78,8
16,A Durie,0,53,5
21,J Barnes,1,52,4
20,S Watt,0,42,4
16,A Robinson,0,16,1
12,C Steele,0,16,2
14,D Adams,0,14,1
7,M Bradwell,0,7,1
5,J Johnson,1,5,1
0,M Price,1,102,1
36,J Fuller,0,56,3
28,J Cornish,0,41,3
35,S Charbonneau Campeau,0,35,1
17,M McDaniel,0,30,2
10,B Sinopoli,0,17,4
16,A Parker,1,16,1
16,N Lewis,0,16,1
13,E Deslauriers,0,34,4
12,D Carter,0,32,4
15,S Green,0,30,3
9,K Stafford,0,14,2
9,C Johnson,0,14,2
55,A Harris,1,102,6
18,S Gore,0,43,3
38,E Jackson,0,38,1
21,K Williams,0,30,2
9,C Taylor,0,24,3
7,K Poblah,0,11,2
3,T Player,1,3,1
35,A Bowman,1,105,9
17,S Chambers,0,43,4
23,F Stamps,1,40,2
7,N Coehoorn,0,20,3
9,C McCarty,1,11,3
9,A Guyton,0,9,1
4,T Thomas,0,4,1
32,C Getzlaf,0,42,2
12,B Swain,1,29,3
11,A Allen,0,18,3
10,T Smith,0,18,2
12,C Schilens,0,12,1
6,R Bagg,0,9,2
4,N Hughes,0,4,1
4,R Smith,0,4,1
12,S Giguere,0,46,6
13,L Tasker,1,37,4
15,B Grant,0,35,4
16,M Madu,0,16,1
9,C Koch,0,13,2
7,B Banks,0,12,2
51,N Moore,0,88,5
47,A Kelly,0,63,3
45,N Grigsby,0,50,2
15,C Denmark,0,46,4
12,R Kohlert,0,25,3
11,J Feoli Gudino,0,21,3
14,M Pontbriand,0,14,1
26,K Johnson,0,76,5
39,M Henry,0,52,3
29,C Walker,1,37,2
26,D Collins,1,35,3
15,J Delahunt,0,26,2
11,M Carter,0,11,1
4,P Jackson,0,4,1
38,S Green,0,66,3
20,B London,0,51,5
14,K Stafford,0,31,3
9,B Whitaker,0,21,3
10,E Deslauriers,0,20,2
29,E Jackson,0,72,6
15,C Taylor,1,52,5
21,K Williams,0,38,2
14,S Gore,0,14,1
11,R Lumbala,0,11,1
42,F Stamps,0,74,5
17,A Guyton,0,54,8
11,N Coehoorn,1,40,6
15,A Bowman,0,39,3
21,S Chambers,0,26,3
11,T Thomas,0,20,4
46,C Koch,0,79,2
39,L Tasker,0,54,3
24,C Gable,1,53,6
8,B Grant,0,28,4
15,M Coates,0,15,1
12,B Banks,0,12,1
0,C Owens,1,159,11
0,A Durie,0,77,5
0,S Watt,0,53,3
0,J Chiles,0,46,2
0,J Barnes,1,39,4
0,A Coombs,0,17,1
0,A Dupuis,0,6,1
1,M Bradwell,1,5,1
0,C Steele,0,5,1
0,B Swain,0,76,3
0,T Smith,1,69,2
0,R Smith,0,51,2
0,A Allen,1,50,7
0,E Riley,0,38,3
0,R Bagg,0,29,1
0,S McHenry,0,18,2
48,B London,0,77,4
49,K Stafford,1,64,2
46,C Johnson,1,46,1
21,B Whitaker,0,42,5
25,S Green,1,36,3
27,E Deslauriers,0,27,1
10,S Lumbala,0,17,2
49,N Moore,0,84,7
24,R Kohlert,0,62,4
21,C Denmark,0,45,4
18,J Feoli Gudino,1,31,4
18,N Grigsby,0,25,4
9,A Kelly,0,9,1
41,A Bowman,3,140,9
31,N Coehoorn,0,36,2
23,J White IV,0,30,3
17,A Guyton,0,17,2
12,D Bailey,0,12,1
9,A Foster,0,9,1
6,F Stamps,0,6,1
11,S Chambers,0,6,3
32,C Mitchell,0,32,1
23,M Carter,0,29,2
17,M Henry,0,29,3
11,K Johnson,0,28,4
15,P Jackson,0,26,3
15,P Lavoie,0,15,1
6,J Delahunt,0,6,1
2,C Walker,0,2,1
38,C Owens,0,102,9
30,J Johnson,0,61,5
23,A Coombs,0,54,7
44,J Chiles,0,44,1
15,D Adams,0,42,4
10,S Watt,0,24,4
8,M Bradwell,0,18,3
18,C Steele,0,18,1
58,A Parker,1,101,4
15,J Fuller,2,58,5
30,M McDaniel,1,50,3
27,B Sinopoli,0,35,2
15,M Walter,0,23,2
