kickoff return yards, kickoff returns, longest kickoff return, name
17,1,17,Gonzalo Barinaga
14,1,14,Spain Cosby
73,3,44,Luke LaMar
26,1,26,Mikail Baker
20,1,20,Alphonso Smith
7,1,7,Devin Brown
2,1,2,Kevin Harris
24,1,24,Naaman Roosevelt
22,1,22,Brandon Thermilus
83,3,52,Jeff Moturi
47,2,37,Josh Ferguson
19,1,19,Terrell Jackson
26,1,26,Marshwan Gilyard
23,1,23,DJ Woods
17,1,17,Antonio Brown
27,1,27,Darius Butler
6,1,6,Steve Brouse
25,1,25,Dontayo Gage
7,2,0,James Liipfert
64,2,33,Devin McDowell
26,1,26,Leonard Johnson
0,2,29,Ryan Hill
159,7,31,Jamal Rogers
84,4,30,Sean Walker
67,3,33,Desmond Gee
0,1,0,Gene Delle Donne
53,3,22,Jerrel Jernigan
7,1,7,Dre Harris
23,1,23,Chris Culliver
42,2,25,TJ Graham
13,1,13,Andre Brown
108,6,27,Corey Gatewood
21,1,21,Doug Baldwin
159,7,32,James Rodgers
105,6,25,Carlo Sandiego
119,2,98,Jamal Schulters
68,3,23,Jeramy Goodson
26,1,26,JaCorey Shepherd
160,8,37,Jessie Henderson
13,1,13,Andrew McKinney
61,3,12,Reggie Rembert
40,2,32,Javier Arenas
21,1,21,Jake Jones
152,4,96,CJ Spiller
35,2,22,Jacoby Ford
1,1,1,Aaron Kelly
70,3,32,Elton Ford
18,1,18,London Crawford
62,3,25,Dewey Hale
56,3,26,Corey White
33,2,17,Shelton Miles
18,1,18,Philip Pierre Louis
89,4,30,Luther Ambrose
27,1,27,Nate Brown
23,1,23,Frank Goodin
32,1,32,Chris McGaha
19,1,19,Kyle Williams
101,3,50,ONeill Chambers
103,4,35,Jahvid Best
15,1,15,Devin Bishop
0,1,0,Tracy Slocum
102,5,33,Javon Ringer
6,1,6,Kyle Smith
1,1,1,Josh Rouse
24,1,24,Darin Baldwin
42,2,22,Dwayne Harris
6,1,6,Jerek Hewett
-2,1,0,Dalvon Mack
70,3,35,Kenny Lewis Jr
29,1,29,Davon Morgan
6,1,6,Chris Drager
79,4,26,Ryan Mouton
57,3,30,Jovonte Taylor
14,1,14,Malcolm Lane
49,3,23,Ramarcus Brown
14,1,14,Justin Fields
23,1,23,Tyron Carrier
23,1,23,Patrick Edwards
60,3,24,Marcus Thigpen
14,1,14,Darius Johnson
83,4,27,Quinterrance Cooper
26,1,26,Jewel Hampton
21,1,21,Andy Brodell
28,3,11,Marcus Herford
141,6,29,Julian Reams
50,2,26,Ty Hilton
68,2,50,Aubrey Quarles
50,3,19,John Shorter
13,1,13,Micah Mosley
11,1,11,James Hamilton
0,1,0,Keronna Henderson
47,2,26,Sam Kirkland
10,1,10,Lars Anderson
48,2,33,Trindon Holliday
23,1,23,Kelvin Sheppard
7,1,7,Will Blackwell
39,2,20,Phillip Livas
64,3,24,Wade Bonner
19,1,19,Arnil Stallworth
15,1,15,Damein Anderson
23,1,23,Torrey Smith
14,1,14,Terrell Skinner
54,2,35,Brandon Harrison
24,1,24,Darryl Stonum
12,1,12,Michael Shaw
38,2,21,David Reed
31,2,21,Jereme Brooks
23,1,23,Brice McCain
74,2,39,Troy Stoudermire Jr
68,3,35,Jay Thomas
96,5,23,Meco Brown
53,3,28,Brandon Bolden
81,4,23,Michael Grandberry
46,3,17,Earnest Williams
145,3,99,Jeremy Maclin
4,1,4,Jon Gissinger
67,4,28,Arrelious Benn
25,1,25,AJ Jenkins
18,1,18,Michael Hoomanawanui
11,1,11,Vontae Davis
65,2,33,Chubb Small
29,1,29,Darius Marshall
28,1,28,Emmet Merchant
12,1,12,Greg Jones
56,1,56,Brandon Tate
20,1,20,Hakeem Nicks
20,1,20,Bobby Rome
3,1,3,Ryan Taylor
49,2,25,Niles Paul
31,2,20,Larry Asante
22,1,22,Curenski Gilleylen
82,4,28,Brandon West
57,1,57,Aaron Winchester
23,1,23,Arthur King
18,1,18,Chris Wellington
85,4,26,Frankie Solomon
63,2,40,Stephen Simmons
99,5,18,Max Suter
28,1,28,Brandon Saine
69,1,69,Juaquin Iglesias
24,1,24,Andre Crenshaw
36,3,21,Jordan Polk
52,3,22,Aundre Wright
18,1,18,LaRod Stephens Howling
11,1,11,Shariff Harris
42,2,21,Roger Williams
16,1,16,Freddie Barnes
89,1,89,Derrick Williams
35,1,35,AJ Wallace
49,2,37,Davion Mauldin
26,1,26,Mekell Wesley
38,1,38,Jerome Murphy
92,3,37,Coye Francies
3,1,0,Jonathan Harris
22,1,22,Ed Morgan
15,1,15,DeAndre Brown
13,1,13,Bubba Kirksey
7,1,7,Freddie Parham
80,5,21,Jason Chery
29,1,29,Derrick Smith
13,1,13,Caleb Rubin
24,1,24,Jordan Shipley
18,1,18,Malcolm Williams
67,3,33,DiIvory Edgecomb
62,2,34,Jeff Blanchard
38,2,24,Willie Floyd
67,4,21,Bradley Stephens
37,2,20,Chance Gray
19,1,19,Kevin Jones
12,1,12,Brandon Thompkins
43,1,43,Jamar Wall
190,6,90,Frantrell Forrest
4,1,4,Jim Mitchell
70,2,45,Damaris Johnson
23,1,23,Roy Roberts
74,3,28,Micheal Johnson
62,2,20,Kejon Murphy
18,1,18,Geno Odong
18,1,18,Stanley Morrison
15,1,15,Curtis Marsh
66,4,0,Kevin Ogletree
23,1,23,Brendan Lane
17,1,17,Cedric Peerman
25,2,6,Ronald Johnson
81,3,0,Chantz Staden
36,2,14,Kevin Lopina
24,1,24,Alfonzo Jackson
90,1,90,Perrish Cox
26,1,0,Desmond Bryant
10,1,10,Jamal Mosley
86,2,63,David Gilreath
4,1,4,Bradie Ewing
2,1,2,Bill Rentmeester
96,5,28,Andrew Johnson
31,1,31,Andre Jones
4,1,4,Doug Williams
54,2,32,Jock Sanders
26,1,26,Mark Rodgers
56,2,49,Wynel Seldon
23,1,23,Marcell Gipson
112,2,100,Donte Harden
28,1,28,Chris Garrett
99,2,90,John Mosure
40,2,22,Michael Myers
160,3,93,Josh Smith
34,2,17,Bilal Powell
16,1,0,Dicky Lyons Jr
65,4,24,Tiquan Underwood
40,2,21,AJ Jefferson
37,2,19,Terrance Austin
10,1,10,Trevor Theriot
76,2,43,Gerald Jones
50,2,29,Dennis Rogan
16,1,16,Brandon Warren
39,2,20,DJ Moore
91,3,50,Chris Culliver
24,1,24,Larry Freeman
134,5,35,Dante Love
59,3,25,Emmet Merchant
30,2,16,Mario Washington
85,3,50,Kevin Jones
23,1,23,Daylan Walker
65,2,38,Javier Arenas
26,1,26,Mark Ingram
28,2,15,Travis Burks
18,1,18,Jeremy Williams
50,3,24,Dennis Johnson
15,1,15,Elton Ford
87,3,47,Ricky Williams
18,1,18,Nate Brown
115,5,39,Patrick Mealy
98,3,41,Keola Antolin
52,2,34,Nick Booth
80,4,24,Morgan Williams
17,1,17,Kenny Veal
24,1,24,Mario Fannin
14,1,14,Tristan Davis
41,2,23,Ed Morgan
20,1,20,Freddie Parham
12,1,12,DeAndre Brown
61,3,22,Kyle Williams
180,6,52,Jeremy Stewart
21,1,21,David Gettis
34,2,22,Jeff Smith
13,1,13,Brandon Robinson
97,3,52,Jonathan Dwyer
21,1,21,Roddy Jones
18,1,18,Tyler Melton
18,1,18,Tony Clark
87,6,20,Roger Williams
14,1,14,Tyrone Pronty
73,2,48,Troy Stoudermire Jr
7,1,7,Jeff Tow Arnett
135,3,91,Joe Burnett
22,1,22,Darin Baldwin
14,1,14,Keith Williams
61,3,25,Taurus Johnson
42,2,21,Dontavia Bogan
11,1,11,CJ Spiller
5,1,5,Jacoby Ford
40,1,40,Josh Smith
22,2,12,Demetrius Sumler
15,2,11,Darrell Scott
63,2,39,Michael Myers
28,2,14,Jabari Marshall
19,1,19,Jay Holingsworth
44,2,24,Joran Mabin
32,2,17,Stephen Simmons
13,1,13,Omar Conteh
25,1,25,Dwayne Harris
54,3,25,Jock Sanders
47,2,24,Noel Devine
52,2,30,Quinterrance Cooper
7,1,7,Marell Booker
57,3,29,Frantrell Forrest
51,3,23,Rashad Slaughter
7,1,7,Caleb Dyck
7,1,7,Jim Mitchell
82,3,34,Brandon James
34,2,24,Brandon Harris
26,1,26,Ryan Hill
7,1,7,Joe Surratt
61,2,35,Ramarcus Brown
6,1,6,Tripp Chandler
75,3,28,Jean Pitts
73,4,24,Antonio Brown
18,1,18,Ontario Sneed
72,3,28,Ryan Mouton
10,1,10,Jovonte Taylor
66,3,25,Breyon Williams
27,1,27,Kama Bailey
28,1,28,Vontae Davis
26,1,26,Troy Pollard
24,1,24,AJ Jenkins
18,1,18,Arrelious Benn
57,2,29,Marcus Thigpen
35,1,35,Derrell Johnson Koulianos
95,5,27,Ty Hilton
45,2,23,Julian Reams
147,5,36,Leonard Johnson
126,6,35,Shawn Bayes
41,2,24,Sam Kirkland
4,1,4,Marcus Herford
63,3,24,Phillip Beck
61,3,25,Phillip Livas
63,2,34,Aubrey Quarles
15,1,15,Brandon Banks
20,2,16,Bilal Powell
62,2,29,Javon Ringer
27,1,27,Keshawn Martin
87,4,17,Dontayo Gage
125,6,27,Michael Grandberry
6,1,6,Tom Phelps
84,4,30,Chris Jammer
45,2,23,JaCorey Shepherd
66,3,24,Boubacar Cissoko
89,4,24,Jamal Rogers
48,2,24,Tremaine Vaughns
45,2,25,Derek Pegues
10,1,10,Delmon Robinson
44,2,26,Desmond Gee
86,4,30,Torrey Smith
35,3,16,TJ Graham
111,2,85,Niles Paul
21,2,9,Alfonzo Denard
69,2,36,Brandon Rutley
91,4,26,Brandon Fragger
49,3,21,Edward Britton
45,2,23,Frankie Solomon
29,2,15,Chance Gray
0,1,0,Jordan Pugh
46,2,29,Armando Allen
28,1,28,Golden Tate
27,2,14,Davon Brown
23,2,13,DeMarco Sampson
51,4,24,Lance Dunbar
49,3,18,John Shorter
10,1,10,Micah Mosley
65,3,32,Damaris Johnson
31,1,31,D Brown
17,1,17,Brandon Saine
17,1,17,Daniel Herron
15,1,15,Maurice Wells
51,2,24,Chris Garrett
33,2,23,Donte Harden
84,3,33,DeMarco Murray
12,1,12,Juaquin Iglesias
246,5,97,Marshwan Gilyard
16,1,16,Marcus Waugh
3,1,3,Torry Cornett
65,3,26,Perrish Cox
13,1,13,Jacob Lacey
9,1,9,Jamal Mosley
7,1,7,Beau Johnson
178,8,41,Patrick Edwards
77,3,32,Walter Thurmond III
20,1,20,Talmadge Jackson
14,1,14,Geno Odong
11,1,11,Jeremy Mitchell
-6,2,19,Curtis Marsh
66,3,26,LaRod Stephens Howling
24,1,24,Aundre Wright
42,3,17,Naaman Roosevelt
17,1,17,Ernest Jackson
62,3,32,Derrick Williams
96,4,27,James Rodgers
33,1,33,Patrick Henderson
68,1,68,Desmond Tardy
45,1,45,Kory Sheets
3,1,3,Kyle Adams
47,3,23,Chris Butler
14,1,14,Jessie Henderson
7,1,7,Mickey Dollens
0,1,0,Emmanuel Sanders
105,5,24,Max Suter
26,2,14,Mike Holmes
113,3,50,Bryan Williams
17,1,17,Brandon Anderson
16,1,16,Andre Jones
41,1,41,Ryan Christian
15,1,15,Logan Brock
54,2,31,Travis Shelton
37,2,20,Darius Butler
10,1,10,Robbie Frey
69,2,49,David Reed
59,3,21,Micheal Johnson
22,1,22,Josh Ferguson
22,1,22,Clarence Ward
16,1,16,Jordan Shipley
30,1,30,Cedric Peerman
39,2,22,Alphonso Smith
44,2,24,Lionel Breaux
41,3,19,Brandon Bolden
83,4,23,Jordan Polk
13,1,13,Quinton Richardson
94,4,23,ONeill Chambers
185,6,65,Chantz Staden
103,4,68,Christopher Ivory
10,1,10,Kevin Norrell
38,2,20,David Gilreath
80,4,31,Chubb Small
67,3,24,Terrell Edwards
42,2,22,Darius Marshall
73,3,30,Brandon West
30,2,16,Meco Brown
21,1,21,Ricky Crider
10,1,10,Chris Johnson
22,1,22,Reggie Rembert
69,5,22,Tiquan Underwood
13,1,13,Mason Robinson
6,1,6,Chris Quaye
58,2,32,Brandon Tate
13,1,13,Hakeem Nicks
64,4,21,Taurus Johnson
17,1,17,Dontavia Bogan
33,3,9,Marcus Herford
148,5,49,Bryan Williams
22,1,22,Andre Jones
10,1,10,Jeremy Bruce
95,4,36,Dante Love
59,3,23,Kevin Jones
29,1,29,Brandon Thompkins
21,1,21,Jahbari McLennan
64,2,39,Freddie Parham
43,2,26,Tory Harrison
19,1,19,Josh Barton
9,1,9,Travis McCall
77,4,27,Quinterrance Cooper
68,3,32,Bobby Rainey
16,1,16,Stephen Willis
93,4,30,Jovon Williams
67,3,32,Micheal Johnson
25,1,25,Ian Johnson
21,1,21,DJ Harper
83,4,36,Tyrone Pronty
21,1,21,Ernest Jackson
21,1,21,Naaman Roosevelt
20,1,20,Mario Henry
15,1,15,Ed Young
124,5,34,Travis Shelton
31,1,31,ONeill Chambers
95,3,38,Terrance Austin
39,1,39,Trevor Theriot
17,1,17,Micheal Norris
25,1,25,CJ Spiller
11,1,11,Chad Diehl
109,5,25,TJ Graham
49,2,26,Darius Butler
92,4,35,Kevin Ogletree
61,3,34,Cedric Peerman
56,1,56,Chase Minnifield
139,6,37,Jabari Marshall
94,5,31,John Angelo
22,2,19,Alex Teich
64,3,25,Dontayo Gage
31,2,16,Cory Welch
12,1,12,Tim Fort
80,3,41,Greg Harris
18,1,18,Morgan Williams
28,1,28,Taiwan Easterling
27,1,27,Bert Reed
6,1,6,Seddrick Holloway
56,2,32,AJ Jefferson
8,1,8,Nico Herron
82,3,29,David Gilreath
44,2,27,Patrick Edwards
44,3,17,Reggie Rembert
7,1,7,Jared Tew
53,3,21,Breyon Williams
31,2,16,Dewey Hale
9,1,9,Martin Posey
6,1,6,Shelton Miles
70,2,38,Brandon West
43,1,43,Schneider Julien
47,2,21,AJ Jenkins
5,1,5,Arrelious Benn
58,1,58,Jason Chery
37,2,24,Derrell Johnson Koulianos
45,2,24,Allen Bell
20,1,20,Leonard Johnson
12,1,12,Derrick Catlett
13,1,13,Lester Troutman
-3,1,0,Sal Battles
48,2,26,Alfonso Smith
40,1,40,Derrick Locke
23,1,23,Phillip Tanner
16,2,14,Desmond Gee
27,1,27,Ricky Williams
19,2,11,Chance Payne
55,2,38,Keiland Williams
73,6,17,John Shorter
28,1,28,Torrey Smith
9,1,9,Cory Jackson
135,4,36,Jahvid Best
4,1,4,Drew Glover
14,1,14,Javon Ringer
79,3,24,DiIvory Edgecomb
60,3,15,Jamal Rogers
103,4,18,Troy Stoudermire Jr
14,2,10,Jason Cook
8,1,8,Andy Hartmann
39,2,23,Jeremy Maclin
22,1,22,Jimmy Jackson
126,5,33,Dwayne Sanders
69,5,12,Brandon Fragger
45,2,19,Darius Marshall
35,2,13,Courtney Edmonson
14,1,14,Matt Parkhurst
18,1,18,Michael Grandberry
61,2,38,Derek Pegues
35,1,35,Tristan Davis
29,2,18,Niles Paul
76,4,23,Julius Fleming
33,1,33,Marcus Anderson
20,1,20,Chris Williams
28,1,28,Glover Quin
12,1,12,Frankie Solomon
54,3,23,Nick Booth
40,2,27,Mike Thomas
28,1,28,William Wright
16,1,16,Devin Ross
10,1,10,Douglas
31,1,31,Sherrick McManis
11,1,11,Joran Mabin
58,3,27,Golden Tate
0,1,0,Armando Allen
30,2,16,Brandon Harrison
28,2,18,Boubacar Cissoko
-1,1,0,Michael Shaw
42,3,23,Donte Harden
40,2,24,Chris Garrett
100,5,27,Antonio Brown
41,2,21,Victor Johnson
35,1,35,Jacquizz Rodgers
33,1,33,Patrick Henderson
67,5,21,Jovonte Taylor
64,3,29,Ryan Mouton
49,2,27,Kory Sheets
45,1,45,Remene Alston Jr
34,1,34,Andre Crenshaw
27,2,18,Talmadge Jackson
16,1,16,Walter Thurmond III
59,3,23,Chris Culliver
25,1,25,Ramarcus Brown
39,2,22,Brandon Rutley
