longest rush, name, rushes, rushing touchdowns, rushing yards
19,S Thomas Erlington,11,0,68
1,J Masoli,1,0,1
18,W Powell,20,1,104
12,C Fajardo,7,1,34
14,M Thigpen,2,0,18
7,Z Collaros,1,0,7
5,S Evans,1,0,5
4,K Moore,1,0,4
24,C Gable,20,0,154
4,T Harris,7,1,12
42,W Stanback,9,1,76
18,A Pipkin,5,0,45
7,V Adams Jr,3,0,13
5,D Jackson,9,1,22
17,M Ambles,1,0,17
4,B Mitchell,2,0,4
15,M Madu,24,0,112
5,D Davis,5,3,10
3,R Harris,1,0,3
6,J White IV,4,0,4
31,A Harris,16,0,148
6,C Streveler,5,1,14
4,L Whitehead,1,0,4
4,N Demski,1,0,4
11,M Madu,14,0,50
22,D Davis,5,0,43
20,M Thigpen,9,1,57
9,W Powell,11,1,45
5,C Fajardo,4,1,10
16,C Gable,23,0,111
2,T Harris,3,1,4
9,M Reilly,6,0,24
27,J White IV,8,0,24
5,B Rutley,1,0,5
7,J Wilder Jr,6,0,12
52,S Thomas Erlington,12,0,109
13,M Irons,8,1,32
9,J Masoli,4,1,15
5,B Addison,1,0,5
35,N Demski,3,1,49
9,A Harris,10,0,34
2,M Nichols,2,0,2
21,C Gable,17,0,82
11,T Harris,4,0,15
3,A Taylor,1,0,3
13,S Thomas Erlington,9,0,47
30,B Banks,1,1,30
18,J Masoli,4,2,30
6,M Irons,2,0,12
20,W Stanback,13,0,78
10,V Adams Jr,10,0,41
4,M Shiltz,3,0,8
6,D Jackson,8,0,26
8,T Williams,1,0,8
3,N Arbuckle,2,1,4
14,J White IV,14,1,64
10,M Reilly,9,1,21
3,B Rutley,2,0,6
16,W Powell,15,0,77
6,M Thigpen,3,0,10
3,C Fajardo,5,1,9
12,J Wilder Jr,10,0,60
12,J Franklin,4,0,34
4,A Edwards,1,0,4
2,D Prukop,1,0,2
49,W Stanback,22,3,203
27,V Adams Jr,7,1,59
6,S Logan,2,0,2
12,A Coombs,6,0,51
5,M Irons,2,0,6
3,J Masoli,3,0,4
0,S Thomas Erlington,1,0,0
8,M Madu,6,0,18
4,J Beaulieu,1,0,4
2,D Davis,1,0,2
17,A Harris,18,0,80
11,C Streveler,11,2,44
18,M Nichols,1,0,18
4,N Demski,3,0,7
19,J Wilder Jr,6,0,33
4,M Bethel Thompson,2,0,7
3,C Rainey,3,0,1
32,J White IV,22,1,138
10,M Reilly,5,0,26
4,B Rutley,2,0,7
10,W Powell,14,0,50
9,M Thigpen,3,0,19
9,C Fajardo,6,1,19
18,K Carey,13,1,63
28,T Williams,5,0,59
3,N Arbuckle,2,0,5
2,A Milanovic Litre,1,0,2
18,J White IV,11,0,53
11,C Gable,19,0,68
3,T Harris,6,1,9
52,A Harris,14,0,116
23,C Streveler,4,1,37
19,L Whitehead,2,0,27
3,N Demski,2,0,4
12,B Burks,5,0,36
11,J Wilder Jr,5,0,12
9,M Bethel Thompson,1,0,9
8,A Edwards,1,0,8
0,D Prukop,2,0,0
16,J Crockett,8,0,62
12,M Madu,11,0,47
11,D Davis,4,2,21
