average punt yards, longest punt, name, punts, punts inside the twenty
36.800,47,Jeff Feagles,4,3
34.900,53,Durant Brooks,7,2
46.000,57,Sam Koch,5,1
37.100,56,Kyle Larson,7,2
30.600,54,Brandon Fields,7,1
39.000,56,Ben Graham,6,0
38.800,70,Chris Hanson,4,1
39.500,55,Dustin Colquitt,6,3
41.300,45,Mitch Berger,3,0
39.000,56,Matt Turk,4,1
30.700,56,Craig Hentrich,7,0
31.200,50,Adam Podlesh,6,4
38.300,51,Michael Koenen,3,0
40.000,52,Nick Harris,6,2
40.600,59,Brian Moorman,9,3
30.000,56,Ryan Plackemeier,11,2
35.700,61,Steve Weatherford,7,0
40.400,61,Josh Bidwell,8,4
42.000,59,Sav Rocca,4,3
38.800,57,Donnie Jones,10,3
35.000,55,Dave Zastudil,5,1
37.000,52,Mat McBriar,2,0
40.400,63,Mike Scifres,5,2
44.000,49,Jason Baker,3,2
35.000,49,Andy Lee,2,0
45.000,59,Dirk Johnson,4,2
36.500,51,Hunter Smith,2,1
34.000,55,Brad Maynard,5,3
42.600,50,Derrick Frost,5,1
27.800,50,Chris Kluwe,5,2
39.200,62,Shane Lechler,5,1
38.500,42,Brett Kern,2,1
30.000,49,Kyle Larson,6,2
37.700,70,Craig Hentrich,6,2
36.000,52,Adam Podlesh,4,0
40.000,51,Brian Moorman,3,1
43.600,73,Dustin Colquitt,8,5
30.500,67,Shane Lechler,4,1
35.000,56,Chris Kluwe,6,2
37.700,55,Hunter Smith,7,2
38.500,59,Jason Baker,7,4
35.300,47,Brad Maynard,7,1
34.000,42,Nick Harris,6,3
36.000,52,Derrick Frost,4,0
43.000,63,Donnie Jones,6,2
44.700,54,Jeff Feagles,3,2
5.500,38,Durant Brooks,2,0
40.000,56,Steve Weatherford,5,2
38.000,56,Josh Bidwell,5,2
36.200,55,Michael Koenen,5,2
24.300,40,Jon Ryan,3,0
29.800,59,Andy Lee,4,0
27.300,55,Ben Graham,4,0
36.700,59,Chris Hanson,3,0
42.000,64,Brett Kern,3,1
46.000,52,Mike Scifres,1,0
38.500,48,Dirk Johnson,2,2
35.200,55,Brandon Fields,5,3
52.800,59,Dave Zastudil,5,2
38.200,55,Mitch Berger,6,4
42.700,55,Mat McBriar,3,1
48.000,61,Sav Rocca,3,0
40.800,51,Michael Koenen,6,3
45.300,57,Dustin Colquitt,6,2
36.400,62,Brian Moorman,5,1
46.000,57,Shane Lechler,6,4
31.000,54,Jeff Feagles,4,0
37.000,55,Kyle Larson,5,0
37.000,48,Chris Hanson,3,1
38.800,60,Brandon Fields,4,2
37.200,52,Craig Hentrich,6,3
38.800,57,Matt Turk,4,2
42.300,53,Brad Maynard,6,3
40.500,56,Josh Bidwell,6,1
42.000,56,Durant Brooks,4,2
30.300,46,Dirk Johnson,4,1
42.600,55,Chris Kluwe,5,2
39.800,52,Jason Baker,5,3
37.500,56,Brett Kern,2,0
36.000,60,Steve Weatherford,2,0
35.000,47,Andy Lee,4,3
40.200,57,Nick Harris,5,2
32.700,46,Jon Ryan,3,1
49.500,61,Donnie Jones,4,0
44.700,60,Hunter Smith,3,2
60.000,60,Adam Podlesh,1,1
43.400,64,Sav Rocca,5,3
39.200,53,Mitch Berger,5,3
40.700,59,Sam Koch,3,0
34.300,56,Dave Zastudil,7,2
42.400,65,Derrick Frost,5,0
43.300,65,Mat McBriar,3,1
48.000,48,Mike Scifres,1,1
38.000,40,Ben Graham,2,2
35.800,49,Kyle Larson,4,1
36.700,58,Dave Zastudil,3,0
33.000,33,Phil Dawson,1,1
35.000,56,Adam Podlesh,2,1
22.000,46,Matt Turk,2,0
32.300,54,Dustin Colquitt,3,2
38.000,51,Brett Kern,2,0
30.000,54,Jason Baker,5,0
34.800,60,Michael Koenen,6,1
43.000,51,Ben Graham,2,0
30.000,39,Dirk Johnson,1,1
30.700,40,Steve Weatherford,3,1
41.000,43,Andy Lee,3,2
34.300,64,Josh Bidwell,4,0
30.200,47,Derrick Frost,5,0
40.300,50,Craig Hentrich,6,3
41.500,57,Chris Kluwe,6,0
47.300,70,Shane Lechler,6,2
42.000,65,Mike Scifres,4,0
40.600,60,Donnie Jones,5,2
40.200,62,Brian Moorman,6,5
39.000,59,Mat McBriar,6,1
42.800,60,Durant Brooks,4,2
39.600,67,Brad Maynard,8,4
44.200,65,Sav Rocca,6,1
39.100,44,Mitch Berger,7,2
43.900,61,Sam Koch,8,2
28.000,51,Dirk Johnson,2,0
36.500,55,Brian Moorman,2,0
25.800,48,Sam Koch,4,2
32.300,47,Craig Hentrich,4,1
46.000,51,Jason Baker,3,2
39.300,57,Dustin Colquitt,7,1
30.500,44,Matt Turk,2,0
43.300,57,Hunter Smith,3,1
33.300,59,Brandon Fields,4,1
50.500,67,Mike Scifres,6,3
40.300,51,Nick Harris,8,2
29.000,37,Brad Maynard,5,4
40.000,44,Derrick Frost,3,1
41.700,53,Michael Koenen,3,3
38.000,56,Jeff Feagles,2,0
36.000,63,Jon Ryan,8,1
44.400,56,Sav Rocca,5,2
17.500,49,Durant Brooks,4,1
45.800,63,Brett Kern,5,2
44.100,64,Josh Bidwell,7,3
46.000,66,Mat McBriar,3,1
37.500,57,Kyle Larson,4,0
46.200,82,Andy Lee,5,0
27.300,50,Chris Hanson,4,1
39.600,55,Adam Podlesh,5,1
44.500,61,Mitch Berger,4,1
43.000,45,Steve Weatherford,2,0
15.300,52,Chris Kluwe,7,3
31.700,58,Matt Turk,3,1
32.100,56,Brandon Fields,7,2
40.500,50,Hunter Smith,6,3
45.800,57,Sam Koch,5,0
32.000,41,Reggie Hodges,2,1
30.700,52,Kyle Larson,7,0
18.500,46,Steve Weatherford,2,0
42.800,65,Shane Lechler,4,1
31.000,45,Michael Koenen,2,0
41.300,57,Brad Maynard,3,1
41.100,60,Chris Kluwe,8,1
43.000,58,Nick Harris,9,4
38.800,60,Josh Bidwell,5,3
34.200,63,Jason Baker,4,1
34.200,51,Durant Brooks,5,2
40.700,56,Donnie Jones,6,2
39.500,52,Brett Kern,4,0
28.300,46,Adam Podlesh,4,0
41.000,62,Jon Ryan,5,0
35.300,46,Derrick Frost,4,2
39.200,56,Dirk Johnson,5,1
33.400,61,Mat McBriar,7,1
31.300,47,Andy Lee,3,0
16.000,41,Sav Rocca,2,1
32.700,46,Mike Scifres,3,1
32.400,53,Chris Hanson,5,2
41.000,46,Jeff Feagles,2,1
44.500,56,Brian Moorman,2,0
35.700,46,Mike Scifres,3,1
35.300,50,Kyle Larson,8,2
35.600,51,Mitch Berger,5,2
41.600,66,Dustin Colquitt,7,1
37.500,50,Craig Hentrich,4,3
43.700,55,Brandon Fields,3,0
55.700,67,Sam Koch,3,3
38.000,50,Jason Baker,5,0
30.200,39,Steve Weatherford,5,2
47.000,54,Brad Maynard,4,2
0.000,0,Chris Kluwe,0,0
45.500,61,Jeff Feagles,6,3
38.000,59,Andy Lee,5,0
37.000,58,Donnie Jones,3,0
20.000,20,Josh Brown,1,1
32.000,54,Sam Paulescu,5,1
48.800,59,Matt Turk,4,3
50.300,51,Nick Harris,4,0
28.800,48,Ryan Plackemeier,8,2
37.900,50,Dave Zastudil,8,3
35.500,59,Derrick Frost,2,0
40.000,64,Hunter Smith,4,0
40.400,60,Shane Lechler,7,5
35.000,50,Reggie Hodges,7,3
28.000,58,Josh Bidwell,4,2
42.800,59,Jon Ryan,5,0
36.300,55,Chris Hanson,3,3
32.000,62,Brett Kern,5,1
35.300,44,Ben Graham,3,1
48.000,49,Mike Scifres,2,1
36.200,50,Sam Koch,6,3
37.200,59,Shane Lechler,5,0
39.500,44,Brandon Fields,4,2
40.700,59,Brian Moorman,3,0
38.700,50,Reggie Hodges,3,1
28.300,54,Steve Weatherford,7,1
44.300,53,Jason Baker,3,2
42.300,56,Dirk Johnson,3,1
33.000,60,Sam Paulescu,7,1
36.300,43,Josh Bidwell,4,3
28.500,50,Nick Harris,6,2
40.500,49,Ryan Plackemeier,2,1
29.700,57,Chris Hanson,3,0
32.500,52,Donnie Jones,6,1
37.700,54,Sav Rocca,7,2
38.400,53,Michael Koenen,7,5
38.300,59,Adam Podlesh,3,0
36.800,54,Dave Zastudil,5,2
37.300,51,Mitch Berger,4,2
38.200,49,Jeff Feagles,5,1
22.000,35,Matt Turk,2,0
18.000,49,Kyle Larson,3,1
42.500,57,Andy Lee,4,1
44.200,63,Jon Ryan,5,1
51.500,75,Craig Hentrich,2,1
37.000,41,Hunter Smith,3,3
39.000,39,Brian Moorman,1,0
46.000,46,Reggie Hodges,1,1
33.400,42,Kyle Larson,7,4
41.300,52,Adam Podlesh,6,2
37.300,55,Dave Zastudil,6,1
31.500,57,Sam Koch,6,2
44.200,57,Chris Kluwe,6,4
34.000,55,Matt Turk,4,1
33.600,51,Brad Maynard,7,2
35.500,50,Nick Harris,6,1
27.200,58,Steve Weatherford,5,0
36.300,50,Josh Bidwell,3,0
48.300,52,Donnie Jones,7,3
35.400,47,Dirk Johnson,5,2
38.700,60,Craig Hentrich,6,2
40.000,55,Derrick Frost,3,1
45.000,61,Brett Kern,4,3
38.600,71,Brandon Fields,5,2
38.800,44,Jeff Feagles,4,3
36.200,45,Sam Paulescu,6,2
36.200,61,Jon Ryan,11,2
41.400,50,Sav Rocca,5,2
48.000,64,Shane Lechler,6,2
16.500,33,Michael Koenen,1,1
39.700,58,Hunter Smith,3,0
62.000,64,Chris Hanson,1,1
30.300,55,Ryan Plackemeier,6,1
33.900,48,Mitch Berger,8,0
43.500,51,Dave Zastudil,2,2
24.000,29,Brett Kern,1,0
31.300,45,Brad Maynard,8,0
36.100,55,Craig Hentrich,8,5
39.500,53,Nick Harris,4,0
34.500,50,Adam Podlesh,2,2
