completions, interceptions thrown, name, passes, passing conversions, passing touchdowns, passing yards
17,1,Patrick Ramsey,23,0,1,185
15,0,Vinny Testaverde,24,0,0,105
17,1,Drew Bledsoe,28,0,1,230
14,4,Tom Brady,28,0,0,123
3,0,Rohan Davey,7,0,0,31
12,2,Jake Delhomme,20,0,3,122
4,0,Rodney Peete,10,0,0,19
23,0,Mark Brunell,27,0,2,272
20,2,Jon Kitna,37,0,1,264
12,3,Jake Plummer,25,0,0,115
0,0,Steve Beuerlein,0,0,0,0
20,2,Kelly Holcomb,29,0,0,182
27,2,Peyton Manning,43,0,0,211
15,1,Quincy Carter,32,0,1,268
16,1,Doug Johnson,27,0,2,228
17,0,Joey Harrington,30,0,4,195
28,1,Jeff Blake,46,0,3,358
25,4,Brett Favre,41,1,1,248
15,0,Daunte Culpepper,30,0,3,195
21,1,Trent Green,32,0,1,282
18,2,Drew Brees,33,0,2,202
17,2,Jay Fiedler,32,0,3,227
17,0,David Carr,31,0,1,266
0,0,Jabar Gaffney,1,0,0,0
14,0,Kerry Collins,26,0,0,202
34,1,Kurt Warner,54,0,1,342
1,0,Dane Looker,1,0,0,11
21,0,Tommy Maddox,29,0,3,260
22,1,Kyle Boller,43,1,1,152
12,0,Matt Hasselbeck,23,0,2,137
29,1,Aaron Brooks,47,0,1,274
19,1,Jeff Garcia,35,0,2,229
14,3,Kordell Stewart,34,0,1,95
25,1,Steve McNair,38,0,2,269
24,0,Rich Gannon,38,0,2,264
0,0,Marques Tuiasosopo,1,0,0,0
19,1,Donovan McNabb,36,0,0,148
0,0,Koy Detmer,1,0,0,0
27,1,Brad Johnson,36,0,2,238
18,2,Josh McCown,32,0,0,150
7,2,Jeff Blake,14,0,0,55
8,0,Matt Hasselbeck,19,0,2,175
2,0,Trent Dilfer,2,0,0,20
16,2,Doug Johnson,36,0,2,197
0,0,Warrick Dunn,0,0,0,0
25,0,Patrick Ramsey,39,0,2,356
7,1,Kyle Boller,17,0,0,78
0,0,Chris Redman,1,0,0,0
17,2,Kelly Holcomb,37,0,1,147
15,1,Brett Favre,28,0,2,132
26,3,Joey Harrington,55,0,0,241
14,0,Peyton Manning,21,0,1,173
15,0,Steve McNair,24,0,1,138
6,1,Billy Volek,9,0,0,61
1,0,Craig Hentrich,1,0,0,10
19,0,Mark Brunell,32,0,0,122
