field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
1,1,3,4,26,Adam Vinatieri
0,1,2,2,0,Sebastian Janikowski
0,3,1,1,0,Matt Stover
1,1,3,3,20,Mike Vanderjagt
5,5,1,1,42,Rian Lindell
0,0,1,1,0,Kris Brown
2,2,2,2,46,John Kasay
3,3,2,2,48,John Carney
2,2,1,1,34,Phil Dawson
2,2,3,3,32,Shayne Graham
1,1,2,2,21,Jason Hanson
1,1,0,0,50,Ryan Longwell
4,5,2,2,41,Josh Scobee
0,0,2,2,0,Josh Brown
2,3,3,3,41,Lawrence Tynes
0,1,1,1,0,Mike Nugent
2,2,4,4,44,Olindo Mare
1,1,1,1,28,Jason Elam
2,2,1,1,53,Paul Edinger
1,1,3,3,41,Matt Bryant
0,0,6,6,0,Jay Feely
2,2,1,1,42,Neil Rackers
2,2,4,4,44,Jeff Reed
0,1,1,1,0,Rob Bironas
1,1,3,3,33,Nate Kaeding
0,0,4,4,0,Jose Cortez
0,0,4,4,0,Joe Nedney
4,4,1,1,41,Jeff Wilkins
3,3,0,0,43,John Hall
0,0,1,1,0,Doug Brien
0,0,2,2,0,Todd Peterson
1,3,1,1,44,David Akers
4,4,0,0,48,Neil Rackers
1,1,2,2,29,Jeff Wilkins
2,2,3,3,52,John Kasay
1,1,2,2,45,Adam Vinatieri
1,3,5,5,48,Doug Brien
0,0,0,1,0,Remy Hamilton
3,3,4,4,40,Shayne Graham
2,4,2,2,45,Jason Elam
1,1,2,2,42,Nate Kaeding
1,1,3,3,34,Ryan Longwell
2,2,2,3,39,Phil Dawson
1,1,1,1,41,Mike Vanderjagt
1,2,0,0,28,Josh Scobee
1,1,2,2,41,Mike Nugent
0,1,1,1,0,Olindo Mare
0,1,5,5,0,David Akers
0,0,1,1,0,Mark Simoneau
1,1,0,0,32,Joe Nedney
1,2,2,2,29,Sebastian Janikowski
3,4,2,2,42,Lawrence Tynes
0,0,3,3,0,Josh Brown
1,1,1,1,30,Todd Peterson
1,1,2,2,40,Matt Bryant
1,1,0,0,40,Rian Lindell
3,3,2,2,47,Rob Bironas
1,1,1,1,30,Matt Stover
0,0,1,1,0,Kris Brown
2,2,3,3,37,Jeff Reed
2,3,1,1,41,Jose Cortez
0,0,2,2,0,Nick Novak
2,2,3,3,39,Jay Feely
1,2,1,1,21,John Carney
3,3,1,1,41,Rian Lindell
1,1,3,3,27,Todd Peterson
0,1,1,1,0,Doug Brien
1,1,3,3,33,Shayne Graham
1,2,1,2,32,Ryan Longwell
1,1,2,2,42,Matt Bryant
2,2,1,1,23,Mike Vanderjagt
2,2,0,0,40,Phil Dawson
2,2,3,3,32,Olindo Mare
1,1,3,3,52,John Kasay
4,5,3,3,48,Paul Edinger
1,1,1,1,22,John Carney
2,2,2,2,35,Mike Nugent
2,2,2,2,40,Josh Scobee
1,1,2,2,23,David Akers
0,0,0,1,0,Mark Simoneau
2,4,2,2,28,Sebastian Janikowski
2,3,2,2,33,Jeff Reed
3,4,2,2,48,Adam Vinatieri
1,1,6,6,44,Nate Kaeding
3,3,2,2,40,Jay Feely
3,3,4,4,47,Josh Brown
4,4,0,0,54,Neil Rackers
1,1,4,4,20,Joe Nedney
0,0,2,3,0,Jose Cortez
1,1,4,4,46,Jeff Wilkins
2,2,3,3,41,Rob Bironas
3,4,3,3,51,Jason Elam
1,1,1,1,28,Lawrence Tynes
6,6,1,1,48,Neil Rackers
0,0,2,2,0,Joe Nedney
3,3,3,3,39,Todd Peterson
1,1,1,1,43,Paul Edinger
2,2,1,1,42,Matt Stover
1,1,0,0,21,Mike Nugent
3,4,1,1,46,Shayne Graham
1,1,1,1,28,Kris Brown
