average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
5.000,,5,Randall Cobb,0,1
46.000,,72,Darren Sproles,1,2
14.000,,14,Devin Hester,0,1
3.000,,8,Eric Weems,0,3
9.000,,21,Josh Cribbs,0,6
15.000,,15,Brandon Tate,0,1
15.000,,15,Javier Arenas,0,1
8.000,,28,Roscoe Parrish,0,4
0.000,,0,Danny Amendola,0,1
0.000,,0,DeSean Jackson,0,0
-2.000,,-2,Micheal Spurlock,0,1
6.000,,13,Stefan Logan,0,5
10.000,,27,Cecil Shorts,0,3
7.000,,7,Marc Mariani,0,1
0.000,,0,Lardarius Webb,0,0
3.000,,6,Antonio Brown,0,2
30.000,,79,Jacoby Jones,1,3
0.000,,0,Jerraud Powers,0,0
13.000,,25,Brandon Banks,0,4
0.000,,0,Niles Paul,0,1
13.000,,18,Domenik Hixon,0,2
18.000,,55,Ted Ginn,1,5
9.000,,14,Leon Washington,0,3
7.000,,13,Bryan Walters,0,5
8.000,,15,Marcus Sherels,0,2
49.000,,89,Patrick Peterson,1,2
4.000,,10,Armanti Edwards,0,4
4.000,,7,Jeremy Kerley,0,3
8.000,,11,Dwayne Harris,0,2
12.000,,12,Dez Bryant,0,1
5.000,,6,Davone Bess,0,2
11.000,,17,Julian Edelman,0,5
25.000,,90,Eric Decker,1,5
7.000,,7,Stefan Logan,0,1
1.000,,1,Javier Arenas,0,1
11.000,,11,Roscoe Parrish,0,1
5.000,,5,CJ Spiller,0,1
9.000,,12,Nick Miller,0,2
1.000,,2,Marcus Sherels,0,2
13.000,,16,Preston Parker,0,2
0.000,,1,Darren Sproles,0,2
-4.000,,-4,Devin Hester,0,1
5.000,,7,Marc Mariani,0,3
4.000,,4,Lardarius Webb,0,1
0.000,,0,Blair White,0,0
26.000,,43,Josh Cribbs,0,2
3.000,,6,Cecil Shorts,0,2
14.000,,41,Antonio Brown,0,4
4.000,,8,Emmanuel Sanders,0,2
0.000,,0,Leon Washington,0,1
18.000,,35,Brandon Banks,0,4
15.000,,29,Patrick Peterson,0,2
5.000,,7,Armanti Edwards,0,2
0.000,,0,Randall Cobb,0,0
11.000,,20,Ted Ginn,0,4
12.000,,14,Dwayne Harris,0,2
6.000,,16,Bryan McCann,0,2
-2.000,,-2,Bryan Walters,0,1
10.000,,17,E Gates,0,3
8.000,,8,Davone Bess,0,1
18.000,,40,Jacoby Jones,0,2
0.000,,0,Eric Decker,0,0
0.000,,0,Eddie Royal,0,0
5.000,,16,Brandon Tate,0,5
19.000,,19,Eric Weems,0,1
2.000,,8,DeSean Jackson,0,3
0.000,,0,Jeremy Maclin,0,0
6.000,,7,Aaron Ross,0,2
4.000,,4,Domenik Hixon,0,1
14.000,,29,Greg Salas,0,2
5.000,,5,Darren Sproles,0,1
2.000,,5,Jacoby Jones,0,2
13.000,,13,DeSean Jackson,0,1
0.000,,0,Aaron Ross,0,0
7.000,,14,Armanti Edwards,0,4
-1.000,,0,Cecil Shorts,0,2
10.000,,10,CJ Spiller,0,2
10.000,,18,Julian Edelman,0,3
6.000,,6,Jordan Norwood,0,1
16.000,,16,Davone Bess,0,1
12.000,,12,Reggie Bush,0,1
10.000,,14,Brandon Tate,0,3
6.000,,9,Ted Ginn,0,3
5.000,,12,Marc Mariani,0,4
15.000,,30,Quan Cosby,0,3
22.000,,53,Marcus Sherels,0,4
9.000,,20,Stefan Logan,0,4
0.000,,0,Austin Pettis,0,0
11.000,,29,Lardarius Webb,0,5
0.000,,0,LaQuan Williams,0,1
5.000,,14,Denarius Moore,0,3
20.000,,53,Jeremy Kerley,0,4
4.000,,5,Bryan Walters,0,2
37.000,,37,Javier Arenas,0,1
9.000,,13,Leon Washington,0,3
4.000,,12,Patrick Peterson,0,4
14.000,,23,Preston Parker,0,2
8.000,,13,Eric Weems,0,2
21.000,,21,Devin Hester,0,1
9.000,,9,Johnny Knox,0,1
7.000,,17,Randall Cobb,0,5
2.000,,2,Blair White,0,1
16.000,,37,Antonio Brown,0,4
5.000,,9,Dwayne Harris,0,2
8.000,,10,Brandon Banks,0,2
