fumbles, fumbles lost, longest rush, name, rushes, rushing conversions, rushing touchdowns, rushing yards
,,16,Tiki Barber,15,0,1,29
,,3,Ron Dayne,6,0,0,10
,,4,Kerry Collins,1,0,0,4
,,8,Garrison Hearst,12,0,0,40
,,19,Kevan Barlow,8,0,0,33
,,16,Jeff Garcia,3,0,0,21
,,10,Terrell Owens,1,0,0,10
,,9,Fred Beasley,1,0,0,9
,,14,Travis Henry,31,0,3,149
,,-7,Peerless Price,1,0,0,-7
,,17,LaMont Jordan,7,0,0,32
,,24,Vinny Testaverde,1,0,0,24
,,12,Santana Moss,1,0,0,12
,,3,Curtis Martin,4,0,0,6
,,-1,Chad Morton,1,0,0,-1
,,13,Lamar Smith,24,0,0,84
,,11,Brad Hoover,5,0,0,29
,,20,Nick Goings,4,0,0,19
,,17,Muhsin Muhammad,1,0,0,17
,,-2,Rodney Peete,2,0,0,-4
,,18,Jamal Lewis,17,0,0,64
,,14,Brandon Stokley,1,0,0,14
,,-1,Chris Redman,1,0,0,-1
,,11,Anthony Thomas,19,0,1,45
,,13,Leon Johnson,4,0,0,31
,,5,Jim Miller,3,0,0,4
,,12,Michael Bennett,16,0,0,53
,,12,Moe Williams,7,0,0,48
,,12,Doug Chapman,5,0,0,33
,,7,Daunte Culpepper,5,0,1,6
,,8,Gus Frerotte,2,0,0,14
,,9,Brandon Bennett,2,0,0,12
,,5,Corey Dillon,9,0,0,10
,,17,LaDainian Tomlinson,21,0,1,114
,,15,Terrell Fletcher,16,0,1,73
,,22,Curtis Conway,1,0,0,22
,,20,Tim Dwight,1,0,0,20
,,15,Drew Brees,5,0,0,13
,,-1,Fred McCrary,1,0,0,-1
,,9,Jamel White,12,0,0,42
,,6,William Green,8,0,0,17
,,26,Priest Holmes,22,0,4,122
,,28,John Tait,1,0,0,28
,,12,Trent Green,2,0,0,17
,,9,Dante Hall,2,0,0,14
,,8,Tony Richardson,3,0,0,13
,,7,Olandis Gary,11,0,0,37
,,15,Clinton Portis,5,0,0,34
,,6,Mike Anderson,7,0,0,17
,,13,Brian Griese,3,0,0,16
,,15,Marshall Faulk,10,0,1,19
,,8,Kurt Warner,1,0,0,8
,,5,Trung Canidate,1,0,0,5
,,0,Chris Hetherington,1,0,0,0
,,38,Ahman Green,27,0,0,155
,,18,Rondell Mealey,5,0,1,30
,,11,Javon Walker,1,0,0,11
,,5,Najeh Davenport,2,0,0,8
,,4,Brett Favre,2,0,0,6
,,1,William Henderson,1,0,1,1
,,18,Michael Vick,9,0,1,72
,,16,Warrick Dunn,15,0,2,69
,,15,TJ Duckett,6,0,0,39
,,12,Fred Taylor,24,0,1,83
,,9,Mark Brunell,4,0,0,19
,,10,Stacey Mack,4,0,0,16
,,9,Edgerrin James,26,0,0,99
,,6,Peyton Manning,2,0,0,5
,,37,Ricky Williams,20,0,2,111
,,18,Travis Minor,11,0,0,45
,,10,Robert Edwards,4,0,1,20
,,4,Jay Fiedler,3,0,0,9
,,-1,Rob Konrad,1,0,0,-1
,,-1,Ray Lucas,2,0,0,-2
,,9,Cory Schlesinger,8,0,1,28
,,9,Mike McMahon,2,0,1,11
,,8,Lamont Warren,5,0,0,8
,,3,Aveion Cason,4,0,0,4
,,28,Charlie Garner,15,0,1,127
,,10,Tyrone Wheatley,18,0,0,65
,,8,Rich Gannon,3,0,0,14
,,12,Randy Jordan,2,0,1,14
,,4,Jerry Porter,1,0,0,4
,,-3,Terry Kirby,1,0,0,-3
,,9,Shaun Alexander,13,0,0,36
,,4,Matt Hasselbeck,2,0,0,6
,,1,Darrell Jackson,1,0,0,1
,,21,Michael Pittman,12,0,0,50
,,8,Mike Alstott,6,0,0,11
,,5,Brad Johnson,3,0,0,11
,,14,Deuce McAllister,31,0,0,109
,,6,Aaron Brooks,3,0,0,9
,,10,Eddie George,18,1,1,42
,,17,Steve McNair,5,0,0,24
,,4,Robert Holcombe,1,0,0,4
,,-9,Kevin Dyson,1,0,0,-9
,,12,Brian Westbrook,8,0,0,42
,,6,Duce Staley,7,0,0,18
,,10,Donovan McNabb,3,0,0,15
,,6,Dorsey Levens,3,0,0,9
,,-4,Cecil Martin,1,0,0,-4
,,12,James Allen,19,0,0,56
,,12,Jonathan Wells,9,0,0,18
,,11,David Carr,4,0,0,7
,,5,Jermaine Lewis,1,0,0,5
,,2,Jarrod Baxter,2,0,0,1
,,22,Emmitt Smith,17,0,0,67
,,46,Michael Wiley,1,0,1,46
,,21,Joey Galloway,1,0,0,21
,,7,Troy Hambrick,4,0,0,16
,,5,Quincy Carter,1,0,0,5
,,12,Stephen Davis,26,0,1,104
,,13,Derrius Thompson,1,0,0,13
,,5,Kenny Watson,1,0,0,5
,,2,Shane Matthews,4,0,0,0
,,11,Thomas Jones,17,0,0,54
,,7,Jake Plummer,2,0,1,11
,,5,Frank Sanders,1,0,0,5
,,25,Antowain Smith,17,0,0,60
,,3,Marc Edwards,1,0,0,3
,,16,Jerome Bettis,8,0,0,35
,,10,Kordell Stewart,8,0,1,16
,,7,Amos Zereoue,7,0,0,14
,,9,Antwaan Randle El,1,0,0,9
,,17,Michael Vick,10,0,0,56
,,7,Warrick Dunn,15,0,0,34
,,14,TJ Duckett,5,0,0,32
,,11,Anthony Thomas,26,0,1,84
,,21,Dez White,1,0,0,21
,,2,Leon Johnson,2,0,0,2
,,0,Jim Miller,2,0,0,-1
,,8,Jamal Lewis,17,0,0,53
,,1,Chester Taylor,2,0,0,2
,,0,Chris Redman,1,0,0,0
,,9,Michael Pittman,13,0,0,37
,,10,Mike Alstott,11,0,0,23
,,6,Aaron Stecker,5,0,0,15
,,-1,Brad Johnson,1,0,0,-1
,,10,Lamar Smith,20,0,2,60
,,10,Brad Hoover,3,0,0,16
,,3,Nick Goings,2,0,0,5
,,0,Rodney Peete,1,0,0,0
,,3,Dee Brown,3,0,0,-2
,,-4,Steve Smith,1,0,0,-4
,,21,James Stewart,12,0,0,53
,,11,Mike McMahon,3,0,1,13
,,4,Aveion Cason,3,0,0,6
,,1,Cory Schlesinger,3,0,0,1
,,0,Stephen Trejo,1,0,0,0
,,10,Jamel White,8,0,0,38
,,8,William Green,17,0,0,36
,,2,Kelly Holcomb,2,0,0,1
,,14,Corey Dillon,22,0,0,108
,,11,Rudi Johnson,5,0,0,24
,,11,Peter Warrick,1,0,0,11
,,9,Gus Frerotte,2,0,0,8
,,5,Lorenzo Neal,1,0,0,5
,,22,Emmitt Smith,18,0,0,59
,,9,Quincy Carter,4,0,0,7
,,2,Troy Hambrick,2,0,0,3
,,3,Michael Wiley,2,0,0,-2
,,19,Eddie George,19,0,0,65
,,9,Steve McNair,4,0,0,23
,,12,Mike Green,1,0,0,12
,,-1,NO Donnell,2,0,0,-2
,,13,Edgerrin James,30,0,0,138
,,5,Peyton Manning,1,0,0,5
,,19,Ricky Williams,24,0,0,132
,,11,Jay Fiedler,7,0,1,30
,,3,Travis Minor,3,0,0,1
,,12,Priest Holmes,22,0,0,84
,,20,Johnnie Morton,1,0,0,20
,,14,Trent Green,1,0,0,14
,,12,Eddie Kennison,1,0,0,12
,,7,Mike Cloud,1,0,0,7
,,4,Dante Hall,1,0,0,4
,,-1,Tony Richardson,1,0,0,-1
,,63,Fred Taylor,20,0,1,114
,,13,Stacey Mack,1,0,0,13
,,7,Mark Brunell,7,0,0,12
,,-9,Pat Johnson,1,0,0,-9
,,23,Moe Williams,17,0,1,102
,,17,Michael Bennett,10,0,0,45
,,27,Doug Chapman,4,0,0,41
,,8,Daunte Culpepper,7,0,1,20
,,5,Randy Moss,1,0,0,5
,,17,Travis Henry,12,0,0,30
,,1,Larry Centers,1,0,0,1
,,0,Drew Bledsoe,1,0,0,0
,,62,Deuce McAllister,21,0,2,123
,,12,Aaron Brooks,5,0,0,13
