name, receiving touchdowns, receiving yards, receptions
J Jackson,1,101,8
C Jones,1,49,3
D Richards,1,31,3
N Phillips,1,28,3
J Kern,0,12,2
J Baker,0,8,1
S Brown,0,0,2
D Morgan II,1,109,9
K Thomas Jr,0,80,6
K Bias,0,52,3
A Grubb,0,36,3
A Taylor,1,32,1
J Rhodes,0,12,1
J Taylor,0,6,1
B Jones,0,5,1
J Williams,0,99,8
D Green,1,74,6
C Lacanaria,0,55,6
K Mabon,0,54,7
C Shillings,0,33,3
J Hogue,0,23,2
M Hagee,0,4,1
T Williamson,0,-4,1
J Akins,2,104,9
T Smith,0,104,9
C Johnson,0,32,3
N Patti,0,6,1
W Stanback,0,3,1
T Owens,0,78,10
A Gardner,0,74,5
Y Griner,1,55,4
C Taylor,0,20,3
J Smith,0,18,3
A Jones,0,15,1
A Samuel,0,0,2
M Chapman,0,72,6
B McCord,0,59,4
A Rice,0,46,4
D Spalding,0,25,3
J Kroll,0,23,3
C Willis,0,14,2
T Conklin,0,9,2
E Cooper,0,9,2
M Walker,0,8,3
M Ateman,1,75,4
D Glidden,0,71,5
J Seales,0,25,2
C Carson,0,23,2
J Washington,0,19,2
B Sheperd,0,18,1
A Hays,0,14,2
B Jarwin,0,9,1
C Lacy,0,7,1
J Carr,0,6,1
J McCleskey,0,-1,1
T Myers,1,83,2
N Thomas,0,39,3
A Newsome,1,36,3
A Bloom,0,16,1
M DeLorenzo,0,11,1
T Beals,0,9,1
T Lucas,0,8,1
J Blandin,1,71,4
J Jordan,1,41,3
C Olsen,2,35,2
K Williams,0,34,7
K Johnson,0,30,4
J Johnson,0,7,1
M Waller,0,-1,1
T Marshall,0,24,1
R Jeune,0,23,1
M Summers,1,19,1
Q Searcy,0,11,1
M Kemp,1,116,6
Q Pedroza,1,41,5
D Collie,0,21,2
M Unga,0,19,2
I Bernard,1,4,2
V Haynes,0,2,1
P Harris,0,-1,1
N Spruce,0,69,8
S Fields,0,60,6
D Ross,0,18,3
S Irwin,0,4,1
P Lindsay,0,4,3
M Adkins II,0,3,2
D Epps,0,160,15
D Watson,1,48,5
E Penny,0,32,5
C Hightower,0,15,3
T Cowan,0,14,2
R Mwehla,0,11,2
J Manley,0,8,1
J Sannon,0,7,2
I Saunders,0,2,1
B Cope,1,129,4
J Reid,1,59,4
P White,0,40,3
K Heitzman,1,34,4
S Smith,0,13,2
D Patterson,0,7,2
A Ouellette,0,2,1
K Maye,1,73,4
D Wolitarsky,0,47,3
E Carter,0,25,4
B Lingen,0,16,1
R Still,0,14,3
R Williams Jr,0,14,2
N Wozniak,0,5,1
R Smith,0,3,1
J Doctson,1,74,8
D White,0,61,5
S Nixon,0,43,5
E Porter,0,36,2
J Story,0,12,2
K Listenbee,0,9,1
T Slanina,0,8,1
K Turpin,0,3,2
J Richardson,0,66,3
H Henderson,0,60,5
B Sanchez,0,27,2
J Gipson,1,7,2
D Jackson,0,3,1
P Cooper,1,45,3
B Wilds,0,44,4
T Googer,0,39,2
J Adams,0,18,2
C Heard,0,-6,1
B Howard,1,114,6
R Switzer,0,57,6
Q Davis,0,52,4
M Hollins,0,6,1
K Singleton,0,3,1
T Williams,0,0,1
