completions, interceptions thrown, name, passes, passing touchdowns, passing yards
15,1,Kelly Page,34,0,140
23,1,Riley Dodge,33,1,216
19,0,Kellen Moore,29,1,197
0,0,Michael Choate,1,0,0
14,1,Jeremiah Masoli,27,0,121
32,1,Tyler Sheehan,44,2,339
28,2,Levi Brown,44,1,263
27,2,Ben Chappell,36,1,326
16,0,Austen Arnaud,28,2,227
1,0,Jerome Tiller,2,0,11
0,0,Darius Reynolds,1,0,0
21,2,Giorgio Morgan,35,0,201
12,0,Russell Wilson,23,0,74
1,0,Mike Glennon,2,0,0
13,1,Stephen Garcia,22,0,148
19,3,Vaughn Charlton,28,2,317
20,1,Terrance Cain,30,2,286
10,1,Diondre Borel,26,0,121
21,1,Greg Alexander,32,3,304
16,1,Joe Kemp,26,1,278
1,1,DJ Banks,2,0,39
2,0,Kevin Moore,4,0,8
15,0,GJ Kinne,20,1,211
5,0,Tim Jefferson,7,1,102
8,0,Corey Leonard,13,1,129
1,0,Ryan Aplin,1,0,9
17,0,Ryan Mallett,22,1,309
13,1,Tyler Wilson,19,2,138
19,1,Matt Scott,30,0,202
18,1,Dan LeFevour,31,0,108
17,0,Chris Todd,26,2,255
0,0,Kodi Burns,1,0,0
18,1,Ross Jenkins,33,1,149
13,0,Danny Sullivan,25,0,165
4,0,Brock Osweiler,5,1,43
7,0,David Shinskie,10,1,110
3,0,Justin Tuggle,5,1,56
3,0,Mike Marscovetra,3,0,21
2,0,Codi Boek,4,0,18
17,0,Kevin Riley,26,4,298
0,0,Brock Manison,1,0,0
17,0,Chris Turner,30,0,176
10,1,Brett Hodges,17,1,129
3,0,Rob Calabrese,7,0,28
9,0,Kyle Parker,20,2,159
0,1,Willy Korn,1,0,0
20,3,Dwight Dasher,42,1,204
1,0,Andrew Banks,2,0,3
34,0,Thaddeus Lewis,55,2,350
12,2,Patrick Pinkney,27,1,131
18,2,Andy Schmitt,31,1,183
2,0,Trent Steelman,5,0,8
10,0,Tim Tebow,15,1,188
8,0,John Brantley,12,2,67
18,1,AJ Toscano,31,0,157
9,0,Andrew Trudnowski,17,0,45
5,1,Ryan Colburn,9,1,161
2,0,Derek Carr,2,0,37
1,0,Ebahn Feathers,1,0,3
6,0,Josh Nesbitt,11,1,141
1,0,Tevin Washington,1,0,21
23,0,Case Keenum,30,4,359
9,0,Cotton Turner,14,1,88
18,1,Juice Williams,28,0,179
4,0,Eddie McGee,9,0,36
25,0,Blaine Gabbert,33,3,319
1,0,Jimmy Costello,2,0,6
22,0,Richard Stanzi,34,1,242
13,0,Todd Reesing,20,2,208
2,0,Kale Pick,2,0,11
14,1,Carson Coffman,27,2,182
18,0,Chris Masson,24,2,283
1,0,Richie Falgout,1,1,42
17,2,Justin Burke,31,0,223
3,0,Will Stein,4,0,20
10,0,Kirk Cousins,17,3,183
9,0,Keith Nichol,18,2,135
13,2,Daniel Raudabaugh,34,0,126
18,0,Mike Hartline,27,2,222
2,0,Will Fidler,3,0,21
0,0,Martavius Neloms,1,0,0
13,0,Tate Forcier,20,3,179
2,0,Denard Robinson,4,0,18
0,0,David Cone,2,0,0
0,1,Nick Sheridan,2,0,0
22,2,Tim Hiller,38,1,259
1,0,Alex Carder,1,0,4
27,1,Brian Anderson,36,3,316
9,0,Tyson Lee,14,0,97
7,0,Chris Relf,10,3,75
0,0,Chad Bumphis,1,0,0
9,1,TJ Yates,20,2,114
0,1,Braden Hanson,2,0,0
15,1,Zac Lee,22,2,213
15,2,Rusty Smith,31,0,164
5,0,Jeff Van Camp,10,0,72
21,1,Jeff Fleming,33,0,230
1,0,Trevor Walls,1,0,5
11,1,Nathan Enderle,21,2,179
0,0,Preston Davis,1,0,0
15,0,Mike Kafka,20,0,192
1,1,Dan Persa,2,1,72
15,0,Jimmy Clausen,18,4,315
2,0,Dayne Crist,2,0,17
12,2,Colin Kaepernick,23,0,149
1,0,Tyler Lantrip,4,0,5
14,1,Terrelle Pryor,21,1,174
3,0,Joe Bauserman,5,0,36
9,1,Ricky Dobbs,13,2,156
8,0,Boo Jackson,16,1,117
7,1,Theo Scott,12,1,69
11,3,Zach Frazer,24,2,127
10,0,Sam Bradford,14,1,96
6,0,Landry Jones,12,0,51
26,2,Max Hall,38,2,329
11,0,Zac Robinson,22,2,135
15,1,Joe Cox,30,1,162
8,0,Sean Canfield,11,1,158
7,0,Ryan Katz,12,0,124
11,1,Bill Stull,16,2,123
5,0,Tino Sunseri,8,1,80
29,1,Daryll Clark,40,3,353
3,0,Kevin Newsome,4,0,26
13,1,Chris Jacquemain,22,1,158
0,0,Matt Rodgers,2,0,0
17,3,Joey Elliott,28,3,220
41,2,Aaron Opelt,67,3,423
0,0,DaJuane Collins,1,0,0
19,1,Matt Grothe,23,1,155
2,0,BJ Daniels,2,1,30
19,0,Austin Davis,25,3,217
2,0,Martevious Young,4,0,16
19,1,Greg Paulus,31,1,167
19,1,Adam Weber,42,1,248
21,2,Jonathan Crompton,28,5,233
4,0,Nick Stephens,4,0,44
8,0,Brandon Smith,13,0,44
1,1,Kawaun Jakes,3,0,5
21,1,Colt McCoy,29,2,317
4,0,Garrett Gilbert,5,0,46
14,1,Trey Revell,30,1,197
31,0,Jerrod Johnson,41,2,349
1,0,Tommy Dorman,2,0,12
29,0,Donovan Porterie,40,0,210
34,3,Taylor Potts,48,2,405
12,0,Joe Webb,15,2,221
0,0,David Isabelle,1,0,0
12,0,Nick Fanuzzi,20,1,154
10,1,John Shepherd,22,0,81
18,2,Kevin Prince,29,1,176
2,0,Richard Brehaut,2,0,39
18,3,Ryan Lindley,45,2,238
13,0,Omar Clayton,17,1,213
4,0,Mike Clausen,4,0,37
15,0,Matt Barkley,19,1,233
4,0,Aaron Corp,4,1,45
9,0,Kyle Reed,17,0,66
5,0,Jordan La Secla,10,0,43
1,0,Myles Eden,2,0,3
27,0,Trevor Vittatoe,45,0,233
12,0,Zach Maynard,19,1,159
10,0,Larry Smith,18,1,153
3,0,Mackenzi Adams,7,0,34
9,3,Jameel Sewell,17,0,80
7,0,Marc Verica,11,0,50
2,0,Vic Hall,5,0,7
9,0,Tyrod Taylor,20,0,91
15,1,Greg McElroy,30,1,230
20,3,Riley Skinner,31,2,143
15,0,Robert Griffin,24,1,136
1,0,Ernest Smith,1,1,33
25,1,Jake Locker,45,2,321
11,0,Jordon Jefferson,19,3,172
10,0,Kevin Lopina,16,1,122
8,0,Marshall Lobbestael,13,0,78
1,0,Jeffrey Solomon,1,0,47
11,0,Andrew Luck,23,1,193
15,2,Scott Tolzien,20,1,257
3,0,Curt Phillips,5,0,24
15,0,Chandler Harnish,24,0,174
19,0,Jarrett Brown,26,0,243
8,0,Austyn Carta Samuels,17,0,101
8,0,Robert Benjamin,14,0,87
0,0,Zach Bolger,1,0,0
24,1,Cody Hawkins,40,1,222
10,2,Grant Stucker,17,1,208
15,2,Arkelon Hall,30,0,110
2,0,Will Hudgens,5,0,24
12,2,Jevan Snead,22,2,175
24,1,Christian Ponder,41,2,294
21,2,Jacory Harris,34,2,386
15,0,Tom Savage,23,1,135
8,3,Domenic Natale,12,0,108
0,0,Jabu Lovelace,2,0,0
27,1,Tony Pike,34,3,362
2,0,Zach Collaros,2,0,34
3,2,Josh Nesbitt,14,0,83
1,0,Scott Blair,1,1,34
15,2,Kyle Parker,31,3,261
0,0,CJ Spiller,1,0,0
15,0,Aaron Opelt,23,4,319
30,3,Cody Hawkins,64,4,356
13,0,Chris Jacquemain,22,3,162
3,0,Matt Rodgers,6,0,24
18,0,Greg McElroy,24,1,241
16,0,Paul McCall,32,1,189
2,1,Wayne Younger,6,0,24
8,2,Carson Williams,18,1,91
2,0,Trent Steelman,6,0,28
7,0,Sean Renfree,8,2,106
5,0,Thaddeus Lewis,16,1,60
14,1,Matt Scott,20,1,150
6,0,Nick Foles,8,1,44
10,0,Chris Todd,23,0,186
1,0,Kodi Burns,1,1,13
5,2,Chris Relf,11,0,77
6,0,Tyson Lee,10,1,53
15,1,Kelly Page,34,1,114
6,0,Justin Tuggle,12,2,150
9,1,David Shinskie,16,1,73
0,0,Mike Marscovetra,1,0,0
9,1,Spencer Keith,14,1,71
9,1,Giorgio Morgan,16,0,38
3,0,Anthony Magazu,7,0,10
16,1,Kellen Moore,26,4,307
2,0,Michael Coughlin,4,0,7
21,2,Daniel Raudabaugh,35,0,155
2,2,Zac Dysert,4,0,1
24,1,Zach Maynard,35,4,400
2,0,Jerry Davis,4,0,33
21,0,Bill Stull,30,3,172
13,0,Kevin Riley,20,1,148
1,0,Beau Sweeney,1,0,17
17,0,Tony Pike,23,3,229
4,0,Zach Collaros,9,2,95
1,0,Brendon Kay,1,0,19
2,0,Chazz Anderson,2,0,8
11,1,Zach Frazer,19,0,94
3,0,Cody Endres,7,0,30
23,2,TJ Yates,32,1,233
10,1,Grant Stucker,23,1,203
1,0,Dion Morton,1,1,40
15,0,Tim Tebow,24,4,237
10,0,John Brantley,12,1,135
8,1,Levi Brown,24,0,66
22,0,Christian Ponder,35,0,323
17,1,Joe Cox,24,2,201
31,1,Stephen Garcia,53,2,313
13,1,Eddie McGee,17,1,164
18,0,Ben Chappell,28,0,185
0,0,Mitchell Evans,1,0,0
28,0,Tim Hiller,43,1,266
10,4,Austen Arnaud,22,0,79
3,1,Jerome Tiller,9,0,34
18,2,Richard Stanzi,34,4,197
2,0,James Vandenberg,3,0,38
20,1,Chris Masson,36,1,185
13,1,Carson Coffman,25,0,178
1,0,Daniel Thomas,1,1,3
0,0,Grant Gregory,4,0,0
17,0,Trey Revell,19,2,238
2,0,Cody Wells,4,1,9
20,0,Jordon Jefferson,29,0,138
1,0,Jarrett Lee,1,0,10
11,1,Larry Smith,24,0,88
25,1,Chris Turner,38,1,236
13,0,Kirk Cousins,18,1,164
3,0,Keith Nichol,8,1,51
33,1,Dan LeFevour,46,3,328
1,0,Antonio Brown,1,0,24
23,1,Tate Forcier,33,2,240
25,0,Jimmy Clausen,42,3,336
20,0,Adam Weber,29,0,219
10,0,Tim Jefferson,17,1,125
20,0,Blaine Gabbert,33,2,172
29,0,Tyler Sheehan,46,1,206
18,0,Dwight Dasher,26,2,231
1,0,Malcolm Beyah,1,0,41
13,1,Arkelon Hall,22,0,93
4,0,Tyler Bass,4,0,33
5,0,Ricky Dobbs,8,0,103
18,1,Ross Jenkins,29,0,156
15,0,Russell Wilson,21,4,228
6,0,Mike Glennon,7,0,65
0,0,Daniel Imhoff,1,0,0
27,0,Zac Lee,35,4,340
11,0,Corey Leonard,20,0,131
10,0,Chandler Harnish,14,2,143
1,0,DeMarcus Grady,4,0,8
8,1,Jeff Fleming,19,0,63
0,0,Jason Scott,1,0,0
12,1,Donovan Porterie,22,0,85
5,0,BR Holbrook,8,0,31
22,0,GJ Kinne,35,4,310
1,0,Jacob Bower,1,1,28
14,1,Mike Kafka,24,0,158
20,2,Andy Schmitt,28,1,148
12,0,Riley Dodge,20,1,117
9,1,Nathan Tune,15,0,69
7,1,Theo Scott,17,2,92
9,0,Boo Jackson,14,0,77
11,1,Terrelle Pryor,25,0,177
15,1,Matt Barkley,31,0,195
18,1,Landry Jones,32,3,286
18,1,Zac Robinson,31,1,240
32,1,Case Keenum,46,3,366
11,0,Jeremiah Masoli,21,0,163
24,2,Joey Elliott,41,1,266
1,0,Keith Smith,1,1,15
20,1,Daryll Clark,31,3,240
0,0,Kevin Newsome,0,0,0
14,2,Greg Paulus,20,1,105
4,0,Ryan Nassib,5,0,30
8,0,Tom Savage,13,2,223
0,0,Domenic Natale,1,0,0
20,0,Ryan Lindley,30,2,287
21,1,Jordan La Secla,33,1,242
0,0,Kyle Reed,1,0,0
18,0,Terrance Cain,31,1,248
0,0,Matt Asiata,1,0,0
23,0,Austin Davis,31,1,253
15,0,Brett Hodges,26,2,158
2,0,Rob Calabrese,4,0,21
13,3,Jonathan Crompton,26,0,93
11,0,Kevin Prince,23,1,101
14,1,Joe Kemp,19,0,101
2,0,Ryan Griffin,2,0,14
4,1,Kevin Moore,6,0,10
0,0,Jeremy Williams,1,0,0
24,1,Max Hall,32,2,309
2,0,Riley Nelson,2,0,12
36,0,Taylor Potts,57,7,456
4,0,Steven Sheffield,6,1,52
14,0,John Shepherd,19,1,109
7,1,Ryan Lewis,15,0,66
4,0,Nick Fanuzzi,7,0,22
18,4,Joe Webb,35,2,226
0,0,David Isabelle,1,0,0
28,2,Bo Levi Mitchell,47,3,353
18,1,Omar Clayton,26,1,170
6,0,Mike Clausen,9,2,58
25,0,Sean Canfield,31,2,198
12,1,Trevor Vittatoe,25,1,187
2,0,Kyle Wright,3,0,10
1,0,James Thomas,1,0,7
25,1,Todd Reesing,41,1,260
1,0,Kerry Meier,1,0,56
1,0,Kale Pick,1,0,5
8,1,Jameel Sewell,18,2,120
15,0,Andy Dalton,21,1,177
9,1,Tyrod Taylor,16,2,161
0,0,Ju Ju Clatyon,3,0,0
15,0,Brian Anderson,31,0,116
1,0,Press Taylor,2,0,10
18,0,Riley Skinner,26,1,187
1,0,Marshall Williams,1,0,20
23,1,Andrew Luck,34,2,276
17,0,Jake Locker,25,3,253
22,1,Nathan Enderle,33,0,279
4,0,Brian Reader,7,0,70
18,2,Kevin Lopina,32,0,191
2,1,Marshall Lobbestael,6,0,36
26,0,Greg Alexander,36,3,453
1,0,Bryant Moniz,1,0,36
17,0,Scott Tolzien,28,1,225
22,3,Ryan Colburn,36,4,289
0,0,Chastin West,1,0,0
13,1,Brandon Smith,26,0,84
13,1,Matt Grothe,22,2,208
24,1,Jarrett Brown,31,4,334
16,1,Patrick Pinkney,39,1,175
16,0,Robert Benjamin,38,0,120
7,0,Austyn Carta Samuels,12,0,68
30,1,Colt McCoy,47,3,337
2,0,Garrett Gilbert,3,0,16
20,0,Jacory Harris,25,3,270
6,0,Josh Nesbitt,15,1,133
14,2,Ryan Colburn,29,1,187
0,0,Ryan Mathews,1,0,0
18,0,Kellen Moore,26,3,181
14,4,Matt Rodgers,23,1,165
18,1,Ben Chappell,28,2,163
2,0,Mitchell Evans,2,0,12
0,0,Adam Follett,1,0,0
13,0,Greg McElroy,15,2,176
9,0,Star Jackson,13,0,87
16,0,Nathan Tune,23,1,126
21,0,Ryan Mallett,39,5,408
18,1,Joe Cox,25,5,375
3,0,Trent Steelman,7,1,58
0,0,Chip Bowden,1,0,0
12,3,Kelly Page,24,1,154
7,1,Tanner Justice,11,0,100
16,1,Chris Todd,31,4,284
1,0,Kodi Burns,2,0,16
18,4,Jarrett Brown,32,1,221
5,1,Geno Smith,8,0,50
1,0,Bradley Starks,1,0,31
19,0,Danny Sullivan,30,1,220
0,0,Brock Osweiler,2,0,0
10,2,Trey Revell,23,2,126
17,0,Robert Griffin,26,0,119
0,1,Kendall Wright,1,0,0
12,0,Cody Endres,23,0,147
20,3,Max Hall,31,2,306
3,0,Riley Nelson,3,1,59
21,0,Christian Ponder,26,2,195
1,0,EJ Manuel,2,0,4
15,0,Brett Hodges,20,0,141
22,1,Zach Maynard,35,1,184
1,0,Naaman Roosevelt,1,1,34
13,2,Kyle Parker,27,0,103
4,3,Justin Tuggle,20,1,23
1,0,David Shinskie,1,0,2
10,0,Dan LeFevour,12,0,92
6,0,Ryan Radcliff,11,0,49
17,0,Cody Hawkins,31,0,175
11,0,Austyn Carta Samuels,24,0,125
3,0,Karsten Sween,8,0,27
1,0,Robert Benjamin,4,0,2
10,0,Grant Stucker,20,2,165
1,0,Dion Morton,1,1,25
25,2,Colin Kaepernick,38,1,251
14,1,Tim Tebow,19,0,115
11,2,Jonathan Crompton,19,0,93
17,0,Nathan Enderle,30,0,232
21,1,Ryan Lindley,35,1,200
4,0,Drew Westling,6,1,41
20,1,Richard Stanzi,32,0,205
6,0,Nick Foles,11,1,55
4,1,Matt Scott,14,0,50
0,0,David Douglas,1,0,0
28,0,Todd Reesing,41,3,338
16,2,Thaddeus Lewis,27,0,184
14,0,Sean Renfree,23,1,115
21,1,Spencer Keith,32,2,255
13,0,Austen Arnaud,21,1,144
3,1,Jerome Tiller,7,0,26
20,1,Mike Hartline,27,1,178
15,1,Justin Burke,28,2,245
16,1,Jordon Jefferson,25,2,165
1,0,Jarrett Lee,1,1,1
16,2,Chris Masson,36,0,159
1,0,Brad McGuire,1,0,4
21,0,Ross Jenkins,30,2,357
1,0,Colby Cameron,3,0,16
19,1,Chris Turner,30,2,288
27,2,Dwight Dasher,44,2,324
1,0,Desmond Gee,1,0,27
7,0,Tate Forcier,13,0,68
0,2,Denard Robinson,4,0,0
13,1,Andy Schmitt,22,0,97
2,0,Alex Gillett,4,0,9
21,3,Adam Weber,32,2,226
1,0,Eric Decker,2,1,7
16,0,Kevin Riley,25,0,252
16,0,Jevan Snead,28,3,209
2,0,Nathan Stanley,3,0,33
17,0,Blaine Gabbert,25,3,256
1,0,Danario Alexander,1,1,40
5,0,Jimmy Costello,9,0,33
11,1,Brian Anderson,21,1,100
43,0,Tyler Sheehan,62,1,383
19,0,TJ Yates,24,2,227
1,0,Shaun Draughn,1,0,34
1,0,AJ Blue,1,0,24
19,0,Patrick Pinkney,30,1,157
1,0,Dwayne Harris,1,0,35
6,2,Jeff Fleming,13,0,74
4,0,Trevor Walls,10,1,23
15,0,Trevor Vittatoe,32,0,182
0,0,Tim Curry,1,0,0
8,2,BR Holbrook,15,0,73
4,1,Donovan Porterie,8,0,29
2,0,Connor Dietz,4,1,40
2,0,Tim Jefferson,2,0,33
0,0,Ben Cochran,1,0,0
22,0,Jimmy Clausen,31,2,300
1,0,Armando Allen,1,1,5
23,1,Kirk Cousins,35,1,302
1,0,Keshawn Martin,1,1,30
2,0,Keith Nichol,4,0,22
14,0,Theo Scott,27,3,236
1,1,Tyler Tettleton,2,0,8
25,2,Landry Jones,37,6,336
12,2,GJ Kinne,26,0,106
4,0,Jacob Bower,10,0,47
0,0,Shavodrick Beaver,1,0,0
14,0,Zac Robinson,20,2,227
16,1,Nick Fanuzzi,28,0,182
12,0,John Shepherd,23,0,119
4,1,Jeremiah Masoli,16,0,95
20,2,Terrance Cain,41,1,178
29,1,Sean Canfield,45,0,240
31,1,Tony Pike,49,2,332
17,0,Bill Stull,24,1,245
6,0,Ricky Dobbs,21,0,89
16,1,Daryll Clark,26,2,167
1,0,Kevin Newsome,2,0,6
0,0,Curtis Drake,1,0,0
15,0,Vaughn Charlton,33,0,205
0,0,Joe Jones,1,0,0
20,0,Joey Elliott,31,0,188
15,1,Chandler Harnish,26,1,174
11,0,Tom Savage,28,0,185
1,0,Domenic Natale,2,0,49
0,0,Mohamed Sanu,1,0,0
24,2,Paul McCall,37,2,197
2,0,Wayne Younger,3,0,21
20,0,Stephen Garcia,27,1,222
1,0,Reid McCollum,1,0,7
21,1,Rusty Smith,31,2,198
1,0,Jeff Van Camp,7,0,13
10,0,BJ Daniels,13,1,149
11,0,Matt Grothe,14,2,149
13,1,AJ Toscano,24,0,127
2,0,Andrew Trudnowski,6,0,8
14,0,Austin Davis,26,1,130
0,1,Tory Harrison,1,0,0
24,1,Jameel Sewell,46,2,312
9,1,Andrew Luck,12,1,170
2,0,Tavita Pritchard,3,0,1
17,1,Jordan La Secla,30,1,155
5,0,Kyle Reed,8,0,38
1,0,Philip Zavala,1,0,11
0,0,Kevin Jurovich,0,0,0
24,1,Greg Paulus,35,2,346
35,1,Mike Kafka,42,3,390
1,0,Andrew Brewer,1,1,24
18,1,Andy Dalton,24,1,222
24,2,Colt McCoy,34,1,205
46,1,Taylor Potts,62,3,420
22,1,Aaron Opelt,45,0,197
17,2,Terrelle Pryor,28,3,262
1,0,Joe Bauserman,4,0,13
24,1,Levi Brown,32,2,413
14,1,Joe Webb,27,1,114
21,0,Jerrod Johnson,41,4,322
24,0,Diondre Borel,47,1,334
13,1,Kevin Craft,24,1,186
20,2,Carson Coffman,34,0,193
1,0,Daniel Thomas,1,0,6
28,2,Omar Clayton,43,3,340
31,1,Greg Alexander,48,3,477
12,1,Larry Smith,32,0,124
8,0,Tyson Lee,14,0,66
2,0,Chris Relf,4,0,15
12,0,Tyrod Taylor,27,1,192
11,2,Zac Lee,30,0,136
14,1,Riley Skinner,20,3,289
1,0,Ryan McManus,4,0,5
21,0,Jake Locker,35,0,237
13,1,Aaron Corp,22,0,110
24,2,Marshall Lobbestael,52,2,239
40,4,Bo Levi Mitchell,57,2,424
15,0,Scott Tolzien,20,2,159
1,0,Curt Phillips,1,0,13
9,0,Kawaun Jakes,14,0,75
8,1,Brandon Smith,22,0,66
17,0,Tim Hiller,29,4,185
3,0,Alex Carder,3,0,17
1,1,Drew Burdi,3,0,16
25,1,Daniel Raudabaugh,42,2,288
3,0,Zac Dysert,7,1,74
16,0,Stephen Garcia,34,1,220
7,0,Jevan Snead,21,1,107
1,0,Justin Sparks,1,0,2
17,0,Colin Kaepernick,28,1,146
25,0,Blaine Gabbert,40,3,414
3,0,Connor Dietz,6,0,51
0,0,Josh Cousins,1,0,0
25,4,Ryan Lindley,41,2,284
12,0,Corey Leonard,24,1,190
2,0,Ryan Aplin,2,0,27
1,0,Andre Smith,1,0,18
33,0,Levi Brown,46,2,355
1,0,Dantavious Parker,1,0,18
0,0,Jerrel Jernigan,1,0,0
0,0,Jason Bruce,1,0,0
17,0,Greg McElroy,24,3,291
12,1,Ryan Mallett,35,1,160
4,0,Tyler Wilson,6,0,31
19,0,Chris Todd,26,5,287
2,1,Neil Caudle,3,0,19
16,0,Kelly Page,28,1,101
2,0,Tanner Justice,2,0,13
13,0,Robert Griffin,19,3,226
3,0,Blake Szymanski,5,1,58
0,0,Tyler DeLoach,1,0,0
18,1,David Shinskie,29,3,228
25,1,Riley Skinner,35,2,354
16,2,Tyler Sheehan,29,1,137
5,0,Aaron Pankratz,13,0,52
17,0,Kellen Moore,21,2,247
2,0,Michael Coughlin,4,0,15
18,2,Max Hall,29,2,241
31,2,Grant Stucker,51,2,373
18,0,Tony Pike,26,3,300
16,1,Ryan Colburn,27,1,153
17,0,Kyle Parker,37,0,192
17,0,Andy Dalton,26,2,226
23,1,Dan LeFevour,31,4,197
12,0,Matt Rodgers,19,0,127
23,0,Cody Endres,30,2,289
17,0,Thaddeus Lewis,25,2,189
8,1,Sean Renfree,12,1,65
27,1,Patrick Pinkney,40,1,293
0,0,Dwayne Harris,1,0,0
21,4,Brett Hodges,34,1,266
30,0,Rusty Smith,50,2,347
18,0,Trey Revell,25,0,207
19,0,Paul McCall,42,1,224
18,1,Aaron Opelt,32,2,343
25,0,Christian Ponder,37,0,269
8,2,BJ Daniels,21,2,215
17,2,Joe Cox,31,1,242
10,1,Danny Sullivan,32,1,116
7,0,Josh Nesbitt,11,0,89
11,2,TJ Yates,26,1,137
38,1,Case Keenum,58,1,435
30,0,Taylor Potts,45,1,321
11,0,Austen Arnaud,20,2,175
8,1,Chip Bowden,21,1,87
3,0,Trent Steelman,5,0,43
30,1,Todd Reesing,41,3,331
0,0,Kerry Meier,1,0,0
28,1,Austin Davis,42,3,331
8,0,Carson Coffman,9,0,131
2,0,Grant Gregory,2,0,21
2,0,Spencer Keith,3,1,55
3,0,Giorgio Morgan,8,0,22
31,2,Zac Dysert,53,1,337
13,2,Mike Hartline,28,1,85
1,0,Will Fidler,2,0,8
0,0,Randall Cobb,1,0,0
5,0,Tim Tebow,10,1,103
4,0,John Brantley,6,1,30
21,3,Chris Turner,38,1,271
4,0,Domenic Natale,12,0,42
0,0,Shamar Graves,1,0,0
17,2,Tyler Bass,34,1,232
10,0,Brian Anderson,18,0,97
1,0,Darius Marshall,1,0,27
11,1,Tate Forcier,21,2,184
2,0,Denard Robinson,3,0,39
21,1,Ben Chappell,38,0,270
15,3,Tyson Lee,38,1,172
1,0,Chris Relf,1,0,46
1,0,Chad Bumphis,1,0,5
15,0,Jordon Jefferson,28,2,233
4,0,Ricky Dobbs,5,1,100
22,1,Kawaun Jakes,28,2,276
21,0,Russell Wilson,35,4,322
12,0,Bill Stull,23,2,206
15,0,Zac Lee,18,1,238
13,1,Chris Masson,22,0,102
2,0,Brad McGuire,5,0,18
17,0,Chandler Harnish,23,2,184
18,0,Nathan Enderle,23,3,270
16,1,Donovan Porterie,28,1,206
10,1,Trevor Walls,19,0,77
4,0,Jeff Fleming,5,1,19
32,1,Mike Kafka,47,2,309
15,1,Adam Weber,26,2,186
35,3,Riley Dodge,54,0,313
21,0,Dwight Dasher,43,2,269
8,0,Terrelle Pryor,13,1,82
13,2,Juice Williams,25,0,77
2,1,Eddie McGee,4,0,11
13,1,Zac Robinson,16,1,189
4,1,Brandon Weeden,7,2,77
21,0,Jeremiah Masoli,25,3,253
4,0,Nathan Costa,7,0,35
12,0,Kevin Riley,31,0,123
1,0,Beau Sweeney,5,0,7
31,2,Sean Canfield,47,2,303
0,0,Lyle Moevao,1,0,0
25,0,Nick Foles,34,3,254
12,3,Daryll Clark,32,1,198
11,2,Richard Stanzi,26,0,135
22,1,Joey Elliott,38,3,289
