assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
0,1,3,0,10,7,0,2,Brandon Prust,8,5,0,0,LW,0,17,0,0
1,7,13,0,19,11,4,3,Tomas Plekanec,14,2,0,1,C,0,31,0,2
0,,,0,15,10,3,1,Rene Bourque,17,0,0,0,RW,0,24,0,2
0,,,0,11,8,0,3,Colby Armstrong,20,0,0,0,RW,0,19,0,1
0,,,1,17,11,4,1,Brian Gionta,21,0,0,1,RW,1,27,0,1
0,,,0,20,13,6,0,Tomas Kaberle,22,0,0,0,D,0,23,0,3
0,,,0,21,15,0,5,Josh Gorges,26,0,0,0,D,0,29,0,0
0,,,0,13,11,1,0,Alex Galchenyuk,27,0,0,0,C,0,18,0,2
0,,,0,9,7,0,1,Travis Moen,32,2,0,0,LW,0,17,0,0
0,6,8,0,18,13,4,0,David Desharnais,51,2,0,0,C,0,26,0,0
0,1,4,0,8,7,0,1,Ryan White,53,2,0,0,C,0,17,0,0
0,,,0,22,14,3,4,Francis Bouillon,55,0,0,0,D,0,28,0,2
1,,,0,14,11,3,0,Raphael Diaz,61,0,0,1,D,0,23,0,3
0,,,0,17,13,4,0,Max Pacioretty,67,0,0,0,LW,0,28,0,3
0,1,1,0,18,13,4,0,Erik Cole,72,2,0,0,LW,0,25,0,1
0,,,0,17,13,0,3,Alexei Emelin,74,0,0,0,D,0,26,0,0
0,,,0,24,14,5,3,Andrei Markov,79,0,0,0,D,0,28,0,0
0,5,5,0,12,9,0,2,Lars Eller,81,0,0,0,C,0,19,0,2
0,,,0,58,40,9,8,Carey Price,31,0,,0,G,0,,0,0
1,,,0,26,16,4,5,Dion Phaneuf,3,0,0,1,D,0,44,0,1
0,,,0,12,8,3,0,Cody Franson,4,2,0,0,D,0,22,0,0
0,,,0,16,13,0,3,Michael Komisarek,8,0,0,0,D,0,29,0,1
0,6,3,0,13,6,0,7,Jay McClement,11,0,0,0,C,0,23,0,0
0,,,0,17,14,3,0,Clarke MacArthur,16,0,0,0,LW,0,25,0,4
0,,,0,4,4,0,0,Mike Brown,18,5,0,0,RW,0,8,0,0
0,,,0,16,10,5,0,Joffrey Lupul,19,0,0,0,LW,0,19,0,4
0,,1,0,13,10,3,0,James Van Riemsdyk,21,2,0,0,LW,0,21,0,1
0,,,0,21,13,4,4,John Liles,24,0,0,0,D,0,32,0,4
0,,,0,4,4,0,0,Colton Orr,28,0,0,0,RW,0,9,0,0
0,,,0,19,14,0,5,Carl Gunnarsson,36,0,0,0,D,0,35,0,0
0,1,,0,20,14,0,5,Nikolay Kulemin,41,0,0,0,LW,0,32,0,1
0,12,9,1,19,12,4,3,Tyler Bozak,42,0,0,1,C,1,30,0,2
0,4,2,1,9,8,1,0,Nazem Kadri,43,2,0,1,C,1,19,0,2
0,,,0,12,9,0,3,Leo Komarov,47,0,0,0,C,0,24,0,2
1,,,0,22,16,5,0,Michael Kostka,53,2,0,1,D,0,35,0,1
2,,,0,17,12,5,0,Phil Kessel,81,0,0,2,RW,0,22,0,3
0,11,6,0,18,15,2,0,Mikhail Grabovski,84,2,0,0,C,0,28,0,0
0,,,0,60,41,8,9,Ben Scrivens,30,0,,0,G,0,,0,0
0,,,0,15,15,0,0,Kris Russell,4,0,0,0,D,0,20,0,1
0,,,0,19,15,0,3,Barret Jackman,5,0,1,0,D,0,26,0,3
0,,1,0,11,11,0,0,Jaden Schwartz,9,0,0,0,LW,0,17,0,2
1,4,,0,16,11,3,1,Andy McDonald,10,0,1,1,LW,0,27,0,3
0,1,5,0,13,11,0,2,Scott Nichol,12,0,0,0,C,0,21,0,0
0,3,5,0,13,10,0,2,Vladimir Sobotka,17,0,0,0,LW,0,21,0,0
2,9,2,0,16,11,3,1,Alexander Steen,20,0,1,2,LW,0,27,0,3
0,3,5,1,15,11,2,1,Patrik Berglund,21,0,0,1,C,1,22,0,1
2,,,0,22,15,2,3,Kevin Shattenkirk,22,0,0,2,D,0,27,0,2
0,,,2,15,12,3,0,Chris Stewart,25,2,0,2,RW,2,22,0,5
2,,,0,22,15,2,4,Alex Pietrangelo,27,0,2,2,D,0,28,0,1
1,,,0,14,14,0,0,Ian Cole,28,0,1,1,D,0,20,0,1
1,10,8,0,17,12,2,2,David Backes,42,0,1,1,C,0,27,0,2
0,,,0,19,15,0,3,Roman Polak,46,0,0,0,D,0,25,0,3
0,,,0,16,13,2,0,David Perron,57,6,0,0,LW,0,27,0,0
2,,,1,17,12,2,2,TJ Oshie,74,0,1,3,RW,0,27,1,4
0,,,0,9,9,0,0,Ryan Reaves,75,10,0,0,RW,0,15,0,0
0,,,2,13,10,3,0,Vladimir Tarasenko,91,0,1,2,RW,1,22,0,5
0,,,0,60,46,5,8,Jaroslav Halak,41,0,,0,G,0,,0,0
0,,,0,15,13,0,1,Brendan Smith,2,0,-1,0,D,0,25,0,0
0,4,9,0,13,10,0,3,Justin Abdelkader,8,0,0,0,LW,0,21,0,1
0,,,0,15,11,3,0,Daniel Cleary,11,4,-1,0,RW,0,20,0,2
0,2,10,0,20,15,4,1,Pavel Datsyuk,13,0,0,0,C,0,23,0,0
0,,,0,20,18,2,0,Ian White,18,0,-1,0,D,0,23,0,0
0,,,0,16,13,0,3,Drew Miller,20,0,0,0,LW,0,24,0,1
0,,,0,10,9,0,0,Jordin Tootoo,22,10,0,0,RW,0,14,0,0
0,,,0,18,14,4,0,Damien Brunner,24,0,0,0,C,0,20,0,3
0,4,3,0,10,9,0,0,Cory Emmerton,25,0,0,0,C,0,15,0,1
0,,,0,21,15,1,4,Kyle Quincey,27,0,-1,0,D,0,28,0,0
0,,,0,18,16,2,0,Carlo Colaiacovo,28,0,-1,0,D,0,23,0,1
0,,,0,14,11,3,0,Mikael Samuelsson,37,0,-2,0,RW,0,20,0,1
0,,,0,2,2,0,0,Jan Mursak,39,2,0,0,LW,0,5,0,0
0,6,1,0,19,14,4,1,Henrik Zetterberg,40,0,0,0,LW,0,22,0,0
0,10,7,0,18,14,3,0,Valtteri Filppula,51,0,-2,0,C,0,21,0,3
0,,,0,18,14,0,4,Jonathan Ericsson,52,0,0,0,D,0,25,0,0
0,,,0,20,14,4,1,Niklas Kronwall,55,4,0,0,D,0,25,0,0
0,,,0,18,13,4,0,Johan Franzen,93,10,-1,0,RW,0,20,0,1
0,,,0,41,29,6,5,Jimmy Howard,35,0,,0,G,0,,0,0
0,,,0,18,16,2,0,Jonas Gustavsson,50,0,,0,G,0,,0,0
0,3,5,0,12,9,0,3,Adam Hall,0,0,0,0,RW,0,19,0,2
0,,,2,18,13,0,3,Eric Brewer,2,0,1,2,D,1,25,0,2
1,,,0,10,9,0,0,Keith Aulie,3,0,0,1,D,0,19,0,1
1,6,18,1,17,12,5,0,Vincent Lecavalier,4,0,0,2,C,0,25,0,5
0,,,0,22,12,6,3,Sami Salo,6,2,1,0,D,0,35,0,1
0,3,,0,14,12,0,1,Tom Pyatt,11,2,1,0,C,0,20,0,0
0,3,,0,19,11,6,1,Ryan Malone,12,2,-1,0,LW,0,23,0,2
0,,,0,13,13,0,0,Brian Lee,15,4,-2,0,D,0,22,0,0
3,,,0,15,9,5,0,Teddy Purcell,16,0,1,3,RW,0,19,0,4
0,,,0,11,9,0,1,BJ Crombeen,19,0,0,0,RW,0,17,0,2
1,,,0,21,12,4,3,Matt Carle,25,0,1,1,D,0,27,0,1
1,,1,2,21,12,7,1,Martin St Louis,26,0,0,3,RW,2,26,0,5
0,7,8,0,13,10,0,3,Nate Thompson,44,0,0,0,C,0,23,0,1
0,,,0,8,6,2,0,Marc Bergeron,47,0,1,0,D,0,13,0,2
0,1,1,0,13,9,4,0,Benoit Pouliot,67,0,2,0,LW,0,23,0,0
0,,,0,19,14,1,3,Victor Hedman,77,0,0,0,D,0,30,0,0
1,,,1,13,8,4,0,Cory Conacher,89,0,1,2,C,0,20,0,2
2,11,7,0,23,15,6,1,Steven Stamkos,91,0,0,2,C,0,26,0,4
0,,,0,60,41,11,7,Anders Lindback,39,0,,0,G,0,,0,0
1,,,0,13,9,0,3,Tom Poti,3,0,-2,1,D,0,19,0,1
0,,,0,23,15,7,1,Alexander Ovechkin,8,2,0,0,LW,0,25,0,4
2,10,4,0,18,12,3,2,Mike Ribeiro,9,2,1,2,C,0,26,0,3
0,,,1,14,11,3,0,Wojtek Wolski,17,2,1,1,LW,0,20,0,1
0,14,10,0,19,13,4,1,Nicklas Backstrom,19,2,-1,0,C,0,23,0,3
0,4,6,0,21,12,4,3,Troy Brouwer,20,2,-1,0,RW,0,27,0,2
1,2,,0,12,10,0,1,Jason Chimera,25,2,0,1,LW,0,22,0,1
0,,6,0,13,9,0,4,Matt Hendricks,26,2,-1,0,C,0,20,0,2
0,,,0,22,16,0,5,Karl Alzner,27,0,0,0,D,0,27,0,1
0,,,0,3,3,0,0,Jack Hillen,38,0,-1,0,D,0,6,0,0
0,,,2,13,10,2,0,Joel Ward,42,0,1,2,RW,1,21,0,5
1,,,0,12,11,0,1,Roman Hamrlik,44,0,0,1,D,0,15,0,0
0,,,0,26,16,6,4,Mike Green,52,0,-1,0,D,0,29,0,2
0,,,0,9,8,0,0,Jeff Schultz,55,0,0,0,D,0,10,0,1
1,,,0,25,15,2,6,John Carlson,74,0,2,1,D,0,28,0,2
0,9,8,0,15,10,0,5,Jay Beagle,83,0,0,0,RW,0,26,0,1
0,1,,0,3,3,0,0,Mathieu Perreault,85,2,-1,0,C,0,5,0,0
0,,,0,17,10,4,2,Marcus Johansson,90,0,-2,0,C,0,22,0,1
0,,,0,59,40,7,11,Braden Holtby,70,0,,0,G,0,,0,0
0,,,0,21.067,14.933,4.150,1.983,Brad Stuart,6,0.000,-3,0,D,0,23,0,1
0,1,1,0,16.783,11.367,4.150,1.267,PJ Axelsson,11,0.000,-5,0,LW,0,24,0,3
0,,,0,13.067,9.200,3.600,0.267,Stanislav Chistov,13,2.000,-1,0,LW,0,19,0,1
0,,,0,17.250,9.850,6.817,0.583,Marco Sturm,16,0.000,-3,0,LW,0,21,0,2
0,,,0,8.600,7.200,1.400,0.000,Petr Tenkrat,17,2.000,0,0,RW,0,10,0,1
1,5,4,0,11.917,10.767,0.183,0.967,Mark Mowers,18,2.000,-1,1,C,0,16,0,0
1,6,7,1,14.817,12.133,0.183,2.500,Wayne Primeau,20,0.000,0,2,C,1,23,0,2
0,,,1,12.417,11.383,0.183,0.850,Shean Donovan,22,5.000,1,1,RW,0,18,0,2
0,,,0,20.500,15.667,4.150,0.683,Paul Mara,23,2.000,-3,0,D,0,23,0,0
0,,,0,13.517,11.450,0.000,2.067,Jason York,25,2.000,-1,0,D,0,19,0,1
0,0,5,0,17.650,12.350,4.300,1.000,Brad Boyes,26,0.000,-4,0,RW,0,21,0,3
0,,,0,19.867,11.950,6.933,0.983,Glen Murray,27,2.000,-4,0,RW,0,23,0,3
0,,,0,24.633,15.217,7.083,2.333,Zdeno Chara,33,2.000,-2,0,D,0,26,0,3
0,12,3,0,16.417,10.833,5.000,0.583,Patrice Bergeron,37,0.000,-3,0,C,0,19,0,3
1,,,0,19.867,16.850,0.183,2.833,Andrew Alberts,41,0.000,-4,1,D,0,24,0,1
1,3,2,0,6.683,6.067,0.117,0.500,Yan Stastny,43,0.000,1,1,C,0,12,0,1
0,,,0,13.900,13.150,0.033,0.717,Milan Jurcina,68,0.000,-4,0,D,0,19,0,0
0,8,17,0,20.000,12.900,6.933,0.167,Marc Savard,91,0.000,-4,0,C,0,22,0,4
0,,,0,1.733,1.733,0.000,0.000,Wade Belak,3,12.000,0,0,D,0,5,0,0
2,,,0,19.983,16.750,2.267,0.967,Ian White,7,2.000,6,2,D,0,24,0,1
0,,,0,12.367,10.117,2.250,0.000,Carlo Colaiacovo,8,0.000,1,0,D,0,16,0,1
2,1,,3,17.067,14.217,0.733,2.117,Alexander Steen,10,4.000,4,5,C,0,27,0,6
1,12,11,0,16.283,14.100,0.733,1.450,Mats Sundin,13,0.000,2,1,C,0,26,0,3
2,11,9,2,19.200,11.100,3.217,4.883,Matthew Stajan,14,0.000,4,4,C,0,28,1,4
2,,,0,21.917,14.467,1.817,5.633,Tomas Kaberle,15,0.000,1,2,D,0,30,0,0
0,,1,1,17.417,11.817,1.250,4.350,Chad Kilger,18,0.000,1,1,LW,0,27,0,2
2,8,12,1,16.917,12.967,3.000,0.950,John Pohl,21,0.000,2,3,C,1,24,0,5
3,3,1,0,18.033,13.517,1.433,3.083,Boyd Devereaux,22,2.000,3,3,LW,0,28,0,0
0,,,0,21.650,13.833,2.250,5.567,Bryan McCabe,24,0.000,5,0,D,0,27,0,2
1,,,0,19.600,14.033,0.000,5.567,Hal Gill,25,0.000,2,1,D,0,24,0,1
0,1,1,0,4.567,4.567,0.000,0.000,Ben Ondrus,26,0.000,0,0,RW,0,9,0,1
1,,,0,18.433,12.350,1.283,4.800,Pavel Kubina,31,2.000,0,1,D,0,27,0,0
0,,,2,23.133,14.617,3.400,5.117,Bates Battaglia,33,0.000,3,2,LW,0,27,0,4
