longest reception, name, receiving touchdowns, receiving yards, receptions
38,K Shaw,0,109,7
20,V Hazelton,2,61,7
20,T Gurley,0,59,5
18,W Miles,0,37,4
12,B Whitaker,0,26,3
3,A Durie,0,3,1
39,A Fantuz,1,99,7
32,L Tasker,0,81,8
30,C Owens,1,67,6
19,B Banks,1,50,4
16,S Watt,0,16,1
5,T Toliver,0,5,1
63,D Adams,1,105,5
36,J Davis,0,82,5
12,A Harris,0,40,6
14,R Smith,0,33,4
9,W Dressler,0,22,3
18,R Kohlert,0,18,1
3,Q McDuffie,0,3,1
30,D Carter,0,96,8
39,S Green,1,72,5
13,N Lewis,0,51,6
17,K Stafford,0,46,3
20,T Sutton,0,39,4
17,S Giguere,0,22,3
6,J Beaulieu,0,6,1
64,D Walker,0,149,7
40,A Bowman,0,106,9
27,J White IV,1,56,5
18,N Coehoorn,0,33,3
21,C Getzlaf,0,30,2
5,C Watson,0,5,1
4,C McCarty,0,4,1
71,C Williams,2,176,8
56,G Ellingson,0,96,5
18,B Sinopoli,1,84,9
20,E Jackson,0,79,7
19,T Van,0,44,4
22,J Harty,0,31,2
8,J Smith,0,13,2
8,K Lafrance,1,12,2
8,P Lavoie,0,8,1
33,B Burnham,0,88,5
16,S Gore,0,67,7
11,E Arceneaux,0,39,4
9,N Moore,0,32,5
12,M Iannuzzi,0,12,1
5,J Johnson,0,5,1
5,C Rainey,0,5,1
48,K Jorden,1,73,3
31,L Durant,0,56,2
16,A Parker,0,26,2
21,D Federkeil,0,21,1
18,M McDaniel,0,20,2
7,J West,0,16,3
7,S Charbonneau Campeau,0,13,2
8,J Messam,0,8,1
28,N Lewis,0,114,9
19,D Carter,1,63,4
11,K Stafford,0,39,5
6,T Sutton,0,20,5
13,K Graves,0,19,2
13,J Beaulieu,0,13,1
8,B Rutley,0,10,2
52,C Williams,1,187,7
64,B Sinopoli,0,105,5
35,T Van,0,33,3
13,G Ellingson,1,24,2
15,E Jackson,1,24,2
22,K Lafrance,0,22,1
48,N Roosevelt,0,113,9
35,R Collins,0,56,4
23,C Steele,0,54,5
17,J Chiles,1,48,6
16,R Bagg,0,38,5
3,D Durant,0,3,1
56,V Hazelton,1,69,2
11,B Whitaker,0,33,4
32,T Gurley,0,32,1
23,K Shaw,0,31,2
8,A Coombs,0,10,2
6,W Miles,0,6,1
5,A Durie,1,5,1
20,L Tasker,0,70,7
20,C Owens,0,69,6
13,A Fantuz,0,57,7
26,T Underwood,0,46,3
3,B Banks,0,3,1
3,C Gable,0,3,2
60,S Gore,0,116,4
16,E Arceneaux,1,46,6
27,N Moore,0,44,3
11,B Burnham,0,21,2
1,J Johnson,0,1,1
41,M McDaniel,1,116,7
37,J West,0,91,8
27,S Charbonneau Campeau,1,35,2
15,K Jorden,0,28,3
11,A Parker,0,18,2
11,R Cote,0,11,1
10,T Harrison,0,10,1
16,A Harris,0,87,9
30,T Mayo,0,78,5
28,R Smith,0,73,5
16,D Adams,1,62,7
17,J Davis,1,49,5
9,C Normand,0,9,1
3,T Burnett,0,3,1
34,C Owens,1,92,5
20,L Tasker,0,91,8
32,A Fantuz,1,89,7
16,T Underwood,0,56,5
20,B Banks,0,25,2
12,C Gable,0,12,1
2,A Woodson,0,2,1
20,J Davis,0,74,8
40,D Adams,0,68,4
8,R Smith,1,44,7
13,A Harris,0,38,5
12,W Dressler,0,36,4
11,R Kohlert,0,16,3
3,S Green,0,3,1
35,E Arceneaux,0,69,4
21,M Iannuzzi,0,57,3
13,S Gore,0,49,5
15,N Moore,0,41,4
15,A Allen,1,32,3
14,C Rainey,0,23,2
11,B Burnham,0,17,2
29,T Gurley,1,97,5
38,V Hazelton,0,61,3
34,A Durie,0,57,4
29,B Whitaker,0,55,7
6,A Dupuis,0,8,2
3,K Shaw,0,3,1
2,A Coombs,0,2,1
52,C Williams,3,130,10
17,G Ellingson,0,101,9
14,B Sinopoli,0,56,6
18,J Harty,0,40,4
15,N Grigsby,0,38,5
20,E Jackson,0,29,4
2,K Lafrance,0,2,1
36,J West,0,99,6
46,B Grant,0,89,5
35,M McDaniel,1,70,6
18,A Parker,0,67,6
9,J Messam,1,24,4
11,J Brescacin,0,11,1
8,R Cote,0,8,1
56,A Bowman,3,141,6
68,C Watson,0,118,7
19,D Walker,0,51,5
19,C Getzlaf,1,32,3
15,N Coehoorn,0,29,2
5,J White IV,0,7,4
32,R Collins,0,115,6
20,N Roosevelt,0,50,5
15,S Chambers,1,43,6
26,R Bagg,0,34,3
18,N Demski,0,33,4
13,C Steele,0,22,2
20,J Chiles,1,20,1
34,K Shaw,0,94,7
17,V Hazelton,0,68,5
21,B Whitaker,1,54,6
14,W Miles,0,31,4
14,A Durie,0,17,2
1,P Bates,0,1,1
77,G Ellingson,0,218,9
34,E Jackson,0,70,6
26,C Williams,0,63,6
8,B Sinopoli,0,21,3
7,N Grigsby,0,13,2
4,K Lafrance,0,4,1
3,J Harty,0,3,1
40,A Harris,0,88,5
39,W Dressler,0,67,7
20,R Kohlert,1,40,4
24,D Adams,0,38,3
16,R Smith,0,36,3
14,J Davis,0,30,3
60,A Bowman,0,185,10
74,D Walker,1,154,7
19,C Watson,1,48,5
24,N Coehoorn,0,30,2
12,J White IV,0,25,5
11,C Getzlaf,0,23,3
24,B Cunningham,0,63,6
31,B Rutley,0,60,4
39,D Carter,0,50,3
12,N Lewis,0,33,5
11,S Giguere,0,24,3
8,J Beaulieu,0,8,1
0,C Louks,0,0,0
41,T Underwood,0,68,4
16,C Owens,0,52,5
29,C Gable,0,37,4
13,A Fantuz,0,18,2
15,B Banks,0,15,1
8,S Watt,0,12,2
6,L Tasker,0,6,1
41,N Roosevelt,0,132,8
47,J Chiles,0,67,3
31,R Bagg,1,56,4
23,R Collins,0,53,3
9,N Demski,1,22,3
12,M Walter,0,12,1
5,C Steele,0,9,2
59,S Gore,1,109,6
36,B Burnham,0,103,5
52,N Moore,1,88,3
28,E Arceneaux,0,83,6
14,C Rainey,0,14,1
11,R Lumbala,0,11,1
9,M Iannuzzi,0,9,1
8,J Olafioye,1,8,1
4,A Allen,0,4,1
18,W Dressler,1,118,12
45,D Adams,0,109,7
19,J Thomas,0,29,2
10,J Davis,0,29,5
12,A Harris,0,27,4
6,R Kohlert,0,10,2
29,A Parker,1,81,7
23,M McDaniel,1,80,7
33,B Grant,0,64,5
15,G Wilson,0,37,4
11,J Messam,0,30,4
13,T Harrison,0,13,1
