assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
0,,,0,59,44,6,8,James Reimer,34,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Jonas Gustavsson,50,0,,0,G,0,,0,0
0,,,0,22,19,0,2,Luke Schenn,2,4,0,0,D,0,31,0,0
1,,,1,23,13,4,5,Dion Phaneuf,3,0,2,2,D,0,34,0,3
0,,,0,17,13,0,3,Michael Komisarek,8,0,1,0,D,0,27,0,0
0,,,0,11,10,0,1,Colby Armstrong,9,2,0,0,RW,0,18,0,1
0,,,0,11,8,0,2,Philippe Dupuis,11,0,0,0,C,0,18,0,0
0,2,0,1,11,7,0,3,Matthew Lombardi,15,0,1,1,C,0,17,1,2
1,,,0,9,6,0,3,Mike Brown,18,0,1,1,RW,0,14,0,0
1,1,0,0,19,15,4,0,Joffrey Lupul,19,0,1,1,RW,0,24,0,4
0,7,18,0,15,11,0,4,David Steckel,20,0,0,0,C,0,28,0,1
0,,,0,22,16,4,0,John Michael Liles,24,2,0,0,D,0,27,0,0
0,,,0,20,14,1,4,Carl Gunnarsson,36,0,1,0,D,0,31,0,1
0,,,0,5,5,0,0,Jay Rosehill,38,0,0,0,LW,0,8,0,0
0,,,0,16,13,2,0,Matt Frattin,39,0,0,0,RW,0,21,0,2
0,4,0,0,14,11,2,0,Nikolay Kulemin,41,0,0,0,LW,0,23,0,0
0,9,7,0,18,13,3,0,Tyler Bozak,42,2,1,0,C,0,24,0,1
0,,,0,13,11,2,0,Jake Gardiner,51,0,0,0,D,0,18,0,0
1,1,0,0,20,16,4,0,Phil Kessel,81,0,1,1,RW,0,23,0,2
0,5,7,0,17,14,2,0,Mikhail Grabovski,84,0,0,0,C,0,24,0,1
0,,,0,0,0,0,0,Peter Budaj,30,0,,0,G,0,,0,0
0,,,0,58,43,8,6,Carey Price,31,0,,0,G,0,,0,0
0,,,0,18,16,0,1,Jaroslav Spacek,6,0,0,0,D,0,25,0,0
0,6,8,0,17,13,3,0,Scott Gomez,11,2,-1,0,C,0,24,0,3
0,1,0,0,21,13,5,2,Michael Cammalleri,13,0,-1,0,LW,0,27,0,4
0,10,14,0,23,13,6,3,Tomas Plekanec,14,0,-2,0,C,0,28,0,4
0,,,0,11,9,1,0,Chris Campoli,17,0,0,0,D,0,14,0,2
0,0,1,0,20,14,4,1,Brian Gionta,21,0,-1,0,RW,0,26,0,1
0,,,0,19,17,0,2,Josh Gorges,26,2,0,0,D,0,30,0,1
0,,,0,7,6,0,1,Travis Moen,32,0,0,0,LW,0,13,0,0
