deflections, interceptions, name, sacks, tackles
0,0,C Wake,4.000,9
0,0,B Johnson,0.000,1
0,0,J Jimenez,0.000,1
0,0,W Stith,0.000,1
0,0,D Valli,0.000,1
0,1,R Myles,0.000,1
0,0,B Anderson,1.000,1
0,0,R Phillips,0.000,1
0,0,M Kirk,0.000,1
0,1,B Miles,0.000,2
0,0,T Williams,0.000,3
0,0,J Pottinger,0.000,2
0,0,D Marsh,0.000,2
0,0,A Fantuz,0.000,1
0,0,S Schultz,0.000,1
0,0,S Gordon,0.000,1
0,0,R Williams,1.000,1
0,0,J Chick,0.000,1
0,0,K Jones,0.000,2
0,0,M Adams,0.000,4
0,0,M Lloyd,0.000,3
0,1,L Frazier,0.000,2
0,0,A McKenzie,0.000,5
0,0,J Johnson,0.000,3
0,0,O Morgan,0.000,5
0,0,S Lucas,0.000,6
0,0,J Richardson,0.000,1
0,0,J Bowman,0.000,1
0,0,D Claybrooks,0.000,3
0,0,D Sanchez,0.000,3
0,0,P Masson,0.000,3
0,0,K Williams,0.000,2
0,0,M Estelle,0.000,5
0,0,D Taylor,0.000,8
0,0,T Hill,2.000,8
0,0,R Drew,0.000,4
0,0,A Stewart,0.000,4
0,0,D Ferri,0.000,4
0,0,C Cox,0.000,5
0,0,M Labinjo,0.000,5
0,0,D Anderson,0.000,4
0,0,J Armour,0.000,6
0,0,W Lysack,0.000,1
0,0,H Hodges,0.000,1
0,0,M Robede,0.000,2
0,0,B Browner,0.000,3
0,0,C Bannister,0.000,1
0,0,J Phillips,0.000,1
0,0,S James,0.000,1
0,0,B Smith,0.000,1
0,0,H Burris,0.000,1
0,0,S Shabazz,0.000,4
0,1,A Barrenechea,1.000,4
0,0,J Buhl,0.000,3
0,0,J Davis,1.000,3
0,0,J Younger,0.000,7
0,1,K Williams,0.000,9
0,0,C McCarty,0.000,1
0,1,T Jackson,0.000,1
0,0,J Tucker,0.000,1
0,0,S Garrett,0.000,1
0,0,J Goss,0.000,2
0,0,F Perry,0.000,2
0,0,D Romero,1.000,1
0,0,M Murphy,0.000,2
0,0,C Winters,0.000,7
0,0,K Eiben,0.000,5
0,0,J Brown,0.000,3
0,0,M OShea,0.000,3
0,0,R Johnson,0.000,2
0,1,O Steinauer,0.000,1
0,0,K Heatly,0.000,4
0,0,A Belli,0.000,4
0,0,M Fletcher,0.000,3
0,0,W Pile,0.000,3
0,0,J Robertson,0.000,1
0,0,K Wheaton,0.000,1
0,0,R Donnelly,0.000,1
0,0,P Labbe,0.000,1
0,0,S Mayne,0.000,1
0,0,T Edwards,0.000,1
0,0,R Bryant,0.000,1
0,0,G Walls,1.000,3
0,0,B Simpson,0.000,4
0,0,D Brown,0.000,4
0,0,I Charlton,0.000,4
0,0,K Malveaux,0.000,5
0,0,K Koch,0.000,2
0,0,A Malbrough,0.000,2
0,0,T Canada,2.000,2
0,0,J Haywood,0.000,3
0,0,R Bean,0.000,3
0,0,J Nugent,0.000,3
0,0,C Hall,0.000,3
0,1,J Johnson,0.000,3
0,0,R Phillips,0.000,3
