field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
0,2,2,2,0,Garrett Hartley
1,1,0,1,41,Ryan Longwell
1,2,1,1,51,Rian Lindell
2,3,1,1,43,Dan Carpenter
2,2,1,1,31,Robbie Gould
0,0,2,2,0,Jason Hanson
1,1,5,5,43,Rob Bironas
2,3,1,1,34,Sebastian Janikowski
1,3,5,5,32,Stephen Gostkowski
1,1,3,3,54,Mike Nugent
1,1,4,4,32,Lawrence Tynes
3,3,1,1,52,John Kasay
3,5,0,0,52,Jeff Reed
3,4,0,0,49,Matt Bryant
1,1,2,2,49,Connor Barth
0,1,2,2,0,Phil Dawson
1,1,3,3,45,Josh Scobee
1,1,2,2,54,Matt Prater
2,2,4,4,49,Neil Rackers
1,1,3,3,20,Adam Vinatieri
1,1,4,4,35,Olindo Mare
2,2,0,0,23,Joe Nedney
2,2,2,2,45,David Akers
2,2,3,3,56,Mason Crosby
2,3,1,1,46,Josh Brown
1,1,2,2,22,Jay Feely
2,2,1,1,49,Graham Gano
0,1,1,1,0,David Buehler
3,3,0,0,48,Nick Folk
1,1,1,1,25,Billy Cundiff
0,0,3,3,0,Ryan Succop
0,0,2,2,0,Nate Kaeding
2,2,5,5,35,Matt Bryant
0,1,1,1,0,Jay Feely
5,5,0,0,46,Mike Nugent
1,1,1,1,38,Billy Cundiff
0,1,2,2,0,Phil Dawson
3,3,1,1,35,Ryan Succop
2,3,2,2,48,David Buehler
2,2,3,3,40,Robbie Gould
1,1,3,3,49,Jason Hanson
0,0,5,5,0,David Akers
2,2,4,4,44,Mason Crosby
0,0,1,1,0,Rian Lindell
1,1,0,0,21,Rob Bironas
4,4,1,1,36,Jeff Reed
1,1,1,1,28,Ryan Longwell
0,0,2,2,0,Dan Carpenter
0,0,1,1,0,John Kasay
2,2,2,2,33,Connor Barth
3,4,1,1,41,Sebastian Janikowski
0,1,2,2,0,Josh Brown
1,1,4,4,20,Matt Prater
0,0,2,2,0,Olindo Mare
2,2,2,2,49,Nick Folk
0,1,2,2,0,Stephen Gostkowski
1,1,5,5,41,Nate Kaeding
2,2,1,1,48,Josh Scobee
2,4,3,3,41,Graham Gano
3,4,3,3,47,Neil Rackers
1,1,5,5,38,Adam Vinatieri
0,0,2,2,0,Lawrence Tynes
0,0,2,2,0,Joe Nedney
3,3,2,2,46,Garrett Hartley
1,1,3,3,31,Ryan Longwell
1,2,1,1,33,Jason Hanson
1,1,5,5,43,Stephen Gostkowski
3,4,3,3,39,Rian Lindell
1,2,3,3,32,Garrett Hartley
2,2,3,3,46,Matt Bryant
1,3,1,1,50,Lawrence Tynes
2,2,3,3,48,Rob Bironas
1,2,4,4,32,Ryan Succop
1,1,1,1,51,Joe Nedney
2,2,1,1,40,Connor Barth
1,1,5,5,24,Jeff Reed
0,0,1,1,0,John Kasay
2,2,2,2,50,Mike Nugent
1,2,3,3,49,Billy Cundiff
1,1,2,2,38,Phil Dawson
2,2,1,1,30,Neil Rackers
2,2,3,3,49,David Buehler
1,1,0,0,51,Josh Scobee
0,0,4,4,0,David Akers
3,4,3,3,37,Josh Brown
3,3,1,1,29,Graham Gano
1,1,3,3,42,Jay Feely
3,6,2,2,54,Sebastian Janikowski
2,2,3,3,23,Olindo Mare
1,1,1,1,29,Nate Kaeding
2,2,1,1,34,Matt Prater
2,2,3,3,38,Adam Vinatieri
3,3,2,2,50,Dan Carpenter
1,2,4,4,30,Nick Folk
2,3,2,2,25,Robbie Gould
1,2,2,2,38,Mason Crosby
3,3,1,1,43,Matt Bryant
0,0,2,2,0,Joe Nedney
0,0,2,2,0,Rian Lindell
1,2,5,5,19,Nick Folk
3,3,2,2,31,Phil Dawson
2,3,2,2,25,Mike Nugent
0,0,4,4,0,Mason Crosby
4,5,2,2,52,Jason Hanson
2,3,2,2,55,Rob Bironas
4,4,2,2,36,Matt Prater
2,2,2,2,31,Josh Brown
1,1,0,0,22,Olindo Mare
3,3,1,1,32,John Carney
0,0,2,2,0,John Kasay
0,2,2,2,0,Jeff Reed
1,2,2,2,33,Billy Cundiff
1,1,4,4,59,Josh Scobee
