completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
19,1,47,D Willy,27,4,308
1,0,11,M Renaud,1,0,11
1,0,8,B Brohm,1,0,8
27,0,27,R Ray,38,2,283
0,0,0,T Harris,1,0,0
16,0,102,B Mitchell,25,2,313
17,1,15,T Smith,40,0,127
18,4,55,K Glenn,28,2,251
22,1,35,M Reilly,35,3,229
1,0,0,M Nichols,1,0,3
15,1,32,D Durant,22,2,136
19,1,16,Z Collaros,33,1,159
0,0,0,B Banks,1,0,0
21,1,51,D Willy,33,0,307
17,0,39,H Burris,30,2,241
17,0,38,T Smith,29,0,187
13,2,0,K Glenn,25,0,159
2,0,0,J Beck,5,1,28
29,1,42,M Reilly,40,1,253
5,1,0,J Masoli,15,1,118
8,1,0,D LeFevour,11,0,70
4,1,0,Z Collaros,8,0,53
29,0,49,R Ray,37,3,407
17,2,59,D Durant,29,2,295
3,0,16,T Sunseri,4,0,36
18,1,49,T Smith,32,3,309
0,0,0,T Marsh,1,0,0
24,0,49,D Willy,38,1,256
22,0,0,M Reilly,33,3,256
13,0,0,H Burris,25,0,134
3,1,0,T DeMarco,4,0,33
28,0,0,R Ray,36,0,292
6,0,0,T Harris,6,0,71
16,0,58,B Mitchell,24,4,267
15,1,37,D Durant,34,1,191
16,0,24,K Glenn,27,1,170
14,1,50,D Willy,27,0,180
18,1,39,M Reilly,31,1,192
17,0,43,H Burris,30,0,216
21,2,45,R Ray,37,1,298
20,0,23,B Mitchell,35,0,201
9,1,30,J Masoli,20,0,107
9,0,10,D LeFevour,11,0,76
23,0,35,K Glenn,31,2,301
4,0,27,J Beck,7,2,72
5,1,29,T Smith,17,0,45
3,0,7,T Marsh,9,0,17
19,1,38,M Reilly,34,1,212
14,0,26,B Mitchell,29,1,124
18,2,0,K Glenn,31,0,232
1,0,0,J Beck,2,0,10
18,1,0,D Willy,26,1,250
21,1,82,D LeFevour,30,1,361
27,1,24,H Burris,44,2,290
1,0,25,B Maher,1,0,25
9,1,35,D Durant,17,0,155
0,0,0,T Sunseri,2,0,0
23,2,46,R Ray,35,0,221
7,0,14,T Harris,10,0,58
19,1,53,D LeFevour,33,1,189
31,0,40,D Willy,43,1,361
5,0,36,T Smith,10,0,63
9,1,16,A Brink,23,0,60
19,0,25,R Ray,33,2,186
21,1,25,B Mitchell,31,1,227
22,1,65,K Glenn,32,2,277
17,2,0,H Burris,33,0,217
5,0,0,T DeMarco,6,1,84
19,0,42,D Durant,25,1,294
0,0,0,T Sunseri,1,0,0
23,3,58,D Willy,39,1,304
13,0,18,D Durant,21,0,115
20,1,52,T Smith,45,1,231
15,1,35,M Reilly,21,2,206
22,2,43,K Glenn,36,1,407
23,0,0,D LeFevour,34,0,298
26,1,23,B Mitchell,36,3,289
2,0,0,D Tate,2,0,24
20,2,60,H Burris,29,1,281
0,0,0,T DeMarco,1,0,0
26,0,33,R Ray,33,4,297
23,0,48,D Willy,31,2,193
18,0,55,H Burris,28,0,255
26,1,25,M Reilly,35,0,271
21,1,55,D LeFevour,30,2,282
7,1,24,J Masoli,10,0,68
19,1,74,B Mitchell,27,1,271
19,0,30,D Durant,30,1,221
19,1,20,A Brink,31,0,187
23,2,0,R Ray,39,1,181
14,0,0,K Glenn,25,1,208
14,1,37,D Willy,23,0,200
0,0,0,L Hajrullahu,1,0,0
18,3,71,J Crompton,29,0,266
5,0,8,A Brink,7,0,14
15,2,48,M Nichols,28,1,178
1,0,12,M Reilly,1,0,12
0,0,0,P White,1,0,0
25,3,29,R Ray,43,2,277
1,0,0,M Gale,1,0,9
12,1,0,H Burris,23,0,113
3,0,0,T DeMarco,7,0,19
0,0,0,D OBrien,1,0,0
16,1,0,B Mitchell,29,0,266
1,0,0,D Tate,1,0,11
15,0,0,K Glenn,21,0,146
4,0,0,T Lulay,8,0,27
9,0,0,D Durant,15,0,104
8,0,0,T Sunseri,13,0,86
15,1,51,J Crompton,25,0,245
1,0,1,T Marsh,1,1,1
21,0,28,H Burris,34,1,245
2,0,18,D OBrien,2,0,25
14,0,59,D Durant,26,1,204
15,1,25,D Willy,23,0,171
27,0,0,Z Collaros,38,1,317
16,1,0,R Ray,29,1,142
