kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
0,0,0,48,N Prefontaine,155,4
0,0,0,57,G Shaw,231,5
0,0,0,48,R Schmitt,185,6
0,0,0,54,S Whyte,335,7
0,0,0,52,G Shaw,342,9
0,0,0,61,R Schmitt,408,9
0,0,0,41,N Prefontaine,142,4
0,0,0,46,S Whyte,211,5
0,0,0,50,N Prefontaine,353,9
0,0,0,50,R Schmitt,278,6
0,0,0,68,R Schmitt,0,11
0,0,0,49,S Whyte,0,8
0,0,0,48,P McCallum,328,8
0,0,0,57,N Prefontaine,230,6
0,0,0,51,G Shaw,168,4
0,0,0,46,S Whyte,131,3
0,0,0,52,P McCallum,367,9
0,0,0,44,N Prefontaine,243,6
0,0,0,61,G Shaw,258,5
0,0,0,55,R Schmitt,239,5
0,0,0,52,P McCallum,215,5
0,0,0,53,R Schmitt,265,6
0,0,0,63,G Shaw,505,10
0,0,0,68,N Prefontaine,459,10
0,0,0,52,S Whyte,340,8
0,0,0,54,G Shaw,403,10
0,0,0,52,P McCallum,405,10
0,0,0,55,S Whyte,360,9
0,0,0,51,N Prefontaine,280,7
0,0,0,56,G Shaw,514,11
0,0,0,0,R Schmitt,0,0
0,0,0,0,S Waters,0,0
0,0,0,52,P McCallum,204,5
0,0,0,46,S Whyte,317,8
0,0,0,48,G Shaw,254,7
0,0,0,39,S Whyte,224,7
0,0,0,80,S Waters,322,6
0,0,0,68,R Schmitt,424,9
0,0,0,53,P McCallum,513,12
0,0,0,55,P McCallum,420,10
0,0,0,51,G Shaw,364,8
0,0,0,54,S Waters,363,8
0,0,0,52,S Whyte,415,10
0,0,0,74,R Schmitt,569,12
0,0,0,54,S Waters,241,6
0,0,0,50,P McCallum,301,7
0,0,0,48,R Schmitt,291,7
0,0,0,46,G Shaw,206,5
0,0,0,53,S Whyte,363,8
0,0,0,60,P McCallum,386,10
0,0,0,52,R Schmitt,299,7
0,0,0,47,S Whyte,79,2
0,0,0,50,S Waters,221,5
0,0,0,52,G Shaw,277,6
0,0,0,51,S Waters,308,7
0,0,0,70,R Schmitt,354,8
0,0,0,40,P McCallum,321,9
0,0,0,49,S Whyte,327,8
0,0,0,53,S Waters,180,4
0,0,0,48,P McCallum,382,9
0,0,0,52,G Shaw,372,9
0,0,0,39,S Whyte,172,5
0,0,0,48,R Schmitt,348,8
0,0,0,63,Q Sharp,395,9
0,0,0,45,P McCallum,265,7
0,0,0,52,R Schmitt,293,7
0,0,0,61,G Shaw,315,7
0,0,0,38,R Schmitt,72,2
0,0,0,52,P McCallum,209,6
0,0,0,60,S Waters,308,6
0,0,0,65,R Schmitt,253,7
0,0,0,49,R Schmitt,246,7
