assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
0,,,0,0,0,0,0,James Reimer,34,0,,0,G,0,,0,0
0,,,0,59,49,5,4,Jonathan Bernier,45,0,,0,G,0,,0,0
1,,,0,23,19,2,1,Dion Phaneuf,3,0,-1,1,D,0,31,0,0
0,,,0,20,18,0,1,Stephane Robidas,12,0,-1,0,D,0,26,0,0
1,,,0,14,12,2,0,Joffrey Lupul,19,0,-1,1,LW,0,21,0,1
0,1,1,0,22,17,3,1,James Van Riemsdyk,21,0,-2,0,LW,0,29,0,3
0,7,4,0,11,9,0,1,Peter Holland,24,0,0,0,C,0,15,0,1
0,6,1,0,11,11,0,0,Mike Santorelli,25,0,1,0,C,0,13,0,3
0,1,0,0,10,9,0,1,Daniel Winnik,26,2,0,0,C,0,15,0,2
0,,,0,9,9,0,0,Matt Frattin,39,0,0,0,RW,0,13,0,0
0,11,8,1,21,18,3,0,Tyler Bozak,42,0,-2,1,C,1,27,0,2
0,7,6,1,14,11,2,0,Nazem Kadri,43,0,-1,1,C,0,22,0,3
0,,,1,19,15,2,0,Morgan Rielly,44,0,-1,1,D,0,25,0,3
0,,,0,17,15,0,2,Roman Polak,46,0,0,0,D,0,26,0,1
1,4,4,0,14,11,0,2,Leo Komarov,47,0,1,1,C,0,17,0,2
1,,,0,20,16,2,1,Stuart Percy,50,0,0,1,D,0,29,0,1
0,,,0,19,15,3,0,Jake Gardiner,51,0,-1,0,D,0,26,0,0
1,,,0,13,12,0,0,Brandon Kozun,67,2,-1,1,RW,0,20,0,2
0,0,2,0,13,10,2,0,David Clarkson,71,0,1,0,RW,0,16,0,1
0,,,0,20,17,3,0,Phil Kessel,81,0,-2,0,RW,0,25,0,2
0,,,0,59,51,2,6,Tuukka Rask,40,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Niklas Svedberg,72,0,,0,G,0,,0,0
0,1,1,0,15,14,1,0,Milan Lucic,17,0,0,0,LW,0,21,0,0
0,,,1,17,15,1,0,Reilly Smith,18,0,-1,1,RW,1,20,0,3
0,1,0,0,11,9,0,2,Daniel Paille,20,0,0,0,LW,0,17,0,1
0,,,0,18,15,1,1,Loui Eriksson,21,2,1,0,RW,0,23,0,3
0,5,6,1,15,13,0,1,Chris Kelly,23,0,1,1,C,0,22,0,1
0,,,0,10,10,0,0,Matt Fraser,25,0,0,0,RW,0,14,0,1
0,,,0,18,15,2,0,Dougie Hamilton,27,0,-1,0,D,0,22,0,1
0,,,0,21,16,1,3,Zdeno Chara,33,0,-1,0,D,0,25,0,3
2,3,1,0,17,15,1,0,Carl Soderberg,34,0,0,2,C,0,20,0,1
1,5,18,0,19,15,1,1,Patrice Bergeron,37,2,0,1,C,0,24,0,3
0,,,0,21,18,0,2,Dennis Seidenberg,44,2,0,0,D,0,29,0,4
0,,,0,17,15,1,0,Torey Krug,47,0,1,0,D,0,23,0,5
0,4,4,0,12,10,1,0,Ryan Spooner,51,0,0,0,C,0,16,0,2
1,,,0,21,18,0,2,Adam McQuaid,54,0,1,1,D,0,26,0,3
0,6,6,0,11,9,0,2,Craig Cunningham,61,0,0,0,RW,0,20,0,1
0,,,0,18,15,0,1,Brad Marchand,63,2,-1,0,LW,0,23,0,1
0,,,0,6,6,0,0,Bobby Robins,64,7,0,0,C,0,10,0,0
0,,,0,19,16,0,3,Kevan Miller,86,0,0,0,D,0,27,0,0
0,,,0,58,50,5,2,Jonas Hiller,1,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Karri Ramo,31,0,,0,G,0,,0,0
0,,,0,20,16,3,0,Kris Russell,4,0,0,0,D,0,28,0,0
1,,,0,25,20,4,0,Mark Giordano,5,0,-1,1,D,0,27,0,2
0,,,0,16,14,1,0,Dennis Wideman,6,0,-1,0,D,0,21,0,0
0,,,0,24,22,0,1,TJ Brodie,7,0,0,0,D,0,27,0,2
1,5,11,0,18,16,1,0,Joe Colborne,8,0,1,1,C,0,25,0,0
0,8,15,0,17,15,1,0,Mikael Backlund,11,2,-3,0,C,0,27,0,3
0,,,0,16,13,2,0,John Gaudreau,13,0,1,0,LW,0,21,0,1
0,,,0,16,14,0,1,Ladislav Smid,15,0,-1,0,D,0,18,0,2
0,,,0,7,7,0,0,Brian McGrattan,16,0,0,0,RW,0,11,0,0
0,1,0,0,12,11,0,1,Lance Bouma,17,0,-2,0,C,0,21,0,0
0,5,5,0,8,7,0,0,Matt Stajan,18,0,0,0,C,0,10,0,2
0,0,1,0,19,16,2,0,Curtis Glencross,20,2,0,0,LW,0,25,0,4
0,,,0,16,14,1,0,Mason Raymond,21,2,-2,0,LW,0,25,0,2
1,8,11,0,17,14,3,0,Sean Monahan,23,0,1,1,C,0,26,0,1
0,,,1,18,15,2,0,Jiri Hudler,24,0,0,1,C,0,25,0,3
0,,,0,10,10,0,0,Brandon Bollig,25,0,0,0,LW,0,16,0,2
0,,,0,15,14,0,1,Deryk Engelland,29,2,1,0,D,0,25,0,0
0,,,1,14,14,0,0,Paul Byron,32,2,0,1,C,0,22,0,1
0,,,0,19,16,3,0,Martin Jones,31,0,,0,G,0,,0,0
0,,,0,40,29,4,6,Jonathan Quick,32,0,,0,G,0,,0,0
0,,,0,13,11,0,2,Matt Greene,2,0,-1,0,D,0,21,0,1
0,,,0,23,18,2,2,Brayden McNabb,3,0,-1,0,D,0,33,0,0
0,,,0,27,20,4,2,Drew Doughty,8,2,-1,0,D,0,33,0,2
0,13,2,0,15,11,2,1,Mike Richards,10,2,-2,0,C,0,20,0,1
0,14,9,0,18,11,4,2,Anze Kopitar,11,0,0,0,C,0,23,0,2
0,,,0,16,12,4,0,Marian Gaborik,12,0,0,0,RW,0,18,0,2
0,,,0,10,9,0,0,Kyle Clifford,13,7,-1,0,LW,0,13,0,1
0,,,0,15,13,1,0,Justin Williams,14,0,-2,0,RW,0,19,0,5
0,,,0,10,8,0,1,Trevor Lewis,22,0,-1,0,C,0,14,0,6
0,,,0,16,11,2,1,Dustin Brown,23,0,0,0,RW,0,22,0,4
0,,,0,21,15,2,3,Viatcheslav Voynov,26,0,-1,0,D,0,29,0,0
0,,,0,16,13,3,0,Alec Martinez,27,0,-1,0,D,0,23,0,2
0,6,6,0,13,11,0,1,Jarret Stoll,28,2,-1,0,C,0,17,0,0
0,,,0,16,14,0,2,Robyn Regehr,44,0,-1,0,D,0,28,0,2
0,,,0,13,11,0,0,Tanner Pearson,70,0,0,0,LW,0,17,0,2
0,,,0,12,11,0,0,Tyler Toffoli,73,0,0,0,C,0,16,0,0
0,,,0,13,11,0,1,Dwight King,74,0,-2,0,LW,0,17,0,0
0,9,12,0,19,14,4,1,Jeff Carter,77,0,0,0,C,0,20,0,4
0,,,0,60,50,1,7,Jhonas Enroth,1,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Michal Neuvirth,34,0,,0,G,0,,0,0
0,,,0,22,18,0,4,Josh Gorges,4,2,0,0,D,0,28,0,0
0,,,0,16,15,0,1,Mike Weber,6,2,0,0,D,0,18,0,0
0,4,4,0,10,7,0,3,Cody McCormick,8,0,-1,0,C,0,12,0,0
