longest rush, name, rushes, rushing touchdowns, rushing yards
2,B Whitaker,3,0,2
2,C Fajardo,2,0,2
1,R Ray,1,0,1
12,C Gable,11,0,48
6,J Masoli,3,0,10
3,C Owens,1,0,3
17,A Harris,13,0,80
20,D Willy,3,0,27
1,D Adams,1,0,1
0,R Smith,1,0,0
22,T Sutton,15,0,66
21,D Carter,3,0,47
1,B Bridge,2,1,1
10,J White IV,11,1,43
5,M Reilly,7,0,16
14,T Van,12,0,47
11,J Johnson,9,0,44
15,J Jennings,10,0,41
1,C Rainey,1,1,1
6,T Harrison,5,0,19
8,J Messam,7,1,16
6,B Mitchell,1,0,6
5,L Durant,1,0,5
2,A Buckley,3,0,4
0,D Tate,1,0,0
12,T Sutton,8,0,39
13,B Rutley,3,0,11
9,R Cato,1,0,9
2,K Glenn,1,0,2
1,V Adams Jr,1,0,1
28,T Van,12,0,86
8,K Lafrance,13,0,52
9,T Harris,2,0,15
11,C Steele,10,0,61
6,D Durant,5,0,15
3,K Lawrence,2,0,5
3,B Moniz,1,0,3
16,B Whitaker,11,0,40
19,R Ray,1,0,19
7,A Coombs,1,0,7
19,C Gable,7,0,48
1,J Masoli,1,0,1
17,J Johnson,12,0,76
15,S Murray Lawrence,13,1,39
9,J Jennings,3,0,12
0,C Rainey,1,0,0
53,J Messam,16,0,137
21,T Harrison,5,1,40
19,B Mitchell,2,0,20
6,K Jorden,1,0,6
3,A Buckley,2,1,4
17,D Willy,4,0,39
7,A Harris,8,0,13
1,M Nichols,1,1,1
26,C Gable,7,0,30
15,J Masoli,3,0,20
1,B Banks,1,0,1
18,A Harris,13,0,63
1,D Willy,2,0,2
17,A Allen,16,0,107
6,J Jennings,4,1,8
32,B Whitaker,13,0,97
9,A Coombs,2,0,10
1,R Ray,1,0,1
21,N Grigsby,14,0,65
24,K Lafrance,2,0,28
14,T Harris,5,0,22
8,J Messam,8,0,32
3,B Mitchell,4,0,6
1,A Buckley,1,0,1
17,J White IV,17,1,96
5,M Reilly,5,0,18
18,C Steele,8,0,47
9,D Durant,6,0,15
8,B Moniz,1,0,8
4,K Lawrence,1,0,4
6,B Whitaker,5,0,18
12,R Ray,2,0,13
2,C Fajardo,2,1,3
1,A Coombs,1,1,1
9,N Grigsby,12,1,51
9,T Harris,5,1,18
5,K Lafrance,4,0,15
6,A Harris,9,0,22
8,D Willy,3,0,15
11,W Dressler,1,0,11
7,J White IV,10,0,23
10,M Reilly,7,0,18
9,J Lynch,1,0,9
2,C McCarty,1,0,2
7,B Rutley,10,0,29
9,V Adams Jr,4,0,18
7,R Cato,4,0,17
11,C Gable,17,1,61
8,J Masoli,1,0,8
8,L Tasker,1,0,8
4,A Woodson,1,0,4
2,J Matthews,2,0,3
11,M Gale,3,0,15
4,C Steele,4,0,10
6,M Walter,2,0,9
1,J Chiles,1,0,1
13,A Allen,11,1,61
19,J Jennings,5,1,30
8,R Lumbala,1,0,8
2,C Rainey,1,0,2
18,A Harris,10,0,28
2,M Nichols,1,0,2
1,D Willy,1,0,1
15,J Messam,13,0,65
10,T Harrison,1,0,10
1,A Buckley,1,0,1
1,B Mitchell,1,0,1
9,M Gale,6,0,18
11,C Steele,2,0,15
6,K Lawrence,1,0,6
0,V Lee,1,0,0
11,N Grigsby,14,0,58
9,B Jensen,5,0,23
7,Z Medeiros,1,0,7
7,E Jackson,1,0,7
2,K Lafrance,2,0,3
11,J White IV,8,1,30
16,M Reilly,5,0,24
11,J Lynch,1,0,11
6,C McCarty,1,0,6
10,C Gable,8,0,35
2,J Masoli,1,0,2
1,J Matthews,2,1,2
15,B Whitaker,15,0,67
9,A Durie,4,0,27
10,R Ray,5,0,15
8,C Fajardo,2,0,9
3,A Coombs,1,0,3
14,B Rutley,9,1,45
7,S Logan,2,0,12
6,K Glenn,1,0,6
14,M Reilly,1,0,14
5,J White IV,4,0,8
2,C McCarty,1,1,2
22,A Harris,22,1,127
8,Q McDuffie,1,0,8
3,M Nichols,5,0,4
1,D Davis,1,0,1
10,B Rutley,12,0,42
12,S Logan,2,0,16
8,J Beaulieu,2,0,11
7,K Glenn,1,0,7
1,B Bridge,1,1,1
1,S Giguere,1,1,1
12,M Dyer,8,0,38
12,M Walter,3,0,18
6,M Gale,1,0,6
16,J Messam,6,0,45
16,L Durant,2,0,24
20,B Mitchell,3,0,22
10,T Harrison,2,1,12
16,J Jennings,5,1,44
7,A Allen,11,0,26
0,S Murray Lawrence,1,0,0
12,N Grigsby,10,0,58
15,Z Medeiros,1,0,15
9,K Lafrance,3,0,10
1,B Jensen,1,1,1
12,B Whitaker,14,0,57
16,D Wylie,1,0,16
1,C Fajardo,2,0,1
11,A Harris,18,1,49
4,M Nichols,3,0,10
14,C Gable,5,0,31
12,L Tasker,1,0,12
6,J Matthews,4,1,9
17,B Rutley,6,0,48
12,R Cato,1,0,12
5,K Glenn,1,1,5
4,S Logan,1,0,4
2,V Adams Jr,2,0,3
13,J Johnson,15,1,74
6,C Rainey,3,0,12
2,J Jennings,4,0,5
19,J Messam,17,1,109
6,R Finch,2,0,9
5,A Buckley,2,1,7
5,L Durant,1,0,5
2,B Mitchell,1,0,2
18,K Lawrence,6,0,45
5,M Walter,1,0,5
2,D Durant,4,0,5
0,C Irvin,1,0,0
12,N Grigsby,9,0,33
8,K Lafrance,5,0,28
3,H Burris,1,0,3
