completions, interceptions thrown, name, passes, passing touchdowns, passing yards
22,0,A Solomon,36,4,229
25,1,B Bogenschutz,43,2,332
0,0,R Bellomy,2,0,0
34,1,J Milas,52,1,338
23,0,J Holman,34,2,249
28,0,A McGough,38,1,260
28,1,C Rush,41,0,225
1,0,J Kroll,1,0,40
22,0,M Rudolph,32,1,266
12,1,B Shirreffs,20,2,202
14,1,Z Greenlee,32,3,156
8,1,C Virgil,13,1,61
3,0,J Thomas,4,1,54
1,0,T Byerly,1,0,23
19,2,M Wittek,38,3,202
23,1,S Liufau,40,0,156
36,2,M Linehan,48,1,297
13,0,D Vick,16,2,192
7,0,J Sprague,9,1,92
19,0,M Leidner,35,1,197
26,1,T Boykin,42,1,246
13,0,T Stewart,20,1,163
0,0,H Fralick,3,0,0
9,0,C Mitch,22,1,122
2,0,P Orth,2,0,24
19,3,M Williams,31,1,232
16,0,J Gray,20,1,253
13,0,K Potter,14,0,167
1,0,M Watson,1,0,2
24,1,T Lee,42,1,246
27,0,T Sirk,40,2,289
2,0,P Boehme,4,0,35
24,1,T Wilson,33,0,208
27,3,J Rudock,43,2,279
16,1,C Keeton,33,0,110
18,2,J McCrary,34,1,217
19,0,B Doughty,30,1,209
20,0,J Wolford,27,3,323
9,0,K Hinton,13,0,65
6,1,A Bradshaw,14,2,107
1,0,K White,2,0,26
16,1,R Finley,26,0,129
1,0,T Sperbeck,1,0,23
20,1,J Browning,34,0,150
25,1,N Arbuckle,43,2,299
19,2,M Johnson,32,1,244
10,0,S Collins,18,2,92
2,1,M McMaryion,4,0,18
16,2,M Davis,23,2,166
0,0,D Colbert,1,0,0
15,1,S Russell,30,5,376
2,0,J Stidham,2,1,47
10,0,E Dungey,17,2,114
0,0,A Wilson,1,0,0
0,1,T Hunt,2,0,0
33,2,Z Terrell,50,2,365
15,0,C Cook,31,2,256
4,0,N Romine,7,2,119
15,0,J Coker,21,1,213
7,0,C Bateman,8,0,51
26,1,J Stave,39,2,228
16,0,T Lamb,21,3,209
5,0,J Caruso,7,1,78
14,0,B Allen,18,4,308
0,0,A Allen,2,0,0
9,1,M Leftwich,14,0,120
3,0,R Metz,3,0,19
2,0,K Johnson,2,0,7
11,3,J Johnson,21,1,137
9,1,L Jackson,20,0,100
8,0,R Bonnafon,13,0,67
14,0,D Wade,25,1,155
20,0,J Licata,26,2,246
2,0,T Daniel,3,0,9
24,1,J Goff,32,3,309
10,1,C Forrest,17,1,162
18,0,G Kiel,22,2,233
8,0,H Moore,14,1,107
0,0,L Wright,2,0,0
18,0,D Watson,22,2,194
9,0,N Schuessler,11,0,98
3,0,K Bryant,4,0,19
20,0,N Stevens,28,5,289
7,1,C Key,8,1,92
29,0,B Kemp,37,0,235
12,1,Jr,18,2,121
10,1,B Roback,17,0,71
0,0,E Daugherty,1,0,0
18,0,S Bentley,32,1,184
14,0,T Harris,19,2,215
16,0,W Grier,18,2,166
1,0,J Grady,1,0,3
14,0,T Rogers,27,1,128
0,1,T Morgan,1,0,0
19,0,E Golson,25,4,302
6,0,S Maguire,7,1,68
16,0,T Jones,25,0,100
10,0,C White,17,1,68
8,0,G Lambert,12,2,141
2,0,B Ramsey,2,1,51
23,1,G Smith,29,2,206
21,0,G Ward Jr,27,1,275
6,0,A Schulz,10,0,80
19,0,N Sudfeld,32,1,349
15,0,C Beathard,24,1,211
1,0,T Wiegers,1,0,10
21,0,S Richardson,29,2,233
25,1,M Cozart,38,1,291
0,0,R Willis,2,0,0
9,0,J Hubener,18,1,147
16,1,P Towles,34,3,257
22,2,B Haack,37,0,194
4,0,J Nixon,4,0,38
12,0,J Driskel,15,4,274
8,2,R Higgins,11,1,76
1,0,P Wilson,3,0,30
12,1,P Hills,21,2,138
0,0,C Rowe,1,0,0
7,0,C Holgorsen,8,1,80
8,0,P Lynch,12,1,78
1,0,P Mayhue,1,1,44
16,0,B Kaaya,27,2,173
1,0,M Rosier,4,0,11
14,0,D Kummer,19,2,255
2,0,G Ragland,3,0,7
9,1,C Kelly,15,2,211
4,0,R Buchanan,6,2,58
6,0,D Kincade,7,1,55
12,1,M Mauk,22,2,181
6,0,D Lock,10,1,138
24,1,B Stockstill,30,4,348
2,0,A Grammer,3,0,15
3,0,K Reynolds,6,0,67
21,0,J Brissett,23,2,196
1,0,J McClendon,2,0,3
12,0,B Silvers,16,1,149
2,1,D Tidwell,5,0,35
24,1,T Armstrong Jr,41,3,319
21,1,T Hill,34,1,268
7,0,T Mangum,11,1,111
21,0,D Hare,26,2,360
21,1,B Decker,39,2,319
1,0,K Palendech,1,0,10
7,0,L Jordan,7,0,103
5,0,A Apodaca,12,0,69
12,0,C Thorson,24,0,105
0,0,A Scanlan,1,0,0
20,1,K Hogan,35,0,155
19,0,M Zaire,22,3,313
0,0,D Kizer,1,0,0
7,0,T Swoopes,22,0,93
1,0,J Heard,1,0,10
23,0,B Mayfield,33,3,388
