name, receiving touchdowns, receiving yards, receptions
M Kemp,1,73,4
J Ursua,0,70,5
D Saint Juste,0,35,2
D Collie,0,26,3
D Hagger,0,19,1
A Barker,0,7,1
D Torres,0,4,1
C Hansen,2,160,14
M Stovall,1,61,4
B Rivera,0,54,5
V Wharton III,0,47,3
J Veasy,1,41,2
R Hudson,0,22,1
K Noa,0,18,1
B Singleton,0,14,2
D Robertson,0,12,2
V Enwere,0,5,2
J Austin,0,4,1
J Duncan,0,3,1
D Gray,0,111,5
N Cole,1,64,6
A Johnson,0,38,2
K Lewis,1,16,2
T Green,0,11,2
B Beard,0,10,2
J Rollins,0,6,1
T Geddis,0,4,1
C Weathers,1,66,4
J Bowe,0,37,3
B Axline,0,26,2
N Ray,0,17,3
M Chapman,0,60,5
J Kroll,0,53,3
C Willis,1,48,2
J Carson,0,33,1
A Rice,0,24,1
D Spalding,0,11,3
J Hayes,0,8,1
D Wilson,0,29,3
D Davis,0,28,2
D Watson,0,17,1
D Bridges,0,8,4
N Thomas,0,70,9
A Newsome,0,24,1
T Davis,0,21,2
B Lemelle,0,18,1
T Myers,0,15,1
R Johnson,0,14,2
J Reed,1,169,8
J Mack,1,36,3
J Osumah,0,27,4
M Adams,0,20,1
J Dunn,0,9,2
J Blair,0,8,1
S Thomas,0,91,3
J Smith,0,83,8
A Gardner,0,70,7
T Gaiter IV,0,9,3
T Owens,0,8,1
A Jones,0,7,2
N Westbrook,0,70,6
M Majette,0,54,2
L Timian,0,32,2
M Paige,0,29,2
D Friend,1,27,2
D Hale,0,18,1
R Jones,0,9,2
D Williams,0,1,1
D Watson,0,67,2
J Sannon,0,19,2
A Onunwor,0,17,2
T Cowan,0,14,1
C Hightower,0,11,1
M Herbert,0,62,4
J DAgostino,0,47,6
J Paige,1,31,5
C Newell,0,27,2
N LaSane,0,18,2
A Barth,0,5,1
J Staples,0,83,4
J Smith,0,33,2
R Bonnafon,1,33,2
J Quick,1,32,1
L Scott,1,26,2
T Samuel,1,25,2
C Hikutini,1,25,2
J Smith,1,24,1
M Jones,0,18,2
J Bagley,0,18,2
B Radcliff,1,16,1
C Standberry,0,16,1
D Peete,0,15,1
S Dawkins,1,13,1
M Crum,0,7,1
M Williams,0,7,1
A Duke,1,54,5
T Ford II,0,53,2
B LeMay,0,18,2
J Foggie,0,11,1
W Kofa,0,8,3
M Quattlebaum,0,6,1
R Washington,0,5,1
J Bolus,0,4,1
K Phillips,0,1,2
D Wolitarsky,0,53,4
N Wozniak,0,33,3
T Johnson,0,31,3
R Still,0,6,1
N Hart,0,5,1
R Smith,0,2,1
R Nall,0,80,8
S Collins,0,57,5
V Bolden Jr,1,32,5
N Togiai,1,31,4
T Cook,1,12,1
P Lucas,0,11,1
