longest reception, name, receiving touchdowns, receiving yards, receptions
24,A Bruce,1,80,7
31,T Miles,0,42,3
14,F Murphy,0,38,4
15,P Johnson,0,26,2
8,M Palmer,1,8,1
3,J Johnson,0,5,2
4,A Talbot,0,4,1
2,J White,0,2,1
45,C Rodgers,0,52,2
25,G Simon,0,48,4
14,J Clermont,0,38,4
11,P Jackson,0,23,3
8,T Simmons,0,14,3
4,L Green,0,4,1
20,T Acree,0,123,9
63,T Gaylor,1,80,4
27,A Nowacki,0,48,4
16,J Tucker,2,48,5
17,K Peterson,1,37,3
17,T Ebell,1,35,7
23,M Bertrand,0,23,1
49,M Stegall,1,126,7
36,T Edwards,0,109,7
32,D Armstrong,0,85,7
20,J Stoddard,0,38,2
17,C Roberts,0,36,4
13,C Brazzell,0,22,2
15,B Cahoon,0,96,11
14,K Watkins,0,45,4
14,C Davis,0,43,4
23,S Green,0,37,2
11,M Imoh,0,21,3
12,B Bratton,0,19,2
6,S Diner,0,6,1
4,M Vilimek,0,4,1
34,H Childs,1,64,3
32,J Armstead,0,49,2
20,M Dominguez,0,45,3
20,A Fantuz,0,38,5
16,D Flick,0,26,2
8,D McKoy,0,8,1
57,K Rambo,0,92,3
22,M Boerigter,0,46,3
18,J Reynolds,0,23,3
12,R Cote,1,20,3
10,N Lewis,1,20,2
11,R Thelwell,0,11,1
9,B Ralph,0,9,1
9,J Copeland,0,9,1
51,J Lumsden,0,78,5
39,N Curry,0,39,1
10,C Holmes,0,35,4
23,J Radlein,0,32,2
16,J Walker,0,29,2
5,A Arceneaux,0,14,3
14,B Ralph,0,13,2
12,R Alston,0,12,1
4,K Dickerson,0,4,1
62,T Edwards,1,119,3
25,C Brazzell,1,73,6
10,D Armstrong,0,36,6
12,M Stegall,0,34,4
13,G Lezi,0,13,1
12,E Wilson,0,12,1
11,J Stoddard,0,11,1
16,B Cahoon,0,74,8
42,K Watkins,0,67,5
11,D Desriveaux,0,29,3
26,M Vilimek,0,26,1
16,S Green,0,25,2
11,B Bratton,0,21,2
5,M Imoh,0,5,1
36,J Clermont,1,84,4
32,P Jackson,0,52,3
21,G Simon,0,52,4
16,T Simmons,0,38,3
4,C Rodgers,0,4,1
16,T Ebell,0,87,10
33,P Woodcock,0,86,4
20,J Tucker,0,39,3
12,K Peterson,0,35,5
16,T Gaylor,0,16,1
10,T Acree,0,10,1
9,A Nowacki,0,9,1
6,M Bertrand,0,6,1
35,B Ralph,0,72,5
22,T Gardner,0,34,3
15,K Dickerson,0,15,1
8,N Curry,0,14,2
4,A Arceneaux,0,8,2
4,J Lumsden,0,4,1
1,C Holmes,0,1,1
73,T Miles,1,73,1
24,A Bruce,1,57,4
32,F Murphy,0,57,5
25,P Johnson,0,55,3
9,A Talbot,1,23,3
14,J Avery,0,19,3
14,M Palmer,0,14,1
35,D Flick,2,115,6
35,J Armstead,1,65,4
19,C Szarka,0,32,2
32,M Dominguez,1,32,1
11,C Grant,0,19,2
8,H Childs,0,16,2
14,A Fantuz,0,14,1
7,W Cates,0,10,2
25,B Ralph,0,57,4
28,R Thelwell,0,44,3
15,J Copeland,0,32,3
11,N Lewis,0,23,3
15,M Boerigter,0,15,1
10,K Rambo,0,10,1
8,J Reynolds,1,7,3
29,F Murphy,0,69,3
23,L Mitchell,1,64,5
26,T Miles,1,59,4
14,A Bruce,1,49,4
21,A Talbot,1,48,3
30,J Johnson,0,37,2
6,O Cetoute,0,12,2
3,J White,0,3,1
26,M Boerigter,0,65,5
33,J Copeland,1,54,2
16,J Reynolds,0,35,4
13,R Thelwell,0,28,3
16,N Lewis,0,20,2
11,K Rambo,0,19,2
11,B Ralph,0,11,1
20,T Edwards,0,62,6
20,M Stegall,0,61,5
23,E Wilson,0,60,4
16,K Johnson,0,49,4
17,C Roberts,0,34,3
9,J Stoddard,0,23,3
5,J Oosterhuis,1,5,1
15,J Tucker,0,58,5
19,K Peterson,1,56,5
17,R McClendon,0,50,8
12,T Acree,1,25,3
10,A Nowacki,0,14,2
8,T Gaylor,0,11,2
36,M Dominguez,1,96,7
31,A Fantuz,0,65,5
15,C Grant,0,61,6
14,D Flick,0,38,4
29,C Szarka,0,36,2
6,J Armstead,0,6,1
0,H Childs,0,0,1
15,J Clermont,0,68,7
18,J Jackson,0,57,5
10,G Simon,0,10,1
3,J Smith,1,3,1
67,T Gardner,1,143,8
71,B Ralph,1,101,4
13,T Anderson,0,19,2
8,C Holmes,0,12,2
11,J Walker,0,11,1
9,N Curry,0,9,1
8,K Dickerson,0,8,1
27,K Watkins,1,99,7
14,B Cahoon,0,89,10
29,E Thurmon,0,47,3
19,D Desriveaux,1,36,3
13,R Edwards,0,17,2
17,M Vilimek,0,17,1
5,M Imoh,1,5,1
17,B Cahoon,0,103,12
30,A Davis,1,66,4
13,E Thurmon,0,55,6
15,B Bratton,0,54,6
20,D Desriveaux,0,31,2
24,M Imoh,0,24,1
12,R Edwards,0,21,2
26,C Roberts,0,66,6
23,D Armstrong,0,64,6
41,T Edwards,1,56,3
29,M Stegall,0,45,2
14,G Lezi,0,14,1
8,C Brazzell,0,10,2
3,O Wilson,0,3,1
25,J Clermont,0,115,10
64,P Jackson,0,65,2
24,G Simon,0,35,2
15,C Rodgers,0,28,3
21,T Simmons,1,21,1
2,J Smith,0,3,2
44,J Lumsden,0,68,5
17,B Ralph,0,66,6
22,T Gardner,0,22,1
18,K Dickerson,0,18,1
12,T Anderson,0,12,1
9,J Walker,1,9,1
7,N Curry,0,7,1
34,J Tucker,1,91,5
15,R McClendon,0,70,6
15,T Gaylor,0,64,6
12,K Peterson,0,54,7
21,T Acree,0,41,4
18,M Bertrand,0,25,2
5,R Brown,1,5,1
4,A Nowacki,0,4,1
16,C Grant,0,53,5
24,A Fantuz,0,43,2
21,W Cates,0,39,3
19,M Dominguez,0,38,3
19,D Flick,1,17,2
10,J Armstead,0,10,1
66,J Copeland,0,114,5
70,M Boerigter,1,70,1
29,K Rambo,0,47,4
39,B Ralph,0,40,2
39,T Young,1,39,1
16,J Reynolds,1,20,3
16,R Thelwell,0,16,1
36,F Murphy,0,50,2
29,O Cetoute,1,40,2
16,M Palmer,0,40,3
14,D Mitchell,0,24,3
15,A Talbot,0,21,2
8,B Smith,0,8,1
3,J Williams,0,3,1
22,A Talbot,0,73,6
28,D Mitchell,0,37,2
18,J Avery,0,35,3
