completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
28,1,19,H Burris,39,0,284
25,0,52,D Durant,34,4,390
17,1,56,T Lulay,25,1,233
14,1,19,A Brink,26,2,121
3,0,6,B Pierce,9,0,11
21,0,38,S Jyles,36,0,236
0,0,0,M Nichols,1,0,0
29,0,52,R Ray,39,1,298
25,2,40,D Tate,35,1,299
3,0,18,K Glenn,3,0,39
16,2,37,A Calvillo,31,1,174
31,0,49,A Calvillo,39,3,443
1,0,2,A McPherson,1,1,2
18,1,46,B Pierce,26,1,255
3,0,35,A Brink,4,0,57
17,0,26,T Lulay,31,2,178
26,1,95,H Burris,39,4,359
0,0,0,Q Porter,1,0,0
30,2,56,R Ray,40,2,407
15,2,25,K Glenn,19,2,172
5,0,23,D Tate,6,1,64
20,0,21,D Durant,32,0,203
10,0,17,S Jyles,19,0,91
4,1,12,K Joseph,8,0,34
23,0,69,A Calvillo,38,3,325
26,1,38,K Glenn,36,0,267
15,2,60,S Jyles,27,1,272
3,0,76,K Joseph,3,2,102
1,0,9,M Nichols,2,0,9
11,1,72,J Elliott,18,1,193
8,1,20,A Brink,18,0,75
3,1,41,B Pierce,5,0,61
18,0,34,D Durant,28,0,172
23,2,69,T Lulay,40,2,345
12,1,34,H Burris,27,3,181
23,1,38,R Ray,38,0,232
23,1,50,R Ray,34,3,325
9,2,55,A Brink,34,0,185
27,0,39,K Glenn,42,4,385
1,0,7,B Mitchell,3,0,7
19,1,30,D Durant,37,2,219
1,0,2,D Willy,1,1,2
28,2,29,T Lulay,38,1,360
10,0,39,S Jyles,16,0,150
4,0,26,K Joseph,6,0,60
27,0,41,H Burris,30,4,360
24,1,54,A Calvillo,39,3,374
26,2,40,A Brink,38,1,294
16,0,47,S Jyles,30,2,244
25,1,38,A Calvillo,42,1,317
20,0,55,R Ray,30,2,280
24,1,74,D Durant,39,2,380
29,0,52,H Burris,40,4,356
19,1,36,K Glenn,28,0,245
1,0,4,B Mitchell,2,0,4
30,0,32,T Lulay,37,3,315
0,0,0,A Harris,1,0,0
25,0,35,A Brink,39,2,311
17,0,71,A Calvillo,29,2,368
25,3,25,R Ray,34,0,215
18,0,50,T Lulay,27,1,205
21,1,34,H Burris,40,1,267
15,0,26,K Glenn,28,1,141
18,0,49,S Jyles,23,1,282
0,0,0,K Joseph,1,0,0
24,2,76,D Durant,35,0,401
33,0,40,J Elliott,43,1,406
17,0,84,H Burris,25,2,368
15,1,29,S Jyles,28,1,173
5,2,20,K Joseph,10,0,45
22,2,62,A Calvillo,32,4,327
22,1,50,K Glenn,33,1,292
21,0,52,R Ray,33,1,316
22,0,55,T Lulay,30,1,257
18,3,22,D Durant,27,0,170
6,0,15,D Willy,7,0,54
25,0,40,A Calvillo,36,1,329
22,1,37,H Burris,34,1,281
20,1,29,J Elliott,42,0,256
16,2,43,T Lulay,26,1,220
0,1,0,M Reilly,1,0,0
17,1,30,D Durant,29,0,179
15,0,34,K Glenn,24,2,171
26,2,42,R Ray,38,1,251
13,2,44,K Joseph,20,0,169
4,0,18,S Jyles,6,0,49
19,1,50,A Calvillo,31,2,321
24,0,36,T Lulay,39,2,275
13,0,25,D Durant,19,2,168
8,0,43,D Willy,10,1,98
9,1,16,J Elliott,19,0,61
5,0,12,A Brink,7,0,35
13,2,52,H Burris,30,2,218
32,0,39,R Ray,45,1,375
23,2,36,K Glenn,30,2,273
1,0,17,B Mitchell,1,0,17
17,1,73,K Joseph,27,2,311
27,0,31,K Joseph,35,1,275
1,0,35,M Nichols,1,1,35
19,2,50,K Glenn,30,1,254
26,1,49,R Ray,32,0,331
16,1,40,H Burris,30,3,272
23,0,43,T Lulay,31,4,262
2,0,10,M Reilly,2,0,14
16,0,38,A Calvillo,26,1,152
0,0,0,A McPherson,3,0,0
19,0,44,J Elliott,33,0,241
17,1,33,D Willy,23,1,188
1,0,10,D Durant,3,0,10
17,0,52,K Glenn,23,1,298
3,0,26,B Mitchell,4,1,53
6,0,26,A Brink,14,0,55
5,1,16,J Elliott,8,0,26
1,0,9,J Goltz,3,0,9
23,2,87,H Burris,33,3,418
21,0,59,K Joseph,33,0,290
3,1,19,S Jyles,8,0,37
1,0,30,M Nichols,3,0,30
24,1,48,T Lulay,40,2,390
19,0,52,R Ray,38,1,311
14,0,62,A Calvillo,27,1,266
22,2,33,D Willy,34,1,225
21,0,37,B Pierce,31,1,288
11,0,34,H Burris,24,0,156
17,1,47,S Jyles,27,1,222
26,0,37,T Lulay,39,1,260
15,2,47,A Calvillo,29,2,315
15,1,38,J Jackson,31,0,198
3,0,16,R Ray,4,0,30
22,0,30,D Durant,35,2,264
24,1,32,K Glenn,38,2,270
0,1,0,B Mitchell,2,0,0
28,1,27,H Burris,32,5,326
