completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
22,0,51,A Calvillo,30,3,312
26,0,49,T Lulay,45,1,366
18,3,29,K Glenn,31,1,187
4,1,17,Q Porter,7,0,40
12,1,49,B Pierce,26,1,151
26,1,39,H Burris,37,0,293
16,1,28,C Lemon,30,1,187
27,3,33,D Durant,37,2,339
21,0,37,R Ray,27,3,294
21,1,29,B Pierce,34,0,165
23,1,45,C Lemon,33,0,248
1,0,32,N Prefontaine,1,0,32
17,2,54,T Lulay,39,2,279
19,3,61,H Burris,36,3,298
22,0,28,D Durant,40,1,273
29,1,55,A Calvillo,43,5,419
21,0,68,R Ray,31,1,388
21,1,20,K Glenn,33,1,219
9,2,49,B Pierce,16,1,149
10,0,22,J Elliott,18,0,87
17,0,21,H Burris,32,1,183
29,1,35,A Calvillo,43,2,307
19,1,53,C Lemon,30,1,235
19,0,24,K Glenn,31,2,203
3,1,29,Q Porter,6,0,39
5,0,49,R Dinwiddie,11,0,115
9,3,14,D Durant,23,0,95
24,0,46,R Ray,33,2,320
0,0,0,K Joseph,1,0,0
23,2,38,T Lulay,41,2,313
22,1,26,T Lulay,38,1,251
21,0,71,K Glenn,31,3,334
13,2,32,D Bell,27,1,169
5,0,20,C Lemon,5,0,58
22,0,84,B Pierce,27,3,361
28,0,36,H Burris,46,2,372
12,1,65,R Ray,27,2,229
12,1,14,A McPherson,19,1,98
7,1,29,A Calvillo,14,0,91
14,0,75,D Durant,20,1,177
0,0,0,R Dinwiddie,1,0,0
11,0,82,B Pierce,18,1,206
4,0,25,A Brink,8,1,52
16,0,33,T Lulay,31,0,195
20,0,58,K Glenn,36,2,295
23,0,50,A Calvillo,45,1,356
24,0,24,R Ray,34,2,261
17,2,48,D Bell,29,0,156
16,0,58,D Durant,28,1,215
24,1,43,H Burris,36,0,255
25,1,30,C Lemon,41,2,314
30,0,42,A Calvillo,36,1,349
20,1,39,B Pierce,27,2,242
17,3,29,R Ray,28,1,226
18,1,63,T Lulay,27,1,257
25,0,21,D Durant,36,1,236
27,0,46,H Burris,39,1,341
20,1,31,K Glenn,34,1,211
19,0,40,A Calvillo,33,2,261
21,0,47,R Ray,32,0,245
3,0,27,K Joseph,6,0,39
24,2,49,D Durant,34,2,325
6,0,57,R Dinwiddie,6,1,109
21,0,43,H Burris,29,3,298
22,0,48,K Glenn,31,2,310
26,0,69,C Lemon,36,3,368
2,0,7,D Bell,2,0,11
6,1,54,J Jackson,19,1,124
12,0,24,T Lulay,23,0,103
18,1,44,B Pierce,24,0,237
20,0,21,C Lemon,28,0,169
31,1,70,D Durant,44,2,384
8,1,49,K Joseph,11,0,120
11,3,18,R Ray,19,0,81
22,1,56,T Lulay,37,4,343
2,0,21,J Jackson,3,0,35
19,0,53,B Pierce,34,2,293
22,1,64,K Glenn,34,2,351
26,0,40,H Burris,42,3,422
28,1,28,A Calvillo,49,3,369
11,0,14,C Lemon,15,0,57
5,4,17,D Bell,16,0,42
25,0,53,T Lulay,36,1,309
13,0,40,D Durant,21,3,232
20,0,34,B Pierce,28,0,209
3,1,10,A Brink,7,0,25
14,0,57,K Glenn,18,1,238
2,1,15,Q Porter,3,0,27
17,0,48,A Calvillo,30,0,215
7,0,19,A McPherson,12,0,92
13,2,26,H Burris,23,1,132
1,0,19,D Tate,3,0,19
14,0,31,R Ray,21,2,131
3,0,18,K Joseph,4,0,36
1,0,1,E Ward,1,0,1
21,0,56,R Ray,34,0,345
16,1,62,H Burris,30,1,316
19,1,51,T Lulay,29,1,263
18,0,29,S Jyles,33,0,220
0,1,0,N Prefontaine,1,0,0
31,0,0,A Calvillo,45,4,421
13,0,26,K Glenn,30,0,151
6,0,12,Q Porter,9,0,50
1,0,6,J Medlock,1,0,6
21,5,49,B Pierce,33,0,287
8,0,13,A Brink,11,1,59
14,1,43,D Durant,27,4,230
1,0,16,W Dressler,1,0,16
14,1,28,K Glenn,23,0,140
8,0,20,Q Porter,12,0,90
25,0,30,R Ray,32,1,227
21,1,64,D Durant,34,1,279
19,2,44,S Jyles,33,1,254
1,0,39,N Prefontaine,1,0,39
15,1,31,H Burris,20,1,184
6,0,62,D Tate,10,0,129
13,0,48,T Lulay,26,2,186
0,1,0,P McCallum,1,0,0
0,0,0,J Jackson,1,0,0
22,0,23,A Calvillo,39,2,258
20,1,92,B Pierce,29,2,312
14,1,74,R Ray,26,1,213
21,0,27,A Calvillo,29,2,270
6,0,32,A McPherson,6,0,92
15,2,39,D Durant,25,0,188
6,0,33,R Dinwiddie,13,0,90
19,0,100,T Lulay,26,2,303
5,0,16,J Jackson,6,0,40
1,0,12,M Reilly,2,0,12
11,3,16,S Jyles,20,1,88
0,1,0,N Prefontaine,1,0,0
10,1,27,A Brink,13,0,121
7,1,19,B Pierce,13,0,68
3,0,18,J Goltz,6,1,36
16,0,66,K Glenn,23,3,276
1,0,3,Q Porter,1,0,3
13,1,35,H Burris,23,2,177
8,0,18,D Tate,15,2,104
25,2,52,A Brink,40,1,326
26,0,59,A Calvillo,44,3,335
18,1,63,T Lulay,27,3,288
16,0,61,R Ray,28,1,255
2,0,8,K Joseph,4,0,15
15,0,32,H Burris,19,1,158
4,0,17,D Tate,5,0,40
0,0,0,L Taylor,1,0,0
12,0,35,D Durant,21,0,128
6,0,12,R Dinwiddie,8,0,32
12,0,27,S Jyles,25,0,142
1,0,21,N Prefontaine,1,0,21
1,0,5,D Bell,1,0,5
21,3,40,K Glenn,30,1,301
1,0,30,J Medlock,1,0,30
13,1,16,K Glenn,20,0,109
6,0,28,Q Porter,9,1,93
16,0,59,B Pierce,25,1,239
19,0,49,T Lulay,32,2,252
15,0,81,H Burris,19,1,193
0,0,0,D Tate,1,0,0
26,1,50,A Calvillo,38,1,305
21,0,46,S Jyles,34,0,223
17,0,32,R Ray,26,0,197
1,0,7,K Joseph,2,0,7
8,3,24,R Dinwiddie,15,0,83
7,0,12,D Durant,24,0,62
11,4,31,S Jyles,21,1,118
19,0,43,D Tate,28,2,263
6,2,20,H Burris,11,0,65
20,2,35,R Ray,29,2,220
19,3,20,B Pierce,33,0,143
1,0,19,A Brink,1,0,19
27,0,36,A Calvillo,39,2,341
16,2,34,K Glenn,24,0,201
11,0,20,Q Porter,18,1,103
29,0,35,D Durant,45,0,281
16,0,72,T Lulay,29,2,287
23,1,48,S Jyles,39,2,285
17,0,75,R Ray,29,2,347
1,0,9,K Joseph,2,0,9
23,2,26,D Tate,32,1,251
20,1,19,D Durant,30,0,209
6,0,29,R Dinwiddie,13,0,86
21,1,30,B Pierce,33,1,236
14,3,45,A Calvillo,37,0,199
9,0,46,K Glenn,18,0,116
8,0,38,Q Porter,10,1,116
0,0,0,J Boltus,2,0,0
17,0,34,T Lulay,36,1,218
4,1,14,J Jackson,7,0,49
0,1,0,P McCallum,1,0,0
16,0,45,A Brink,27,1,219
5,1,19,B Pierce,11,0,50
9,1,43,S Jyles,13,2,100
2,0,9,D Bell,4,0,13
7,0,72,R Dinwiddie,20,0,139
0,0,0,C Bergquist,2,0,0
14,4,32,K Glenn,22,0,171
6,0,15,Q Porter,13,0,53
21,1,51,T Lulay,31,3,322
26,0,40,R Ray,38,2,310
24,0,37,A Calvillo,43,1,380
25,2,41,D Tate,36,2,333
12,2,43,D Bell,22,2,216
0,0,0,B Hall,3,0,0
14,0,16,K Glenn,19,0,150
8,1,16,Q Porter,14,1,75
5,0,17,J Boltus,13,0,48
22,1,71,R Ray,32,2,305
0,0,0,K Joseph,1,0,0
12,1,27,R Dinwiddie,24,2,193
1,0,10,C Bergquist,4,0,10
15,1,54,D Tate,28,1,207
22,0,41,A Brink,33,1,202
19,1,40,T Lulay,30,4,280
1,0,15,J Jackson,3,0,15
9,0,20,A Calvillo,17,0,63
3,1,21,A McPherson,6,0,29
30,1,75,A Calvillo,42,3,513
23,1,31,K Glenn,32,1,275
2,0,31,Q Porter,2,1,34
19,0,56,R Ray,27,1,245
5,1,58,D Tate,10,0,99
7,0,18,H Burris,15,0,75
16,1,36,B Pierce,28,0,175
1,0,3,A Brink,1,1,3
13,0,40,K Glenn,18,0,113
3,1,16,Q Porter,11,0,40
20,1,53,T Lulay,27,2,293
21,3,37,R Ray,40,2,297
21,0,66,T Lulay,37,2,320
0,0,0,A Harris,1,0,0
19,1,45,B Pierce,37,2,250
