longest punt return, name, punt return yards, punt returns
31,D Harden,34,2
34,I Davis,35,2
3,T Brown,3,1
0,D Randall,-1,1
25,S Kehano,44,2
66,T Davis,67,3
25,K Johnson,25,1
24,M Jones,37,3
0,E Murray,18,1
2,L Hutton,2,0
0,M Pack,0,1
14,T Lewis,19,2
11,C Beebe,11,1
9,G Hogan,16,4
12,C Nicholls,12,1
7,S Noil,7,2
40,T Ervin,73,2
16,C Floyd,22,2
46,K Clay,46,3
17,B Poole,30,2
6,T Hobbs,6,1
1,S Burmeister,1,1
14,D Sims,26,5
4,K Herbin,6,2
3,R Cracraft,5,3
7,J Grant,7,1
7,D Neal,10,2
5,S Grant,9,2
14,N Spruce,35,4
0,D Foxx,-1,1
24,M Juergens,24,2
0,G Ward Jr,0,1
15,K Harrison,-4,5
11,M Kings Jr,11,2
0,B Estime,-1,1
67,P Livers,80,2
9,K Towner,9,1
28,R Burbrink,28,1
4,J Robinette,4,1
0,K Canty,0,1
10,B Taylor,11,3
0,J McKissic,-20,1
0,C Jones,-1,1
18,Q Bray,31,2
7,D Dean,11,2
7,A Hepp,14,3
0,M McGill,0,1
3,August,2014,30
26,B Gustine,26,1
8,D Rahming,8,1
8,J Della Valle,8,1
1,J Lucas,1,1
21,T Brown,17,2
8,I Jones,8,1
3,J Hardy,3,1
19,A Wilkins,22,2
1,N Adams,21,1
0,T Allen,-6,1
0,T Martin,0,1
71,R Leonard,148,5
10,C Taylor,14,2
11,R Davis,37,7
24,I McKenzie,24,1
3,A Humphries,-6,2
28,J Golden,24,2
3,W Gay,3,1
4,S Harding,8,2
0,J Mickens,-1,2
9,D Mosley,14,2
3,V Bentley,3,1
11,C Bryan,12,2
14,J Harris II,18,2
23,M VandeBerg,21,3
12,C Owens,22,2
24,J West,24,2
1,C Smith,1,1
0,C Dudzik,0,1
26,J Jones,26,1
10,J Brooks,15,3
18,D Patterson,18,1
10,D Robinson,13,2
11,E McGuire,11,1
9,T Pierce,9,1
0,C Bates,0,2
9,T White,16,3
0,K Doe,-3,1
35,W Likely,35,1
1,S Tapley,1,1
0,B Jones,0,1
53,J Craig,66,2
14,K Malone,38,4
8,R Proctor,8,1
2,R Coleman,2,1
54,F McRae,54,1
23,T Shuler,36,3
32,B Gedeon,32,0
9,D Norfleet,9,1
6,J Peppers,6,1
0,B Beathard,0,1
4,M Murphy,1,3
5,J Lewis,5,2
1,B Holloway,1,1
61,E Batties,61,1
0,J Singletary,1,1
11,D Wilson,24,3
30,R Switzer,70,7
12,Z Parker,12,1
18,B Cherry,33,2
14,B Thomas,12,3
15,D Pierson El,14,2
3,K Bell,5,2
27,R Turner,17,3
4,B Measom,3,3
1,D Gamblin,2,2
9,C Harper,9,1
8,T Davis,8,1
25,C Riggs,49,2
18,G Bryant,31,3
18,S Shepard,35,2
28,T Hill,32,2
2,R Greene,2,1
0,A Vaughan,0,1
50,C Nelson,50,1
0,I Ekpre Olomu,0,2
0,J Loyd,-4,1
18,J Sanders,18,1
19,V Bolden,45,3
0,K Closs,-5,1
35,T Boyd,72,3
9,K Weatherspoon,6,4
2,R Jones,2,1
36,F Williams,63,2
67,L Mills,85,4
24,C Dunkley,24,1
0,G Brown,0,1
60,T Montgomery,74,2
41,C McCaffrey,60,3
14,C Echols Luper,31,5
0,D Gray,-10,1
0,R Clark,-4,1
15,J Shipley,27,4
6,C Harris,7,2
0,C Jones,0,1
0,N Cefalo,0,1
35,C Mager,35,1
12,C Batson,13,3
21,J Nelson,21,1
9,T Ruben,9,1
2,B Holmes,2,1
10,A Jackson,10,1
0,K Shepherd,0,3
32,I Adams,49,3
6,R Goforth,6,1
13,K Jarrett,25,2
4,T Reed,4,1
9,J Claiborne,25,3
0,E Nzeocha,21,1
5,J Nguyen,6,2
45,L Norwood,49,2
5,C Spangler,5,1
1,C Lancaster,1,1
6,J Natson,6,1
5,K De La Cruz,6,2
19,S Coley,22,2
34,K Harrison,42,2
18,N Phillips,18,1
11,T Boyd,13,2
0,R Turner,0,1
14,R Galvin,21,2
70,C Jones,70,1
5,C Jones,5,3
39,B Beathard,39,2
4,I Lewis,0,2
6,September,2014,6
0,D Carter,-16,1
63,D Dean,94,4
0,J Cornelius,0,2
3,K Canty,3,1
0,M McGill,0,0
55,Q Bray,55,1
5,R Davis,5,1
0,C Spangler,0,1
0,E Eagan,0,0
10,S Williams Rhodes,35,4
75,R Burbrink,77,4
29,H Coby,29,1
1,D Forlines,1,2
19,C Harper,37,3
17,T Davis,31,3
4,T Watson,4,1
2,A Humphries,2,1
0,A Dunn,0,1
72,D Foxx,85,3
0,B Lemelle,0,1
10,W Tye,10,2
36,C Taylor,47,2
11,R Leonard,12,2
0,D Hazziez,0,1
55,A Debose,97,4
1,D Robinson,1,1
1,T Allen,1,1
17,J Wilson,17,1
10,R Greene,10,1
3,D Harden,3,1
13,B Thomas,15,3
5,T Butler,5,2
22,S Harding,22,1
9,L Williams,9,1
15,R Dockery,15,1
31,G Ward Jr,43,3
10,C Rogers,10,1
14,V Bentley,22,2
7,K Towner,7,1
12,M VandeBerg,12,1
0,D King,-1,1
82,J West,93,2
0,J Jones,0,1
6,I Johnson,6,1
0,S Davis,-3,1
8,J Brooks,15,2
0,T Glover,-1,1
22,D Robinson,40,4
7,D Patterson,7,1
0,T Taylor,0,1
13,R Ceaser,11,2
2,D Ungerer,2,1
5,M Milton,5,1
1,K De La Cruz,1,1
0,M Harris,-8,1
12,J Davis,12,1
30,T White,40,3
0,T Quinn,0,0
2,T Orr,2,2
31,T Dudley Giles,31,1
2,N Spruce,2,1
29,S Coley,48,3
14,B Berrios,21,3
0,D Johnson,0,0
0,F McRae,-12,3
7,S Absanon,14,5
9,M Jones,9,1
25,C Pennycuff,25,1
9,E Batties,7,2
8,T Shuler,17,3
5,D Green,3,1
0,D Barthelmy,0,1
0,L McCombs,-1,1
15,J Graham,23,2
1,K Coman,1,1
26,J Nelson,35,3
0,L Farmer,0,1
0,R Switzer,-2,3
2,L Mills,2,1
0,A Vaughan,0,0
25,D Pierson El,52,5
11,N Holmes,19,3
8,D Randall,9,3
0,J Brimhall,0,1
7,I Campbell,10,2
36,C Beebe,47,2
2,T Lewis,1,2
12,C Riggs,20,3
6,J Onwualu,6,1
0,D Norfleet,0,0
15,C Harris,22,5
0,Z Whitfield,-1,1
0,C Lancaster,-14,2
13,D Wilson,24,3
35,G Stroman,35,2
37,T Hill,37,1
30,J Sterns,30,1
0,B Sheperd,0,1
26,I Ekpre Olomu,36,3
3,M Kings Jr,4,3
5,J Della Valle,5,1
13,I Davis,17,3
21,B Knauf,26,2
21,F Williams,21,1
0,S Lavallii,-2,1
13,N Barnwell,13,1
7,J Grant,7,1
36,T Brown,36,1
5,P Cooper,5,1
22,H Childs,22,1
46,W Likely,59,5
19,C Martin,26,2
5,C Hughes,5,1
0,J Williams,1,1
44,T Montgomery,44,1
0,N Agholor,0,0
4,D Sanders,3,2
21,J Carter,21,1
0,C Sutton,0,1
13,J McKissic,13,2
2,D Buckley,2,1
0,B Taylor,0,1
6,J Shipley,6,1
2,P Jinkens,2,1
18,M Juergens,18,3
8,D Blackmon,6,1
0,M Davis,0,0
46,B Hankins,46,0
6,M Connors,6,1
3,C Floyd,3,2
1,S Shepard,1,2
0,M Quick,0,1
0,C Jones,0,1
34,M Murphy,34,1
0,B Holmes,0,0
19,J Crowder,19,2
67,S Noil,67,1
30,N Harvey,30,1
0,B Williams,0,1
0,D Brown,-1,1
0,I Adams,-3,1
0,P Perkins,-3,1
0,K Whitely,0,2
14,K Clay,14,1
0,B Poole,0,1
0,D Booker,0,0
12,D Payne,16,3
12,C Batson,26,4
52,J Natson,58,2
1,H Weichers,0,3
0,T Floyd,-3,1
24,M Pack,24,1
7,A Alford,8,2
30,K Shepherd,30,1
5,D Miller,5,1
19,J Crump,36,2
3,D Pettis,3,1
0,C Kupp,0,1
6,K Doe,6,2
27,H Scott,27,1
30,J Thompson,30,1
0,D Joseph,0,0
1,J Claiborne,2,2
4,J Robinette,4,1
16,D Blackmon,14,2
2,M Juergens,2,1
10,C Harris,9,2
19,T Taylor,21,3
1,C Spangler,1,2
