kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
514,8,75,63,L Sakoda,168,5
486,8,95,57,D Duval,223,5
0,0,0,79,M Renaud,302,5
0,0,0,72,J Palardy,406,9
173,3,62,56,N Prefontaine,341,8
451,7,85,49,P McCallum,339,8
0,0,0,48,M Renaud,216,5
405,8,69,0,A Serna,0,0
239,4,66,57,J Boreham,297,7
0,0,0,64,E Kuale,64,1
0,0,0,79,J Palardy,170,4
0,0,0,49,B Dales,265,6
198,4,67,50,P McCallum,347,8
476,8,67,47,L Sakoda,207,5
115,3,55,68,D Schiavone,179,4
306,5,73,69,D Duval,335,8
129,2,66,52,J Boreham,216,5
0,0,0,53,B Dales,263,6
0,0,0,55,J Palardy,172,4
0,0,0,58,M Renaud,399,8
176,4,61,49,P McCallum,367,9
185,3,65,60,D Duval,307,7
206,4,80,44,L Sakoda,133,5
0,0,0,42,L Congi,69,2
169,3,68,66,N Prefontaine,440,9
279,4,77,61,D Duval,156,3
0,0,0,53,J Palardy,195,5
412,6,73,48,J Boreham,250,6
237,4,66,68,P McCallum,364,9
0,0,0,51,M Renaud,180,4
269,5,64,52,N Prefontaine,293,7
0,0,0,65,B Dales,338,7
273,4,73,49,E Johnson,253,6
450,7,74,40,D Duval,40,1
193,3,66,58,J Boreham,221,5
310,5,66,64,N Prefontaine,298,7
353,6,65,54,P McCallum,354,8
288,4,86,55,E Johnson,153,3
0,0,0,45,J Palardy,195,5
0,0,0,56,B Dales,229,5
194,3,66,66,A Serna,406,9
258,4,66,53,D Duval,371,8
467,7,74,47,E Johnson,105,3
246,4,70,55,N Prefontaine,169,4
423,6,75,40,J Boreham,72,2
394,7,63,50,E Wilbur,241,6
0,0,0,59,M Renaud,384,8
123,2,65,0,A Serna,0,0
171,3,58,46,P McCallum,438,11
0,0,0,53,B Dales,394,9
405,6,77,54,E Johnson,311,7
317,5,70,50,P McCallum,238,6
94,2,48,39,M Renaud,170,5
375,6,68,62,E Wilbur,231,5
0,0,0,44,D Stala,44,1
425,6,77,47,J Boreham,205,5
243,4,70,54,D Duval,259,6
0,0,0,68,B Dales,359,7
185,3,63,59,N Prefontaine,291,7
406,6,72,69,D Duval,486,10
236,4,67,54,M Renaud,449,10
95,1,95,49,J Boreham,298,7
0,0,0,54,E Wilbur,258,6
0,0,0,34,D Stala,34,1
235,5,60,52,P McCallum,457,11
0,0,0,52,B Dales,285,6
196,3,80,64,N Prefontaine,370,8
139,2,71,48,E Johnson,346,9
175,3,72,62,D Duval,256,6
481,8,70,77,P McCallum,240,5
347,5,94,68,E Johnson,442,9
0,0,0,49,M Renaud,377,9
313,6,62,51,E Wilbur,205,5
147,2,95,43,J Boreham,147,5
0,0,0,60,B Dales,363,8
154,2,86,70,N Prefontaine,346,8
307,5,68,45,N Prefontaine,162,4
0,0,0,54,B Dales,143,3
351,6,70,0,R Maver,0,0
189,3,70,60,E Wilbur,324,7
195,3,74,63,D Duval,374,8
431,7,70,51,P McCallum,376,10
172,3,64,47,J Boreham,428,11
0,0,0,54,M Renaud,306,8
0,0,0,63,E Johnson,426,10
361,5,95,56,E Johnson,349,8
0,0,0,53,B Dales,382,9
217,4,64,63,P McCallum,172,4
166,3,61,58,E Wilbur,238,5
189,3,64,62,J Boreham,454,11
0,0,0,47,M Renaud,491,12
279,5,76,58,D Duval,382,8
234,5,65,49,N Prefontaine,341,8
0,0,0,47,M Renaud,398,9
526,8,74,48,D Duval,280,7
0,0,0,42,E Wilbur,152,4
346,6,70,51,E Johnson,189,5
0,0,0,56,B Dales,402,9
402,7,67,61,P McCallum,291,6
55,1,55,53,J Boreham,275,7
256,5,64,52,N Prefontaine,264,7
0,0,0,60,B Dales,368,8
255,4,75,46,S Emry,204,5
59,1,59,64,D Duval,146,3
194,3,69,48,J Boreham,245,6
404,6,73,56,E Johnson,299,6
111,2,56,50,P McCallum,362,9
0,0,0,49,M Renaud,364,8
369,6,69,37,N Prefontaine,72,2
0,0,0,69,E Wilbur,329,7
0,0,0,54,E Wilbur,356,9
142,3,65,81,N Prefontaine,360,8
204,3,71,69,E Johnson,455,9
246,3,95,46,J Boreham,195,5
0,0,0,39,J Medlock,39,1
556,9,74,39,C David,134,4
0,0,0,52,B Dales,329,7
0,0,0,49,M Renaud,314,8
195,3,79,59,S Whyte,159,4
111,2,62,56,N Prefontaine,401,9
0,0,0,58,E Wilbur,430,9
289,5,61,53,S Whyte,293,7
0,0,0,34,P Jackson,34,1
233,4,65,41,D Schiavone,177,5
180,4,55,43,C David,148,4
0,0,0,51,M Renaud,232,6
231,4,66,57,E Johnson,325,7
0,0,0,54,B Dales,203,4
0,0,0,52,R Chevrier,52,1
0,0,0,53,E Wilbur,208,5
60,1,60,52,C David,246,6
0,0,0,59,B Dales,375,8
440,7,69,53,P McCallum,222,5
0,0,0,53,M Renaud,442,10
357,6,65,40,N Prefontaine,299,8
319,6,61,66,D Schiavone,339,8
183,3,67,43,E Johnson,254,7
353,6,61,50,N Prefontaine,188,4
0,0,0,37,M Bradwell,37,1
436,7,71,49,D Duval,252,6
0,0,0,52,B Dales,191,4
0,0,0,51,E Wilbur,282,7
110,2,58,72,D Schiavone,262,6
0,0,0,53,M Renaud,402,9
301,5,67,48,P McCallum,257,7
75,1,75,50,E Johnson,302,7
0,0,0,38,M Renaud,139,5
0,0,0,48,B Dales,198,5
0,0,0,53,E Wilbur,397,10
159,3,55,56,P McCallum,310,7
245,4,74,45,E Johnson,185,5
192,5,64,33,D Schiavone,51,2
115,2,65,53,D Duval,358,8
370,6,68,63,G Shaw,245,5
0,0,0,50,E Wilbur,294,8
0,0,0,44,N Prefontaine,428,12
313,5,68,52,E Johnson,360,8
162,3,66,48,P McCallum,295,7
476,8,73,52,D Duval,134,3
130,3,63,53,N Prefontaine,293,7
0,0,0,77,B Dales,421,9
283,5,68,52,E Johnson,311,8
184,3,65,41,D Duval,227,7
240,4,66,53,E Johnson,421,10
