longest reception, name, receiving touchdowns, receiving yards, receptions
15,N Lewis,0,46,4
24,S Green,0,45,2
11,F Stamps,0,12,2
6,T Sutton,0,6,1
4,J Beaulieu,1,4,1
18,E Jackson,1,74,7
41,C Williams,0,67,4
19,G Ellingson,0,44,4
14,B Sinopoli,0,38,4
19,C Walker,0,26,2
19,J Washington,0,19,1
9,M Price,0,9,1
6,D Hinds,0,6,1
5,J Johnson,0,5,1
48,J Fuller,0,149,9
30,E Rogers,1,62,5
9,J Cornish,0,15,2
10,R Cote,0,15,2
6,J West,0,11,2
6,M McDaniel,0,6,1
6,C Power,0,6,1
21,A Fantuz,0,83,9
40,T Sinkfield,0,76,5
14,T Toliver,0,44,5
14,B Grant,0,28,3
12,R Holley,0,21,3
16,B Banks,0,16,1
13,T Underwood,0,13,1
42,C Owens,0,99,7
53,K Elliott,0,77,3
20,A Durie,0,63,7
57,B Whitaker,0,57,1
17,T Gurley,0,32,3
8,A Coombs,0,8,1
8,A Dupuis,0,8,1
3,V Hazelton,0,3,1
26,K Stafford,1,66,4
17,A Bowman,0,61,6
18,K Lawrence,0,26,2
8,N Coehoorn,0,13,2
5,C Simpson,0,9,2
3,C Watson,0,3,1
53,R Smith,1,77,3
36,T Smith,1,44,2
13,J Richardson,0,42,6
24,J Messam,0,36,3
14,C Getzlaf,0,35,4
8,R Bagg,0,26,4
10,S Moore,0,14,2
8,K Williams,0,8,1
3,A Allen,0,3,1
41,C Denmark,0,94,5
25,N Moore,1,94,6
23,P Cotton,1,59,4
12,D Adams,0,28,3
14,C Marshall,1,24,2
17,J Veltung,0,17,1
9,M Pontbriand,0,9,1
27,N Moore,0,79,6
13,J Feoli Gudino,0,40,5
13,P Cotton,0,22,3
15,K Bastien,0,21,2
20,T Cronk,0,20,1
8,D Adams,0,12,2
51,B Grant,1,117,5
19,A Fantuz,0,79,8
39,T Sinkfield,0,78,3
29,T Underwood,0,62,5
28,R Holley,0,41,3
10,T Toliver,1,13,2
11,B Banks,0,11,2
36,N Lewis,1,65,3
20,S Green,0,60,7
23,C Hoffman,1,48,3
17,S Giguere,1,39,4
16,F Stamps,0,17,2
12,T Sutton,0,12,1
63,M McDaniel,0,113,6
21,J West,0,43,3
14,S Charbonneau Campeau,0,34,3
20,E Rogers,0,29,2
9,A Parker,0,22,4
14,S Cunningham,0,15,2
7,J Cornish,0,7,1
20,B Sinopoli,1,99,9
38,C Williams,0,82,4
14,M Price,0,43,5
30,G Ellingson,1,30,1
11,E Jackson,1,19,2
15,J Verdone,0,15,1
8,C Walker,0,8,1
50,E Arceneaux,0,112,7
26,A Collie,1,65,5
29,S Gore,0,29,1
17,A Harris,0,26,3
12,B Burnham,0,12,1
10,C Morrah,0,10,1
50,R Smith,1,174,8
32,W Dressler,0,82,5
25,C Getzlaf,1,79,6
21,J Messam,0,72,6
13,J Richardson,0,40,4
9,R Bagg,0,23,3
7,S Moore,0,7,1
16,C Owens,1,88,8
33,V Hazelton,0,60,5
16,B Whitaker,1,47,6
14,T Gurley,1,42,4
9,A Coombs,0,16,5
12,K Elliott,1,14,2
51,A Bowman,1,120,5
28,N Coehoorn,0,53,3
